Partidos;Puntos;T2 Anotados;T2 Lanzados;% T2;T3 Anotados;T3 Lanzados;% T3;T1 Anotados;T1 Lanzados;% T1;Reb_Ofensivos;Reb_Defensivos;Rebotes;Asistencias;Robos;Perdidas;Tapones;Tapones Recibidos;Mates;Faltas Cometidas;Faltas Recibidas;Valoracion;Cluster
22.0;1.86;0.27;0.68;0.4;0.36;1.82;0.2;0.23;0.36;0.62;0.18;0.59;0.77;0.77;0.36;0.82;0.0;0.05;0.0;0.36;0.41;1.0;Cluster 0
11.0;2.0;0.09;0.55;0.17;0.55;1.0;0.55;0.18;0.55;0.33;0.0;0.55;0.55;1.09;0.36;1.09;0.18;0.0;0.0;0.64;0.82;2.0;Cluster 2
9.0;1.44;0.44;1.22;0.36;0.11;0.67;0.17;0.22;0.22;1.0;0.44;0.33;0.78;0.78;0.22;0.67;0.11;0.33;0.0;0.78;0.67;0.89;Cluster 0
12.0;0.83;0.08;0.75;0.11;0.17;0.75;0.22;0.17;0.33;0.5;0.5;0.5;1.0;0.25;0.25;0.67;0.17;0.0;0.0;0.75;0.25;-0.08;Cluster 2
4.0;4.25;0.5;1.25;0.4;1.0;1.0;1.0;0.25;0.5;0.5;0.5;0.0;0.5;0.25;0.0;0.25;0.0;0.0;0.0;1.25;0.5;3.0;Cluster 0
23.0;2.35;0.43;0.96;0.45;0.3;1.43;0.21;0.57;0.7;0.81;0.3;0.61;0.91;0.26;0.3;0.39;0.0;0.0;0.0;1.0;0.61;1.26;Cluster 0
5.0;1.0;0.4;0.8;0.5;0.0;0.0;0.0;0.2;0.4;0.5;0.2;1.2;1.4;0.2;0.2;0.4;0.2;0.0;0.0;0.6;0.2;1.6;Cluster 2
23.0;2.35;0.39;1.09;0.36;0.39;1.04;0.38;0.39;0.48;0.82;0.13;0.78;0.91;0.09;0.65;0.78;0.04;0.13;0.0;1.17;0.43;0.96;Cluster 0
24.0;2.71;1.08;2.58;0.42;0.08;0.08;1.0;0.29;0.54;0.54;0.33;0.92;1.25;0.04;0.25;0.67;0.21;0.08;0.0;1.21;0.38;1.12;Cluster 0
20.0;1.45;0.45;1.6;0.28;0.1;0.3;0.33;0.25;0.3;0.83;0.45;0.85;1.3;0.25;0.2;0.6;0.25;0.1;0.0;1.6;0.3;0.05;Cluster 0
15.0;2.13;0.47;1.33;0.35;0.33;1.73;0.19;0.2;0.27;0.75;0.27;0.47;0.73;0.07;0.27;0.47;0.0;0.0;0.0;0.33;0.13;0.2;Cluster 0
9.0;0.89;0.33;1.0;0.33;0.0;0.33;0.0;0.22;0.89;0.25;0.44;0.67;1.11;0.0;0.22;0.67;0.0;0.0;0.0;1.56;0.67;-1.0;Cluster 2
18.0;2.0;0.61;1.72;0.35;0.06;0.61;0.09;0.61;0.67;0.92;0.28;0.33;0.61;0.28;0.39;0.44;0.06;0.17;0.0;1.22;0.39;0.17;Cluster 0
20.0;2.8;0.85;2.35;0.36;0.3;0.95;0.32;0.2;0.3;0.67;0.2;1.05;1.25;0.7;0.2;0.8;0.0;0.15;0.0;0.75;0.55;1.55;Cluster 0
