Partidos;Puntos;T2 Anotados;T2 Lanzados;% T2;T3 Anotados;T3 Lanzados;% T3;T1 Anotados;T1 Lanzados;% T1;Reb_Ofensivos;Reb_Defensivos;Rebotes;Asistencias;Robos;Perdidas;Tapones;Tapones Recibidos;Mates;Faltas Cometidas;Faltas Recibidas;Valoracion;Cluster
11.0;19.64;8.09;14.64;0.55;0.27;2.73;0.1;2.64;3.36;0.78;1.27;5.82;7.09;1.55;2.18;3.36;1.55;0.09;0.0;3.18;4.45;20.09;Cluster 3
22.0;13.95;3.86;8.55;0.45;1.09;2.77;0.39;2.95;3.86;0.76;1.82;2.68;4.5;0.91;0.82;1.73;0.36;0.68;0.0;1.45;3.55;12.95;Cluster 3
30.0;11.9;2.77;6.73;0.41;1.67;6.13;0.27;1.37;1.83;0.75;0.43;2.3;2.73;2.37;1.2;2.07;0.07;0.47;0.0;2.67;1.93;6.57;Cluster 1
26.0;14.27;2.92;6.5;0.45;2.12;5.46;0.39;2.08;2.23;0.93;0.96;2.46;3.42;2.65;1.69;2.42;0.15;0.12;0.0;2.04;2.5;13.04;Cluster 1
26.0;10.92;1.65;3.73;0.44;2.08;5.58;0.37;1.38;1.77;0.78;0.58;2.73;3.31;1.15;0.92;2.38;0.12;0.15;0.0;2.35;2.31;7.88;Cluster 1
23.0;11.52;2.7;7.83;0.34;1.13;2.96;0.38;2.74;3.57;0.77;0.78;3.3;4.09;1.91;1.43;2.87;0.0;0.13;0.0;1.61;3.43;10.0;Cluster 1
13.0;18.62;4.92;12.08;0.41;1.85;5.85;0.32;3.23;4.15;0.78;1.08;3.92;5.0;0.85;0.92;2.08;0.23;0.85;0.23;1.85;3.62;12.38;Cluster 3
10.0;13.3;4.5;10.0;0.45;0.0;0.0;0.0;4.3;5.7;0.75;3.0;5.4;8.4;1.1;1.5;1.8;1.4;0.1;0.0;2.5;3.8;18.2;Cluster 3
25.0;16.2;5.48;9.56;0.57;0.88;2.04;0.43;2.6;3.76;0.69;1.36;5.28;6.64;1.64;1.12;1.84;0.28;0.28;0.0;3.12;3.64;17.88;Cluster 3
25.0;10.48;3.92;7.8;0.5;0.04;0.04;1.0;2.52;3.44;0.73;2.6;3.88;6.48;1.16;0.28;3.8;0.28;0.32;0.0;2.6;3.92;11.08;Cluster 3
26.0;15.35;4.23;8.88;0.48;0.81;2.73;0.3;4.46;5.27;0.85;1.96;2.54;4.5;2.12;1.42;2.88;0.35;0.65;0.0;2.62;5.12;15.31;Cluster 3
13.0;11.31;2.54;5.77;0.44;1.77;3.69;0.48;0.92;1.23;0.75;0.69;2.23;2.92;0.69;0.62;1.92;0.0;0.23;0.0;1.92;1.38;7.38;Cluster 1
26.0;7.04;1.54;4.58;0.34;1.08;3.19;0.34;0.73;1.19;0.61;0.88;2.88;3.77;0.65;1.35;1.27;0.31;0.04;0.0;2.31;1.69;5.58;Cluster 1
21.0;12.19;4.1;8.62;0.48;0.29;1.43;0.2;3.14;4.29;0.73;1.1;2.71;3.81;1.52;1.1;3.38;0.05;0.43;0.0;3.52;3.24;7.76;Cluster 3
25.0;13.32;2.44;5.08;0.48;2.28;6.28;0.36;1.6;2.36;0.68;0.56;2.2;2.76;3.32;0.96;2.24;0.08;0.08;0.0;1.6;2.6;11.72;Cluster 1
10.0;12.9;5.2;10.9;0.48;0.2;1.0;0.2;1.9;2.8;0.68;1.3;3.6;4.9;0.5;0.8;1.8;0.1;0.2;0.0;2.1;2.5;10.2;Cluster 3
26.0;13.46;5.5;11.62;0.47;0.12;0.5;0.23;2.12;3.08;0.69;2.88;6.5;9.38;1.0;0.81;2.31;1.81;0.35;0.0;2.65;3.19;16.88;Cluster 3
22.0;10.55;1.86;5.45;0.34;1.86;4.91;0.38;1.23;1.41;0.87;0.5;1.95;2.45;1.05;0.82;1.32;0.14;0.32;0.0;1.73;1.32;6.14;Cluster 1
26.0;7.0;1.42;2.54;0.56;1.15;3.38;0.34;0.69;0.88;0.78;1.77;5.08;6.85;1.15;1.5;2.46;0.62;0.08;0.0;2.92;1.73;9.85;Cluster 1
25.0;10.16;2.64;5.4;0.49;0.64;2.0;0.32;2.96;4.08;0.73;0.72;2.88;3.6;2.28;2.32;3.0;0.08;0.44;0.0;3.08;4.48;11.16;Cluster 1
30.0;11.73;2.1;4.93;0.43;1.47;4.67;0.31;3.13;3.87;0.81;0.93;1.97;2.9;2.47;1.2;2.33;0.03;0.3;0.03;2.13;3.77;10.87;Cluster 1
16.0;10.56;2.12;5.75;0.37;0.62;2.38;0.26;4.44;5.44;0.82;0.88;2.06;2.94;3.06;1.75;4.19;0.12;0.31;0.0;3.56;5.12;9.12;Cluster 1
26.0;12.77;5.35;10.88;0.49;0.04;0.15;0.25;1.96;2.81;0.7;3.15;4.96;8.12;1.38;1.04;2.85;0.35;0.35;0.0;2.69;3.35;14.62;Cluster 3
13.0;13.0;5.69;11.0;0.52;0.0;0.08;0.0;1.62;3.23;0.5;2.46;5.23;7.69;0.46;1.77;3.08;0.08;0.38;0.0;2.77;3.31;13.08;Cluster 3
25.0;16.4;6.32;11.76;0.54;0.04;0.12;0.33;3.64;4.88;0.75;2.2;7.92;10.12;1.92;2.36;2.44;0.84;0.24;0.0;2.6;4.16;23.76;Cluster 3
26.0;13.58;4.54;10.04;0.45;0.58;1.73;0.33;2.77;4.31;0.64;1.31;3.81;5.12;3.42;2.15;3.0;0.12;0.42;0.0;2.38;3.62;14.0;Cluster 3
12.0;14.08;5.25;11.5;0.46;0.33;2.58;0.13;2.58;3.33;0.78;2.5;2.67;5.17;1.67;1.92;2.83;0.08;0.42;0.0;1.92;2.83;11.33;Cluster 3
22.0;8.23;0.95;2.36;0.4;1.5;4.32;0.35;1.82;2.73;0.67;0.27;3.41;3.68;2.55;1.55;1.95;0.0;0.14;0.0;1.32;2.86;10.32;Cluster 1
26.0;11.73;4.15;9.12;0.46;0.0;0.65;0.0;3.42;4.58;0.75;2.15;4.85;7.0;0.88;0.77;2.81;1.0;0.23;0.0;2.96;4.88;13.5;Cluster 3
24.0;13.33;4.21;9.83;0.43;0.83;2.17;0.38;2.42;3.88;0.62;2.12;4.12;6.25;1.21;2.21;3.21;0.21;0.29;0.0;3.42;4.0;11.88;Cluster 3
21.0;9.14;2.24;5.38;0.42;1.1;3.52;0.31;1.38;2.48;0.56;1.24;2.29;3.52;0.48;1.14;1.33;0.19;0.05;0.0;2.48;2.86;6.81;Cluster 1
26.0;16.58;4.04;7.31;0.55;2.0;4.73;0.42;2.5;2.96;0.84;0.58;1.62;2.19;2.46;2.04;1.62;0.23;0.27;0.0;2.23;2.62;15.54;Cluster 1
26.0;9.46;1.85;4.08;0.45;1.15;2.96;0.39;2.31;2.73;0.85;0.62;2.0;2.62;1.5;1.35;2.77;0.0;0.19;0.0;2.54;2.62;7.58;Cluster 1
25.0;16.88;6.4;11.24;0.57;0.12;0.44;0.27;3.72;4.76;0.78;1.88;5.12;7.0;1.64;0.36;3.6;0.32;0.32;0.0;1.76;4.8;19.12;Cluster 3
26.0;11.19;3.27;7.81;0.42;0.85;2.96;0.29;2.12;3.12;0.68;2.04;3.35;5.38;1.31;1.12;1.54;0.27;0.19;0.0;1.38;2.88;11.38;Cluster 3
30.0;9.97;2.63;6.57;0.4;1.13;3.57;0.32;1.3;1.5;0.87;0.8;3.17;3.97;2.63;0.77;1.93;0.1;0.1;0.0;0.97;1.57;9.53;Cluster 1
25.0;9.2;3.28;7.44;0.44;0.48;2.8;0.17;1.2;1.96;0.61;1.56;3.92;5.48;2.08;1.4;2.44;0.48;0.4;0.0;1.84;2.2;8.92;Cluster 3
13.0;4.85;0.77;2.31;0.33;0.92;3.31;0.28;0.54;0.62;0.88;0.23;2.46;2.69;2.08;1.15;1.31;0.08;0.23;0.0;1.62;1.46;5.15;Cluster 0
29.0;13.93;3.62;8.0;0.45;1.72;4.83;0.36;1.52;2.21;0.69;1.52;5.83;7.34;1.86;1.48;2.17;0.14;0.62;0.0;1.97;2.48;14.93;Cluster 1
12.0;9.5;1.25;2.83;0.44;1.92;4.58;0.42;1.25;1.5;0.83;0.25;1.83;2.08;0.67;1.17;1.08;0.0;0.17;0.0;3.5;1.5;5.67;Cluster 1
26.0;10.23;3.19;6.38;0.5;0.04;0.12;0.33;3.73;4.81;0.78;1.96;4.19;6.15;0.81;1.38;1.88;0.15;0.31;0.0;2.46;4.85;14.58;Cluster 3
25.0;9.6;3.28;6.36;0.52;0.48;1.68;0.29;1.6;2.16;0.74;0.48;2.36;2.84;1.96;1.64;2.12;0.0;0.16;0.0;1.84;2.0;9.08;Cluster 1
12.0;10.08;2.25;5.75;0.39;1.42;3.58;0.4;1.33;2.08;0.64;0.17;1.33;1.5;1.83;1.0;2.33;0.33;0.33;0.0;2.33;2.58;5.92;Cluster 1
22.0;17.68;4.05;9.95;0.41;2.23;6.18;0.36;2.91;3.68;0.79;1.55;4.05;5.59;3.09;2.73;3.68;0.64;0.59;0.0;2.0;3.68;16.5;Cluster 1
26.0;6.31;1.08;3.96;0.27;1.0;3.58;0.28;1.15;1.58;0.73;0.31;2.46;2.77;1.92;1.27;1.96;0.08;0.27;0.0;2.23;1.73;3.73;Cluster 1
26.0;12.92;4.27;8.69;0.49;0.23;0.46;0.5;3.69;4.69;0.79;1.88;4.73;6.62;0.42;1.69;1.23;0.27;0.62;0.0;3.23;4.12;15.31;Cluster 3
25.0;12.44;3.08;6.44;0.48;1.28;3.16;0.41;2.44;3.2;0.76;2.84;6.48;9.32;1.28;1.92;3.0;1.48;0.2;0.0;3.56;3.56;17.24;Cluster 3
26.0;15.69;4.81;10.42;0.46;1.31;3.92;0.33;2.15;2.81;0.77;1.73;5.5;7.23;1.27;1.62;3.54;0.62;0.62;0.0;3.15;3.27;13.5;Cluster 3
26.0;8.65;2.35;5.88;0.4;1.04;3.42;0.3;0.85;1.12;0.76;0.96;3.88;4.85;2.08;0.88;1.92;0.15;0.12;0.0;2.0;1.77;8.15;Cluster 1
22.0;11.55;4.14;9.41;0.44;0.41;0.86;0.47;2.05;2.5;0.82;2.95;5.09;8.05;1.64;1.55;1.68;0.36;0.77;0.0;1.55;3.05;16.0;Cluster 3
13.0;17.46;3.77;6.69;0.56;2.54;6.38;0.4;2.31;2.85;0.81;0.54;2.46;3.0;4.08;1.31;4.31;0.08;0.31;0.0;2.85;3.15;14.31;Cluster 1
26.0;15.81;4.73;8.23;0.57;0.62;2.5;0.25;4.5;5.96;0.75;0.5;2.19;2.69;5.0;2.23;3.08;0.04;0.5;0.0;1.88;5.77;19.23;Cluster 3
23.0;11.57;1.96;4.65;0.42;1.22;3.0;0.41;4.0;5.17;0.77;0.96;2.09;3.04;0.65;1.17;1.87;0.3;0.26;0.0;2.26;3.74;10.43;Cluster 1
11.0;12.55;3.73;6.0;0.62;1.45;4.45;0.33;0.73;1.0;0.73;0.27;2.45;2.73;1.64;1.64;2.0;0.0;0.09;0.0;1.64;1.0;10.27;Cluster 1
26.0;7.69;0.73;1.54;0.47;1.85;5.96;0.31;0.69;0.92;0.75;0.73;2.23;2.96;1.12;1.81;1.65;0.04;0.12;0.0;2.46;1.04;5.27;Cluster 1
26.0;17.38;6.46;13.92;0.46;0.0;0.31;0.0;4.46;6.08;0.73;2.73;5.58;8.31;0.69;0.92;3.73;1.42;0.27;0.0;2.0;5.58;18.92;Cluster 3
25.0;7.0;2.2;4.56;0.48;0.44;1.4;0.31;1.28;1.64;0.78;0.76;2.36;3.12;2.28;1.48;1.96;0.16;0.24;0.0;1.72;2.16;8.6;Cluster 1
25.0;10.08;3.96;8.24;0.48;0.32;1.16;0.28;1.2;1.4;0.86;1.0;3.4;4.4;1.8;0.88;2.08;0.12;0.56;0.0;1.32;1.68;9.68;Cluster 1
26.0;14.81;6.04;11.92;0.51;0.04;0.19;0.2;2.62;3.38;0.77;2.27;6.08;8.35;1.62;1.38;3.0;0.5;0.38;0.0;2.88;3.35;16.92;Cluster 3
26.0;8.12;2.88;6.19;0.47;0.35;1.65;0.21;1.31;1.42;0.92;1.88;5.31;7.19;0.96;1.08;2.0;0.35;0.38;0.0;2.81;1.69;9.46;Cluster 3
30.0;7.53;1.53;4.27;0.36;0.87;3.53;0.25;1.87;2.53;0.74;0.43;1.97;2.4;4.93;1.87;2.7;0.07;0.23;0.0;3.37;4.07;8.73;Cluster 1
1.0;11.0;2.0;6.0;0.33;2.0;4.0;0.5;1.0;1.0;1.0;1.0;1.0;2.0;3.0;1.0;2.0;0.0;0.0;0.0;1.0;2.0;10.0;Cluster 1
1.0;10.0;5.0;10.0;0.5;0.0;0.0;0.0;0.0;2.0;0.0;9.0;8.0;17.0;0.0;2.0;8.0;2.0;0.0;0.0;2.0;2.0;16.0;Cluster 3
25.0;13.84;2.2;5.6;0.39;2.56;5.8;0.44;1.76;2.2;0.8;0.8;3.8;4.6;1.84;1.32;2.36;0.16;0.24;0.0;2.56;2.48;12.0;Cluster 1
24.0;9.12;2.67;6.04;0.44;0.67;2.62;0.25;1.79;2.42;0.74;1.25;3.0;4.25;4.33;1.54;3.54;0.33;0.21;0.0;3.25;2.67;9.29;Cluster 1
11.0;10.82;2.73;6.82;0.4;1.09;4.73;0.23;2.09;2.36;0.88;2.45;3.27;5.73;0.91;2.55;2.73;0.36;0.27;0.0;1.55;3.0;10.82;Cluster 1
25.0;10.8;3.92;8.2;0.48;0.16;0.16;1.0;2.48;3.4;0.73;2.04;4.84;6.88;1.16;0.36;3.2;0.76;0.16;0.0;2.88;3.6;12.12;Cluster 3
13.0;11.38;3.92;7.23;0.54;0.62;1.54;0.4;1.69;2.38;0.71;2.15;3.46;5.62;2.31;1.54;3.54;0.69;0.69;0.0;3.62;2.77;11.54;Cluster 3
30.0;5.8;1.2;2.37;0.51;0.83;2.7;0.31;0.9;0.97;0.93;0.4;3.93;4.33;3.57;1.53;1.2;0.0;0.03;0.0;1.87;2.13;11.2;Cluster 1
26.0;5.23;1.15;3.04;0.38;0.62;2.96;0.21;1.08;1.92;0.56;0.5;2.96;3.46;2.27;1.5;2.35;0.19;0.23;0.0;2.88;2.92;5.04;Cluster 1
6.0;11.0;0.33;2.0;0.17;2.5;6.5;0.38;2.83;3.33;0.85;0.0;4.0;4.0;5.17;1.17;2.5;0.33;0.0;0.0;2.5;3.33;13.83;Cluster 1
20.0;9.05;2.0;3.8;0.53;0.85;2.05;0.41;2.5;3.7;0.68;1.05;2.45;3.5;1.9;2.7;2.6;0.05;0.3;0.0;2.8;3.55;10.85;Cluster 1
17.0;14.76;1.82;4.76;0.38;2.82;6.65;0.42;2.65;3.06;0.87;0.35;1.59;1.94;2.41;1.53;2.29;0.0;0.35;0.0;3.24;3.35;10.94;Cluster 1
26.0;13.58;3.69;8.5;0.43;1.38;4.77;0.29;2.04;2.46;0.83;1.12;3.23;4.35;1.54;1.04;2.27;0.15;0.35;0.0;1.85;2.19;9.77;Cluster 1
26.0;10.15;3.23;7.31;0.44;0.5;1.38;0.36;2.19;2.62;0.84;1.85;4.73;6.58;1.85;1.19;2.73;0.42;0.27;0.0;2.69;3.04;12.15;Cluster 3
21.0;9.1;3.62;6.71;0.54;0.0;0.05;0.0;1.86;2.81;0.66;1.38;4.29;5.67;0.24;0.9;1.05;0.19;0.05;0.0;3.14;2.29;10.05;Cluster 3
26.0;10.35;4.15;7.92;0.52;0.31;1.58;0.2;1.12;1.46;0.76;1.19;3.88;5.08;1.35;0.69;1.65;1.42;0.23;0.0;1.65;1.88;11.85;Cluster 3
30.0;8.27;2.27;5.4;0.42;0.77;3.7;0.21;1.43;1.87;0.77;0.73;3.27;4.0;4.03;1.0;1.93;0.13;0.27;0.0;2.0;1.97;8.97;Cluster 1
29.0;12.72;2.93;6.41;0.46;1.93;5.83;0.33;1.07;1.59;0.67;0.97;2.59;3.55;1.79;0.9;1.41;0.03;0.34;0.0;2.07;1.69;9.31;Cluster 1
25.0;11.56;4.16;8.16;0.51;0.0;0.0;0.0;3.24;4.2;0.77;2.48;4.88;7.36;0.8;1.12;2.48;0.48;0.32;0.0;2.16;4.08;15.48;Cluster 3
26.0;12.54;2.81;3.85;0.73;1.73;3.96;0.44;1.73;2.12;0.82;0.35;1.69;2.04;0.96;1.15;1.5;0.04;0.08;0.0;1.88;1.46;11.08;Cluster 1
25.0;8.68;3.32;8.04;0.41;0.04;0.12;0.33;1.92;2.56;0.75;1.76;4.24;6.0;0.36;0.68;2.8;1.8;0.24;0.0;3.4;2.64;8.28;Cluster 3
20.0;12.75;5.0;10.8;0.46;0.05;0.4;0.12;2.6;3.75;0.69;1.95;5.9;7.85;0.95;0.85;2.85;0.2;0.55;0.0;2.2;3.75;13.45;Cluster 3
22.0;13.27;5.18;11.59;0.45;0.05;0.18;0.25;2.77;3.55;0.78;2.14;6.64;8.77;1.14;1.09;2.73;0.18;0.41;0.0;2.32;3.27;14.95;Cluster 3
25.0;12.48;4.24;9.16;0.46;0.88;2.08;0.42;1.36;1.76;0.77;2.0;4.72;6.72;1.56;1.32;1.64;0.48;0.24;0.0;2.68;2.92;14.4;Cluster 3
26.0;8.69;1.58;3.12;0.51;1.46;4.5;0.32;1.15;1.85;0.62;0.5;2.5;3.0;4.62;2.15;2.58;0.04;0.04;0.0;1.88;2.62;11.35;Cluster 1
12.0;7.0;2.08;4.83;0.43;0.25;1.25;0.2;2.08;2.75;0.76;0.58;3.75;4.33;3.5;1.25;2.08;0.17;0.25;0.0;2.67;2.75;9.83;Cluster 1
12.0;12.17;5.08;10.25;0.5;0.0;0.5;0.0;2.0;2.75;0.73;2.42;2.83;5.25;1.0;1.67;1.92;0.58;0.17;0.0;2.42;2.58;12.33;Cluster 3
12.0;13.67;5.0;10.42;0.48;0.5;2.42;0.21;2.17;2.92;0.74;3.33;6.42;9.75;0.92;2.25;3.17;1.33;0.25;0.0;3.08;3.75;17.08;Cluster 3
22.0;7.45;1.5;4.45;0.34;0.86;3.09;0.28;1.86;2.36;0.79;0.5;3.09;3.59;2.82;1.14;2.68;0.05;0.23;0.0;2.82;2.59;6.23;Cluster 1
26.0;10.38;3.96;8.15;0.49;0.0;0.0;0.0;2.46;3.19;0.77;1.85;3.15;5.0;1.27;0.81;1.88;0.31;0.54;0.0;2.62;3.88;11.69;Cluster 3
21.0;15.57;5.33;8.71;0.61;0.86;2.33;0.37;2.33;3.14;0.74;1.24;3.43;4.67;2.38;2.33;2.1;0.29;0.19;0.0;2.52;2.48;17.24;Cluster 3
26.0;13.19;3.85;7.81;0.49;0.62;1.77;0.35;3.65;4.77;0.77;1.46;1.85;3.31;0.62;1.15;1.5;0.04;0.12;0.0;2.65;1.15;8.96;Cluster 1
25.0;15.84;4.2;7.52;0.56;1.36;3.36;0.4;3.36;4.2;0.8;0.92;1.56;2.48;1.92;1.8;2.12;0.32;0.28;0.0;2.6;4.84;16.04;Cluster 1
26.0;13.46;5.46;11.23;0.49;0.0;0.12;0.0;2.54;3.5;0.73;2.5;5.81;8.31;1.77;1.23;2.42;0.88;0.15;0.0;3.31;4.0;16.92;Cluster 3
25.0;16.12;2.52;6.16;0.41;2.68;7.16;0.37;3.04;3.72;0.82;0.44;3.04;3.48;1.44;0.92;2.56;0.12;0.44;0.0;2.6;4.64;12.76;Cluster 1
26.0;12.19;4.38;9.62;0.46;0.31;1.58;0.2;2.5;3.27;0.76;1.77;2.85;4.62;1.46;2.31;1.96;0.08;0.31;0.0;3.35;4.46;12.23;Cluster 3
24.0;6.46;0.83;2.0;0.42;1.25;5.54;0.23;1.04;1.38;0.76;0.29;1.08;1.38;1.79;1.33;2.08;0.0;0.5;0.0;2.21;1.79;2.17;Cluster 1
27.0;7.11;1.89;4.26;0.44;0.81;3.44;0.24;0.89;1.26;0.71;0.22;2.44;2.67;1.78;1.26;1.56;0.04;0.15;0.0;0.48;1.7;7.15;Cluster 1
26.0;9.31;2.23;5.27;0.42;1.15;3.85;0.3;1.38;1.58;0.88;1.12;3.42;4.54;3.12;3.04;2.5;0.23;0.35;0.0;2.23;2.46;11.69;Cluster 1
9.0;15.22;3.67;9.56;0.38;1.33;4.56;0.29;3.89;4.56;0.85;1.67;3.89;5.56;1.11;1.33;3.22;0.11;0.56;0.0;2.33;5.11;12.56;Cluster 3
13.0;11.31;4.69;9.31;0.5;0.0;0.31;0.0;1.92;3.08;0.62;1.69;3.54;5.23;0.77;0.46;2.31;0.38;0.08;0.0;2.54;2.85;10.0;Cluster 3
26.0;12.42;4.77;9.58;0.5;0.38;1.54;0.25;1.73;2.0;0.87;1.73;4.31;6.04;1.38;0.96;1.12;0.62;0.54;0.0;2.04;2.19;13.69;Cluster 3
25.0;10.04;3.04;6.4;0.47;0.6;1.8;0.33;2.16;2.88;0.75;2.12;4.32;6.44;1.16;1.36;2.56;0.28;0.52;0.0;3.4;2.96;10.48;Cluster 3
18.0;11.89;4.72;7.5;0.63;0.0;0.11;0.0;2.44;3.83;0.64;2.78;3.61;6.39;0.78;0.61;3.06;0.61;0.06;0.0;3.22;3.72;13.39;Cluster 3
16.0;8.12;1.81;5.56;0.33;1.12;3.56;0.32;1.12;1.44;0.78;0.31;2.94;3.25;3.69;0.75;2.56;0.06;0.25;0.0;1.81;2.69;7.69;Cluster 1
12.0;11.67;4.5;10.67;0.42;0.33;1.42;0.24;1.67;1.83;0.91;1.25;3.58;4.83;2.92;1.67;3.33;0.17;0.33;0.0;1.42;2.92;11.67;Cluster 3
30.0;8.07;2.93;5.9;0.5;0.43;1.87;0.23;0.9;1.6;0.56;1.13;4.33;5.47;1.33;0.8;1.5;0.0;0.17;0.0;1.5;2.77;10.33;Cluster 1
26.0;12.92;4.15;8.46;0.49;0.73;2.04;0.36;2.42;2.81;0.86;1.04;3.42;4.46;2.88;1.38;2.15;0.08;0.38;0.0;1.73;2.62;14.08;Cluster 1
21.0;17.76;5.29;11.0;0.48;1.38;4.48;0.31;3.05;3.81;0.8;2.0;4.76;6.76;1.24;2.57;2.19;0.38;0.43;0.0;1.76;3.19;17.95;Cluster 3
26.0;9.73;3.54;9.31;0.38;0.5;2.23;0.22;1.15;1.42;0.81;0.88;2.12;3.0;2.27;1.0;3.38;0.19;0.38;0.0;1.85;1.85;4.65;Cluster 1
30.0;5.7;1.07;2.5;0.43;0.83;3.13;0.27;1.07;1.27;0.84;1.07;3.67;4.73;4.43;1.7;1.67;0.03;0.07;0.0;2.53;1.77;10.23;Cluster 1
20.0;8.45;2.9;7.7;0.38;0.1;0.35;0.29;2.35;3.3;0.71;1.9;4.7;6.6;0.4;0.8;1.95;1.2;0.55;0.0;3.65;2.55;7.85;Cluster 3
26.0;7.62;1.58;4.15;0.38;1.27;3.15;0.4;0.65;1.0;0.65;0.23;1.73;1.96;1.69;1.31;1.58;0.04;0.08;0.0;2.08;1.19;5.27;Cluster 1
22.0;11.27;4.0;8.86;0.45;0.86;2.73;0.32;0.68;1.32;0.52;0.91;4.14;5.05;3.68;1.64;1.27;0.23;0.09;0.0;0.82;2.05;14.36;Cluster 1
26.0;4.12;1.0;2.73;0.37;0.08;0.46;0.17;1.88;2.58;0.73;0.42;1.96;2.38;1.12;1.58;2.42;0.08;0.12;0.0;2.27;3.0;4.65;Cluster 0
26.0;12.15;2.92;5.35;0.55;1.54;2.96;0.52;1.69;1.85;0.92;0.27;2.23;2.5;0.96;1.08;1.58;0.19;0.12;0.0;2.08;1.62;10.73;Cluster 1
26.0;15.65;3.38;6.42;0.53;2.19;5.31;0.41;2.31;2.85;0.81;0.85;1.19;2.04;1.92;2.38;2.08;0.08;0.23;0.0;2.04;2.58;13.62;Cluster 1
19.0;13.05;5.21;9.84;0.53;0.0;0.05;0.0;2.63;4.0;0.66;2.32;5.84;8.16;0.95;1.05;3.11;0.32;0.37;0.0;3.68;5.21;15.53;Cluster 3
18.0;9.56;2.61;6.67;0.39;0.94;3.22;0.29;1.5;1.94;0.77;0.89;2.78;3.67;3.17;1.11;3.83;0.0;0.61;0.0;1.72;2.17;6.72;Cluster 1
24.0;10.83;4.58;8.38;0.55;0.04;0.25;0.17;1.54;2.42;0.64;1.38;3.21;4.58;0.83;0.88;1.62;0.33;0.25;0.0;1.21;3.08;12.58;Cluster 3
17.0;14.76;5.06;11.59;0.44;0.0;0.18;0.0;4.65;5.65;0.82;2.41;4.35;6.76;0.94;1.35;2.82;0.76;0.35;0.0;2.65;4.53;15.59;Cluster 3
8.0;11.75;3.5;8.88;0.39;0.5;4.25;0.12;3.25;3.5;0.93;0.88;3.75;4.62;2.38;1.38;3.25;0.0;0.25;0.0;2.0;2.88;8.12;Cluster 1
19.0;11.95;4.11;10.47;0.39;0.37;1.21;0.3;2.63;3.89;0.68;2.47;6.05;8.53;1.32;0.79;2.42;0.84;0.21;0.0;3.26;3.32;12.37;Cluster 3
26.0;12.65;2.5;5.15;0.49;1.58;4.77;0.33;2.92;3.81;0.77;1.04;3.65;4.69;1.92;1.46;2.27;0.19;0.35;0.0;2.54;3.04;12.08;Cluster 1
12.0;8.75;1.08;3.58;0.3;1.67;4.75;0.35;1.58;1.83;0.86;0.33;3.08;3.42;5.08;1.83;2.75;0.08;0.17;0.0;2.75;2.08;9.75;Cluster 1
15.0;9.47;3.73;7.6;0.49;0.0;0.13;0.0;2.0;3.67;0.55;3.27;6.13;9.4;1.07;1.53;2.0;0.67;0.4;0.0;3.67;4.13;14.53;Cluster 3
26.0;11.88;3.77;7.46;0.51;0.81;2.73;0.3;1.92;2.65;0.72;1.08;3.69;4.77;2.08;2.04;2.92;0.35;0.46;0.0;4.08;3.31;10.62;Cluster 3
20.0;10.3;4.35;8.75;0.5;0.0;0.0;0.0;1.6;2.4;0.67;1.05;4.6;5.65;0.6;0.55;1.65;0.65;0.2;0.0;1.75;2.75;11.7;Cluster 3
21.0;9.48;3.81;7.86;0.48;0.0;0.05;0.0;1.86;2.38;0.78;2.62;4.81;7.43;1.1;0.81;2.1;0.86;0.48;0.0;1.86;2.24;12.86;Cluster 3
29.0;14.41;3.38;8.41;0.4;1.59;4.52;0.35;2.9;3.62;0.8;0.55;2.28;2.83;1.14;0.52;1.34;0.0;0.45;0.0;1.41;4.0;11.45;Cluster 1
25.0;6.92;2.8;6.56;0.43;0.04;0.8;0.05;1.2;1.6;0.75;2.08;4.6;6.68;1.2;0.8;2.04;0.56;0.24;0.0;2.72;1.68;7.92;Cluster 3
19.0;18.05;7.11;12.68;0.56;0.16;0.32;0.5;3.37;4.32;0.78;1.89;5.37;7.26;2.0;1.74;1.84;0.74;0.53;0.0;3.0;3.95;21.68;Cluster 3
28.0;13.5;2.93;6.93;0.42;1.89;5.36;0.35;1.96;2.61;0.75;0.68;2.64;3.32;2.89;1.21;2.14;0.14;0.11;0.0;2.18;3.18;11.82;Cluster 1
26.0;11.27;4.85;10.81;0.45;0.04;0.19;0.2;1.46;2.58;0.57;2.58;7.77;10.35;1.81;1.46;2.27;0.69;0.23;0.0;2.77;2.92;16.0;Cluster 3
26.0;11.81;2.96;5.96;0.5;1.27;3.38;0.38;2.08;2.92;0.71;1.42;3.5;4.92;1.38;1.23;1.88;0.35;0.35;0.0;3.0;3.19;11.69;Cluster 1
26.0;14.65;5.15;8.62;0.6;0.31;1.0;0.31;3.42;4.27;0.8;1.58;4.58;6.15;1.5;1.12;2.73;0.35;0.31;0.0;2.38;3.58;16.92;Cluster 3
14.0;12.5;1.93;4.93;0.39;2.29;6.71;0.34;1.79;2.5;0.71;0.64;3.0;3.64;4.43;1.64;4.0;0.0;0.57;0.0;2.93;2.93;10.07;Cluster 1
26.0;14.73;5.96;12.23;0.49;0.12;0.27;0.43;2.46;2.92;0.84;2.35;4.73;7.08;1.54;1.58;2.15;0.77;0.62;0.0;2.73;2.92;16.23;Cluster 3
