Temporada,Jugador,Equipo,Tot,Part,Med
2021,"GARDNER, REBEKA JASMINE",SPAR GIRONA,2,3,"0,67"
2021,"LABUCKIENE, GIEDRE",SPAR GIRONA,1,4,"0,25"
2020,"N'DIAYE, DJENEBA",SPAR GRAN CANARIA,2,2,1
2020,"KNIGHT, LESLIE FAYE",MOVISTAR ESTUDIANTES,1,2,"0,5"
2020,"ELONU, ADAORA NNENNA",SPAR GIRONA,1,4,"0,25"
2013,"NICHOLLS GONZALEZ, LAURA",RIVAS ECOPOLIS,1,5,"0,2"
2004,"BENNINGFIELD, JENNIFER ANN",USP CEU - ADECCO ESTUDIANTES,3,26,"0,12"
2004,"STARBIRD, CATHARINE EVELYN",USP CEU - ADECCO ESTUDIANTES,1,26,"0,04"
