Minutos (jugador);Minutos (valor);Puntos (jugador);Puntos (valor);T2 Anotados (jugador);T2 Anotados (valor);T2 Lanzados (jugador);T2 Lanzados (valor);% T2 (jugador);% T2 (valor);T3 Anotados (jugador);T3 Anotados (valor);T3 Lanzados (jugador);T3 Lanzados (valor);% T3 (jugador);% T3 (valor);T1 Anotados (jugador);T1 Anotados (valor);T1 Lanzados (jugador);T1 Lanzados (valor);% T1 (jugador);% T1 (valor);Reb. Ofensivos (jugador);Reb. Ofensivos (valor);Reb. Defensivos (jugador);Reb. Defensivos (valor);Rebotes (jugador);Rebotes (valor);Asistencias (jugador);Asistencias (valor);Robos (jugador);Robos (valor);Perdidas (jugador);Perdidas (valor);Tapones (jugador);Tapones (valor);Tapones Recibidos (jugador);Tapones Recibidos (valor);Mates (jugador);Mates (valor);Faltas Cometidas (jugador);Faltas Cometidas (valor);Faltas Recibidas (jugador);Faltas Recibidas (valor);Valoracion (jugador);Valoracion (valor);% Asist (jugador);% Asist (valor);% Tiro Efectivo (jugador);% Tiro Efectivo (valor);% Tiro Verdadero (jugador);% True Shooting (valor);GScore (jugador);GScore (valor);TLR% (jugador);TLR% (valor);Posesiones Anotadas (jugador);Posesiones Anotadas (valor);Posesiones No Anotadas (jugador);Posesiones No Anotadas (valor);Floor Percentage (jugador);Floor Percentage (valor);Puntos por Tiro (jugador);Puntos por Tiro (valor);% Rebotes (jugador);% Rebotes (valor);% Rebotes Def (jugador);% Rebotes Def (valor);% Rebotes Of (jugador);% Rebotes Of (valor);% Robos (jugador);% Robos (valor);Toques (jugador);Toques (valor);Uso (jugador);Uso (valor);Versatilidad (jugador);Versatilidad (valor);Win Scores (jugador);Win Scores (valor);Eficiencia Ofensiva (jugador);Eficiencia Ofensiva (valor);Eficiencia Defensiva (jugador);Eficiencia Defensiva (valor);Diferencia Eficiencia (jugador);Diferencia Eficiencia (valor)
KOOP, LISA MARIE;36.85;ANULA ALAMEDA, NIEVES;26.48;VALDEMORO MADARIAGA, AMAYA;7.48;VALDEMORO MADARIAGA, AMAYA;14.4;MAISTERRA RODRIGUEZ, AMAYA;1.0;GESTEIRA FERNANDEZ, LIDIA;2.68;GESTEIRA FERNANDEZ, LIDIA;7.48;VIQUE OSET, MONICA;1.0;ANULA ALAMEDA, NIEVES;7.48;ANULA ALAMEDA, NIEVES;8.44;NAVARRETE TRUJILLO, MIREIA;1.0;CEBRIAN SCHEURER, ELISABET;3.2;ALONSO LOPEZ, MARIA PILAR;6.5;CEBRIAN SCHEURER, ELISABET;8.8;GALLEGO VICARIO, SANDRA;3.31;GESTEIRA FERNANDEZ, LIDIA;3.6;KOOP, LISA MARIE;4.15;CEBRIAN SCHEURER, ELISABET;1.48;BRUNGARDT, KIMBERLY MARIE;0.62;VERDE ESPINOSA, PILAR;0.04;VERGES LEANDRO, ROSALIA DE LA CINTA;4.04;ANULA ALAMEDA, NIEVES;5.88;ANULA ALAMEDA, NIEVES;29.44;ACHIAGA ESPINOSA, BEGOA;0.0;ACHIAGA ESPINOSA, BEGOA;0.0;ACHIAGA ESPINOSA, BEGOA;0.0;ACHIAGA ESPINOSA, BEGOA;0.0;ACHIAGA ESPINOSA, BEGOA;0.0;ACHIAGA ESPINOSA, BEGOA;0.0;ACHIAGA ESPINOSA, BEGOA;0.0;ACHIAGA ESPINOSA, BEGOA;0.0;ACHIAGA ESPINOSA, BEGOA;0.0;ACHIAGA ESPINOSA, BEGOA;0.0;ACHIAGA ESPINOSA, BEGOA;0.0;ACHIAGA ESPINOSA, BEGOA;0.0;ACHIAGA ESPINOSA, BEGOA;0.0;ACHIAGA ESPINOSA, BEGOA;0.0;ACHIAGA ESPINOSA, BEGOA;0.0;ACHIAGA ESPINOSA, BEGOA;0.0;ACHIAGA ESPINOSA, BEGOA;0.0;ACHIAGA ESPINOSA, BEGOA;0.0;ACHIAGA ESPINOSA, BEGOA;0.0;ACHIAGA ESPINOSA, BEGOA;0.0
ANULA ALAMEDA, NIEVES;36.24;VALDEMORO MADARIAGA, AMAYA;23.8;KOOP, LISA MARIE;6.08;VARDAKI, EFTHINIA;13.81;LIMA GARCIA, CINDY ORQUIDEA;0.79;PELAEZ SAN GIL, LOURDES;2.56;PELAEZ SAN GIL, LOURDES;5.8;NAVARRETE TRUJILLO, MIREIA;1.0;VARDAKI, EFTHINIA;4.92;VARDAKI, EFTHINIA;7.04;MONTESDEOCA LOPEZ, EVA;1.0;PONS MOLINA, INGRID;2.96;CEBRIAN SCHEURER, ELISABET;5.6;PONS MOLINA, INGRID;8.54;GARCIA PIERO, MARIA BEGOA;3.15;MORALES MARTIN, SILVIA;3.23;VALDEMORO MADARIAGA, AMAYA;3.56;HICKS, JESSIE IVETTE;1.28;VARDAKI, EFTHINIA;0.5;GRANDE FLORES, LAURA;0.04;PEREZ PEREZ, VIRGINIA;3.74;VARDAKI, EFTHINIA;5.77;VALDEMORO MADARIAGA, AMAYA;23.12;MORAGA VICENTE, OLGA;0.0;MORAGA VICENTE, OLGA;0.0;MORAGA VICENTE, OLGA;0.0;MORAGA VICENTE, OLGA;0.0;MORAGA VICENTE, OLGA;0.0;MORAGA VICENTE, OLGA;0.0;MORAGA VICENTE, OLGA;0.0;MORAGA VICENTE, OLGA;0.0;MORAGA VICENTE, OLGA;0.0;MORAGA VICENTE, OLGA;0.0;MORAGA VICENTE, OLGA;0.0;MORAGA VICENTE, OLGA;0.0;MORAGA VICENTE, OLGA;0.0;MORAGA VICENTE, OLGA;0.0;MORAGA VICENTE, OLGA;0.0;MORAGA VICENTE, OLGA;0.0;MORAGA VICENTE, OLGA;0.0;MORAGA VICENTE, OLGA;0.0;MORAGA VICENTE, OLGA;0.0;MORAGA VICENTE, OLGA;0.0
GESTEIRA FERNANDEZ, LIDIA;36.2;VARDAKI, EFTHINIA;17.42;ANULA ALAMEDA, NIEVES;5.96;KOOP, LISA MARIE;11.35;DIAZ ESPEJO, CARMEN;0.76;ANULA ALAMEDA, NIEVES;2.36;GALLEGO VICARIO, SANDRA;5.77;ALONSO LOPEZ, MARIA PILAR;0.67;JONKUTE, INGRIDA;4.77;VALDEMORO MADARIAGA, AMAYA;6.04;GARCIA RAMIREZ, REBECA;1.0;BEZOS MARTNEZ, EMMA;2.85;PONS MOLINA, INGRID;5.58;ALONSO LOPEZ, MARIA PILAR;7.95;HERNANDEZ ARENCIBIA, PATRICIA DEL PINO;2.84;VALDEMORO MADARIAGA, AMAYA;3.2;GALLEGO VICARIO, SANDRA;3.0;VARDAKI, EFTHINIA;0.96;GALLEGO VICARIO, SANDRA;0.46;ACHIAGA ESPINOSA, BEGOA;0.0;CANTERO OSTOS, CRISTINA;3.73;JONKUTE, INGRIDA;4.92;JONKUTE, INGRIDA;20.46;HERRADAS MARTIN, IRENE;0.0;HERRADAS MARTIN, IRENE;0.0;HERRADAS MARTIN, IRENE;0.0;HERRADAS MARTIN, IRENE;0.0;HERRADAS MARTIN, IRENE;0.0;HERRADAS MARTIN, IRENE;0.0;HERRADAS MARTIN, IRENE;0.0;HERRADAS MARTIN, IRENE;0.0;HERRADAS MARTIN, IRENE;0.0;HERRADAS MARTIN, IRENE;0.0;HERRADAS MARTIN, IRENE;0.0;HERRADAS MARTIN, IRENE;0.0;HERRADAS MARTIN, IRENE;0.0;HERRADAS MARTIN, IRENE;0.0;HERRADAS MARTIN, IRENE;0.0;HERRADAS MARTIN, IRENE;0.0;HERRADAS MARTIN, IRENE;0.0;HERRADAS MARTIN, IRENE;0.0;HERRADAS MARTIN, IRENE;0.0;HERRADAS MARTIN, IRENE;0.0
ARMENTA MONTEAGUDO, MARUXA;36.12;KOOP, LISA MARIE;16.08;VARDAKI, EFTHINIA;5.85;BRUNGARDT, KIMBERLY MARIE;10.88;LLAMAS PAJUELO, MARIA NIEVES;0.65;GALLEGO VICARIO, SANDRA;2.31;ANULA ALAMEDA, NIEVES;5.4;GAMON HERNANDEZ, ASUNCION;0.6;SANCHEZ FERNANDEZ, ISABEL;4.65;JONKUTE, INGRIDA;5.81;VALERO CEBRIAN, PILAR;0.92;---, CHARISSE MARIE;2.77;JONKUTE, INGRIDA;5.46;JONKUTE, INGRIDA;7.65;VALDEMORO MADARIAGA, AMAYA;2.72;GARCIA PIERO, MARIA BEGOA;2.85;GARCIA PIERO, MARIA BEGOA;2.96;ALONSO LOPEZ, MARIA PILAR;0.73;LOPEZ VARGAS, MARIA DOLORES;0.46;MORAGA VICENTE, OLGA;0.0;PALAU ALTES, LAIA;3.58;VALDEMORO MADARIAGA, AMAYA;4.88;---, CHARISSE MARIE;18.23;GUIRADO BLAZQUEZ, MARTA;0.0;GUIRADO BLAZQUEZ, MARTA;0.0;GUIRADO BLAZQUEZ, MARTA;0.0;GUIRADO BLAZQUEZ, MARTA;0.0;GUIRADO BLAZQUEZ, MARTA;0.0;GUIRADO BLAZQUEZ, MARTA;0.0;GUIRADO BLAZQUEZ, MARTA;0.0;GUIRADO BLAZQUEZ, MARTA;0.0;GUIRADO BLAZQUEZ, MARTA;0.0;GUIRADO BLAZQUEZ, MARTA;0.0;GUIRADO BLAZQUEZ, MARTA;0.0;GUIRADO BLAZQUEZ, MARTA;0.0;GUIRADO BLAZQUEZ, MARTA;0.0;GUIRADO BLAZQUEZ, MARTA;0.0;GUIRADO BLAZQUEZ, MARTA;0.0;GUIRADO BLAZQUEZ, MARTA;0.0;GUIRADO BLAZQUEZ, MARTA;0.0;GUIRADO BLAZQUEZ, MARTA;0.0;GUIRADO BLAZQUEZ, MARTA;0.0;GUIRADO BLAZQUEZ, MARTA;0.0
JONKUTE, INGRIDA;35.81;JONKUTE, INGRIDA;15.69;BEZOS MARTNEZ, EMMA;5.46;ANULA ALAMEDA, NIEVES;10.68;MESA SANCHEZ, SILVIA;0.64;GONZALEZ DIAZ, CARMEN;1.92;ESPERANZA PERCHES, MONTSERRAT;4.88;VALERO CEBRIAN, PILAR;0.52;VALDEMORO MADARIAGA, AMAYA;4.64;SANCHEZ FERNANDEZ, ISABEL;5.77;FERRER ADELANTADO, MARIA TERESA;0.91;VARDAKI, EFTHINIA;2.69;ANULA ALAMEDA, NIEVES;5.2;VARDAKI, EFTHINIA;7.15;CANTERO OSTOS, CRISTINA;2.58;ANULA ALAMEDA, NIEVES;2.8;CERQUEIRA DE LA TORRE, CONCEPCION;2.92;LOPEZ VARGAS, MARIA DOLORES;0.71;ORTIZ BLANCO, MARIA JOSE;0.45;PEREZ ARROYO, INES;0.0;VARDAKI, EFTHINIA;3.42;SANCHEZ FERNANDEZ, ISABEL;4.04;CEBRIAN SCHEURER, ELISABET;17.44;PEREZ ARROYO, INES;0.0;PEREZ ARROYO, INES;0.0;PEREZ ARROYO, INES;0.0;PEREZ ARROYO, INES;0.0;PEREZ ARROYO, INES;0.0;PEREZ ARROYO, INES;0.0;PEREZ ARROYO, INES;0.0;PEREZ ARROYO, INES;0.0;PEREZ ARROYO, INES;0.0;PEREZ ARROYO, INES;0.0;PEREZ ARROYO, INES;0.0;PEREZ ARROYO, INES;0.0;PEREZ ARROYO, INES;0.0;PEREZ ARROYO, INES;0.0;PEREZ ARROYO, INES;0.0;PEREZ ARROYO, INES;0.0;PEREZ ARROYO, INES;0.0;PEREZ ARROYO, INES;0.0;PEREZ ARROYO, INES;0.0;PEREZ ARROYO, INES;0.0
---, CHARISSE MARIE;35.15;---, CHARISSE MARIE;15.04;JONKUTE, INGRIDA;5.46;HICKS, JESSIE IVETTE;10.56;RAMIREZ RODRIGUEZ, NEREIDA;0.64;FERRER PEREZ, ESTELA ROSA;1.69;GONZALEZ DIAZ, CARMEN;4.84;BRUNGARDT, KIMBERLY MARIE;0.5;LOPEZ VERDU, ALICIA;4.4;LOPEZ VERDU, ALICIA;5.56;PASCHAL, TOWANDA DENICE;0.89;BRONNER, TARSHIA TASHAY;2.47;MARTIN CLEMENTE, CAROLINA;4.76;---, CHARISSE MARIE;6.88;PALAU ALTES, LAIA;2.42;---, CHARISSE MARIE;2.42;JONKUTE, INGRIDA;2.88;PONS MOLINA, INGRID;0.58;ALONSO LOPEZ, MARIA PILAR;0.45;ANTON GONZALEZ, VERONICA;0.0;OTEO ASLA, IZASKUN;3.42;ALOY ATIENZA, MERCEDES;3.74;VARDAKI, EFTHINIA;17.42;ANTON GONZALEZ, VERONICA;0.0;ANTON GONZALEZ, VERONICA;0.0;ANTON GONZALEZ, VERONICA;0.0;ANTON GONZALEZ, VERONICA;0.0;ANTON GONZALEZ, VERONICA;0.0;ANTON GONZALEZ, VERONICA;0.0;ANTON GONZALEZ, VERONICA;0.0;ANTON GONZALEZ, VERONICA;0.0;ANTON GONZALEZ, VERONICA;0.0;ANTON GONZALEZ, VERONICA;0.0;ANTON GONZALEZ, VERONICA;0.0;ANTON GONZALEZ, VERONICA;0.0;ANTON GONZALEZ, VERONICA;0.0;ANTON GONZALEZ, VERONICA;0.0;ANTON GONZALEZ, VERONICA;0.0;ANTON GONZALEZ, VERONICA;0.0;ANTON GONZALEZ, VERONICA;0.0;ANTON GONZALEZ, VERONICA;0.0;ANTON GONZALEZ, VERONICA;0.0;ANTON GONZALEZ, VERONICA;0.0
GARCIA PIERO, MARIA BEGOA;34.81;GALLEGO VICARIO, SANDRA;14.77;HICKS, JESSIE IVETTE;5.4;CEBRIAN SCHEURER, ELISABET;10.52;SANCHEZ ORTEGA, PALOMA;0.63;GARCIA PIERO, MARIA BEGOA;1.58;FERRER PEREZ, ESTELA ROSA;4.65;AUON MARTINEZ, MARIA CARMEN;0.47;ALOY ATIENZA, MERCEDES;4.0;ALOY ATIENZA, MERCEDES;5.17;ANULA ALAMEDA, NIEVES;0.89;BRUNGARDT, KIMBERLY MARIE;2.31;OTEO ASLA, IZASKUN;4.58;BEZOS MARTNEZ, EMMA;6.69;MIRCHANDANI VILLAR, LIDIA;2.2;VARDAKI, EFTHINIA;2.23;CANTERO OSTOS, CRISTINA;2.77;JONKUTE, INGRIDA;0.58;ANULA ALAMEDA, NIEVES;0.36;ALVARADO FALCON, DAIZA MARTA;0.0;GESTEIRA FERNANDEZ, LIDIA;3.28;GARCIA PIERO, MARIA BEGOA;3.62;SANCHEZ FERNANDEZ, ISABEL;17.0;ALVARADO FALCON, DAIZA MARTA;0.0;ALVARADO FALCON, DAIZA MARTA;0.0;ALVARADO FALCON, DAIZA MARTA;0.0;ALVARADO FALCON, DAIZA MARTA;0.0;ALVARADO FALCON, DAIZA MARTA;0.0;ALVARADO FALCON, DAIZA MARTA;0.0;ALVARADO FALCON, DAIZA MARTA;0.0;ALVARADO FALCON, DAIZA MARTA;0.0;ALVARADO FALCON, DAIZA MARTA;0.0;ALVARADO FALCON, DAIZA MARTA;0.0;ALVARADO FALCON, DAIZA MARTA;0.0;ALVARADO FALCON, DAIZA MARTA;0.0;ALVARADO FALCON, DAIZA MARTA;0.0;ALVARADO FALCON, DAIZA MARTA;0.0;ALVARADO FALCON, DAIZA MARTA;0.0;ALVARADO FALCON, DAIZA MARTA;0.0;ALVARADO FALCON, DAIZA MARTA;0.0;ALVARADO FALCON, DAIZA MARTA;0.0;ALVARADO FALCON, DAIZA MARTA;0.0;ALVARADO FALCON, DAIZA MARTA;0.0
VARDAKI, EFTHINIA;34.54;SANCHEZ FERNANDEZ, ISABEL;14.65;CEBRIAN SCHEURER, ELISABET;5.28;LOPEZ VARGAS, MARIA DOLORES;10.04;DOMINGUEZ BERMEJO, DAVINIA;0.63;VALERO CEBRIAN, PILAR;1.54;MANZANO SNCHEZ, ALMUDENA;4.38;PEREZ CAPARROS, ROSA;0.47;MORALES MARTIN, SILVIA;3.42;BEZOS MARTNEZ, EMMA;5.08;VALVERDE HERNANDEZ, MARTA;0.89;HICKS, JESSIE IVETTE;2.28;VARDAKI, EFTHINIA;4.46;OTEO ASLA, IZASKUN;6.46;ANTOJA ROVIRA, LAURA;2.19;SANCHEZ FERNANDEZ, ISABEL;2.15;MORALES MARTIN, SILVIA;2.62;MARTINEZ ESPEJO, CARMEN;0.54;PEA LESMES, SANDRA;0.32;DE LA OSSA GARCIA DEL RINCON, MERCEDES;0.0;MARTIN CLEMENTE, CAROLINA;3.28;BEZOS MARTNEZ, EMMA;3.54;ALONSO LOPEZ, MARIA PILAR;15.32;DE LA OSSA GARCIA DEL RINCON, MERCEDES;0.0;DE LA OSSA GARCIA DEL RINCON, MERCEDES;0.0;DE LA OSSA GARCIA DEL RINCON, MERCEDES;0.0;DE LA OSSA GARCIA DEL RINCON, MERCEDES;0.0;DE LA OSSA GARCIA DEL RINCON, MERCEDES;0.0;DE LA OSSA GARCIA DEL RINCON, MERCEDES;0.0;DE LA OSSA GARCIA DEL RINCON, MERCEDES;0.0;DE LA OSSA GARCIA DEL RINCON, MERCEDES;0.0;DE LA OSSA GARCIA DEL RINCON, MERCEDES;0.0;DE LA OSSA GARCIA DEL RINCON, MERCEDES;0.0;DE LA OSSA GARCIA DEL RINCON, MERCEDES;0.0;DE LA OSSA GARCIA DEL RINCON, MERCEDES;0.0;DE LA OSSA GARCIA DEL RINCON, MERCEDES;0.0;DE LA OSSA GARCIA DEL RINCON, MERCEDES;0.0;DE LA OSSA GARCIA DEL RINCON, MERCEDES;0.0;DE LA OSSA GARCIA DEL RINCON, MERCEDES;0.0;DE LA OSSA GARCIA DEL RINCON, MERCEDES;0.0;DE LA OSSA GARCIA DEL RINCON, MERCEDES;0.0;DE LA OSSA GARCIA DEL RINCON, MERCEDES;0.0;DE LA OSSA GARCIA DEL RINCON, MERCEDES;0.0
BRUNGARDT, KIMBERLY MARIE;34.5;LOPEZ VERDU, ALICIA;14.56;ALONSO LOPEZ, MARIA PILAR;5.14;ALONSO LOPEZ, MARIA PILAR;10.0;MORIANA NADAL, PALOMA;0.59;---, CHARISSE MARIE;1.54;VALDEMORO MADARIAGA, AMAYA;4.2;CERQUEIRA DE LA TORRE, CONCEPCION;0.46;SNCHEZ LUJN, ROSAURA DEL CARMEN;3.2;GARCIA PIERO, MARIA BEGOA;4.69;SNCHEZ LUJN, ROSAURA DEL CARMEN;0.88;JONKUTE, INGRIDA;2.19;VALDEMORO MADARIAGA, AMAYA;4.36;MEYENDO YABAKIA, FRANCOISE;6.38;ANULA ALAMEDA, NIEVES;2.08;CERQUEIRA DE LA TORRE, CONCEPCION;2.12;MIRCHANDANI VILLAR, LIDIA;2.6;ZRNIC, JELENA;0.54;VERDE ESPINOSA, PILAR;0.32;GOODALE, CAROL ANN HAMILTON;0.0;LOPEZ VARGAS, MARIA DOLORES;3.17;PONS MOLINA, INGRID;3.54;PONS MOLINA, INGRID;15.27;GOODALE, CAROL ANN HAMILTON;0.0;GOODALE, CAROL ANN HAMILTON;0.0;GOODALE, CAROL ANN HAMILTON;0.0;GOODALE, CAROL ANN HAMILTON;0.0;GOODALE, CAROL ANN HAMILTON;0.0;GOODALE, CAROL ANN HAMILTON;0.0;GOODALE, CAROL ANN HAMILTON;0.0;GOODALE, CAROL ANN HAMILTON;0.0;GOODALE, CAROL ANN HAMILTON;0.0;GOODALE, CAROL ANN HAMILTON;0.0;GOODALE, CAROL ANN HAMILTON;0.0;GOODALE, CAROL ANN HAMILTON;0.0;GOODALE, CAROL ANN HAMILTON;0.0;GOODALE, CAROL ANN HAMILTON;0.0;GOODALE, CAROL ANN HAMILTON;0.0;GOODALE, CAROL ANN HAMILTON;0.0;GOODALE, CAROL ANN HAMILTON;0.0;GOODALE, CAROL ANN HAMILTON;0.0;GOODALE, CAROL ANN HAMILTON;0.0;GOODALE, CAROL ANN HAMILTON;0.0
ABEIJON CES, MONTSERRAT;34.38;BEZOS MARTNEZ, EMMA;14.08;BRUNGARDT, KIMBERLY MARIE;5.08;BEZOS MARTNEZ, EMMA;9.77;XANTAL SERRET, M DEL MAR;0.59;SANCHEZ ORTEGA, PALOMA;1.5;---, CHARISSE MARIE;4.08;PELAEZ SAN GIL, LOURDES;0.44;BEZOS MARTNEZ, EMMA;3.15;CEBRIAN SCHEURER, ELISABET;4.56;BRUNGARDT, KIMBERLY MARIE;0.85;RODRIGUEZ PRIETO, RAQUEL;2.08;MEYENDO YABAKIA, FRANCOISE;4.35;RODRIGUEZ PRIETO, RAQUEL;6.28;DELGADO DIAZ-GUEMES, RAQUEL;1.96;PALAU ALTES, LAIA;2.08;LOPEZ VERDU, ALICIA;2.56;PANKRATOVA, SVETLANA;0.47;CHECA JIMENO, MARIA TERESA;0.32;GAITHER, KATRYNA RENEE;0.0;GARCIA PORTA, YOLANDA;3.14;CERQUEIRA DE LA TORRE, CONCEPCION;3.54;BEZOS MARTNEZ, EMMA;14.77;GAITHER, KATRYNA RENEE;0.0;GAITHER, KATRYNA RENEE;0.0;GAITHER, KATRYNA RENEE;0.0;GAITHER, KATRYNA RENEE;0.0;GAITHER, KATRYNA RENEE;0.0;GAITHER, KATRYNA RENEE;0.0;GAITHER, KATRYNA RENEE;0.0;GAITHER, KATRYNA RENEE;0.0;GAITHER, KATRYNA RENEE;0.0;GAITHER, KATRYNA RENEE;0.0;GAITHER, KATRYNA RENEE;0.0;GAITHER, KATRYNA RENEE;0.0;GAITHER, KATRYNA RENEE;0.0;GAITHER, KATRYNA RENEE;0.0;GAITHER, KATRYNA RENEE;0.0;GAITHER, KATRYNA RENEE;0.0;GAITHER, KATRYNA RENEE;0.0;GAITHER, KATRYNA RENEE;0.0;GAITHER, KATRYNA RENEE;0.0;GAITHER, KATRYNA RENEE;0.0
