Minutos (jugador);Minutos (valor);Puntos (jugador);Puntos (valor);T2 Anotados (jugador);T2 Anotados (valor);T2 Lanzados (jugador);T2 Lanzados (valor);% T2 (jugador);% T2 (valor);T3 Anotados (jugador);T3 Anotados (valor);T3 Lanzados (jugador);T3 Lanzados (valor);% T3 (jugador);% T3 (valor);T1 Anotados (jugador);T1 Anotados (valor);T1 Lanzados (jugador);T1 Lanzados (valor);% T1 (jugador);% T1 (valor);Reb. Ofensivos (jugador);Reb. Ofensivos (valor);Reb. Defensivos (jugador);Reb. Defensivos (valor);Rebotes (jugador);Rebotes (valor);Asistencias (jugador);Asistencias (valor);Robos (jugador);Robos (valor);Perdidas (jugador);Perdidas (valor);Tapones (jugador);Tapones (valor);Tapones Recibidos (jugador);Tapones Recibidos (valor);Mates (jugador);Mates (valor);Faltas Cometidas (jugador);Faltas Cometidas (valor);Faltas Recibidas (jugador);Faltas Recibidas (valor);Valoracion (jugador);Valoracion (valor);% Asist (jugador);% Asist (valor);% Tiro Efectivo (jugador);% Tiro Efectivo (valor);% Tiro Verdadero (jugador);% True Shooting (valor);GScore (jugador);GScore (valor);TLR% (jugador);TLR% (valor);Posesiones Anotadas (jugador);Posesiones Anotadas (valor);Posesiones No Anotadas (jugador);Posesiones No Anotadas (valor);Floor Percentage (jugador);Floor Percentage (valor);Puntos por Tiro (jugador);Puntos por Tiro (valor);% Rebotes (jugador);% Rebotes (valor);% Rebotes Def (jugador);% Rebotes Def (valor);% Rebotes Of (jugador);% Rebotes Of (valor);% Robos (jugador);% Robos (valor);Toques (jugador);Toques (valor);Uso (jugador);Uso (valor);Versatilidad (jugador);Versatilidad (valor);Win Scores (jugador);Win Scores (valor);Eficiencia Ofensiva (jugador);Eficiencia Ofensiva (valor);Eficiencia Defensiva (jugador);Eficiencia Defensiva (valor);Diferencia Eficiencia (jugador);Diferencia Eficiencia (valor)
BLE, DOUKOLE VANESSA;38.59;MOSBY, TYRONE BERNICE;19.27;MOSBY, TYRONE BERNICE;7.6;MOSBY, TYRONE BERNICE;14.53;HENRY, ANEIKA ANNA-KAY;0.64;JORDANA BOFILL, NOEMI;1.85;DIAZ CASTELLANO, YURENA;5.69;FREIXANET VIEJO, JAEL;0.53;ALLISON, RACHEL LINDSAY;4.4;ALLISON, RACHEL LINDSAY;5.75;CABRERA ARGUELLO, PATRICIA;1.0;BLE, DOUKOLE VANESSA;3.9;BLE, DOUKOLE VANESSA;7.4;BLE, DOUKOLE VANESSA;11.3;JORDANA BOFILL, NOEMI;4.0;CHUMILLAS PERIS, BERTA;2.35;BLE, DOUKOLE VANESSA;3.95;MONROE, JACINTA LISETTE;1.1;GIL COLLADO, LAURA;0.75;CISSE, MARIEME;0.0;WALICH, JOANNA JADWIGA;3.78;BLE, DOUKOLE VANESSA;5.5;BLE, DOUKOLE VANESSA;21.4;CISSE, MARIEME;0.0;CISSE, MARIEME;0.0;CISSE, MARIEME;0.0;CISSE, MARIEME;0.0;CISSE, MARIEME;0.0;CISSE, MARIEME;0.0;CISSE, MARIEME;0.0;CISSE, MARIEME;0.0;CISSE, MARIEME;0.0;CISSE, MARIEME;0.0;CISSE, MARIEME;0.0;CISSE, MARIEME;0.0;CISSE, MARIEME;0.0;CISSE, MARIEME;0.0;CISSE, MARIEME;0.0;CISSE, MARIEME;0.0;CISSE, MARIEME;0.0;CISSE, MARIEME;0.0;CISSE, MARIEME;0.0;CISSE, MARIEME;0.0
ROMERO GONZALEZ, LETICIA;36.96;ALLISON, RACHEL LINDSAY;19.15;DENSON, AMY RAE;6.21;DENSON, AMY RAE;13.11;HERRERA BOXO, LAURA;0.62;DIAZ CASTELLANO, YURENA;1.81;LOPEZ MARQUES, CRISTINA;5.67;CHATZINIKOLAU, OLGA;0.5;TRAORE, ASTOU;4.35;BLE, DOUKOLE VANESSA;5.7;MARCOS BENITO, BLANCA;1.0;ALLISON, RACHEL LINDSAY;3.0;MONROE, JACINTA LISETTE;6.75;MONROE, JACINTA LISETTE;8.7;ROMERO GONZALEZ, LETICIA;3.5;KARCIC, LISA ANN;2.35;PARHAM, AJA DANIELLE;3.35;KARCIC, LISA ANN;1.0;PUTNINA, AIJA;0.71;MONTAANA GIMENO, ANNA;0.0;BRRING, TANYA;3.67;ROMERO GONZALEZ, LETICIA;5.05;MOSBY, TYRONE BERNICE;20.13;MONTAANA GIMENO, ANNA;0.0;MONTAANA GIMENO, ANNA;0.0;MONTAANA GIMENO, ANNA;0.0;MONTAANA GIMENO, ANNA;0.0;MONTAANA GIMENO, ANNA;0.0;MONTAANA GIMENO, ANNA;0.0;MONTAANA GIMENO, ANNA;0.0;MONTAANA GIMENO, ANNA;0.0;MONTAANA GIMENO, ANNA;0.0;MONTAANA GIMENO, ANNA;0.0;MONTAANA GIMENO, ANNA;0.0;MONTAANA GIMENO, ANNA;0.0;MONTAANA GIMENO, ANNA;0.0;MONTAANA GIMENO, ANNA;0.0;MONTAANA GIMENO, ANNA;0.0;MONTAANA GIMENO, ANNA;0.0;MONTAANA GIMENO, ANNA;0.0;MONTAANA GIMENO, ANNA;0.0;MONTAANA GIMENO, ANNA;0.0;MONTAANA GIMENO, ANNA;0.0
DIAZ CASTELLANO, YURENA;36.82;TRAORE, ASTOU;15.85;MONROE, JACINTA LISETTE;5.55;ALLISON, RACHEL LINDSAY;12.0;SARR, OUMOUL KHAIRY;0.6;POUNDS, DIONNE MAI CHRISTINA;1.68;JORDANA BOFILL, NOEMI;5.3;HONTI, KATALIN;0.44;TUUKKANEN, TARU TELLERVO;3.9;TRAORE, ASTOU;5.05;MONGOMO CARVALLO, MARIA CONCEPCIN;1.0;PUTNINA, AIJA;2.88;COVINGTON, ARHONDA;5.94;PUTNINA, AIJA;8.53;ASURMENDI VILLAVERDE, MARIA DEL CARMEN;3.45;GOMEZ IGLESIAS, REGINA;2.21;ORTIZ VIVES, MARIONA;3.2;PUTNINA, AIJA;0.82;TRAORE, ASTOU;0.6;ZLATANOVA, JAKLIN;0.0;CHUMILLAS PERIS, BERTA;3.55;ALLISON, RACHEL LINDSAY;4.75;ALLISON, RACHEL LINDSAY;18.7;ZLATANOVA, JAKLIN;0.0;ZLATANOVA, JAKLIN;0.0;ZLATANOVA, JAKLIN;0.0;ZLATANOVA, JAKLIN;0.0;ZLATANOVA, JAKLIN;0.0;ZLATANOVA, JAKLIN;0.0;ZLATANOVA, JAKLIN;0.0;ZLATANOVA, JAKLIN;0.0;ZLATANOVA, JAKLIN;0.0;ZLATANOVA, JAKLIN;0.0;ZLATANOVA, JAKLIN;0.0;ZLATANOVA, JAKLIN;0.0;ZLATANOVA, JAKLIN;0.0;ZLATANOVA, JAKLIN;0.0;ZLATANOVA, JAKLIN;0.0;ZLATANOVA, JAKLIN;0.0;ZLATANOVA, JAKLIN;0.0;ZLATANOVA, JAKLIN;0.0;ZLATANOVA, JAKLIN;0.0;ZLATANOVA, JAKLIN;0.0
ALONSO SANCHEZ, VERONICA;35.43;PUTNINA, AIJA;15.29;WALICH, JOANNA JADWIGA;5.5;PUTNINA, AIJA;10.65;BERMEJO MORENO, CLARA SUSANA;0.59;LOPEZ MARQUES, CRISTINA;1.67;ARGELLO CUENCA, PATRICIA;5.05;SULCIUTE, EGLE;0.42;ROMERO GONZALEZ, LETICIA;3.8;TUUKKANEN, TARU TELLERVO;5.0;SOLER SUAREZ, PATRICIA;1.0;GIL COLLADO, LAURA;2.8;HENRY, ANEIKA ANNA-KAY;5.79;NDOUR, ASTOU BARRO;8.15;MIRCHANDANI VILLAR, LIDIA;3.41;ALLISON, RACHEL LINDSAY;2.2;XARGAY CASADEMONT, MARTA;3.15;MORRISON JARA, ZIOMARA ESKET;0.81;ALLISON, RACHEL LINDSAY;0.6;VAJDA, ANNA;0.0;NDOUR, ASTOU BARRO;3.5;MOSBY, TYRONE BERNICE;4.47;MONROE, JACINTA LISETTE;17.3;VAJDA, ANNA;0.0;VAJDA, ANNA;0.0;VAJDA, ANNA;0.0;VAJDA, ANNA;0.0;VAJDA, ANNA;0.0;VAJDA, ANNA;0.0;VAJDA, ANNA;0.0;VAJDA, ANNA;0.0;VAJDA, ANNA;0.0;VAJDA, ANNA;0.0;VAJDA, ANNA;0.0;VAJDA, ANNA;0.0;VAJDA, ANNA;0.0;VAJDA, ANNA;0.0;VAJDA, ANNA;0.0;VAJDA, ANNA;0.0;VAJDA, ANNA;0.0;VAJDA, ANNA;0.0;VAJDA, ANNA;0.0;VAJDA, ANNA;0.0
PUTNINA, AIJA;34.98;WALICH, JOANNA JADWIGA;14.89;BROWN, LA NEDRA JE'TAIME;5.4;TUUKKANEN, TARU TELLERVO;10.45;TRAORE, ASTOU;0.57;ARGELLO CUENCA, PATRICIA;1.65;ASURMENDI VILLAVERDE, MARIA DEL CARMEN;4.25;LIZARAZU HERRERA, MARINA;0.42;PUTNINA, AIJA;3.65;ROMERO GONZALEZ, LETICIA;4.7;KURASOVA, OLEKSANDRA;0.94;DENSON, AMY RAE;2.68;PUTNINA, AIJA;5.65;COVINGTON, ARHONDA;7.78;FERNANDEZ FARRES, MARTA;3.11;CASAS CARRERAS, QUERALT;2.1;MOSBY, TYRONE BERNICE;3.13;NDOUR, ASTOU BARRO;0.75;COVINGTON, ARHONDA;0.56;JOHNSON, PARIS NICOLE FIATAMALII;0.0;GERMAN VELASCO, ICIAR;3.2;TUUKKANEN, TARU TELLERVO;4.1;ROMERO GONZALEZ, LETICIA;17.15;JOHNSON, PARIS NICOLE FIATAMALII;0.0;JOHNSON, PARIS NICOLE FIATAMALII;0.0;JOHNSON, PARIS NICOLE FIATAMALII;0.0;JOHNSON, PARIS NICOLE FIATAMALII;0.0;JOHNSON, PARIS NICOLE FIATAMALII;0.0;JOHNSON, PARIS NICOLE FIATAMALII;0.0;JOHNSON, PARIS NICOLE FIATAMALII;0.0;JOHNSON, PARIS NICOLE FIATAMALII;0.0;JOHNSON, PARIS NICOLE FIATAMALII;0.0;JOHNSON, PARIS NICOLE FIATAMALII;0.0;JOHNSON, PARIS NICOLE FIATAMALII;0.0;JOHNSON, PARIS NICOLE FIATAMALII;0.0;JOHNSON, PARIS NICOLE FIATAMALII;0.0;JOHNSON, PARIS NICOLE FIATAMALII;0.0;JOHNSON, PARIS NICOLE FIATAMALII;0.0;JOHNSON, PARIS NICOLE FIATAMALII;0.0;JOHNSON, PARIS NICOLE FIATAMALII;0.0;JOHNSON, PARIS NICOLE FIATAMALII;0.0;JOHNSON, PARIS NICOLE FIATAMALII;0.0;JOHNSON, PARIS NICOLE FIATAMALII;0.0
ALLISON, RACHEL LINDSAY;34.48;ROMERO GONZALEZ, LETICIA;14.85;ALLISON, RACHEL LINDSAY;5.35;WALICH, JOANNA JADWIGA;10.44;NAVARRO ALVAREZ, REBECA;0.57;FEASTER, ALISON;1.55;KARCIC, LISA ANN;4.2;KURASOVA, OLEKSANDRA;0.41;BLE, DOUKOLE VANESSA;3.65;PUTNINA, AIJA;4.41;ARGELLO CUENCA, PATRICIA;0.9;NDOUR, ASTOU BARRO;2.5;NDOUR, ASTOU BARRO;5.65;ALLISON, RACHEL LINDSAY;7.65;ORTIZ VIVES, MARIONA;3.0;XARGAY CASADEMONT, MARTA;2.05;TRAORE, ASTOU;3.05;PARHAM, AJA DANIELLE;0.7;FERNANDEZ FARRES, MARTA;0.5;CURRIE, MONIQUE PAULETTE;0.0;TRAORE, ASTOU;3.05;PUTNINA, AIJA;4.0;TUUKKANEN, TARU TELLERVO;15.3;CURRIE, MONIQUE PAULETTE;0.0;CURRIE, MONIQUE PAULETTE;0.0;CURRIE, MONIQUE PAULETTE;0.0;CURRIE, MONIQUE PAULETTE;0.0;CURRIE, MONIQUE PAULETTE;0.0;CURRIE, MONIQUE PAULETTE;0.0;CURRIE, MONIQUE PAULETTE;0.0;CURRIE, MONIQUE PAULETTE;0.0;CURRIE, MONIQUE PAULETTE;0.0;CURRIE, MONIQUE PAULETTE;0.0;CURRIE, MONIQUE PAULETTE;0.0;CURRIE, MONIQUE PAULETTE;0.0;CURRIE, MONIQUE PAULETTE;0.0;CURRIE, MONIQUE PAULETTE;0.0;CURRIE, MONIQUE PAULETTE;0.0;CURRIE, MONIQUE PAULETTE;0.0;CURRIE, MONIQUE PAULETTE;0.0;CURRIE, MONIQUE PAULETTE;0.0;CURRIE, MONIQUE PAULETTE;0.0;CURRIE, MONIQUE PAULETTE;0.0
NDOUR, ASTOU BARRO;33.0;NDOUR, ASTOU BARRO;14.55;BLE, DOUKOLE VANESSA;4.85;MONROE, JACINTA LISETTE;10.1;WILLINGHAM, LE`COE LOUISE;0.57;KARCIC, LISA ANN;1.55;POUNDS, DIONNE MAI CHRISTINA;4.16;POUNDS, DIONNE MAI CHRISTINA;0.41;MOSBY, TYRONE BERNICE;2.67;FERNANDEZ FARRES, MARTA;3.72;DIEZ FERNANDEZ, NAIARA;0.89;GERMAN VELASCO, ICIAR;2.45;MOSBY, TYRONE BERNICE;5.47;MOSBY, TYRONE BERNICE;7.47;SUAREZ UTRERO, ANA MARIA;2.9;ROMERO GONZALEZ, LETICIA;2.05;ALLISON, RACHEL LINDSAY;3.05;HENRY, ANEIKA ANNA-KAY;0.68;MORRISON JARA, ZIOMARA ESKET;0.5;FERRARI CALABRO, PAOLA ANDREA;0.0;XARGAY CASADEMONT, MARTA;2.85;TRAORE, ASTOU;3.9;PUTNINA, AIJA;15.18;FERRARI CALABRO, PAOLA ANDREA;0.0;FERRARI CALABRO, PAOLA ANDREA;0.0;FERRARI CALABRO, PAOLA ANDREA;0.0;FERRARI CALABRO, PAOLA ANDREA;0.0;FERRARI CALABRO, PAOLA ANDREA;0.0;FERRARI CALABRO, PAOLA ANDREA;0.0;FERRARI CALABRO, PAOLA ANDREA;0.0;FERRARI CALABRO, PAOLA ANDREA;0.0;FERRARI CALABRO, PAOLA ANDREA;0.0;FERRARI CALABRO, PAOLA ANDREA;0.0;FERRARI CALABRO, PAOLA ANDREA;0.0;FERRARI CALABRO, PAOLA ANDREA;0.0;FERRARI CALABRO, PAOLA ANDREA;0.0;FERRARI CALABRO, PAOLA ANDREA;0.0;FERRARI CALABRO, PAOLA ANDREA;0.0;FERRARI CALABRO, PAOLA ANDREA;0.0;FERRARI CALABRO, PAOLA ANDREA;0.0;FERRARI CALABRO, PAOLA ANDREA;0.0;FERRARI CALABRO, PAOLA ANDREA;0.0;FERRARI CALABRO, PAOLA ANDREA;0.0
MOSBY, TYRONE BERNICE;32.82;DENSON, AMY RAE;14.0;TRAORE, ASTOU;4.85;BROWN, LA NEDRA JE'TAIME;10.1;REZAN, MARIJA;0.56;MESTDAGH, KIM;1.5;FEASTER, ALISON;4.05;BERMEJO MORENO, CLARA SUSANA;0.4;DIAZ CASTELLANO, YURENA;2.5;MOSBY, TYRONE BERNICE;3.53;CRUZ LEBRATO, ANNA;0.89;TUUKKANEN, TARU TELLERVO;2.35;WILLINGHAM, LE`COE LOUISE;5.0;HENRY, ANEIKA ANNA-KAY;7.42;BRRING, TANYA;2.61;GIL COLLADO, LAURA;1.95;JORDANA BOFILL, NOEMI;3.0;MOSBY, TYRONE BERNICE;0.67;MOSBY, TYRONE BERNICE;0.47;LUCAS, ITALEE MALINA;0.0;BRAVARD, CIERRA  NICHOLE;2.85;BROWN, LA NEDRA JE'TAIME;3.75;TRAORE, ASTOU;15.0;LUCAS, ITALEE MALINA;0.0;LUCAS, ITALEE MALINA;0.0;LUCAS, ITALEE MALINA;0.0;LUCAS, ITALEE MALINA;0.0;LUCAS, ITALEE MALINA;0.0;LUCAS, ITALEE MALINA;0.0;LUCAS, ITALEE MALINA;0.0;LUCAS, ITALEE MALINA;0.0;LUCAS, ITALEE MALINA;0.0;LUCAS, ITALEE MALINA;0.0;LUCAS, ITALEE MALINA;0.0;LUCAS, ITALEE MALINA;0.0;LUCAS, ITALEE MALINA;0.0;LUCAS, ITALEE MALINA;0.0;LUCAS, ITALEE MALINA;0.0;LUCAS, ITALEE MALINA;0.0;LUCAS, ITALEE MALINA;0.0;LUCAS, ITALEE MALINA;0.0;LUCAS, ITALEE MALINA;0.0;LUCAS, ITALEE MALINA;0.0
KARCIC, LISA ANN;32.59;TUUKKANEN, TARU TELLERVO;13.7;NDOUR, ASTOU BARRO;4.8;BLE, DOUKOLE VANESSA;9.9;MONROE, JACINTA LISETTE;0.55;ASURMENDI VILLAVERDE, MARIA DEL CARMEN;1.5;MESTDAGH, KIM;3.9;CASAS CARRERAS, QUERALT;0.4;WALICH, JOANNA JADWIGA;2.39;MONROE, JACINTA LISETTE;3.35;HONTI, KATALIN;0.89;NICHOLLS GONZALEZ, LAURA;2.17;CHATZINIKOLAU, OLGA;4.89;DENSON, AMY RAE;7.05;LOPEZ MARQUES, CRISTINA;2.61;MOSBY, TYRONE BERNICE;1.8;WALICH, JOANNA JADWIGA;2.94;REZAN, MARIJA;0.67;PABLOS VILLARROEL, LUCIA;0.44;ERKIC, MAJA;0.0;KURASOVA, OLEKSANDRA;2.79;GIL COLLADO, LAURA;3.5;HENRY, ANEIKA ANNA-KAY;14.95;ERKIC, MAJA;0.0;ERKIC, MAJA;0.0;ERKIC, MAJA;0.0;ERKIC, MAJA;0.0;ERKIC, MAJA;0.0;ERKIC, MAJA;0.0;ERKIC, MAJA;0.0;ERKIC, MAJA;0.0;ERKIC, MAJA;0.0;ERKIC, MAJA;0.0;ERKIC, MAJA;0.0;ERKIC, MAJA;0.0;ERKIC, MAJA;0.0;ERKIC, MAJA;0.0;ERKIC, MAJA;0.0;ERKIC, MAJA;0.0;ERKIC, MAJA;0.0;ERKIC, MAJA;0.0;ERKIC, MAJA;0.0;ERKIC, MAJA;0.0
HERRERA BOXO, LAURA;31.59;MONROE, JACINTA LISETTE;13.4;TUUKKANEN, TARU TELLERVO;4.75;CRUZ LEBRATO, ANNA;9.35;BAHI BLANQUERA, GEORGINA;0.55;CABRERA ARGUELLO, PATRICIA;1.45;MIRCHANDANI VILLAR, LIDIA;3.88;MOSBY, TYRONE BERNICE;0.39;FERNANDEZ FARRES, MARTA;2.39;BROWN, LA NEDRA JE'TAIME;3.25;FEASTER, ALISON;0.88;STEVENSON, MANDISA ARAMINTA SANURA;2.1;STEVENSON, MANDISA ARAMINTA SANURA;4.85;STEVENSON, MANDISA ARAMINTA SANURA;6.95;XARGAY CASADEMONT, MARTA;2.55;CRUZ LEBRATO, ANNA;1.8;ASURMENDI VILLAVERDE, MARIA DEL CARMEN;2.9;GOMEZ KEHSLER, TATIANA WALESKA;0.65;DENSON, AMY RAE;0.42;REZAN, MARIJA;0.0;GIL COLLADO, LAURA;2.75;CHATZINIKOLAU, OLGA;3.28;NDOUR, ASTOU BARRO;14.15;REZAN, MARIJA;0.0;REZAN, MARIJA;0.0;REZAN, MARIJA;0.0;REZAN, MARIJA;0.0;REZAN, MARIJA;0.0;REZAN, MARIJA;0.0;REZAN, MARIJA;0.0;REZAN, MARIJA;0.0;REZAN, MARIJA;0.0;REZAN, MARIJA;0.0;REZAN, MARIJA;0.0;REZAN, MARIJA;0.0;REZAN, MARIJA;0.0;REZAN, MARIJA;0.0;REZAN, MARIJA;0.0;REZAN, MARIJA;0.0;REZAN, MARIJA;0.0;REZAN, MARIJA;0.0;REZAN, MARIJA;0.0;REZAN, MARIJA;0.0
