Minutos (jugador);Minutos (valor);Puntos (jugador);Puntos (valor);T2 Anotados (jugador);T2 Anotados (valor);T2 Lanzados (jugador);T2 Lanzados (valor);% T2 (jugador);% T2 (valor);T3 Anotados (jugador);T3 Anotados (valor);T3 Lanzados (jugador);T3 Lanzados (valor);% T3 (jugador);% T3 (valor);T1 Anotados (jugador);T1 Anotados (valor);T1 Lanzados (jugador);T1 Lanzados (valor);% T1 (jugador);% T1 (valor);Reb. Ofensivos (jugador);Reb. Ofensivos (valor);Reb. Defensivos (jugador);Reb. Defensivos (valor);Rebotes (jugador);Rebotes (valor);Asistencias (jugador);Asistencias (valor);Robos (jugador);Robos (valor);Perdidas (jugador);Perdidas (valor);Tapones (jugador);Tapones (valor);Tapones Recibidos (jugador);Tapones Recibidos (valor);Mates (jugador);Mates (valor);Faltas Cometidas (jugador);Faltas Cometidas (valor);Faltas Recibidas (jugador);Faltas Recibidas (valor);Valoracion (jugador);Valoracion (valor);% Asist (jugador);% Asist (valor);% Tiro Efectivo (jugador);% Tiro Efectivo (valor);% Tiro Verdadero (jugador);% True Shooting (valor);GScore (jugador);GScore (valor);TLR% (jugador);TLR% (valor);Posesiones Anotadas (jugador);Posesiones Anotadas (valor);Posesiones No Anotadas (jugador);Posesiones No Anotadas (valor);Floor Percentage (jugador);Floor Percentage (valor);Puntos por Tiro (jugador);Puntos por Tiro (valor);% Rebotes (jugador);% Rebotes (valor);% Rebotes Def (jugador);% Rebotes Def (valor);% Rebotes Of (jugador);% Rebotes Of (valor);% Robos (jugador);% Robos (valor);Toques (jugador);Toques (valor);Uso (jugador);Uso (valor);Versatilidad (jugador);Versatilidad (valor);Win Scores (jugador);Win Scores (valor);Eficiencia Ofensiva (jugador);Eficiencia Ofensiva (valor);Eficiencia Defensiva (jugador);Eficiencia Defensiva (valor);Diferencia Eficiencia (jugador);Diferencia Eficiencia (valor)
PEROVANOVIC, IVA;37.33;MURPHY, ESHAYA MARIE;20.73;LYTTLE LYTTLE, SANCHO TRACY CONSTANCE;7.61;PRICE, ARMINTIE ADA;13.12;DE SOUZA MACHADO, ERIKA CRISTINA;0.62;VALDEMORO MADARIAGA, AMAYA;2.55;VALDEMORO MADARIAGA, AMAYA;6.36;HERRERA BOXO, LAURA;1.0;PRICE, ARMINTIE ADA;4.27;PRICE, ARMINTIE ADA;6.04;AGUILAR LOPEZ, ELISA;1.0;MURPHY, ESHAYA MARIE;3.81;LYTTLE LYTTLE, SANCHO TRACY CONSTANCE;8.28;LYTTLE LYTTLE, SANCHO TRACY CONSTANCE;11.56;DOMINGUEZ FERNANDEZ, SILVIA;4.08;PRICE, ARMINTIE ADA;2.88;SANTOS LUZ, HELEN CRISTINA;3.77;PODKOVALNIKOVA, OLGA;1.5;PRICE, ARMINTIE ADA;0.85;BELJANSKI, MILICA;0.13;BLE, DOUKOLE VANESSA;3.67;PRICE, ARMINTIE ADA;5.54;LYTTLE LYTTLE, SANCHO TRACY CONSTANCE;27.39;JONES, CHANDY MONTREASE;0.0;JONES, CHANDY MONTREASE;0.0;JONES, CHANDY MONTREASE;0.0;JONES, CHANDY MONTREASE;0.0;JONES, CHANDY MONTREASE;0.0;JONES, CHANDY MONTREASE;0.0;JONES, CHANDY MONTREASE;0.0;JONES, CHANDY MONTREASE;0.0;JONES, CHANDY MONTREASE;0.0;JONES, CHANDY MONTREASE;0.0;JONES, CHANDY MONTREASE;0.0;JONES, CHANDY MONTREASE;0.0;JONES, CHANDY MONTREASE;0.0;JONES, CHANDY MONTREASE;0.0;JONES, CHANDY MONTREASE;0.0;JONES, CHANDY MONTREASE;0.0;JONES, CHANDY MONTREASE;0.0;JONES, CHANDY MONTREASE;0.0;JONES, CHANDY MONTREASE;0.0;JONES, CHANDY MONTREASE;0.0
SANTOS LUZ, HELEN CRISTINA;36.93;LYTTLE LYTTLE, SANCHO TRACY CONSTANCE;18.89;PRICE, ARMINTIE ADA;6.27;LYTTLE LYTTLE, SANCHO TRACY CONSTANCE;12.83;WILLINGHAM, LE`COE LOUISE;0.61;PALOMARES VALIENTE, PAULA;2.13;KRESOVIC, INES;5.95;PEROVANOVIC, IVA;1.0;MURPHY, ESHAYA MARIE;4.27;PEROVANOVIC, IVA;5.42;RUSH, LEAH ELLEN;0.94;PEROVANOVIC, IVA;3.47;PAGE, LINDA A. MURRIEL;8.12;PAGE, LINDA A. MURRIEL;10.24;MORALES MARTIN, SILVIA;4.0;MURPHY, ESHAYA MARIE;2.81;CASTILLO IGLESIAS, LICET;3.6;LYTTLE LYTTLE, SANCHO TRACY CONSTANCE;1.33;DUBLJEVIC, JELENA;0.72;ROYO TORRES, MARIA ESTELA;0.08;KRESOVIC, INES;3.32;PEROVANOVIC, IVA;5.05;PRICE, ARMINTIE ADA;20.85;BOLIVAR RIGO, MIRIAM;0.0;BOLIVAR RIGO, MIRIAM;0.0;BOLIVAR RIGO, MIRIAM;0.0;BOLIVAR RIGO, MIRIAM;0.0;BOLIVAR RIGO, MIRIAM;0.0;BOLIVAR RIGO, MIRIAM;0.0;BOLIVAR RIGO, MIRIAM;0.0;BOLIVAR RIGO, MIRIAM;0.0;BOLIVAR RIGO, MIRIAM;0.0;BOLIVAR RIGO, MIRIAM;0.0;BOLIVAR RIGO, MIRIAM;0.0;BOLIVAR RIGO, MIRIAM;0.0;BOLIVAR RIGO, MIRIAM;0.0;BOLIVAR RIGO, MIRIAM;0.0;BOLIVAR RIGO, MIRIAM;0.0;BOLIVAR RIGO, MIRIAM;0.0;BOLIVAR RIGO, MIRIAM;0.0;BOLIVAR RIGO, MIRIAM;0.0;BOLIVAR RIGO, MIRIAM;0.0;BOLIVAR RIGO, MIRIAM;0.0
PRICE, ARMINTIE ADA;36.09;PRICE, ARMINTIE ADA;17.04;DE SOUZA MACHADO, ERIKA CRISTINA;6.24;PAGE, LINDA A. MURRIEL;12.4;VESELA, JANA;0.6;SANTOS LUZ, HELEN CRISTINA;1.96;TORRENS SALOM, ALBA;5.59;HALMAN, NAOMI REBECCA;1.0;PEROVANOVIC, IVA;4.21;MURPHY, ESHAYA MARIE;5.38;VALDEMORO MADARIAGA, AMAYA;0.91;PRICE, ARMINTIE ADA;3.31;SNOW, MICHELLE;6.96;BLE, DOUKOLE VANESSA;9.4;AGUILAR LOPEZ, ELISA;3.81;LYTTLE LYTTLE, SANCHO TRACY CONSTANCE;2.61;YGUERAVIDE VIANA, SANDRA;3.54;DE SOUZA MACHADO, ERIKA CRISTINA;1.19;LOVELACE-TOLBERT, STACEY LYNN;0.62;STAMPALIJA, PETRA;0.04;BORGES DOS REIS, SONIA;3.29;KELLY, CRISTAL CYMONE;4.85;DE SOUZA MACHADO, ERIKA CRISTINA;20.14;CABRERA ARGUELLO, PATRICIA;0.0;CABRERA ARGUELLO, PATRICIA;0.0;CABRERA ARGUELLO, PATRICIA;0.0;CABRERA ARGUELLO, PATRICIA;0.0;CABRERA ARGUELLO, PATRICIA;0.0;CABRERA ARGUELLO, PATRICIA;0.0;CABRERA ARGUELLO, PATRICIA;0.0;CABRERA ARGUELLO, PATRICIA;0.0;CABRERA ARGUELLO, PATRICIA;0.0;CABRERA ARGUELLO, PATRICIA;0.0;CABRERA ARGUELLO, PATRICIA;0.0;CABRERA ARGUELLO, PATRICIA;0.0;CABRERA ARGUELLO, PATRICIA;0.0;CABRERA ARGUELLO, PATRICIA;0.0;CABRERA ARGUELLO, PATRICIA;0.0;CABRERA ARGUELLO, PATRICIA;0.0;CABRERA ARGUELLO, PATRICIA;0.0;CABRERA ARGUELLO, PATRICIA;0.0;CABRERA ARGUELLO, PATRICIA;0.0;CABRERA ARGUELLO, PATRICIA;0.0
THOMAS, LATOYA;35.41;VALDEMORO MADARIAGA, AMAYA;16.64;PAGE, LINDA A. MURRIEL;6.12;MURPHY, ESHAYA MARIE;11.96;MILJOVIC, MAJA;0.6;MONDT, ANKE DE;1.85;CASTILLO IGLESIAS, LICET;5.44;RUIZ POLIDURA, SARAY;1.0;KELLY, CRISTAL CYMONE;3.73;LYTTLE LYTTLE, SANCHO TRACY CONSTANCE;4.94;ARGELLO CUENCA, PATRICIA;0.89;LYTTLE LYTTLE, SANCHO TRACY CONSTANCE;3.28;TURNER, LATOYA;6.42;SNOW, MICHELLE;8.73;BERMEJO MORENO, CLARA SUSANA;3.64;VALDEMORO MADARIAGA, AMAYA;2.59;LOVELACE-TOLBERT, STACEY LYNN;3.54;SNOW, MICHELLE;0.77;MURPHY, ESHAYA MARIE;0.58;CABRERA ARGUELLO, PATRICIA;0.0;LYTTLE LYTTLE, SANCHO TRACY CONSTANCE;3.28;LYTTLE LYTTLE, SANCHO TRACY CONSTANCE;4.83;MURPHY, ESHAYA MARIE;19.92;SANCHEZ VENTURA, CARMEN;0.0;SANCHEZ VENTURA, CARMEN;0.0;SANCHEZ VENTURA, CARMEN;0.0;SANCHEZ VENTURA, CARMEN;0.0;SANCHEZ VENTURA, CARMEN;0.0;SANCHEZ VENTURA, CARMEN;0.0;SANCHEZ VENTURA, CARMEN;0.0;SANCHEZ VENTURA, CARMEN;0.0;SANCHEZ VENTURA, CARMEN;0.0;SANCHEZ VENTURA, CARMEN;0.0;SANCHEZ VENTURA, CARMEN;0.0;SANCHEZ VENTURA, CARMEN;0.0;SANCHEZ VENTURA, CARMEN;0.0;SANCHEZ VENTURA, CARMEN;0.0;SANCHEZ VENTURA, CARMEN;0.0;SANCHEZ VENTURA, CARMEN;0.0;SANCHEZ VENTURA, CARMEN;0.0;SANCHEZ VENTURA, CARMEN;0.0;SANCHEZ VENTURA, CARMEN;0.0;SANCHEZ VENTURA, CARMEN;0.0
PAGE, LINDA A. MURRIEL;35.32;LOVELACE-TOLBERT, STACEY LYNN;15.69;VEGA REBORA, GISELA VERONICA;5.81;THOMAS, LATOYA;11.58;LYTTLE LYTTLE, SANCHO TRACY CONSTANCE;0.59;HODGES, RONEEKA RAYSHELL;1.81;PALOMARES VALIENTE, PAULA;5.13;SVITLICA, DRAGANA;1.0;KRESOVIC, INES;3.73;KELLY, CRISTAL CYMONE;4.81;PAVETIC, SENA;0.88;BLE, DOUKOLE VANESSA;3.27;BLE, DOUKOLE VANESSA;6.13;TURNER, LATOYA;8.5;SANTOS LUZ, HELEN CRISTINA;3.54;PALAU ALTES, LAIA;2.38;MURPHY, ESHAYA MARIE;3.46;TURNER, LATOYA;0.73;VEGA REBORA, GISELA VERONICA;0.5;JONES, CHANDY MONTREASE;0.0;PODKOVALNIKOVA, OLGA;3.27;KRESOVIC, INES;4.82;PAGE, LINDA A. MURRIEL;17.88;KELLOGG, JESSICA LYNN;0.0;KELLOGG, JESSICA LYNN;0.0;KELLOGG, JESSICA LYNN;0.0;KELLOGG, JESSICA LYNN;0.0;KELLOGG, JESSICA LYNN;0.0;KELLOGG, JESSICA LYNN;0.0;KELLOGG, JESSICA LYNN;0.0;KELLOGG, JESSICA LYNN;0.0;KELLOGG, JESSICA LYNN;0.0;KELLOGG, JESSICA LYNN;0.0;KELLOGG, JESSICA LYNN;0.0;KELLOGG, JESSICA LYNN;0.0;KELLOGG, JESSICA LYNN;0.0;KELLOGG, JESSICA LYNN;0.0;KELLOGG, JESSICA LYNN;0.0;KELLOGG, JESSICA LYNN;0.0;KELLOGG, JESSICA LYNN;0.0;KELLOGG, JESSICA LYNN;0.0;KELLOGG, JESSICA LYNN;0.0;KELLOGG, JESSICA LYNN;0.0
MORALES MARTIN, SILVIA;33.78;PAGE, LINDA A. MURRIEL;15.44;MURPHY, ESHAYA MARIE;5.81;DA SILVA SANTOS, KELLY;10.53;PAVETIC, SENA;0.59;KRESOVIC, INES;1.77;MURPHY, ESHAYA MARIE;4.62;UJHELYI, PETRA;1.0;LYTTLE LYTTLE, SANCHO TRACY CONSTANCE;3.67;KRESOVIC, INES;4.64;DUBLJEVIC, JELENA;0.86;DE SOUZA MACHADO, ERIKA CRISTINA;2.86;UJHELYI, PETRA;6.0;DE SOUZA MACHADO, ERIKA CRISTINA;8.43;CRUZ LEBRATO, ANNA;3.42;REVUELTO SNCHEZ-AGUILERA, MARIA;2.29;SANTOS LUZ, SILVIA ANDREA;3.35;BLE, DOUKOLE VANESSA;0.67;PEROVANOVIC, IVA;0.47;BOLIVAR RIGO, MIRIAM;0.0;RUSH, LEAH ELLEN;3.2;JOHNSON, SHANNON REGINA;4.61;UJHELYI, PETRA;17.69;PESANTE, ROMINA ANTONELA;0.0;PESANTE, ROMINA ANTONELA;0.0;PESANTE, ROMINA ANTONELA;0.0;PESANTE, ROMINA ANTONELA;0.0;PESANTE, ROMINA ANTONELA;0.0;PESANTE, ROMINA ANTONELA;0.0;PESANTE, ROMINA ANTONELA;0.0;PESANTE, ROMINA ANTONELA;0.0;PESANTE, ROMINA ANTONELA;0.0;PESANTE, ROMINA ANTONELA;0.0;PESANTE, ROMINA ANTONELA;0.0;PESANTE, ROMINA ANTONELA;0.0;PESANTE, ROMINA ANTONELA;0.0;PESANTE, ROMINA ANTONELA;0.0;PESANTE, ROMINA ANTONELA;0.0;PESANTE, ROMINA ANTONELA;0.0;PESANTE, ROMINA ANTONELA;0.0;PESANTE, ROMINA ANTONELA;0.0;PESANTE, ROMINA ANTONELA;0.0;PESANTE, ROMINA ANTONELA;0.0
LYTTLE LYTTLE, SANCHO TRACY CONSTANCE;32.59;VEGA REBORA, GISELA VERONICA;15.35;DA SILVA SANTOS, KELLY;5.76;VEGA REBORA, GISELA VERONICA;10.46;BERMEJO MORENO, CLARA SUSANA;0.58;TORRENS SALOM, ALBA;1.65;HODGES, RONEEKA RAYSHELL;4.54;PODKOVALNIKOVA, OLGA;0.53;DUBLJEVIC, JELENA;3.04;CRUZ LEBRATO, ANNA;4.31;ASURMENDI VILLAVERDE, MARIA DEL CARMEN;0.86;REID, TRACY LASHAWN;2.43;DE SOUZA MACHADO, ERIKA CRISTINA;5.57;UJHELYI, PETRA;8.27;PRICE, ARMINTIE ADA;3.35;CRUZ LEBRATO, ANNA;2.15;KRESOVIC, INES;3.32;PIRSIC, SANDRA;0.65;SANCHEZ FERNANDEZ, ISABEL;0.43;FARFAN DE LOS GODOS PIERA, LAURA;0.0;LOVELACE-TOLBERT, STACEY LYNN;3.15;MURPHY, ESHAYA MARIE;4.42;SNOW, MICHELLE;17.5;FARFAN DE LOS GODOS PIERA, LAURA;0.0;FARFAN DE LOS GODOS PIERA, LAURA;0.0;FARFAN DE LOS GODOS PIERA, LAURA;0.0;FARFAN DE LOS GODOS PIERA, LAURA;0.0;FARFAN DE LOS GODOS PIERA, LAURA;0.0;FARFAN DE LOS GODOS PIERA, LAURA;0.0;FARFAN DE LOS GODOS PIERA, LAURA;0.0;FARFAN DE LOS GODOS PIERA, LAURA;0.0;FARFAN DE LOS GODOS PIERA, LAURA;0.0;FARFAN DE LOS GODOS PIERA, LAURA;0.0;FARFAN DE LOS GODOS PIERA, LAURA;0.0;FARFAN DE LOS GODOS PIERA, LAURA;0.0;FARFAN DE LOS GODOS PIERA, LAURA;0.0;FARFAN DE LOS GODOS PIERA, LAURA;0.0;FARFAN DE LOS GODOS PIERA, LAURA;0.0;FARFAN DE LOS GODOS PIERA, LAURA;0.0;FARFAN DE LOS GODOS PIERA, LAURA;0.0;FARFAN DE LOS GODOS PIERA, LAURA;0.0;FARFAN DE LOS GODOS PIERA, LAURA;0.0;FARFAN DE LOS GODOS PIERA, LAURA;0.0
SANTOS LUZ, SILVIA ANDREA;32.35;THOMAS, LATOYA;15.0;SNOW, MICHELLE;5.15;LOVELACE-TOLBERT, STACEY LYNN;10.42;PIRSIC, SANDRA;0.58;MURPHY, ESHAYA MARIE;1.62;MARCOS BENITO, BLANCA;4.47;LLAMAS PAJUELO, MARIA NIEVES;0.5;SANCHEZ FERNANDEZ, ISABEL;2.9;WILLINGHAM, LE`COE LOUISE;4.21;HERRERA AREVALO, MIRIAM;0.85;PIRSIC, SANDRA;2.42;LOVELACE-TOLBERT, STACEY LYNN;5.5;MURPHY, ESHAYA MARIE;7.35;MONTAANA GIMENO, ANNA;3.2;BERMEJO MORENO, CLARA SUSANA;1.92;PRICE, ARMINTIE ADA;3.31;TORRENS SALOM, ALBA;0.65;CRUZ LEBRATO, ANNA;0.42;VILA SUNYER, EULLIA;0.0;JOHNSON, SHANNON REGINA;3.06;MILJOVIC, MAJA;4.27;PEROVANOVIC, IVA;17.0;VILA SUNYER, EULLIA;0.0;VILA SUNYER, EULLIA;0.0;VILA SUNYER, EULLIA;0.0;VILA SUNYER, EULLIA;0.0;VILA SUNYER, EULLIA;0.0;VILA SUNYER, EULLIA;0.0;VILA SUNYER, EULLIA;0.0;VILA SUNYER, EULLIA;0.0;VILA SUNYER, EULLIA;0.0;VILA SUNYER, EULLIA;0.0;VILA SUNYER, EULLIA;0.0;VILA SUNYER, EULLIA;0.0;VILA SUNYER, EULLIA;0.0;VILA SUNYER, EULLIA;0.0;VILA SUNYER, EULLIA;0.0;VILA SUNYER, EULLIA;0.0;VILA SUNYER, EULLIA;0.0;VILA SUNYER, EULLIA;0.0;VILA SUNYER, EULLIA;0.0;VILA SUNYER, EULLIA;0.0
DAPO, AMRA;32.08;KRESOVIC, INES;14.77;ABROMAITE, AGNE;5.04;DE SOUZA MACHADO, ERIKA CRISTINA;10.05;WYCKOFF, BROOKE ELIZABETH;0.56;AGUILAR LOPEZ, ELISA;1.54;MONDT, ANKE DE;4.46;RODRIGUEZ MANSO, LEONOR DEL PILAR;0.47;WILLINGHAM, LE`COE LOUISE;2.83;PODKOVALNIKOVA, OLGA;4.08;MORALES MARTIN, SILVIA;0.85;LIMA GARCIA, CINDY ORQUIDEA;2.35;WYCKOFF, BROOKE ELIZABETH;5.08;PRICE, ARMINTIE ADA;7.23;CASTILLO IGLESIAS, LICET;3.12;UJHELYI, PETRA;1.92;MORALES MARTIN, SILVIA;3.31;UJHELYI, PETRA;0.65;BLE, DOUKOLE VANESSA;0.4;SNCHEZ LUJN, ROSAURA DEL CARMEN;0.0;ROYO TORRES, MARIA ESTELA;2.96;BLE, DOUKOLE VANESSA;4.13;VEGA REBORA, GISELA VERONICA;16.88;SNCHEZ LUJN, ROSAURA DEL CARMEN;0.0;SNCHEZ LUJN, ROSAURA DEL CARMEN;0.0;SNCHEZ LUJN, ROSAURA DEL CARMEN;0.0;SNCHEZ LUJN, ROSAURA DEL CARMEN;0.0;SNCHEZ LUJN, ROSAURA DEL CARMEN;0.0;SNCHEZ LUJN, ROSAURA DEL CARMEN;0.0;SNCHEZ LUJN, ROSAURA DEL CARMEN;0.0;SNCHEZ LUJN, ROSAURA DEL CARMEN;0.0;SNCHEZ LUJN, ROSAURA DEL CARMEN;0.0;SNCHEZ LUJN, ROSAURA DEL CARMEN;0.0;SNCHEZ LUJN, ROSAURA DEL CARMEN;0.0;SNCHEZ LUJN, ROSAURA DEL CARMEN;0.0;SNCHEZ LUJN, ROSAURA DEL CARMEN;0.0;SNCHEZ LUJN, ROSAURA DEL CARMEN;0.0;SNCHEZ LUJN, ROSAURA DEL CARMEN;0.0;SNCHEZ LUJN, ROSAURA DEL CARMEN;0.0;SNCHEZ LUJN, ROSAURA DEL CARMEN;0.0;SNCHEZ LUJN, ROSAURA DEL CARMEN;0.0;SNCHEZ LUJN, ROSAURA DEL CARMEN;0.0;SNCHEZ LUJN, ROSAURA DEL CARMEN;0.0
MURPHY, ESHAYA MARIE;31.86;DE SOUZA MACHADO, ERIKA CRISTINA;14.24;MILTON, DELISHA LACHELL;5.0;CRUZ LEBRATO, ANNA;10.04;LOPEZ VERDU, ALICIA;0.56;CASTILLO IGLESIAS, LICET;1.48;SANTOS LUZ, HELEN CRISTINA;4.15;SANTOS LUZ, HELEN CRISTINA;0.47;VEGA REBORA, GISELA VERONICA;2.81;MILJOVIC, MAJA;3.88;SANCHEZ FERNANDEZ, ISABEL;0.84;UJHELYI, PETRA;2.27;THOMAS, LATOYA;5.04;LOVELACE-TOLBERT, STACEY LYNN;7.23;REVUELTO SNCHEZ-AGUILERA, MARIA;2.92;VESELA, JANA;1.92;ELDEBRINK, ELIN;3.24;PAGE, LINDA A. MURRIEL;0.64;BALETIC, ANA;0.39;TEASLEY, MICHELLE NICOLE;0.0;ZURRO ALFONSO, MARTA;2.96;VEGA REBORA, GISELA VERONICA;3.77;VALDEMORO MADARIAGA, AMAYA;16.05;TEASLEY, MICHELLE NICOLE;0.0;TEASLEY, MICHELLE NICOLE;0.0;TEASLEY, MICHELLE NICOLE;0.0;TEASLEY, MICHELLE NICOLE;0.0;TEASLEY, MICHELLE NICOLE;0.0;TEASLEY, MICHELLE NICOLE;0.0;TEASLEY, MICHELLE NICOLE;0.0;TEASLEY, MICHELLE NICOLE;0.0;TEASLEY, MICHELLE NICOLE;0.0;TEASLEY, MICHELLE NICOLE;0.0;TEASLEY, MICHELLE NICOLE;0.0;TEASLEY, MICHELLE NICOLE;0.0;TEASLEY, MICHELLE NICOLE;0.0;TEASLEY, MICHELLE NICOLE;0.0;TEASLEY, MICHELLE NICOLE;0.0;TEASLEY, MICHELLE NICOLE;0.0;TEASLEY, MICHELLE NICOLE;0.0;TEASLEY, MICHELLE NICOLE;0.0;TEASLEY, MICHELLE NICOLE;0.0;TEASLEY, MICHELLE NICOLE;0.0
