Nombre;Condicion;Partidos;Minutos;Puntos;T2 Anotados;T2 Lanzados;% T2;T3 Anotados;T3 Lanzados;% T3;T1 Anotados;T1 Lanzados;% T1;Reb. Ofensivos;Reb. Defensivos;Rebotes;Asistencias;Robos;Perdidas;Tapones;Tapones Recibidos;Mates;Faltas Cometidas;Faltas Recibidas;Valoracion;Posesiones;Ritmo;OER;% TC Efectivo;% Jugada;Frec. TL;% Reb Def;% Reb Of;% Assis;% Perd
['ANDALUCIA - AIFOS', 'ANDALUCIA - AIFOS', 'ANDALUCIA - AIFOS', 'ANDALUCIA - AIFOS', 'ANDALUCIA - AIFOS', 'ANDALUCIA - AIFOS', 'ANDALUCIA - AIFOS', 'ANDALUCIA - AIFOS', 'ANDALUCIA - AIFOS', 'ANDALUCIA - AIFOS', 'ANDALUCIA - AIFOS', 'ANDALUCIA - AIFOS', 'ANDALUCIA - AIFOS'] Equipo;['Media'];3.0;200.0;68.67;22.0;47.0;0.47;2.33;9.67;0.24;17.67;21.67;0.82;11.0;26.33;37.33;10.0;6.67;15.0;1.67;2.0;0.0;14.67;19.67;76.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
['ANDALUCIA - AIFOS', 'ANDALUCIA - AIFOS', 'ANDALUCIA - AIFOS', 'ANDALUCIA - AIFOS', 'ANDALUCIA - AIFOS', 'ANDALUCIA - AIFOS', 'ANDALUCIA - AIFOS', 'ANDALUCIA - AIFOS', 'ANDALUCIA - AIFOS', 'ANDALUCIA - AIFOS', 'ANDALUCIA - AIFOS', 'ANDALUCIA - AIFOS', 'ANDALUCIA - AIFOS'] Equipo Rival;['Media Rival'];3.0;200.0;67.33;25.0;58.33;0.43;3.0;9.67;0.31;8.33;11.33;0.74;10.0;15.0;25.0;2.67;12.33;8.33;2.0;1.67;0.0;19.67;14.67;51.33;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
['ANDALUCIA - AIFOS', 'ANDALUCIA - AIFOS', 'ANDALUCIA - AIFOS', 'ANDALUCIA - AIFOS', 'ANDALUCIA - AIFOS', 'ANDALUCIA - AIFOS', 'ANDALUCIA - AIFOS', 'ANDALUCIA - AIFOS', 'ANDALUCIA - AIFOS', 'ANDALUCIA - AIFOS', 'ANDALUCIA - AIFOS', 'ANDALUCIA - AIFOS'] Equipo;['Media'];3.0;200.0;85.0;32.33;57.33;0.56;3.33;13.0;0.26;10.33;14.67;0.7;15.67;24.33;40.0;11.33;12.67;14.33;1.0;2.0;0.0;27.33;17.33;84.67;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
['ANDALUCIA - AIFOS', 'ANDALUCIA - AIFOS', 'ANDALUCIA - AIFOS', 'ANDALUCIA - AIFOS', 'ANDALUCIA - AIFOS', 'ANDALUCIA - AIFOS', 'ANDALUCIA - AIFOS', 'ANDALUCIA - AIFOS', 'ANDALUCIA - AIFOS', 'ANDALUCIA - AIFOS', 'ANDALUCIA - AIFOS', 'ANDALUCIA - AIFOS'] Equipo Rival;['Media Rival'];3.0;200.0;75.33;21.33;48.33;0.44;3.0;7.67;0.39;23.67;30.33;0.78;7.0;20.0;27.0;3.67;10.67;13.33;2.0;1.0;0.0;17.67;27.33;75.67;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
['ANDALUCIA - AIFOS', 'ANDALUCIA - AIFOS', 'ANDALUCIA - AIFOS', 'ANDALUCIA - AIFOS', 'ANDALUCIA - AIFOS', 'ANDALUCIA - AIFOS', 'ANDALUCIA - AIFOS', 'ANDALUCIA - AIFOS', 'ANDALUCIA - AIFOS', 'ANDALUCIA - AIFOS', 'ANDALUCIA - AIFOS'] Equipo;['Media'];6.0;208.33;68.5;22.17;48.0;0.46;2.67;12.33;0.22;16.17;23.83;0.68;9.5;20.17;29.67;9.0;7.67;16.17;2.0;3.0;0.0;22.67;21.33;53.17;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
['ANDALUCIA - AIFOS', 'ANDALUCIA - AIFOS', 'ANDALUCIA - AIFOS', 'ANDALUCIA - AIFOS', 'ANDALUCIA - AIFOS', 'ANDALUCIA - AIFOS', 'ANDALUCIA - AIFOS', 'ANDALUCIA - AIFOS', 'ANDALUCIA - AIFOS', 'ANDALUCIA - AIFOS', 'ANDALUCIA - AIFOS'] Equipo Rival;['Media Rival'];6.0;203.0;84.33;24.67;46.67;0.53;5.67;14.0;0.4;18.0;26.5;0.68;8.17;20.83;29.0;10.0;12.83;12.17;3.33;1.67;0.0;20.83;22.17;88.17;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
['ANDALUCIA - AIFOS', 'ANDALUCIA - AIFOS', 'ANDALUCIA - AIFOS', 'ANDALUCIA - AIFOS', 'ANDALUCIA - AIFOS', 'ANDALUCIA - AIFOS', 'ANDALUCIA - AIFOS', 'ANDALUCIA - AIFOS', 'ANDALUCIA - AIFOS', 'ANDALUCIA - AIFOS'] Equipo;['Media'];12.0;206.25;71.92;22.08;49.08;0.45;4.58;12.33;0.37;14.0;20.33;0.69;9.92;22.92;32.83;6.0;7.42;16.5;1.17;2.17;0.0;21.33;21.0;59.25;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
['ANDALUCIA - AIFOS', 'ANDALUCIA - AIFOS', 'ANDALUCIA - AIFOS', 'ANDALUCIA - AIFOS', 'ANDALUCIA - AIFOS', 'ANDALUCIA - AIFOS', 'ANDALUCIA - AIFOS', 'ANDALUCIA - AIFOS', 'ANDALUCIA - AIFOS', 'ANDALUCIA - AIFOS'] Equipo Rival;['Media Rival'];12.0;204.5;78.0;23.33;48.25;0.48;5.0;14.0;0.36;16.33;21.83;0.75;7.83;20.83;28.67;7.17;12.67;12.25;2.42;0.92;0.0;21.17;21.08;76.25;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
['ANDALUCIA - AIFOS', 'ANDALUCIA - AIFOS', 'ANDALUCIA - AIFOS', 'ANDALUCIA - AIFOS', 'ANDALUCIA - AIFOS', 'ANDALUCIA - AIFOS', 'ANDALUCIA - AIFOS', 'ANDALUCIA - AIFOS', 'ANDALUCIA - AIFOS'] Equipo;['Media'];2.0;200.0;68.0;21.0;53.5;0.39;4.0;16.0;0.25;14.0;21.0;0.67;9.0;18.5;27.5;3.5;5.0;8.5;0.5;1.5;0.0;19.0;19.5;43.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
['ANDALUCIA - AIFOS', 'ANDALUCIA - AIFOS', 'ANDALUCIA - AIFOS', 'ANDALUCIA - AIFOS', 'ANDALUCIA - AIFOS', 'ANDALUCIA - AIFOS', 'ANDALUCIA - AIFOS', 'ANDALUCIA - AIFOS', 'ANDALUCIA - AIFOS'] Equipo Rival;['Media Rival'];2.0;200.0;69.5;26.5;48.5;0.55;3.5;11.0;0.32;6.0;12.0;0.5;10.0;24.0;34.0;2.0;8.0;9.5;2.0;0.5;0.0;19.0;19.0;70.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
