Minutos (jugador);Minutos (valor);Puntos (jugador);Puntos (valor);T2 Anotados (jugador);T2 Anotados (valor);T2 Lanzados (jugador);T2 Lanzados (valor);% T2 (jugador);% T2 (valor);T3 Anotados (jugador);T3 Anotados (valor);T3 Lanzados (jugador);T3 Lanzados (valor);% T3 (jugador);% T3 (valor);T1 Anotados (jugador);T1 Anotados (valor);T1 Lanzados (jugador);T1 Lanzados (valor);% T1 (jugador);% T1 (valor);Reb. Ofensivos (jugador);Reb. Ofensivos (valor);Reb. Defensivos (jugador);Reb. Defensivos (valor);Rebotes (jugador);Rebotes (valor);Asistencias (jugador);Asistencias (valor);Robos (jugador);Robos (valor);Perdidas (jugador);Perdidas (valor);Tapones (jugador);Tapones (valor);Tapones Recibidos (jugador);Tapones Recibidos (valor);Mates (jugador);Mates (valor);Faltas Cometidas (jugador);Faltas Cometidas (valor);Faltas Recibidas (jugador);Faltas Recibidas (valor);Valoracion (jugador);Valoracion (valor);% Asist (jugador);% Asist (valor);% Tiro Efectivo (jugador);% Tiro Efectivo (valor);% Tiro Verdadero (jugador);% True Shooting (valor);GScore (jugador);GScore (valor);TLR% (jugador);TLR% (valor);Posesiones Anotadas (jugador);Posesiones Anotadas (valor);Posesiones No Anotadas (jugador);Posesiones No Anotadas (valor);Floor Percentage (jugador);Floor Percentage (valor);Puntos por Tiro (jugador);Puntos por Tiro (valor);% Rebotes (jugador);% Rebotes (valor);% Rebotes Def (jugador);% Rebotes Def (valor);% Rebotes Of (jugador);% Rebotes Of (valor);% Robos (jugador);% Robos (valor);Toques (jugador);Toques (valor);Uso (jugador);Uso (valor);Versatilidad (jugador);Versatilidad (valor);Win Scores (jugador);Win Scores (valor);Eficiencia Ofensiva (jugador);Eficiencia Ofensiva (valor);Eficiencia Defensiva (jugador);Eficiencia Defensiva (valor);Diferencia Eficiencia (jugador);Diferencia Eficiencia (valor)
HLEDE, KORALJKA;37.28;HLEDE, KORALJKA;20.12;LONGIN, KORANA;8.12;HLEDE, KORALJKA;14.24;MIGUEL MORO, MARIA;0.67;DAS NEVES, CLAUDIA MARIA;2.4;DAS NEVES, CLAUDIA MARIA;5.88;BOONEN, DANA MONIQUE LOUIS;1.0;DAPO, AMRA;5.23;DAPO, AMRA;7.35;NAJERA CAMACHO, CARMEN;0.91;HODGES, DALE;3.31;MUJANOVIC, RAZIJA;7.14;MUJANOVIC, RAZIJA;10.14;---, ELENA;3.27;MORALES MARTIN, SILVIA;3.54;HODGES, DALE;3.5;GOUREEVA, JULIA;2.12;DAPO, AMRA;0.85;DIETEL, ALKE;0.05;DEZ FERNNDEZ, COVADONGA;4.08;HODGES, DALE;5.92;MUJANOVIC, RAZIJA;25.09;GOODSON, ADRIENNE MAUREEN;0.0;GOODSON, ADRIENNE MAUREEN;0.0;GOODSON, ADRIENNE MAUREEN;0.0;GOODSON, ADRIENNE MAUREEN;0.0;GOODSON, ADRIENNE MAUREEN;0.0;GOODSON, ADRIENNE MAUREEN;0.0;GOODSON, ADRIENNE MAUREEN;0.0;GOODSON, ADRIENNE MAUREEN;0.0;GOODSON, ADRIENNE MAUREEN;0.0;GOODSON, ADRIENNE MAUREEN;0.0;GOODSON, ADRIENNE MAUREEN;0.0;GOODSON, ADRIENNE MAUREEN;0.0;GOODSON, ADRIENNE MAUREEN;0.0;GOODSON, ADRIENNE MAUREEN;0.0;GOODSON, ADRIENNE MAUREEN;0.0;GOODSON, ADRIENNE MAUREEN;0.0;GOODSON, ADRIENNE MAUREEN;0.0;GOODSON, ADRIENNE MAUREEN;0.0;GOODSON, ADRIENNE MAUREEN;0.0;GOODSON, ADRIENNE MAUREEN;0.0
HODGES, DALE;37.19;LONGIN, KORANA;19.42;HLEDE, KORALJKA;7.0;LONGIN, KORANA;14.23;CONGREAVES, ANDREA FIONA;0.63;PEREZ CAPARROS, ROSA;2.35;ALVARO BASCUANA, ANA BELEN;5.69;PIQUE SOLE, MERITXELL;0.5;HODGES, DALE;5.23;---, POLIMIA;6.5;SNCHEZ LUJN, ROSAURA DEL CARMEN;0.9;PAGE, LINDA A. MURRIEL;3.0;WHITTLE, JENNY;6.69;HODGES, DALE;9.0;DAS NEVES, CLAUDIA MARIA;3.08;GARCIA PIERO, MARIA BEGOA;2.77;---, ELENA;3.46;WHITTLE, JENNY;1.85;BLANCO RAMOS, MARINA I.;0.72;CABALLERO BASURTO, VIRGINIA;0.05;RODIONOVA, SVITLANA;4.0;---, POLIMIA;5.73;HODGES, DALE;22.38;---, PATRICIA PONTON PEREZ;0.0;---, PATRICIA PONTON PEREZ;0.0;---, PATRICIA PONTON PEREZ;0.0;---, PATRICIA PONTON PEREZ;0.0;---, PATRICIA PONTON PEREZ;0.0;---, PATRICIA PONTON PEREZ;0.0;---, PATRICIA PONTON PEREZ;0.0;---, PATRICIA PONTON PEREZ;0.0;---, PATRICIA PONTON PEREZ;0.0;---, PATRICIA PONTON PEREZ;0.0;---, PATRICIA PONTON PEREZ;0.0;---, PATRICIA PONTON PEREZ;0.0;---, PATRICIA PONTON PEREZ;0.0;---, PATRICIA PONTON PEREZ;0.0;---, PATRICIA PONTON PEREZ;0.0;---, PATRICIA PONTON PEREZ;0.0;---, PATRICIA PONTON PEREZ;0.0;---, PATRICIA PONTON PEREZ;0.0;---, PATRICIA PONTON PEREZ;0.0;---, PATRICIA PONTON PEREZ;0.0
DAS NEVES, CLAUDIA MARIA;36.92;HODGES, DALE;18.77;MUJANOVIC, RAZIJA;6.73;WHITMORE, TAMIKA LACHAN;13.84;MONTESDEOCA LPEZ, EVA;0.62;PELAEZ SAN GIL, LOURDES;2.08;PEREZ CAPARROS, ROSA;5.5;LLAMAS PAJUELO, MARIA NIEVES;0.5;MUJANOVIC, RAZIJA;4.59;HODGES, DALE;6.31;KHOUDACHOVA, ELENA;0.89;MUJANOVIC, RAZIJA;3.0;LONGIN, KORANA;6.0;PAGE, LINDA A. MURRIEL;8.0;GARCIA PIERO, MARIA BEGOA;2.96;SNCHEZ LUJN, ROSAURA DEL CARMEN;2.58;HLEDE, KORALJKA;3.44;LONGIN, KORANA;1.81;TRANQUILLI, ALLISON;0.65;TRANQUILLI, ALLISON;0.04;CRAWFORD, SHALA;3.65;ZURRO ALFONSO, MARTA;5.67;---, ELENA;21.92;ASKAMP, MARLIES;0.0;ASKAMP, MARLIES;0.0;ASKAMP, MARLIES;0.0;ASKAMP, MARLIES;0.0;ASKAMP, MARLIES;0.0;ASKAMP, MARLIES;0.0;ASKAMP, MARLIES;0.0;ASKAMP, MARLIES;0.0;ASKAMP, MARLIES;0.0;ASKAMP, MARLIES;0.0;ASKAMP, MARLIES;0.0;ASKAMP, MARLIES;0.0;ASKAMP, MARLIES;0.0;ASKAMP, MARLIES;0.0;ASKAMP, MARLIES;0.0;ASKAMP, MARLIES;0.0;ASKAMP, MARLIES;0.0;ASKAMP, MARLIES;0.0;ASKAMP, MARLIES;0.0;ASKAMP, MARLIES;0.0
TRANQUILLI, ALLISON;35.77;DAPO, AMRA;18.15;---, ELENA;6.54;MACHANGUANA, CLARISSE EULALIA;12.83;CALVO VERA, ARANTXA;0.61;ANULA ALAMEDA, NIEVES;2.0;GALLEGO VICARIO, SANDRA;5.38;XANTAL SERRET, M DEL MAR;0.46;---, POLIMIA;4.58;MUJANOVIC, RAZIJA;6.05;ALVARO BASCUANA, ANA BELEN;0.89;CRAWFORD, SHALA;2.69;MACHANGUANA, CLARISSE EULALIA;5.83;WHITTLE, JENNY;7.92;HLEDE, KORALJKA;2.6;HODGES, DALE;2.46;MAGLISCEAU, MICHELLE YVONNE;3.15;CEBRIAN SCHEURER, ELISABET;1.23;SANCHEZ FERNANDEZ, ISABEL;0.65;ASKAMP, MARLIES;0.0;MORENO MELIAN, ARMINDA;3.6;MUJANOVIC, RAZIJA;5.64;LONGIN, KORANA;21.62;CANO MARTINEZ, LAURA;0.0;CANO MARTINEZ, LAURA;0.0;CANO MARTINEZ, LAURA;0.0;CANO MARTINEZ, LAURA;0.0;CANO MARTINEZ, LAURA;0.0;CANO MARTINEZ, LAURA;0.0;CANO MARTINEZ, LAURA;0.0;CANO MARTINEZ, LAURA;0.0;CANO MARTINEZ, LAURA;0.0;CANO MARTINEZ, LAURA;0.0;CANO MARTINEZ, LAURA;0.0;CANO MARTINEZ, LAURA;0.0;CANO MARTINEZ, LAURA;0.0;CANO MARTINEZ, LAURA;0.0;CANO MARTINEZ, LAURA;0.0;CANO MARTINEZ, LAURA;0.0;CANO MARTINEZ, LAURA;0.0;CANO MARTINEZ, LAURA;0.0;CANO MARTINEZ, LAURA;0.0;CANO MARTINEZ, LAURA;0.0
DAPO, AMRA;35.38;MUJANOVIC, RAZIJA;18.05;MACHANGUANA, CLARISSE EULALIA;6.48;HODGES, DALE;12.73;CARRERA PEREZ, ANDREA;0.6;GALLEGO VICARIO, SANDRA;2.0;GARCIA PIERO, MARIA BEGOA;5.15;LONGIN, KORANA;0.45;TRANQUILLI, ALLISON;4.27;LELAS BENKOVIC, KRISTINA;5.44;ARAMBURU GARAYALDE, LEIRE;0.87;PONS MOLINA, INGRID;2.58;HODGES, DALE;5.69;MACHANGUANA, CLARISSE EULALIA;7.61;GALLEGO VICARIO, SANDRA;2.57;CONGREAVES, ANDREA FIONA;2.42;WHITMORE, TAMIKA LACHAN;3.04;MUJANOVIC, RAZIJA;1.09;DEZ FERNNDEZ, COVADONGA;0.65;GOODSON, ADRIENNE MAUREEN;0.0;MACHANGUANA, CLARISSE EULALIA;3.57;DAPO, AMRA;5.12;HLEDE, KORALJKA;19.16;---, RAQUEL RODRIGUEZ VIGUERA;0.0;---, RAQUEL RODRIGUEZ VIGUERA;0.0;---, RAQUEL RODRIGUEZ VIGUERA;0.0;---, RAQUEL RODRIGUEZ VIGUERA;0.0;---, RAQUEL RODRIGUEZ VIGUERA;0.0;---, RAQUEL RODRIGUEZ VIGUERA;0.0;---, RAQUEL RODRIGUEZ VIGUERA;0.0;---, RAQUEL RODRIGUEZ VIGUERA;0.0;---, RAQUEL RODRIGUEZ VIGUERA;0.0;---, RAQUEL RODRIGUEZ VIGUERA;0.0;---, RAQUEL RODRIGUEZ VIGUERA;0.0;---, RAQUEL RODRIGUEZ VIGUERA;0.0;---, RAQUEL RODRIGUEZ VIGUERA;0.0;---, RAQUEL RODRIGUEZ VIGUERA;0.0;---, RAQUEL RODRIGUEZ VIGUERA;0.0;---, RAQUEL RODRIGUEZ VIGUERA;0.0;---, RAQUEL RODRIGUEZ VIGUERA;0.0;---, RAQUEL RODRIGUEZ VIGUERA;0.0;---, RAQUEL RODRIGUEZ VIGUERA;0.0;---, RAQUEL RODRIGUEZ VIGUERA;0.0
SNCHEZ LUJN, ROSAURA DEL CARMEN;35.35;---, ELENA;17.38;WHITMORE, TAMIKA LACHAN;6.44;---, ELENA;12.58;BEZOS MARTNEZ, EMMA;0.6;ALVARO BASCUANA, ANA BELEN;2.0;PELAEZ SAN GIL, LOURDES;4.85;CONGREAVES, ANDREA FIONA;0.44;HLEDE, KORALJKA;4.08;ZURRO ALFONSO, MARTA;5.33;NOVILLO TARRES, ESTER;0.86;CHECA JIMENO, MARIA TERESA;2.54;---, ELENA;5.31;POLLINI, CATARINA;7.52;ANULA ALAMEDA, NIEVES;2.46;ALVARO BASCUANA, ANA BELEN;2.42;MACHANGUANA, CLARISSE EULALIA;3.0;KHOUDACHOVA, ELENA;0.93;GARCIA TARRAZO, RAQUEL;0.62;---, PATRICIA PONTON PEREZ;0.0;REMIRO LEN, MARA;3.54;LELAS BENKOVIC, KRISTINA;4.88;FERRAGUT CASTILLO, MARINA;17.88;YOLOVSKA, ELENA PETROVA;0.0;YOLOVSKA, ELENA PETROVA;0.0;YOLOVSKA, ELENA PETROVA;0.0;YOLOVSKA, ELENA PETROVA;0.0;YOLOVSKA, ELENA PETROVA;0.0;YOLOVSKA, ELENA PETROVA;0.0;YOLOVSKA, ELENA PETROVA;0.0;YOLOVSKA, ELENA PETROVA;0.0;YOLOVSKA, ELENA PETROVA;0.0;YOLOVSKA, ELENA PETROVA;0.0;YOLOVSKA, ELENA PETROVA;0.0;YOLOVSKA, ELENA PETROVA;0.0;YOLOVSKA, ELENA PETROVA;0.0;YOLOVSKA, ELENA PETROVA;0.0;YOLOVSKA, ELENA PETROVA;0.0;YOLOVSKA, ELENA PETROVA;0.0;YOLOVSKA, ELENA PETROVA;0.0;YOLOVSKA, ELENA PETROVA;0.0;YOLOVSKA, ELENA PETROVA;0.0;YOLOVSKA, ELENA PETROVA;0.0
MACHANGUANA, CLARISSE EULALIA;35.22;WHITMORE, TAMIKA LACHAN;17.0;HODGES, DALE;6.19;JIMENEZ MARTIN, MARGARITA;12.05;MAGLISCEAU, MICHELLE YVONNE;0.59;GESTEIRA FERNANDEZ, LIDIA;1.83;ANULA ALAMEDA, NIEVES;4.73;FERRAGUT CASTILLO, MARINA;0.43;MORALES MARTIN, SILVIA;4.08;WHITMORE, TAMIKA LACHAN;5.24;LONGIN, KORANA;0.85;GOUREEVA, JULIA;2.44;FERRAGUT CASTILLO, MARINA;5.28;---, ELENA;7.42;JOHNSON, SHANNON REGINA;2.35;JOHNSON, SHANNON REGINA;2.26;JIMENEZ MARTIN, MARGARITA;2.95;JOHNSTON, CYNTHIA;0.84;CHECA JIMENO, MARIA TERESA;0.5;JAMES, VERANDA LATITIA;0.0;GOUREEVA, JULIA;3.52;---, ELENA;4.88;MACHANGUANA, CLARISSE EULALIA;17.87;JAMES, VERANDA LATITIA;0.0;JAMES, VERANDA LATITIA;0.0;JAMES, VERANDA LATITIA;0.0;JAMES, VERANDA LATITIA;0.0;JAMES, VERANDA LATITIA;0.0;JAMES, VERANDA LATITIA;0.0;JAMES, VERANDA LATITIA;0.0;JAMES, VERANDA LATITIA;0.0;JAMES, VERANDA LATITIA;0.0;JAMES, VERANDA LATITIA;0.0;JAMES, VERANDA LATITIA;0.0;JAMES, VERANDA LATITIA;0.0;JAMES, VERANDA LATITIA;0.0;JAMES, VERANDA LATITIA;0.0;JAMES, VERANDA LATITIA;0.0;JAMES, VERANDA LATITIA;0.0;JAMES, VERANDA LATITIA;0.0;JAMES, VERANDA LATITIA;0.0;JAMES, VERANDA LATITIA;0.0;JAMES, VERANDA LATITIA;0.0
WHITTLE, JENNY;35.19;ANULA ALAMEDA, NIEVES;16.58;ZURRO ALFONSO, MARTA;5.58;DAPO, AMRA;11.58;MUJANOVIC, RAZIJA;0.59;AGUILAR LOPEZ, ELISA;1.81;GESTEIRA FERNANDEZ, LIDIA;4.48;PEREZ CAPARROS, ROSA;0.43;ZURRO ALFONSO, MARTA;3.92;MORALES MARTIN, SILVIA;5.04;TRANQUILLI, ALLISON;0.85;POLLINI, CATARINA;2.24;POLLINI, CATARINA;5.28;LONGIN, KORANA;7.38;ALVARO BASCUANA, ANA BELEN;2.35;HLEDE, KORALJKA;2.16;REVUELTO SNCHEZ-AGUILERA, MARIA;2.88;POLLINI, CATARINA;0.72;SNCHEZ LUJN, ROSAURA DEL CARMEN;0.5;GOMEZ LOZADA, ERIKA;0.0;PAGE, LINDA A. MURRIEL;3.52;TRANQUILLI, ALLISON;4.5;CONGREAVES, ANDREA FIONA;17.27;GOMEZ LOZADA, ERIKA;0.0;GOMEZ LOZADA, ERIKA;0.0;GOMEZ LOZADA, ERIKA;0.0;GOMEZ LOZADA, ERIKA;0.0;GOMEZ LOZADA, ERIKA;0.0;GOMEZ LOZADA, ERIKA;0.0;GOMEZ LOZADA, ERIKA;0.0;GOMEZ LOZADA, ERIKA;0.0;GOMEZ LOZADA, ERIKA;0.0;GOMEZ LOZADA, ERIKA;0.0;GOMEZ LOZADA, ERIKA;0.0;GOMEZ LOZADA, ERIKA;0.0;GOMEZ LOZADA, ERIKA;0.0;GOMEZ LOZADA, ERIKA;0.0;GOMEZ LOZADA, ERIKA;0.0;GOMEZ LOZADA, ERIKA;0.0;GOMEZ LOZADA, ERIKA;0.0;GOMEZ LOZADA, ERIKA;0.0;GOMEZ LOZADA, ERIKA;0.0;GOMEZ LOZADA, ERIKA;0.0
SANCHEZ FERNANDEZ, ISABEL;35.0;TRANQUILLI, ALLISON;16.54;LELAS BENKOVIC, KRISTINA;5.56;---, POLIMIA;11.5;GESTEIRA FERNANDEZ, LIDIA;0.57;VALDEMORO MADARIAGA, AMAYA;1.48;AGUILAR LOPEZ, ELISA;4.35;CARRERA PEREZ, ANDREA;0.43;---, ELENA;3.85;HLEDE, KORALJKA;5.04;ANULA ALAMEDA, NIEVES;0.84;RODIONOVA, SVITLANA;2.23;PAGE, LINDA A. MURRIEL;5.0;GOUREEVA, JULIA;7.08;---, MARTA;2.27;CEBRIAN SCHEURER, ELISABET;2.15;ZURRO ALFONSO, MARTA;2.79;PAGE, LINDA A. MURRIEL;0.61;CARBALLO AFONSO, ROCIO;0.46;ROURA CARVAJAL, SONIA;0.0;MAGLISCEAU, MICHELLE YVONNE;3.5;MORALES MARTIN, SILVIA;4.5;ZURRO ALFONSO, MARTA;16.96;ROURA CARVAJAL, SONIA;0.0;ROURA CARVAJAL, SONIA;0.0;ROURA CARVAJAL, SONIA;0.0;ROURA CARVAJAL, SONIA;0.0;ROURA CARVAJAL, SONIA;0.0;ROURA CARVAJAL, SONIA;0.0;ROURA CARVAJAL, SONIA;0.0;ROURA CARVAJAL, SONIA;0.0;ROURA CARVAJAL, SONIA;0.0;ROURA CARVAJAL, SONIA;0.0;ROURA CARVAJAL, SONIA;0.0;ROURA CARVAJAL, SONIA;0.0;ROURA CARVAJAL, SONIA;0.0;ROURA CARVAJAL, SONIA;0.0;ROURA CARVAJAL, SONIA;0.0;ROURA CARVAJAL, SONIA;0.0;ROURA CARVAJAL, SONIA;0.0;ROURA CARVAJAL, SONIA;0.0;ROURA CARVAJAL, SONIA;0.0;ROURA CARVAJAL, SONIA;0.0
REMIRO LEN, MARA;34.85;FERRAGUT CASTILLO, MARINA;16.2;FERRAGUT CASTILLO, MARINA;5.48;MUJANOVIC, RAZIJA;11.36;LONGIN, KORANA;0.57;MIRCHANDANI VILLAR, LIDIA;1.47;CARBALLO AFONSO, ROCIO;3.92;SECO SALVADOR, TERESA;0.43;SNCHEZ LUJN, ROSAURA DEL CARMEN;3.81;TRANQUILLI, ALLISON;5.0;HODGES, DALE;0.83;ZURRO ALFONSO, MARTA;2.21;WHITMORE, TAMIKA LACHAN;4.92;CRAWFORD, SHALA;6.96;PALAU ALTES, LAIA;2.23;SANCHEZ FERNANDEZ, ISABEL;2.15;GARCIA PIERO, MARIA BEGOA;2.77;MACHANGUANA, CLARISSE EULALIA;0.61;HODGES, DALE;0.46;---, BROOKE ELIZABETH;0.0;ZURRO ALFONSO, MARTA;3.38;HLEDE, KORALJKA;4.4;---, POLIMIA;16.69;---, BROOKE ELIZABETH;0.0;---, BROOKE ELIZABETH;0.0;---, BROOKE ELIZABETH;0.0;---, BROOKE ELIZABETH;0.0;---, BROOKE ELIZABETH;0.0;---, BROOKE ELIZABETH;0.0;---, BROOKE ELIZABETH;0.0;---, BROOKE ELIZABETH;0.0;---, BROOKE ELIZABETH;0.0;---, BROOKE ELIZABETH;0.0;---, BROOKE ELIZABETH;0.0;---, BROOKE ELIZABETH;0.0;---, BROOKE ELIZABETH;0.0;---, BROOKE ELIZABETH;0.0;---, BROOKE ELIZABETH;0.0;---, BROOKE ELIZABETH;0.0;---, BROOKE ELIZABETH;0.0;---, BROOKE ELIZABETH;0.0;---, BROOKE ELIZABETH;0.0;---, BROOKE ELIZABETH;0.0
