Nombre;Equipo;Partidos;Minutos;Puntos;T2 Anotados;T2 Lanzados;% T2;T3 Anotados;T3 Lanzados;% T3;T1 Anotados;T1 Lanzados;% T1;Reb. Ofensivos;Reb. Defensivos;Rebotes;Asistencias;Robos;Perdidas;Tapones;Tapones Recibidos;Mates;Faltas Cometidas;Faltas Recibidas;Valoracion;% Asist;% Tiro Efectivo;% Tiro Verdadero;GScore;TLR%;Posesiones Anotadas;Posesiones No Anotadas;Floor Percentage;Puntos por Tiro;% Rebotes;% Rebotes Def;% Rebotes Of;% Robos;Toques;Uso;Versatilidad;Win Scores;Eficiencia Ofensiva;Eficiencia Defensiva;Diferencia eficiencia
b'---, BROOKE ELIZABETH';['UNIVERSIDAD DE OVIEDO'];12.0;30.83;13.67;5.0;10.42;0.48;0.5;2.42;0.21;2.17;2.92;0.74;3.33;6.42;9.75;0.92;2.25;3.17;1.33;0.25;0.0;3.08;3.75;17.08;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
b'---, DAYZA';['CAJA RURAL DE CANARIAS'];17.0;8.0;1.41;0.53;1.06;0.5;0.12;0.65;0.18;0.0;0.18;0.0;0.12;0.24;0.35;0.29;0.53;0.41;0.06;0.0;0.0;1.12;0.41;0.29;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
b'---, ELENA';['FILTROS MANN ZARAGOZA'];26.0;33.69;17.38;6.54;12.58;0.52;0.15;0.38;0.4;3.85;4.73;0.81;2.12;5.31;7.42;3.27;1.96;3.46;0.27;0.19;0.0;2.46;4.88;21.92;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
b'---, ESTHER';['HALCON VIAJES'];5.0;4.6;2.8;1.2;1.8;0.67;0.0;0.0;0.0;0.4;0.6;0.67;0.4;0.2;0.6;0.0;0.0;0.4;0.8;0.0;0.0;1.0;0.4;2.4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
b'---, IZIANE CASTRO MARQUEZ';['YAYA MARIA BREOGAN'];13.0;33.77;18.85;5.31;9.23;0.57;1.85;6.08;0.3;2.69;4.0;0.67;1.23;3.31;4.54;0.69;1.54;2.54;0.54;0.62;0.0;2.69;3.46;14.31;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
b'---, MARTA';['ROS CASARES VALENCIA'];26.0;27.81;11.38;3.88;8.65;0.45;0.38;1.38;0.28;2.46;3.46;0.71;0.88;2.85;3.73;2.27;1.42;2.04;0.46;0.42;0.0;2.15;2.77;10.65;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
b'---, MIRJANA';['EXTRUGASA COCINAS CARBALLO'];1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
b'---, PATRICIA PONTON PEREZ';['YAYA MARIA BREOGAN'];1.0;2.0;0.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;-4.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
b'---, PATRICIA RUBIO AZCORRA';['UNIVERSIDAD DE OVIEDO'];2.0;4.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
b'---, POLIMIA';['EXTRUGASA COCINAS CARBALLO'];26.0;34.65;15.65;5.42;11.5;0.47;0.08;0.69;0.11;4.58;6.5;0.7;1.58;4.77;6.35;0.81;1.23;2.15;0.08;0.35;0.0;2.04;5.73;16.69;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
b'---, RAQUEL RODRIGUEZ VIGUERA';['BALONCESTO CIUDAD DE BURGOS'];2.0;1.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
b'---, STEFANIE';['P.C. MENDIBIL'];17.0;26.41;6.29;2.59;6.35;0.41;0.0;0.0;0.0;1.12;1.94;0.58;1.18;3.76;4.94;0.71;0.47;1.18;0.29;0.24;0.0;3.18;2.0;5.53;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
