Nombre;Condicion;Partidos;Minutos;Puntos;T2 Anotados;T2 Lanzados;% T2;T3 Anotados;T3 Lanzados;% T3;T1 Anotados;T1 Lanzados;% T1;Reb. Ofensivos;Reb. Defensivos;Rebotes;Asistencias;Robos;Perdidas;Tapones;Tapones Recibidos;Mates;Faltas Cometidas;Faltas Recibidas;Valoracion;Posesiones;Ritmo;OER;% TC Efectivo;% Jugada;Frec. TL;% Reb Def;% Reb Of;% Assis;% Perd
['A.D. UNIVERSIDAD DE OVIEDO', 'A.D. UNIVERSIDAD DE OVIEDO', 'A.D. UNIVERSIDAD DE OVIEDO', 'A.D. UNIVERSIDAD DE OVIEDO', 'A.D. UNIVERSIDAD DE OVIEDO', 'A.D. UNIVERSIDAD DE OVIEDO', 'A.D. UNIVERSIDAD DE OVIEDO', 'A.D. UNIVERSIDAD DE OVIEDO', 'A.D. UNIVERSIDAD DE OVIEDO', 'A.D. UNIVERSIDAD DE OVIEDO', 'A.D. UNIVERSIDAD DE OVIEDO', 'A.D. UNIVERSIDAD DE OVIEDO'] Equipo;['Media'];7.0;200.0;73.0;23.0;48.86;0.47;4.57;13.57;0.34;13.29;18.71;0.71;8.43;18.14;26.57;4.71;10.14;8.29;0.86;1.57;0.0;22.0;12.0;55.14;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
['A.D. UNIVERSIDAD DE OVIEDO', 'A.D. UNIVERSIDAD DE OVIEDO', 'A.D. UNIVERSIDAD DE OVIEDO', 'A.D. UNIVERSIDAD DE OVIEDO', 'A.D. UNIVERSIDAD DE OVIEDO', 'A.D. UNIVERSIDAD DE OVIEDO', 'A.D. UNIVERSIDAD DE OVIEDO', 'A.D. UNIVERSIDAD DE OVIEDO', 'A.D. UNIVERSIDAD DE OVIEDO', 'A.D. UNIVERSIDAD DE OVIEDO', 'A.D. UNIVERSIDAD DE OVIEDO', 'A.D. UNIVERSIDAD DE OVIEDO'] Equipo Rival;['Media Rival'];7.0;191.14;68.29;19.71;41.29;0.48;3.43;8.86;0.39;18.57;27.29;0.68;7.86;20.86;28.71;5.43;6.43;11.43;1.14;0.71;0.0;17.71;14.0;58.43;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
['A.D. UNIVERSIDAD DE OVIEDO', 'A.D. UNIVERSIDAD DE OVIEDO', 'A.D. UNIVERSIDAD DE OVIEDO', 'A.D. UNIVERSIDAD DE OVIEDO', 'A.D. UNIVERSIDAD DE OVIEDO', 'A.D. UNIVERSIDAD DE OVIEDO', 'A.D. UNIVERSIDAD DE OVIEDO', 'A.D. UNIVERSIDAD DE OVIEDO', 'A.D. UNIVERSIDAD DE OVIEDO', 'A.D. UNIVERSIDAD DE OVIEDO', 'A.D. UNIVERSIDAD DE OVIEDO'] Equipo;['Media'];11.0;200.0;64.36;18.82;44.09;0.43;5.55;17.36;0.32;10.09;15.82;0.64;8.64;18.09;26.73;5.45;9.64;10.0;1.36;1.82;0.0;20.64;15.45;47.73;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
['A.D. UNIVERSIDAD DE OVIEDO', 'A.D. UNIVERSIDAD DE OVIEDO', 'A.D. UNIVERSIDAD DE OVIEDO', 'A.D. UNIVERSIDAD DE OVIEDO', 'A.D. UNIVERSIDAD DE OVIEDO', 'A.D. UNIVERSIDAD DE OVIEDO', 'A.D. UNIVERSIDAD DE OVIEDO', 'A.D. UNIVERSIDAD DE OVIEDO', 'A.D. UNIVERSIDAD DE OVIEDO', 'A.D. UNIVERSIDAD DE OVIEDO', 'A.D. UNIVERSIDAD DE OVIEDO'] Equipo Rival;['Media Rival'];11.0;193.36;68.73;18.91;38.55;0.49;5.09;13.09;0.39;15.64;21.09;0.74;6.55;21.82;28.36;6.45;8.27;9.73;1.73;1.09;0.0;16.64;17.45;70.45;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
['A.D. UNIVERSIDAD DE OVIEDO', 'A.D. UNIVERSIDAD DE OVIEDO', 'A.D. UNIVERSIDAD DE OVIEDO', 'A.D. UNIVERSIDAD DE OVIEDO', 'A.D. UNIVERSIDAD DE OVIEDO', 'A.D. UNIVERSIDAD DE OVIEDO', 'A.D. UNIVERSIDAD DE OVIEDO', 'A.D. UNIVERSIDAD DE OVIEDO', 'A.D. UNIVERSIDAD DE OVIEDO', 'A.D. UNIVERSIDAD DE OVIEDO'] Equipo;['Media'];2.0;200.0;75.0;27.5;53.0;0.52;3.0;14.0;0.21;11.0;16.0;0.69;11.5;18.5;30.0;3.0;8.0;8.5;2.0;0.5;0.0;20.5;18.0;65.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
['A.D. UNIVERSIDAD DE OVIEDO', 'A.D. UNIVERSIDAD DE OVIEDO', 'A.D. UNIVERSIDAD DE OVIEDO', 'A.D. UNIVERSIDAD DE OVIEDO', 'A.D. UNIVERSIDAD DE OVIEDO', 'A.D. UNIVERSIDAD DE OVIEDO', 'A.D. UNIVERSIDAD DE OVIEDO', 'A.D. UNIVERSIDAD DE OVIEDO', 'A.D. UNIVERSIDAD DE OVIEDO', 'A.D. UNIVERSIDAD DE OVIEDO'] Equipo Rival;['Media Rival'];2.0;200.0;79.0;25.0;46.5;0.54;4.0;12.5;0.32;17.0;22.0;0.77;7.5;15.5;23.0;5.0;6.5;6.5;0.5;2.0;0.0;17.5;20.5;73.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
['A.D. UNIVERSIDAD DE OVIEDO', 'A.D. UNIVERSIDAD DE OVIEDO', 'A.D. UNIVERSIDAD DE OVIEDO', 'A.D. UNIVERSIDAD DE OVIEDO', 'A.D. UNIVERSIDAD DE OVIEDO', 'A.D. UNIVERSIDAD DE OVIEDO', 'A.D. UNIVERSIDAD DE OVIEDO', 'A.D. UNIVERSIDAD DE OVIEDO', 'A.D. UNIVERSIDAD DE OVIEDO'] Equipo;['Media'];1.0;200.0;56.0;17.0;34.0;0.5;4.0;18.0;0.22;10.0;17.0;0.59;10.0;18.0;28.0;2.0;13.0;18.0;2.0;0.0;0.0;26.0;22.0;41.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
['A.D. UNIVERSIDAD DE OVIEDO', 'A.D. UNIVERSIDAD DE OVIEDO', 'A.D. UNIVERSIDAD DE OVIEDO', 'A.D. UNIVERSIDAD DE OVIEDO', 'A.D. UNIVERSIDAD DE OVIEDO', 'A.D. UNIVERSIDAD DE OVIEDO', 'A.D. UNIVERSIDAD DE OVIEDO', 'A.D. UNIVERSIDAD DE OVIEDO', 'A.D. UNIVERSIDAD DE OVIEDO'] Equipo Rival;['Media Rival'];1.0;200.0;61.0;20.0;39.0;0.51;2.0;14.0;0.14;15.0;23.0;0.65;13.0;15.0;28.0;3.0;9.0;9.0;0.0;2.0;0.0;22.0;25.0;54.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
['ALUMINIOS TIZONA', 'ALUMINIOS TIZONA', 'ALUMINIOS TIZONA', 'ALUMINIOS TIZONA', 'ALUMINIOS TIZONA', 'ALUMINIOS TIZONA', 'ALUMINIOS TIZONA', 'ALUMINIOS TIZONA', 'ALUMINIOS TIZONA', 'ALUMINIOS TIZONA', 'ALUMINIOS TIZONA', 'ALUMINIOS TIZONA', 'ALUMINIOS TIZONA'] Equipo;['Media'];10.0;200.0;69.4;19.2;38.4;0.5;4.7;13.2;0.36;16.9;24.4;0.69;11.3;24.1;35.4;8.8;7.9;10.2;2.0;1.4;0.0;18.7;6.0;64.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
['ALUMINIOS TIZONA', 'ALUMINIOS TIZONA', 'ALUMINIOS TIZONA', 'ALUMINIOS TIZONA', 'ALUMINIOS TIZONA', 'ALUMINIOS TIZONA', 'ALUMINIOS TIZONA', 'ALUMINIOS TIZONA', 'ALUMINIOS TIZONA', 'ALUMINIOS TIZONA', 'ALUMINIOS TIZONA', 'ALUMINIOS TIZONA', 'ALUMINIOS TIZONA'] Equipo Rival;['Media Rival'];10.0;189.6;62.8;18.7;41.9;0.45;3.4;10.6;0.32;15.2;19.6;0.78;7.1;16.4;23.5;5.7;7.8;10.4;2.4;0.4;0.0;20.7;5.9;41.8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
