Minutos (jugador);Minutos (valor);Puntos (jugador);Puntos (valor);T2 Anotados (jugador);T2 Anotados (valor);T2 Lanzados (jugador);T2 Lanzados (valor);% T2 (jugador);% T2 (valor);T3 Anotados (jugador);T3 Anotados (valor);T3 Lanzados (jugador);T3 Lanzados (valor);% T3 (jugador);% T3 (valor);T1 Anotados (jugador);T1 Anotados (valor);T1 Lanzados (jugador);T1 Lanzados (valor);% T1 (jugador);% T1 (valor);Reb. Ofensivos (jugador);Reb. Ofensivos (valor);Reb. Defensivos (jugador);Reb. Defensivos (valor);Rebotes (jugador);Rebotes (valor);Asistencias (jugador);Asistencias (valor);Robos (jugador);Robos (valor);Perdidas (jugador);Perdidas (valor);Tapones (jugador);Tapones (valor);Tapones Recibidos (jugador);Tapones Recibidos (valor);Mates (jugador);Mates (valor);Faltas Cometidas (jugador);Faltas Cometidas (valor);Faltas Recibidas (jugador);Faltas Recibidas (valor);Valoracion (jugador);Valoracion (valor);% Asist (jugador);% Asist (valor);% Tiro Efectivo (jugador);% Tiro Efectivo (valor);% Tiro Verdadero (jugador);% True Shooting (valor);GScore (jugador);GScore (valor);TLR% (jugador);TLR% (valor);Posesiones Anotadas (jugador);Posesiones Anotadas (valor);Posesiones No Anotadas (jugador);Posesiones No Anotadas (valor);Floor Percentage (jugador);Floor Percentage (valor);Puntos por Tiro (jugador);Puntos por Tiro (valor);% Rebotes (jugador);% Rebotes (valor);% Rebotes Def (jugador);% Rebotes Def (valor);% Rebotes Of (jugador);% Rebotes Of (valor);% Robos (jugador);% Robos (valor);Toques (jugador);Toques (valor);Uso (jugador);Uso (valor);Versatilidad (jugador);Versatilidad (valor);Win Scores (jugador);Win Scores (valor);Eficiencia Ofensiva (jugador);Eficiencia Ofensiva (valor);Eficiencia Defensiva (jugador);Eficiencia Defensiva (valor);Diferencia Eficiencia (jugador);Diferencia Eficiencia (valor)
ALVARO BASCUANA, ANA BELEN;36.77;SNCHEZ LUJN, ROSAURA DEL CARMEN;19.91;JUTELYTE, JOVITA;7.64;JUTELYTE, JOVITA;12.91;ROMERO RUBIO, ROSA MARIA;1.0;TARASENKO, OLGA;2.36;GESTEIRA FERNANDEZ, LIDIA;5.76;LEAKE, PAMELA;1.0;SNCHEZ LUJN, ROSAURA DEL CARMEN;5.55;SNCHEZ LUJN, ROSAURA DEL CARMEN;6.91;DEL MARMOL PECES, MARINA;1.0;PONS MOLINA, INGRID;3.55;CEBRIAN SCHEURER, ELISABET;9.64;CEBRIAN SCHEURER, ELISABET;12.82;GONZALEZ DIAZ, CARMEN;3.52;GESTEIRA FERNANDEZ, LIDIA;4.29;JONKUTE, INGRIDA;2.68;DYDEK, MARGO;2.29;EGLITE, LINDA;0.69;FERRER ADELANTADO, MARIA TERESA;0.14;MORENO MELIAN, ARMINDA;3.64;SNCHEZ LUJN, ROSAURA DEL CARMEN;5.41;JUTELYTE, JOVITA;24.09;NAVARRO VIERA, YASMINA;0.0;NAVARRO VIERA, YASMINA;0.0;NAVARRO VIERA, YASMINA;0.0;NAVARRO VIERA, YASMINA;0.0;NAVARRO VIERA, YASMINA;0.0;NAVARRO VIERA, YASMINA;0.0;NAVARRO VIERA, YASMINA;0.0;NAVARRO VIERA, YASMINA;0.0;NAVARRO VIERA, YASMINA;0.0;NAVARRO VIERA, YASMINA;0.0;NAVARRO VIERA, YASMINA;0.0;NAVARRO VIERA, YASMINA;0.0;NAVARRO VIERA, YASMINA;0.0;NAVARRO VIERA, YASMINA;0.0;NAVARRO VIERA, YASMINA;0.0;NAVARRO VIERA, YASMINA;0.0;NAVARRO VIERA, YASMINA;0.0;NAVARRO VIERA, YASMINA;0.0;NAVARRO VIERA, YASMINA;0.0;NAVARRO VIERA, YASMINA;0.0
CARROLL, CRYSTAL;36.23;JUTELYTE, JOVITA;18.68;CEBRIAN SCHEURER, ELISABET;6.45;ALONSO LOPEZ, MARIA PILAR;12.45;MERINO GARCIA-GESTO, ANA;1.0;GALLEGO VICARIO, SANDRA;1.95;ALVARO BASCUANA, ANA BELEN;5.68;RODRIGUEZ TOLEDO, ORANDA;1.0;ALVARO BASCUANA, ANA BELEN;4.91;JONKUTE, INGRIDA;6.14;MUOZ ROMERO, ESTHER;1.0;BEZOS MARTNEZ, EMMA;3.36;JUTELYTE, JOVITA;7.14;BEZOS MARTNEZ, EMMA;10.45;ALVARO BASCUANA, ANA BELEN;3.05;ALVARO BASCUANA, ANA BELEN;2.59;DIAZ ALBAR, CRISTINA;2.45;TUOMAITE, VITALIJA;1.82;VERDE ESPINOSA, PILAR;0.55;EGLITE, LINDA;0.08;TARASENKO, OLGA;3.64;---, POLIMIA;4.36;CEBRIAN SCHEURER, ELISABET;22.23;VALENCIANO MORATINOS, LAURA;0.0;VALENCIANO MORATINOS, LAURA;0.0;VALENCIANO MORATINOS, LAURA;0.0;VALENCIANO MORATINOS, LAURA;0.0;VALENCIANO MORATINOS, LAURA;0.0;VALENCIANO MORATINOS, LAURA;0.0;VALENCIANO MORATINOS, LAURA;0.0;VALENCIANO MORATINOS, LAURA;0.0;VALENCIANO MORATINOS, LAURA;0.0;VALENCIANO MORATINOS, LAURA;0.0;VALENCIANO MORATINOS, LAURA;0.0;VALENCIANO MORATINOS, LAURA;0.0;VALENCIANO MORATINOS, LAURA;0.0;VALENCIANO MORATINOS, LAURA;0.0;VALENCIANO MORATINOS, LAURA;0.0;VALENCIANO MORATINOS, LAURA;0.0;VALENCIANO MORATINOS, LAURA;0.0;VALENCIANO MORATINOS, LAURA;0.0;VALENCIANO MORATINOS, LAURA;0.0;VALENCIANO MORATINOS, LAURA;0.0
GESTEIRA FERNANDEZ, LIDIA;35.95;TARASENKO, OLGA;16.86;LEAKE, PAMELA;6.06;LLAMAS PAJUELO, MARIA NIEVES;11.73;GONZALEZ MANRIQUE, IRATXE;1.0;GONZALEZ DIAZ, CARMEN;1.9;TARASENKO, OLGA;5.59;FERNANDEZ VIDAL, SANDRA MARIA;0.67;JONKUTE, INGRIDA;4.91;GONZALEZ DIAZ, CARMEN;5.86;ALVARO BASCUANA, ANA BELEN;0.9;---, CHRISTINA ELAINE;3.24;BEZOS MARTNEZ, EMMA;7.09;JUTELYTE, JOVITA;10.14;ANULA ALAMEDA, NIEVES;2.9;SNCHEZ LUJN, ROSAURA DEL CARMEN;2.41;LEAKE, PAMELA;2.44;CEBRIAN SCHEURER, ELISABET;1.5;GAMON HERNANDEZ, ASUNCION;0.55;ANULA ALAMEDA, NIEVES;0.05;LEAKE, PAMELA;3.62;ALVARO BASCUANA, ANA BELEN;4.32;SNCHEZ LUJN, ROSAURA DEL CARMEN;19.41;QUINTANA DOMINGUEZ, VANESSA;0.0;QUINTANA DOMINGUEZ, VANESSA;0.0;QUINTANA DOMINGUEZ, VANESSA;0.0;QUINTANA DOMINGUEZ, VANESSA;0.0;QUINTANA DOMINGUEZ, VANESSA;0.0;QUINTANA DOMINGUEZ, VANESSA;0.0;QUINTANA DOMINGUEZ, VANESSA;0.0;QUINTANA DOMINGUEZ, VANESSA;0.0;QUINTANA DOMINGUEZ, VANESSA;0.0;QUINTANA DOMINGUEZ, VANESSA;0.0;QUINTANA DOMINGUEZ, VANESSA;0.0;QUINTANA DOMINGUEZ, VANESSA;0.0;QUINTANA DOMINGUEZ, VANESSA;0.0;QUINTANA DOMINGUEZ, VANESSA;0.0;QUINTANA DOMINGUEZ, VANESSA;0.0;QUINTANA DOMINGUEZ, VANESSA;0.0;QUINTANA DOMINGUEZ, VANESSA;0.0;QUINTANA DOMINGUEZ, VANESSA;0.0;QUINTANA DOMINGUEZ, VANESSA;0.0;QUINTANA DOMINGUEZ, VANESSA;0.0
PONS MOLINA, INGRID;35.59;ALVARO BASCUANA, ANA BELEN;16.68;ALONSO LOPEZ, MARIA PILAR;5.68;EGLITE, LINDA;11.31;HERNANDEZ ESTEBAN, SILVIA;0.67;GESTEIRA FERNANDEZ, LIDIA;1.81;GALLEGO VICARIO, SANDRA;4.86;OTEO ASLA, IZASKUN;0.54;GONZALEZ DIAZ, CARMEN;4.81;ALVARO BASCUANA, ANA BELEN;5.45;DELGADO FERNANDEZ, CONCEPCION;0.9;CEBRIAN SCHEURER, ELISABET;3.18;PONS MOLINA, INGRID;5.91;PONS MOLINA, INGRID;9.45;VALDEMORO MADARIAGA, AMAYA;2.38;ANULA ALAMEDA, NIEVES;2.38;BEZOS MARTNEZ, EMMA;2.41;ZASSOULSKAYA, NATALIA;1.05;PONS MOLINA, INGRID;0.55;ALAMO GONZALEZ, ELENA;0.05;CARROLL, CRYSTAL;3.46;RODRIGUEZ TOLEDO, ORANDA;4.14;JONKUTE, INGRIDA;17.36;SANTANA SANCHEZ, IDOIA;0.0;SANTANA SANCHEZ, IDOIA;0.0;SANTANA SANCHEZ, IDOIA;0.0;SANTANA SANCHEZ, IDOIA;0.0;SANTANA SANCHEZ, IDOIA;0.0;SANTANA SANCHEZ, IDOIA;0.0;SANTANA SANCHEZ, IDOIA;0.0;SANTANA SANCHEZ, IDOIA;0.0;SANTANA SANCHEZ, IDOIA;0.0;SANTANA SANCHEZ, IDOIA;0.0;SANTANA SANCHEZ, IDOIA;0.0;SANTANA SANCHEZ, IDOIA;0.0;SANTANA SANCHEZ, IDOIA;0.0;SANTANA SANCHEZ, IDOIA;0.0;SANTANA SANCHEZ, IDOIA;0.0;SANTANA SANCHEZ, IDOIA;0.0;SANTANA SANCHEZ, IDOIA;0.0;SANTANA SANCHEZ, IDOIA;0.0;SANTANA SANCHEZ, IDOIA;0.0;SANTANA SANCHEZ, IDOIA;0.0
---, POLIMIA;35.55;JONKUTE, INGRIDA;15.86;LLAMAS PAJUELO, MARIA NIEVES;5.55;LEAKE, PAMELA;11.0;PEA LESMES, SANDRA;0.67;ALVARO BASCUANA, ANA BELEN;1.68;ESPERANZA PERCHES, MONTSERRAT;4.77;GARCIA MARTIN, ALICIA;0.54;---, POLIMIA;3.64;BEZOS MARTNEZ, EMMA;5.14;VALVERDE HERNANDEZ, MARTA;0.88;JUTELYTE, JOVITA;3.0;DYDEK, MARGO;5.62;---, CHRISTINA ELAINE;8.05;ZASSOULSKAYA, NATALIA;2.21;VALDEMORO MADARIAGA, AMAYA;2.33;ARMENTA MONTEAGUDO, MARUXA;2.27;JUTELYTE, JOVITA;1.0;ALOY ATIENZA, MERCEDES;0.5;MENDIVE PALOMO, MARIA;0.0;GESTEIRA FERNANDEZ, LIDIA;3.38;JONKUTE, INGRIDA;3.95;ANULA ALAMEDA, NIEVES;17.29;MENDIVE PALOMO, MARIA;0.0;MENDIVE PALOMO, MARIA;0.0;MENDIVE PALOMO, MARIA;0.0;MENDIVE PALOMO, MARIA;0.0;MENDIVE PALOMO, MARIA;0.0;MENDIVE PALOMO, MARIA;0.0;MENDIVE PALOMO, MARIA;0.0;MENDIVE PALOMO, MARIA;0.0;MENDIVE PALOMO, MARIA;0.0;MENDIVE PALOMO, MARIA;0.0;MENDIVE PALOMO, MARIA;0.0;MENDIVE PALOMO, MARIA;0.0;MENDIVE PALOMO, MARIA;0.0;MENDIVE PALOMO, MARIA;0.0;MENDIVE PALOMO, MARIA;0.0;MENDIVE PALOMO, MARIA;0.0;MENDIVE PALOMO, MARIA;0.0;MENDIVE PALOMO, MARIA;0.0;MENDIVE PALOMO, MARIA;0.0;MENDIVE PALOMO, MARIA;0.0
HERNANDEZ ARENCIBIA, PATRICIA DEL PINO;35.5;VALDEMORO MADARIAGA, AMAYA;15.57;EGLITE, LINDA;5.54;CEBRIAN SCHEURER, ELISABET;10.68;LOPEZ FERNANDEZ, MARIA PAZ;0.67;ESPERANZA PERCHES, MONTSERRAT;1.68;GONZALEZ DIAZ, CARMEN;4.71;GRANDE FLORES, LAURA;0.54;LLAMAS PAJUELO, MARIA NIEVES;3.45;---, POLIMIA;5.14;FERRER ADELANTADO, MARIA TERESA;0.88;---, HEIKE MARIA;2.19;JONKUTE, INGRIDA;5.55;JONKUTE, INGRIDA;7.27;MIRCHANDANI VILLAR, LIDIA;2.14;GARCIA PIERO, MARIA BEGOA;2.09;VALDEMORO MADARIAGA, AMAYA;2.1;JONKUTE, INGRIDA;0.82;SNCHEZ LUJN, ROSAURA DEL CARMEN;0.5;RAMOS RUIZ, CRISTINA;0.0;LLAMAS PAJUELO, MARIA NIEVES;3.36;GAMON HERNANDEZ, ASUNCION;3.64;VALDEMORO MADARIAGA, AMAYA;17.24;RAMOS RUIZ, CRISTINA;0.0;RAMOS RUIZ, CRISTINA;0.0;RAMOS RUIZ, CRISTINA;0.0;RAMOS RUIZ, CRISTINA;0.0;RAMOS RUIZ, CRISTINA;0.0;RAMOS RUIZ, CRISTINA;0.0;RAMOS RUIZ, CRISTINA;0.0;RAMOS RUIZ, CRISTINA;0.0;RAMOS RUIZ, CRISTINA;0.0;RAMOS RUIZ, CRISTINA;0.0;RAMOS RUIZ, CRISTINA;0.0;RAMOS RUIZ, CRISTINA;0.0;RAMOS RUIZ, CRISTINA;0.0;RAMOS RUIZ, CRISTINA;0.0;RAMOS RUIZ, CRISTINA;0.0;RAMOS RUIZ, CRISTINA;0.0;RAMOS RUIZ, CRISTINA;0.0;RAMOS RUIZ, CRISTINA;0.0;RAMOS RUIZ, CRISTINA;0.0;RAMOS RUIZ, CRISTINA;0.0
CEBRIAN SCHEURER, ELISABET;35.45;ANULA ALAMEDA, NIEVES;15.05;BEZOS MARTNEZ, EMMA;5.45;JONKUTE, INGRIDA;10.55;HEMERY, DEBBIE MICHELLE;0.64;HERNANDEZ ARENCIBIA, PATRICIA DEL PINO;1.59;MONJE HERNANDEZ, BLANCA;3.85;GAMON HERNANDEZ, ASUNCION;0.5;GAMON HERNANDEZ, ASUNCION;3.45;LLAMAS PAJUELO, MARIA NIEVES;5.09;---, HEIKE MARIA;0.86;ZASSOULSKAYA, NATALIA;2.11;CARROLL, CRYSTAL;5.15;---, POLIMIA;6.95;HERNANDEZ ARENCIBIA, PATRICIA DEL PINO;1.95;LEAKE, PAMELA;2.0;TARASENKO, OLGA;2.09;---, CHRISTINA ELAINE;0.76;RODRIGUEZ TOLEDO, ORANDA;0.5;RODRIGUEZ ELZO, DAVINIA TERESA;0.0;VERDE ESPINOSA, PILAR;3.36;LLAMAS PAJUELO, MARIA NIEVES;3.55;ALVARO BASCUANA, ANA BELEN;16.77;RODRIGUEZ ELZO, DAVINIA TERESA;0.0;RODRIGUEZ ELZO, DAVINIA TERESA;0.0;RODRIGUEZ ELZO, DAVINIA TERESA;0.0;RODRIGUEZ ELZO, DAVINIA TERESA;0.0;RODRIGUEZ ELZO, DAVINIA TERESA;0.0;RODRIGUEZ ELZO, DAVINIA TERESA;0.0;RODRIGUEZ ELZO, DAVINIA TERESA;0.0;RODRIGUEZ ELZO, DAVINIA TERESA;0.0;RODRIGUEZ ELZO, DAVINIA TERESA;0.0;RODRIGUEZ ELZO, DAVINIA TERESA;0.0;RODRIGUEZ ELZO, DAVINIA TERESA;0.0;RODRIGUEZ ELZO, DAVINIA TERESA;0.0;RODRIGUEZ ELZO, DAVINIA TERESA;0.0;RODRIGUEZ ELZO, DAVINIA TERESA;0.0;RODRIGUEZ ELZO, DAVINIA TERESA;0.0;RODRIGUEZ ELZO, DAVINIA TERESA;0.0;RODRIGUEZ ELZO, DAVINIA TERESA;0.0;RODRIGUEZ ELZO, DAVINIA TERESA;0.0;RODRIGUEZ ELZO, DAVINIA TERESA;0.0;RODRIGUEZ ELZO, DAVINIA TERESA;0.0
JUTELYTE, JOVITA;35.18;CEBRIAN SCHEURER, ELISABET;14.86;JONKUTE, INGRIDA;5.41;CARROLL, CRYSTAL;10.46;DYDEK, MARGO;0.62;JUANES HERNANDEZ, YOLANDA;1.41;HERNANDEZ ARENCIBIA, PATRICIA DEL PINO;3.77;ALAMO GONZALEZ, ELENA;0.5;MIRCHANDANI VILLAR, LIDIA;3.41;RODRIGUEZ TOLEDO, ORANDA;4.68;ANULA ALAMEDA, NIEVES;0.86;LLAMAS PAJUELO, MARIA NIEVES;2.0;RODRIGUEZ TOLEDO, ORANDA;5.0;EGLITE, LINDA;6.85;GARCIA PIERO, MARIA BEGOA;1.73;DELGADO DIAZ-GUEMES, RAQUEL;1.77;REMIRO LEN, MARA;2.09;TARASENKO, OLGA;0.73;PELAEZ SAN GIL, LOURDES;0.5;SANTANA SANCHEZ, IDOIA;0.0;CEBRIAN SCHEURER, ELISABET;3.23;MIRCHANDANI VILLAR, LIDIA;3.32;ZASSOULSKAYA, NATALIA;16.11;GYOUROVA, MARIANA ALEXIEVA;0.0;GYOUROVA, MARIANA ALEXIEVA;0.0;GYOUROVA, MARIANA ALEXIEVA;0.0;GYOUROVA, MARIANA ALEXIEVA;0.0;GYOUROVA, MARIANA ALEXIEVA;0.0;GYOUROVA, MARIANA ALEXIEVA;0.0;GYOUROVA, MARIANA ALEXIEVA;0.0;GYOUROVA, MARIANA ALEXIEVA;0.0;GYOUROVA, MARIANA ALEXIEVA;0.0;GYOUROVA, MARIANA ALEXIEVA;0.0;GYOUROVA, MARIANA ALEXIEVA;0.0;GYOUROVA, MARIANA ALEXIEVA;0.0;GYOUROVA, MARIANA ALEXIEVA;0.0;GYOUROVA, MARIANA ALEXIEVA;0.0;GYOUROVA, MARIANA ALEXIEVA;0.0;GYOUROVA, MARIANA ALEXIEVA;0.0;GYOUROVA, MARIANA ALEXIEVA;0.0;GYOUROVA, MARIANA ALEXIEVA;0.0;GYOUROVA, MARIANA ALEXIEVA;0.0;GYOUROVA, MARIANA ALEXIEVA;0.0
TARASENKO, OLGA;34.95;GONZALEZ DIAZ, CARMEN;14.62;VALDEMORO MADARIAGA, AMAYA;5.33;BEZOS MARTNEZ, EMMA;10.36;SANCHEZ ORTEGA, PALOMA;0.61;SNCHEZ LUJN, ROSAURA DEL CARMEN;1.36;JUANES HERNANDEZ, YOLANDA;3.55;DEL MARMOL PECES, MARINA;0.5;BEZOS MARTNEZ, EMMA;3.32;MIRCHANDANI VILLAR, LIDIA;4.5;VALERO CEBRIAN, PILAR;0.85;URDIAIN ASENSIO, NATALIA;1.95;---, POLIMIA;5.0;ZASSOULSKAYA, NATALIA;6.79;SANCHEZ ORTEGA, PALOMA;1.73;VALERO CEBRIAN, PILAR;1.77;URDIAIN ASENSIO, NATALIA;2.05;EGLITE, LINDA;0.46;ARMENTA MONTEAGUDO, MARUXA;0.5;NAVARRO VIERA, YASMINA;0.0;PELAEZ SAN GIL, LOURDES;3.2;PELAEZ SAN GIL, LOURDES;3.3;BEZOS MARTNEZ, EMMA;16.05;VARDAKI, EFTHINIA;0.0;VARDAKI, EFTHINIA;0.0;VARDAKI, EFTHINIA;0.0;VARDAKI, EFTHINIA;0.0;VARDAKI, EFTHINIA;0.0;VARDAKI, EFTHINIA;0.0;VARDAKI, EFTHINIA;0.0;VARDAKI, EFTHINIA;0.0;VARDAKI, EFTHINIA;0.0;VARDAKI, EFTHINIA;0.0;VARDAKI, EFTHINIA;0.0;VARDAKI, EFTHINIA;0.0;VARDAKI, EFTHINIA;0.0;VARDAKI, EFTHINIA;0.0;VARDAKI, EFTHINIA;0.0;VARDAKI, EFTHINIA;0.0;VARDAKI, EFTHINIA;0.0;VARDAKI, EFTHINIA;0.0;VARDAKI, EFTHINIA;0.0;VARDAKI, EFTHINIA;0.0
ALONSO LOPEZ, MARIA PILAR;34.91;LLAMAS PAJUELO, MARIA NIEVES;14.55;SNCHEZ LUJN, ROSAURA DEL CARMEN;5.14;PONS MOLINA, INGRID;9.73;VALDEMORO MADARIAGA, AMAYA;0.61;MONJE HERNANDEZ, BLANCA;1.35;DIAZ-LARRAURI CALLEJA, BEATRIZ;3.52;JONKUTE, INGRIDA;0.5;JUTELYTE, JOVITA;3.27;PONS MOLINA, INGRID;4.5;JACKSON, BRENETHA TRISE;0.84;---, POLIMIA;1.95;EGLITE, LINDA;4.92;RODRIGUEZ TOLEDO, ORANDA;6.68;HEREDERO VERA, ANA ISABEL;1.62;SANCHEZ ORTEGA, PALOMA;1.77;GALECH AMILLANO, SONIA;2.05;CARROLL, CRYSTAL;0.46;REMIRO LEN, MARA;0.45;VALENCIANO MORATINOS, LAURA;0.0;DELGADO DIAZ-GUEMES, RAQUEL;3.18;ANULA ALAMEDA, NIEVES;3.24;---, POLIMIA;16.05;RODRIGUEZ MARTIN, ANA BELEN;0.0;RODRIGUEZ MARTIN, ANA BELEN;0.0;RODRIGUEZ MARTIN, ANA BELEN;0.0;RODRIGUEZ MARTIN, ANA BELEN;0.0;RODRIGUEZ MARTIN, ANA BELEN;0.0;RODRIGUEZ MARTIN, ANA BELEN;0.0;RODRIGUEZ MARTIN, ANA BELEN;0.0;RODRIGUEZ MARTIN, ANA BELEN;0.0;RODRIGUEZ MARTIN, ANA BELEN;0.0;RODRIGUEZ MARTIN, ANA BELEN;0.0;RODRIGUEZ MARTIN, ANA BELEN;0.0;RODRIGUEZ MARTIN, ANA BELEN;0.0;RODRIGUEZ MARTIN, ANA BELEN;0.0;RODRIGUEZ MARTIN, ANA BELEN;0.0;RODRIGUEZ MARTIN, ANA BELEN;0.0;RODRIGUEZ MARTIN, ANA BELEN;0.0;RODRIGUEZ MARTIN, ANA BELEN;0.0;RODRIGUEZ MARTIN, ANA BELEN;0.0;RODRIGUEZ MARTIN, ANA BELEN;0.0;RODRIGUEZ MARTIN, ANA BELEN;0.0
