Minutos (jugador);Minutos (valor);Puntos (jugador);Puntos (valor);T2 Anotados (jugador);T2 Anotados (valor);T2 Lanzados (jugador);T2 Lanzados (valor);% T2 (jugador);% T2 (valor);T3 Anotados (jugador);T3 Anotados (valor);T3 Lanzados (jugador);T3 Lanzados (valor);% T3 (jugador);% T3 (valor);T1 Anotados (jugador);T1 Anotados (valor);T1 Lanzados (jugador);T1 Lanzados (valor);% T1 (jugador);% T1 (valor);Reb. Ofensivos (jugador);Reb. Ofensivos (valor);Reb. Defensivos (jugador);Reb. Defensivos (valor);Rebotes (jugador);Rebotes (valor);Asistencias (jugador);Asistencias (valor);Robos (jugador);Robos (valor);Perdidas (jugador);Perdidas (valor);Tapones (jugador);Tapones (valor);Tapones Recibidos (jugador);Tapones Recibidos (valor);Mates (jugador);Mates (valor);Faltas Cometidas (jugador);Faltas Cometidas (valor);Faltas Recibidas (jugador);Faltas Recibidas (valor);Valoracion (jugador);Valoracion (valor);% Asist (jugador);% Asist (valor);% Tiro Efectivo (jugador);% Tiro Efectivo (valor);% Tiro Verdadero (jugador);% True Shooting (valor);GScore (jugador);GScore (valor);TLR% (jugador);TLR% (valor);Posesiones Anotadas (jugador);Posesiones Anotadas (valor);Posesiones No Anotadas (jugador);Posesiones No Anotadas (valor);Floor Percentage (jugador);Floor Percentage (valor);Puntos por Tiro (jugador);Puntos por Tiro (valor);% Rebotes (jugador);% Rebotes (valor);% Rebotes Def (jugador);% Rebotes Def (valor);% Rebotes Of (jugador);% Rebotes Of (valor);% Robos (jugador);% Robos (valor);Toques (jugador);Toques (valor);Uso (jugador);Uso (valor);Versatilidad (jugador);Versatilidad (valor);Win Scores (jugador);Win Scores (valor);Eficiencia Ofensiva (jugador);Eficiencia Ofensiva (valor);Eficiencia Defensiva (jugador);Eficiencia Defensiva (valor);Diferencia Eficiencia (jugador);Diferencia Eficiencia (valor)
GARCIA MATA, GEMA;37.2;MURPHY, ESHAYA MARIE;21.12;BORGES DOS REIS, SONIA;7.38;BORGES DOS REIS, SONIA;13.17;DE SOUZA MACHADO, ERIKA CRISTINA;0.68;FEASTER, ALISON;2.65;FEASTER, ALISON;6.35;DIEME, BINTOU;0.48;WARBURTON, MORGAN SHEA;3.84;BORGES DOS REIS, SONIA;5.25;HAJDUNE CSASZAR, ANDREA;1.0;DE SOUZA MACHADO, ERIKA CRISTINA;3.15;LYTTLE LYTTLE, SANCHO TRACY CONSTANCE;7.92;LYTTLE LYTTLE, SANCHO TRACY CONSTANCE;10.68;BERMEJO MORENO, CLARA SUSANA;3.88;BLANES MACHO, MARTA;2.88;WARBURTON, MORGAN SHEA;4.0;DE SOUZA MACHADO, ERIKA CRISTINA;1.38;MURPHY, ESHAYA MARIE;0.84;ARGELLO CUENCA, PATRICIA;0.04;SANFORD, NAKIA SHEROME;3.68;SANFORD, NAKIA SHEROME;5.21;LYTTLE LYTTLE, SANCHO TRACY CONSTANCE;26.92;BARAUT GRAU, CLAUDIA;0.0;BARAUT GRAU, CLAUDIA;0.0;BARAUT GRAU, CLAUDIA;0.0;BARAUT GRAU, CLAUDIA;0.0;BARAUT GRAU, CLAUDIA;0.0;BARAUT GRAU, CLAUDIA;0.0;BARAUT GRAU, CLAUDIA;0.0;BARAUT GRAU, CLAUDIA;0.0;BARAUT GRAU, CLAUDIA;0.0;BARAUT GRAU, CLAUDIA;0.0;BARAUT GRAU, CLAUDIA;0.0;BARAUT GRAU, CLAUDIA;0.0;BARAUT GRAU, CLAUDIA;0.0;BARAUT GRAU, CLAUDIA;0.0;BARAUT GRAU, CLAUDIA;0.0;BARAUT GRAU, CLAUDIA;0.0;BARAUT GRAU, CLAUDIA;0.0;BARAUT GRAU, CLAUDIA;0.0;BARAUT GRAU, CLAUDIA;0.0;BARAUT GRAU, CLAUDIA;0.0
 DEFORGE, ANNA LOUISE;34.97;BORGES DOS REIS, SONIA;18.42;DE SOUZA MACHADO, ERIKA CRISTINA;6.46;MURPHY, ESHAYA MARIE;12.92;HENRY, ANEIKA ANNA-KAY;0.66;SNELL, BELINDA ROSE;2.23;WARBURTON, MORGAN SHEA;5.96;MILTON, DELISHA LACHELL;0.47;PEROVANOVIC, IVA;3.83;PEROVANOVIC, IVA;5.17;WARBURTON, MORGAN SHEA;0.91;MURPHY, ESHAYA MARIE;2.96;DE SOUZA MACHADO, ERIKA CRISTINA;6.42;DE SOUZA MACHADO, ERIKA CRISTINA;9.58;PALAU ALTES, LAIA;3.88;LYTTLE LYTTLE, SANCHO TRACY CONSTANCE;2.72;CASTILLO IGLESIAS, LICET;3.84;BAVENDAM, KATJA;1.0;MASLOWSKI, MICHELLE LEE;0.73;BARAUT GRAU, CLAUDIA;0.0;WARBURTON, MORGAN SHEA;3.6;BORGES DOS REIS, SONIA;5.04;DE SOUZA MACHADO, ERIKA CRISTINA;21.08;LLOBERA BAQUE, ADRIANA;0.0;LLOBERA BAQUE, ADRIANA;0.0;LLOBERA BAQUE, ADRIANA;0.0;LLOBERA BAQUE, ADRIANA;0.0;LLOBERA BAQUE, ADRIANA;0.0;LLOBERA BAQUE, ADRIANA;0.0;LLOBERA BAQUE, ADRIANA;0.0;LLOBERA BAQUE, ADRIANA;0.0;LLOBERA BAQUE, ADRIANA;0.0;LLOBERA BAQUE, ADRIANA;0.0;LLOBERA BAQUE, ADRIANA;0.0;LLOBERA BAQUE, ADRIANA;0.0;LLOBERA BAQUE, ADRIANA;0.0;LLOBERA BAQUE, ADRIANA;0.0;LLOBERA BAQUE, ADRIANA;0.0;LLOBERA BAQUE, ADRIANA;0.0;LLOBERA BAQUE, ADRIANA;0.0;LLOBERA BAQUE, ADRIANA;0.0;LLOBERA BAQUE, ADRIANA;0.0;LLOBERA BAQUE, ADRIANA;0.0
GARCA SALINERO, LAURA;34.93;WARBURTON, MORGAN SHEA;18.04;LYTTLE LYTTLE, SANCHO TRACY CONSTANCE;6.36;MILTON, DELISHA LACHELL;11.27;LANGHORNE, CRYSTAL ALLISON;0.62;WARBURTON, MORGAN SHEA;2.2;JOENS, CATHERINE ELISABETH;5.69;BERMEJO MORENO, CLARA SUSANA;0.47;MURPHY, ESHAYA MARIE;3.68;MURPHY, ESHAYA MARIE;4.76;ARGELLO CUENCA, PATRICIA;0.9;LYTTLE LYTTLE, SANCHO TRACY CONSTANCE;2.76;CHONES, KAAYLA MONET;5.88;SLISKOVIC, IVA;8.31;GARCIA MATA, GEMA;3.65;MURPHY, ESHAYA MARIE;2.56;JOHNSON, SHANNON REGINA;3.46;PAGE, LINDA A. MURRIEL;0.92;BORGES DOS REIS, SONIA;0.67;GUILLAMON AMORES, MONTSERRAT;0.0;SULCIUTE, EGLE;3.54;BAVENDAM, KATJA;4.88;MURPHY, ESHAYA MARIE;19.12;GUILLAMON AMORES, MONTSERRAT;0.0;GUILLAMON AMORES, MONTSERRAT;0.0;GUILLAMON AMORES, MONTSERRAT;0.0;GUILLAMON AMORES, MONTSERRAT;0.0;GUILLAMON AMORES, MONTSERRAT;0.0;GUILLAMON AMORES, MONTSERRAT;0.0;GUILLAMON AMORES, MONTSERRAT;0.0;GUILLAMON AMORES, MONTSERRAT;0.0;GUILLAMON AMORES, MONTSERRAT;0.0;GUILLAMON AMORES, MONTSERRAT;0.0;GUILLAMON AMORES, MONTSERRAT;0.0;GUILLAMON AMORES, MONTSERRAT;0.0;GUILLAMON AMORES, MONTSERRAT;0.0;GUILLAMON AMORES, MONTSERRAT;0.0;GUILLAMON AMORES, MONTSERRAT;0.0;GUILLAMON AMORES, MONTSERRAT;0.0;GUILLAMON AMORES, MONTSERRAT;0.0;GUILLAMON AMORES, MONTSERRAT;0.0;GUILLAMON AMORES, MONTSERRAT;0.0;GUILLAMON AMORES, MONTSERRAT;0.0
DAPO, AMRA;34.86;MILTON, DELISHA LACHELL;17.0;MURPHY, ESHAYA MARIE;6.32;SLISKOVIC, IVA;11.23;LYTTLE LYTTLE, SANCHO TRACY CONSTANCE;0.62;DAPO, AMRA;2.15;MARKOTENKO, ARINA;5.54;STEN, TIINA IRENE;0.47;BORGES DOS REIS, SONIA;3.67;BAVENDAM, KATJA;4.58;SNELL, BELINDA ROSE;0.9;PEROVANOVIC, IVA;2.58;SANFORD, NAKIA SHEROME;5.84;SANFORD, NAKIA SHEROME;8.16;AGUILAR LOPEZ, ELISA;3.47;PALAU ALTES, LAIA;2.15;VEGA REBORA, GISELA VERONICA;3.23;HENRY, ANEIKA ANNA-KAY;0.88;WARBURTON, MORGAN SHEA;0.56;MARTINEZ MOLEDO, LORENA;0.0;CASTILLO IGLESIAS, LICET;3.36;PEROVANOVIC, IVA;4.46;COVINGTON, ARHONDA;19.08;MARTINEZ MOLEDO, LORENA;0.0;MARTINEZ MOLEDO, LORENA;0.0;MARTINEZ MOLEDO, LORENA;0.0;MARTINEZ MOLEDO, LORENA;0.0;MARTINEZ MOLEDO, LORENA;0.0;MARTINEZ MOLEDO, LORENA;0.0;MARTINEZ MOLEDO, LORENA;0.0;MARTINEZ MOLEDO, LORENA;0.0;MARTINEZ MOLEDO, LORENA;0.0;MARTINEZ MOLEDO, LORENA;0.0;MARTINEZ MOLEDO, LORENA;0.0;MARTINEZ MOLEDO, LORENA;0.0;MARTINEZ MOLEDO, LORENA;0.0;MARTINEZ MOLEDO, LORENA;0.0;MARTINEZ MOLEDO, LORENA;0.0;MARTINEZ MOLEDO, LORENA;0.0;MARTINEZ MOLEDO, LORENA;0.0;MARTINEZ MOLEDO, LORENA;0.0;MARTINEZ MOLEDO, LORENA;0.0;MARTINEZ MOLEDO, LORENA;0.0
JOHNSON, SHANNON REGINA;34.8;LYTTLE LYTTLE, SANCHO TRACY CONSTANCE;16.2;COVINGTON, ARHONDA;6.23;GARCA SALINERO, LAURA;10.5;TRAORE, ASTOU;0.61;VALDEMORO MADARIAGA, AMAYA;2.12;KRESOVIC, INES;5.54;SNELL, BELINDA ROSE;0.46;LYTTLE LYTTLE, SANCHO TRACY CONSTANCE;3.48;LYTTLE LYTTLE, SANCHO TRACY CONSTANCE;4.4;JOENS, CATHERINE ELISABETH;0.89;SLISKOVIC, IVA;2.5;VEGA REBORA, GISELA VERONICA;5.81;CHONES, KAAYLA MONET;7.88;JORDANA BOFILL, NOEMI;3.42;JOHNSON, SHANNON REGINA;2.15;BORGES DOS REIS, SONIA;3.17;SLISKOVIC, IVA;0.88;VEGA REBORA, GISELA VERONICA;0.5;BOU CARRERAS, EVA;0.0;CHONES, KAAYLA MONET;3.35;BLANES MACHO, MARTA;4.44;BORGES DOS REIS, SONIA;18.92;BOU CARRERAS, EVA;0.0;BOU CARRERAS, EVA;0.0;BOU CARRERAS, EVA;0.0;BOU CARRERAS, EVA;0.0;BOU CARRERAS, EVA;0.0;BOU CARRERAS, EVA;0.0;BOU CARRERAS, EVA;0.0;BOU CARRERAS, EVA;0.0;BOU CARRERAS, EVA;0.0;BOU CARRERAS, EVA;0.0;BOU CARRERAS, EVA;0.0;BOU CARRERAS, EVA;0.0;BOU CARRERAS, EVA;0.0;BOU CARRERAS, EVA;0.0;BOU CARRERAS, EVA;0.0;BOU CARRERAS, EVA;0.0;BOU CARRERAS, EVA;0.0;BOU CARRERAS, EVA;0.0;BOU CARRERAS, EVA;0.0;BOU CARRERAS, EVA;0.0
COVINGTON, ARHONDA;34.62;COVINGTON, ARHONDA;16.0;MILTON, DELISHA LACHELL;6.15;VEGA REBORA, GISELA VERONICA;10.46;COVINGTON, ARHONDA;0.6;JOENS, CATHERINE ELISABETH;2.08;MONDT, ANKE DE;5.38;MORALES MARTIN, SILVIA;0.45;BAVENDAM, KATJA;3.42;MASLOWSKI, MICHELLE LEE;4.27; DEFORGE, ANNA LOUISE;0.88;SANFORD, NAKIA SHEROME;2.32;SLISKOVIC, IVA;5.81;VEGA REBORA, GISELA VERONICA;7.54;INFANTE NUEZ, LORENA;3.42;BORGES DOS REIS, SONIA;1.96;SANFORD, NAKIA SHEROME;3.11;LYTTLE LYTTLE, SANCHO TRACY CONSTANCE;0.8;ZURRO ALFONSO, MARTA;0.5;LLOBERA BAQUE, ADRIANA;0.0;YGUERAVIDE VIANA, SANDRA;3.32;MURPHY, ESHAYA MARIE;4.28;PEROVANOVIC, IVA;17.25;DIMITRAKOU, ZOI;0.0;DIMITRAKOU, ZOI;0.0;DIMITRAKOU, ZOI;0.0;DIMITRAKOU, ZOI;0.0;DIMITRAKOU, ZOI;0.0;DIMITRAKOU, ZOI;0.0;DIMITRAKOU, ZOI;0.0;DIMITRAKOU, ZOI;0.0;DIMITRAKOU, ZOI;0.0;DIMITRAKOU, ZOI;0.0;DIMITRAKOU, ZOI;0.0;DIMITRAKOU, ZOI;0.0;DIMITRAKOU, ZOI;0.0;DIMITRAKOU, ZOI;0.0;DIMITRAKOU, ZOI;0.0;DIMITRAKOU, ZOI;0.0;DIMITRAKOU, ZOI;0.0;DIMITRAKOU, ZOI;0.0;DIMITRAKOU, ZOI;0.0;DIMITRAKOU, ZOI;0.0
PEROVANOVIC, IVA;34.59; DEFORGE, ANNA LOUISE;15.5;VEGA REBORA, GISELA VERONICA;5.58;COVINGTON, ARHONDA;10.46;MONTESDEOCA LOPEZ, EVA;0.59;MONDT, ANKE DE;1.92;VALDEMORO MADARIAGA, AMAYA;5.12;SULCIUTE, EGLE;0.44;MASLOWSKI, MICHELLE LEE;3.27;WARBURTON, MORGAN SHEA;4.24;LILJESTRAND, THYRA LINNEA;0.88;ABROMAITE, AGNE;2.31;ZLATANOVA, JAKLIN;5.35;PEROVANOVIC, IVA;7.29;OUVIA MODREGO, CRISTINA;3.17;OUVIA MODREGO, CRISTINA;1.88; DEFORGE, ANNA LOUISE;3.11;CHONES, KAAYLA MONET;0.69;MARKOTENKO, ARINA;0.5;TORNIKIDOU TORNIKIDOU, ELENA;0.0;SLISKOVIC, IVA;3.31;ZURRO ALFONSO, MARTA;4.23;SLISKOVIC, IVA;16.92;TORNIKIDOU TORNIKIDOU, ELENA;0.0;TORNIKIDOU TORNIKIDOU, ELENA;0.0;TORNIKIDOU TORNIKIDOU, ELENA;0.0;TORNIKIDOU TORNIKIDOU, ELENA;0.0;TORNIKIDOU TORNIKIDOU, ELENA;0.0;TORNIKIDOU TORNIKIDOU, ELENA;0.0;TORNIKIDOU TORNIKIDOU, ELENA;0.0;TORNIKIDOU TORNIKIDOU, ELENA;0.0;TORNIKIDOU TORNIKIDOU, ELENA;0.0;TORNIKIDOU TORNIKIDOU, ELENA;0.0;TORNIKIDOU TORNIKIDOU, ELENA;0.0;TORNIKIDOU TORNIKIDOU, ELENA;0.0;TORNIKIDOU TORNIKIDOU, ELENA;0.0;TORNIKIDOU TORNIKIDOU, ELENA;0.0;TORNIKIDOU TORNIKIDOU, ELENA;0.0;TORNIKIDOU TORNIKIDOU, ELENA;0.0;TORNIKIDOU TORNIKIDOU, ELENA;0.0;TORNIKIDOU TORNIKIDOU, ELENA;0.0;TORNIKIDOU TORNIKIDOU, ELENA;0.0;TORNIKIDOU TORNIKIDOU, ELENA;0.0
MURPHY, ESHAYA MARIE;34.56;GARCA SALINERO, LAURA;15.38;SLISKOVIC, IVA;5.46;LYTTLE LYTTLE, SANCHO TRACY CONSTANCE;10.32;MONDT, ANKE DE;0.58;KRESOVIC, INES;1.77;DAPO, AMRA;5.04;BRANTLOVA, TEREZA;0.44;MILTON, DELISHA LACHELL;3.08;SANFORD, NAKIA SHEROME;4.0;DUBLJEVIC, JELENA;0.87;LANGHORNE, CRYSTAL ALLISON;2.2;UJHELYI, PETRA;5.32;LANGHORNE, CRYSTAL ALLISON;7.24;DOMINGUEZ FERNANDEZ, SILVIA;3.15;FEASTER, ALISON;1.85;YGUERAVIDE VIANA, SANDRA;3.04;BORGES DOS REIS, SONIA;0.62;GARCA SALINERO, LAURA;0.46;LIMA GARCIA, CINDY ORQUIDEA;0.0;JOHNSON, SHANNON REGINA;3.19;JOHNSON, SHANNON REGINA;4.19;MILTON, DELISHA LACHELL;16.92;LIMA GARCIA, CINDY ORQUIDEA;0.0;LIMA GARCIA, CINDY ORQUIDEA;0.0;LIMA GARCIA, CINDY ORQUIDEA;0.0;LIMA GARCIA, CINDY ORQUIDEA;0.0;LIMA GARCIA, CINDY ORQUIDEA;0.0;LIMA GARCIA, CINDY ORQUIDEA;0.0;LIMA GARCIA, CINDY ORQUIDEA;0.0;LIMA GARCIA, CINDY ORQUIDEA;0.0;LIMA GARCIA, CINDY ORQUIDEA;0.0;LIMA GARCIA, CINDY ORQUIDEA;0.0;LIMA GARCIA, CINDY ORQUIDEA;0.0;LIMA GARCIA, CINDY ORQUIDEA;0.0;LIMA GARCIA, CINDY ORQUIDEA;0.0;LIMA GARCIA, CINDY ORQUIDEA;0.0;LIMA GARCIA, CINDY ORQUIDEA;0.0;LIMA GARCIA, CINDY ORQUIDEA;0.0;LIMA GARCIA, CINDY ORQUIDEA;0.0;LIMA GARCIA, CINDY ORQUIDEA;0.0;LIMA GARCIA, CINDY ORQUIDEA;0.0;LIMA GARCIA, CINDY ORQUIDEA;0.0
WARBURTON, MORGAN SHEA;33.9;SULCIUTE, EGLE;14.88;LANGHORNE, CRYSTAL ALLISON;5.32;SANFORD, NAKIA SHEROME;9.84;SNELL, BELINDA ROSE;0.58;PEREZ CAPARROS, ROSA;1.73;JOHNSON, SHANNON REGINA;5.04;DAPO, AMRA;0.43;JOHNSON, SHANNON REGINA;3.04;COVINGTON, ARHONDA;3.96;PALOMARES VALIENTE, PAULA;0.87;PASCUA SUAREZ, MARA LUCILA;2.15;PASCUA SUAREZ, MARA LUCILA;5.04;PASCUA SUAREZ, MARA LUCILA;7.19;YGUERAVIDE VIANA, SANDRA;2.96;SNELL, BELINDA ROSE;1.85;BORISOVA, EVELINA;3.04;UJHELYI, PETRA;0.6;LOVELACE-TOLBERT, STACEY LYNN;0.43;IVANOVA, HRISTINA;0.0;BADE, KRISSY;3.19;SULCIUTE, EGLE;4.0;GARCA SALINERO, LAURA;16.88;IVANOVA, HRISTINA;0.0;IVANOVA, HRISTINA;0.0;IVANOVA, HRISTINA;0.0;IVANOVA, HRISTINA;0.0;IVANOVA, HRISTINA;0.0;IVANOVA, HRISTINA;0.0;IVANOVA, HRISTINA;0.0;IVANOVA, HRISTINA;0.0;IVANOVA, HRISTINA;0.0;IVANOVA, HRISTINA;0.0;IVANOVA, HRISTINA;0.0;IVANOVA, HRISTINA;0.0;IVANOVA, HRISTINA;0.0;IVANOVA, HRISTINA;0.0;IVANOVA, HRISTINA;0.0;IVANOVA, HRISTINA;0.0;IVANOVA, HRISTINA;0.0;IVANOVA, HRISTINA;0.0;IVANOVA, HRISTINA;0.0;IVANOVA, HRISTINA;0.0
BLANES MACHO, MARTA;33.76;FEASTER, ALISON;14.65;SANFORD, NAKIA SHEROME;5.21;DE SOUZA MACHADO, ERIKA CRISTINA;9.54;VESELA, JANA;0.57;BRANTLOVA, TEREZA;1.65;MURPHY, ESHAYA MARIE;5.0;PINA TOLOSA, MARIA;0.42;GARCA SALINERO, LAURA;2.81;BLANES MACHO, MARTA;3.84;CRUZ LEBRATO, ANNA;0.86;COVINGTON, ARHONDA;2.15;LANGHORNE, CRYSTAL ALLISON;5.04;COVINGTON, ARHONDA;7.15;MONTAANA GIMENO, ANNA;2.88;COVINGTON, ARHONDA;1.81;BROWN, KIESHA LINDSAY;2.87;DONAIRE MALAGELADA, ELSA;0.59;ZLATANOVA, JAKLIN;0.42;MARTINEZ FLOREZ, SANDRA;0.0;BAVENDAM, KATJA;2.96;SLISKOVIC, IVA;4.0;LANGHORNE, CRYSTAL ALLISON;16.8;MARTINEZ FLOREZ, SANDRA;0.0;MARTINEZ FLOREZ, SANDRA;0.0;MARTINEZ FLOREZ, SANDRA;0.0;MARTINEZ FLOREZ, SANDRA;0.0;MARTINEZ FLOREZ, SANDRA;0.0;MARTINEZ FLOREZ, SANDRA;0.0;MARTINEZ FLOREZ, SANDRA;0.0;MARTINEZ FLOREZ, SANDRA;0.0;MARTINEZ FLOREZ, SANDRA;0.0;MARTINEZ FLOREZ, SANDRA;0.0;MARTINEZ FLOREZ, SANDRA;0.0;MARTINEZ FLOREZ, SANDRA;0.0;MARTINEZ FLOREZ, SANDRA;0.0;MARTINEZ FLOREZ, SANDRA;0.0;MARTINEZ FLOREZ, SANDRA;0.0;MARTINEZ FLOREZ, SANDRA;0.0;MARTINEZ FLOREZ, SANDRA;0.0;MARTINEZ FLOREZ, SANDRA;0.0;MARTINEZ FLOREZ, SANDRA;0.0;MARTINEZ FLOREZ, SANDRA;0.0
