Minutos (jugador);Minutos (valor);Puntos (jugador);Puntos (valor);T2 Anotados (jugador);T2 Anotados (valor);T2 Lanzados (jugador);T2 Lanzados (valor);% T2 (jugador);% T2 (valor);T3 Anotados (jugador);T3 Anotados (valor);T3 Lanzados (jugador);T3 Lanzados (valor);% T3 (jugador);% T3 (valor);T1 Anotados (jugador);T1 Anotados (valor);T1 Lanzados (jugador);T1 Lanzados (valor);% T1 (jugador);% T1 (valor);Reb. Ofensivos (jugador);Reb. Ofensivos (valor);Reb. Defensivos (jugador);Reb. Defensivos (valor);Rebotes (jugador);Rebotes (valor);Asistencias (jugador);Asistencias (valor);Robos (jugador);Robos (valor);Perdidas (jugador);Perdidas (valor);Tapones (jugador);Tapones (valor);Tapones Recibidos (jugador);Tapones Recibidos (valor);Mates (jugador);Mates (valor);Faltas Cometidas (jugador);Faltas Cometidas (valor);Faltas Recibidas (jugador);Faltas Recibidas (valor);Valoracion (jugador);Valoracion (valor);% Asist (jugador);% Asist (valor);% Tiro Efectivo (jugador);% Tiro Efectivo (valor);% Tiro Verdadero (jugador);% True Shooting (valor);GScore (jugador);GScore (valor);TLR% (jugador);TLR% (valor);Posesiones Anotadas (jugador);Posesiones Anotadas (valor);Posesiones No Anotadas (jugador);Posesiones No Anotadas (valor);Floor Percentage (jugador);Floor Percentage (valor);Puntos por Tiro (jugador);Puntos por Tiro (valor);% Rebotes (jugador);% Rebotes (valor);% Rebotes Def (jugador);% Rebotes Def (valor);% Rebotes Of (jugador);% Rebotes Of (valor);% Robos (jugador);% Robos (valor);Toques (jugador);Toques (valor);Uso (jugador);Uso (valor);Versatilidad (jugador);Versatilidad (valor);Win Scores (jugador);Win Scores (valor);Eficiencia Ofensiva (jugador);Eficiencia Ofensiva (valor);Eficiencia Defensiva (jugador);Eficiencia Defensiva (valor);Diferencia Eficiencia (jugador);Diferencia Eficiencia (valor)
KONE, SIKA;35.03;GATLING, MARKEISHA CHERTE;19.7;GATLING, MARKEISHA CHERTE;8.23;TAYLOR, SPARKLE SHEANNA;17.03;RODRIGUEZ DOMINGUEZ, ELENA;0.67;ESPAA ALMENDRO, MARIA;2.61;ESPAA ALMENDRO, MARIA;6.89;LABUCKIENE, GIEDRE;1.0;KONE, SIKA;3.37;KONE, SIKA;4.53;MONTENEGRO SANTANA, RITA ESTHER;1.0;KONE, SIKA;3.87;KONE, SIKA;7.77;KONE, SIKA;11.63;STANACEV, ALEKSANDRA;4.9;SILVA SERRANO, ROSELIS CAROLINA;2.5;KONE, SIKA;2.93;DIARRA, MAIMOUNA;0.9;TAYLOR, SPARKLE SHEANNA;0.48;CAMARA, BATOULY FATOUMATA;0.1;TAYLOR, ASIA MESHAE;3.55;KONE, SIKA;4.3;KONE, SIKA;21.9;ROYO TORRES, BEATRIZ;0.0;ROYO TORRES, BEATRIZ;0.0;ROYO TORRES, BEATRIZ;0.0;ROYO TORRES, BEATRIZ;0.0;ROYO TORRES, BEATRIZ;0.0;ROYO TORRES, BEATRIZ;0.0;ROYO TORRES, BEATRIZ;0.0;ROYO TORRES, BEATRIZ;0.0;ROYO TORRES, BEATRIZ;0.0;ROYO TORRES, BEATRIZ;0.0;ROYO TORRES, BEATRIZ;0.0;ROYO TORRES, BEATRIZ;0.0;ROYO TORRES, BEATRIZ;0.0;ROYO TORRES, BEATRIZ;0.0;ROYO TORRES, BEATRIZ;0.0;ROYO TORRES, BEATRIZ;0.0;ROYO TORRES, BEATRIZ;0.0;ROYO TORRES, BEATRIZ;0.0;ROYO TORRES, BEATRIZ;0.0;ROYO TORRES, BEATRIZ;0.0
TAYLOR, SPARKLE SHEANNA;34.98;TAYLOR, SPARKLE SHEANNA;18.59;TAYLOR, SPARKLE SHEANNA;7.66;GATLING, MARKEISHA CHERTE;13.47;TRAHAN DAVIS, CELESTE;0.67;SAMUELSON, KATIE LOU;2.17;WURTZ, TAYLOR ROCHELLE;5.83;PREZELJ, ANNAMARIA;0.67;GATLING, MARKEISHA CHERTE;3.13;TAYLOR, ASIA MESHAE;4.36;HARTMANN, ALINA WAYAN;1.0;JAMES, KAI AFI GNOZI NONI;3.23;DIARRA, MAIMOUNA;7.13;DIARRA, MAIMOUNA;10.27;VANLOO, JULIE ANITA;4.61;OUVIA MODREGO, CRISTINA;1.86;TAYLOR, SPARKLE SHEANNA;2.9;HART, ALEXA NICOLE;0.87;CHRISTINAKI, ELEANNA;0.45;COULIBALY, MARIAM ALOU;0.07;JAMES, KAI AFI GNOZI NONI;3.23;TAYLOR, SPARKLE SHEANNA;4.14;GATLING, MARKEISHA CHERTE;21.03;TAINTA LIZALDE, ANA;0.0;TAINTA LIZALDE, ANA;0.0;TAINTA LIZALDE, ANA;0.0;TAINTA LIZALDE, ANA;0.0;TAINTA LIZALDE, ANA;0.0;TAINTA LIZALDE, ANA;0.0;TAINTA LIZALDE, ANA;0.0;TAINTA LIZALDE, ANA;0.0;TAINTA LIZALDE, ANA;0.0;TAINTA LIZALDE, ANA;0.0;TAINTA LIZALDE, ANA;0.0;TAINTA LIZALDE, ANA;0.0;TAINTA LIZALDE, ANA;0.0;TAINTA LIZALDE, ANA;0.0;TAINTA LIZALDE, ANA;0.0;TAINTA LIZALDE, ANA;0.0;TAINTA LIZALDE, ANA;0.0;TAINTA LIZALDE, ANA;0.0;TAINTA LIZALDE, ANA;0.0;TAINTA LIZALDE, ANA;0.0
FLORES COSTA, LAIA;33.7;HIGGS, LASHANN AISHA;15.87;COULIBALY, MARIAM ALOU;5.77;TAYLOR, ASIA MESHAE;10.5;LABUCKIENE, GIEDRE;0.62;BJORKLUND, ANGELA DEANNE;2.07;SAMUELSON, KATIE LOU;5.28;ALARCON OTERO, TXELL;0.56;TAYLOR, ASIA MESHAE;3.09;ATKINSON, TANAYA MECHELLE;4.13;ALIAGA ROMERO, LAURA;1.0;GATLING, MARKEISHA CHERTE;3.17;JAMES, KAI AFI GNOZI NONI;7.0;JAMES, KAI AFI GNOZI NONI;10.23;OUVIA MODREGO, CRISTINA;4.55;TAYLOR, ASIA MESHAE;1.82;GATLING, MARKEISHA CHERTE;2.83;CARRERA QUINTANA, RAQUEL;0.71;KNIGHT, LESLIE FAYE;0.38;HIGGS, LASHANN AISHA;0.07;GATLING, MARKEISHA CHERTE;3.1;FLORES COSTA, LAIA;4.03;COULIBALY, MARIAM ALOU;16.9;VILLAMOR APARICIO, CRISTINA;0.0;VILLAMOR APARICIO, CRISTINA;0.0;VILLAMOR APARICIO, CRISTINA;0.0;VILLAMOR APARICIO, CRISTINA;0.0;VILLAMOR APARICIO, CRISTINA;0.0;VILLAMOR APARICIO, CRISTINA;0.0;VILLAMOR APARICIO, CRISTINA;0.0;VILLAMOR APARICIO, CRISTINA;0.0;VILLAMOR APARICIO, CRISTINA;0.0;VILLAMOR APARICIO, CRISTINA;0.0;VILLAMOR APARICIO, CRISTINA;0.0;VILLAMOR APARICIO, CRISTINA;0.0;VILLAMOR APARICIO, CRISTINA;0.0;VILLAMOR APARICIO, CRISTINA;0.0;VILLAMOR APARICIO, CRISTINA;0.0;VILLAMOR APARICIO, CRISTINA;0.0;VILLAMOR APARICIO, CRISTINA;0.0;VILLAMOR APARICIO, CRISTINA;0.0;VILLAMOR APARICIO, CRISTINA;0.0;VILLAMOR APARICIO, CRISTINA;0.0
JAMES, KAI AFI GNOZI NONI;32.52;SAMUELSON, KATIE LOU;15.66;HEMPE, MERRIT RAMONA;5.73;JAMES, KAI AFI GNOZI NONI;10.4;SAMUELSON, KARLIE ANNE;0.61;ELDEBRINK, FRIDA;2.04;ASURMENDI VILLAVERDE, MARIA DEL CARMEN;5.1;PIVEC, MIKAYLA DENALI;0.53;FLORES COSTA, LAIA;3.03;HEMPE, MERRIT RAMONA;4.12;NOGIC, JOVANA;0.97;DIARRA, MAIMOUNA;3.13;PEREZ ARAUJO, MARIA;6.28;PEREZ ARAUJO, MARIA;7.9;HERMIDA HERRAEZ, MARTA;3.87;ATKINSON, TANAYA MECHELLE;1.77;PREZELJ, ANNAMARIA;2.81;LO SYLLA, NOGAYE;0.62;SEDA, TAMARA ADELAIDE JOSE CAMACHO;0.37;KONE, SIKA;0.07;BEREZHYNSKA, VALERIYA;3.07;GATLING, MARKEISHA CHERTE;4.03;SAMUELSON, KATIE LOU;16.79;COULIBALY, MARIAM;0.0;COULIBALY, MARIAM;0.0;COULIBALY, MARIAM;0.0;COULIBALY, MARIAM;0.0;COULIBALY, MARIAM;0.0;COULIBALY, MARIAM;0.0;COULIBALY, MARIAM;0.0;COULIBALY, MARIAM;0.0;COULIBALY, MARIAM;0.0;COULIBALY, MARIAM;0.0;COULIBALY, MARIAM;0.0;COULIBALY, MARIAM;0.0;COULIBALY, MARIAM;0.0;COULIBALY, MARIAM;0.0;COULIBALY, MARIAM;0.0;COULIBALY, MARIAM;0.0;COULIBALY, MARIAM;0.0;COULIBALY, MARIAM;0.0;COULIBALY, MARIAM;0.0;COULIBALY, MARIAM;0.0
STANACEV, ALEKSANDRA;32.49;TAYLOR, ASIA MESHAE;15.09;TAYLOR, ASIA MESHAE;5.32;ATKINSON, TANAYA MECHELLE;10.13;CAZORLA MEDINA, MARIA TERESA;0.61;WURTZ, TAYLOR ROCHELLE;1.93;ELDEBRINK, FRIDA;5.0;KNIGHT, LESLIE FAYE;0.53;HIGGS, LASHANN AISHA;3.0;GATLING, MARKEISHA CHERTE;4.03;GRETTER, MELISA PAOLA;0.93;SEDA, TAMARA ADELAIDE JOSE CAMACHO;2.6;COULIBALY, MARIAM ALOU;5.93;GATLING, MARKEISHA CHERTE;7.9;SILVA SERRANO, ROSELIS CAROLINA;3.8;BROWN, JOY ALEXIS;1.7;JAMES, KAI AFI GNOZI NONI;2.7;ALLEN, REBECCA;0.59;WURTZ, TAYLOR ROCHELLE;0.34;HOF, EMESE EVA;0.04;SALAS, BROOKE WYLIE;3.0;CHRISTINAKI, ELEANNA;4.0;GIMENO MARTINEZ, VEGA;15.24;SAHAGUN BERNAL, ESTEFANIA;0.0;SAHAGUN BERNAL, ESTEFANIA;0.0;SAHAGUN BERNAL, ESTEFANIA;0.0;SAHAGUN BERNAL, ESTEFANIA;0.0;SAHAGUN BERNAL, ESTEFANIA;0.0;SAHAGUN BERNAL, ESTEFANIA;0.0;SAHAGUN BERNAL, ESTEFANIA;0.0;SAHAGUN BERNAL, ESTEFANIA;0.0;SAHAGUN BERNAL, ESTEFANIA;0.0;SAHAGUN BERNAL, ESTEFANIA;0.0;SAHAGUN BERNAL, ESTEFANIA;0.0;SAHAGUN BERNAL, ESTEFANIA;0.0;SAHAGUN BERNAL, ESTEFANIA;0.0;SAHAGUN BERNAL, ESTEFANIA;0.0;SAHAGUN BERNAL, ESTEFANIA;0.0;SAHAGUN BERNAL, ESTEFANIA;0.0;SAHAGUN BERNAL, ESTEFANIA;0.0;SAHAGUN BERNAL, ESTEFANIA;0.0;SAHAGUN BERNAL, ESTEFANIA;0.0;SAHAGUN BERNAL, ESTEFANIA;0.0
LIZARAZU HERRERA, MARINA;31.66;HEMPE, MERRIT RAMONA;14.96;KONE, SIKA;5.3;HEMPE, MERRIT RAMONA;10.12;GATLING, MARKEISHA CHERTE;0.61;GIMENO MARTINEZ, VEGA;1.86;BJORKLUND, ANGELA DEANNE;4.79;RODRIGUEZ DOMINGUEZ, ELENA;0.5;CHRISTINAKI, ELEANNA;2.9;HIGGS, LASHANN AISHA;3.97;CORNELIUS, LAURA;0.92;TRAHAN DAVIS, CELESTE;2.33;GATLING, MARKEISHA CHERTE;4.73;COULIBALY, MARIAM ALOU;7.53;DOMINGUEZ FERNANDEZ, SILVIA;3.75;CASAS CARRERAS, QUERALT;1.66;SILVA SERRANO, ROSELIS CAROLINA;2.7;SALAS, BROOKE WYLIE;0.5;OKONKWO,  AMY NNENNA;0.32;KOVACEVIC, BOJANA;0.04;REISINGEROVA, JULIA SUSSANE;3.0;HEMPE, MERRIT RAMONA;3.92;TRAHAN DAVIS, CELESTE;15.23;LIJO RODRIGUEZ, ELENA;0.0;LIJO RODRIGUEZ, ELENA;0.0;LIJO RODRIGUEZ, ELENA;0.0;LIJO RODRIGUEZ, ELENA;0.0;LIJO RODRIGUEZ, ELENA;0.0;LIJO RODRIGUEZ, ELENA;0.0;LIJO RODRIGUEZ, ELENA;0.0;LIJO RODRIGUEZ, ELENA;0.0;LIJO RODRIGUEZ, ELENA;0.0;LIJO RODRIGUEZ, ELENA;0.0;LIJO RODRIGUEZ, ELENA;0.0;LIJO RODRIGUEZ, ELENA;0.0;LIJO RODRIGUEZ, ELENA;0.0;LIJO RODRIGUEZ, ELENA;0.0;LIJO RODRIGUEZ, ELENA;0.0;LIJO RODRIGUEZ, ELENA;0.0;LIJO RODRIGUEZ, ELENA;0.0;LIJO RODRIGUEZ, ELENA;0.0;LIJO RODRIGUEZ, ELENA;0.0;LIJO RODRIGUEZ, ELENA;0.0
GRETTER, MELISA PAOLA;30.98;ATKINSON, TANAYA MECHELLE;14.63;FASOULA, MARIA EMMANOUELA;5.15;COULIBALY, MARIAM ALOU;9.47;COULIBALY, MARIAM ALOU;0.61;ALLEN, REBECCA;1.86;CARTER, ARICA DERRIS;4.77;REISINGEROVA, JULIA SUSSANE;0.5;QUEVEDO CAIZARES, LAURA;2.6;FLORES COSTA, LAIA;3.87;CARTER, ARICA DERRIS;0.9;NYINGIFA, ATONYE JENNIFER;2.28;SEDA, TAMARA ADELAIDE JOSE CAMACHO;4.7;SEDA, TAMARA ADELAIDE JOSE CAMACHO;7.3;AYDIN, MERVE;3.69;HAYES, RENARA TIFFANY;1.63;VANLOO, JULIE ANITA;2.64;NICHOLLS GONZALEZ, LAURA;0.5;GLADKOVA, IULLIA;0.32;KNIGHT, LESLIE FAYE;0.04;PRIETO MARTINEZ, ALBA;2.93;PUJOL LLUCH, ARIADNA;3.85;SILVA SERRANO, ROSELIS CAROLINA;15.0;REQUEJO GARCA, CRISTINA;0.0;REQUEJO GARCA, CRISTINA;0.0;REQUEJO GARCA, CRISTINA;0.0;REQUEJO GARCA, CRISTINA;0.0;REQUEJO GARCA, CRISTINA;0.0;REQUEJO GARCA, CRISTINA;0.0;REQUEJO GARCA, CRISTINA;0.0;REQUEJO GARCA, CRISTINA;0.0;REQUEJO GARCA, CRISTINA;0.0;REQUEJO GARCA, CRISTINA;0.0;REQUEJO GARCA, CRISTINA;0.0;REQUEJO GARCA, CRISTINA;0.0;REQUEJO GARCA, CRISTINA;0.0;REQUEJO GARCA, CRISTINA;0.0;REQUEJO GARCA, CRISTINA;0.0;REQUEJO GARCA, CRISTINA;0.0;REQUEJO GARCA, CRISTINA;0.0;REQUEJO GARCA, CRISTINA;0.0;REQUEJO GARCA, CRISTINA;0.0;REQUEJO GARCA, CRISTINA;0.0
WURTZ, TAYLOR ROCHELLE;30.89;CHRISTINAKI, ELEANNA;14.41;REISINGEROVA, JULIA SUSSANE;4.97;NYINGIFA, ATONYE JENNIFER;9.28;ELONU, ADAORA NNENNA;0.6;FERRARI CALABRO, PAOLA ANDREA;1.74;ALLEN, REBECCA;4.62;CAZORLA MEDINA, MARIA TERESA;0.48;HEMPE, MERRIT RAMONA;2.58;CHRISTINAKI, ELEANNA;3.62;TIRERA, MEIYA;0.9;FASOULA, MARIA EMMANOUELA;1.96;NYINGIFA, ATONYE JENNIFER;4.66;NYINGIFA, ATONYE JENNIFER;6.93;GRAY, CHELSEA NICHELLE;3.64;STANACEV, ALEKSANDRA;1.57;AYDIN, MERVE;2.56;LABUCKIENE, GIEDRE;0.47;BEREZHYNSKA, VALERIYA;0.32;GOMES DA SILVA, SOFIA CAROLINA;0.03;HOF, EMESE EVA;2.93;SILVA SERRANO, ROSELIS CAROLINA;3.75;TAYLOR, ASIA MESHAE;14.68;CAMBERO ROMN, CARMEN;0.0;CAMBERO ROMN, CARMEN;0.0;CAMBERO ROMN, CARMEN;0.0;CAMBERO ROMN, CARMEN;0.0;CAMBERO ROMN, CARMEN;0.0;CAMBERO ROMN, CARMEN;0.0;CAMBERO ROMN, CARMEN;0.0;CAMBERO ROMN, CARMEN;0.0;CAMBERO ROMN, CARMEN;0.0;CAMBERO ROMN, CARMEN;0.0;CAMBERO ROMN, CARMEN;0.0;CAMBERO ROMN, CARMEN;0.0;CAMBERO ROMN, CARMEN;0.0;CAMBERO ROMN, CARMEN;0.0;CAMBERO ROMN, CARMEN;0.0;CAMBERO ROMN, CARMEN;0.0;CAMBERO ROMN, CARMEN;0.0;CAMBERO ROMN, CARMEN;0.0;CAMBERO ROMN, CARMEN;0.0;CAMBERO ROMN, CARMEN;0.0
MONTOLIU MATIAS, MARTA;30.78;GIMENO MARTINEZ, VEGA;14.28;ATKINSON, TANAYA MECHELLE;4.93;FASOULA, MARIA EMMANOUELA;9.27;LO SYLLA, NOGAYE;0.6;QUEVEDO CAIZARES, LAURA;1.73;QUEVEDO CAIZARES, LAURA;4.6;ERAUNCETAMURGIL AYESTARAN, MARIA;0.45;ATKINSON, TANAYA MECHELLE;2.57;TAYLOR, SPARKLE SHEANNA;3.55;COUSSEINS SMITH, JOYCE MEGANE;0.89;TAYLOR, ASIA MESHAE;1.91;SILVA SERRANO, ROSELIS CAROLINA;4.65;URBANIAK -DORNSTAUDER, QUINN  ASIA;6.45;GRETTER, MELISA PAOLA;3.57;LIZARAZU HERRERA, MARINA;1.54;LIZARAZU HERRERA, MARINA;2.54;URBANIAK -DORNSTAUDER, QUINN  ASIA;0.45;PREZELJ, ANNAMARIA;0.31;BROWN, JOY ALEXIS;0.03;KONE, SIKA;2.83;ATKINSON, TANAYA MECHELLE;3.7;HIGGS, LASHANN AISHA;14.63;OLLERO MATEOS, CARLA;0.0;OLLERO MATEOS, CARLA;0.0;OLLERO MATEOS, CARLA;0.0;OLLERO MATEOS, CARLA;0.0;OLLERO MATEOS, CARLA;0.0;OLLERO MATEOS, CARLA;0.0;OLLERO MATEOS, CARLA;0.0;OLLERO MATEOS, CARLA;0.0;OLLERO MATEOS, CARLA;0.0;OLLERO MATEOS, CARLA;0.0;OLLERO MATEOS, CARLA;0.0;OLLERO MATEOS, CARLA;0.0;OLLERO MATEOS, CARLA;0.0;OLLERO MATEOS, CARLA;0.0;OLLERO MATEOS, CARLA;0.0;OLLERO MATEOS, CARLA;0.0;OLLERO MATEOS, CARLA;0.0;OLLERO MATEOS, CARLA;0.0;OLLERO MATEOS, CARLA;0.0;OLLERO MATEOS, CARLA;0.0
AYDIN, MERVE;30.73;KONE, SIKA;13.97;HIGGS, LASHANN AISHA;4.93;WEAVER, LYNDRA SHAJUAN;9.16;KONE, SIKA;0.6;CARTER, ARICA DERRIS;1.7;GIMENO MARTINEZ, VEGA;4.55;DOMINGUEZ FERNANDEZ, SILVIA;0.45;TAYLOR, SPARKLE SHEANNA;2.55;QUEVEDO CAIZARES, LAURA;3.37;FERRARI CALABRO, PAOLA ANDREA;0.87;MILIC, NIKOLINA;1.86;URBANIAK -DORNSTAUDER, QUINN  ASIA;4.59;BROWN, JOY ALEXIS;6.1;PALAU ALTES, LAIA;3.37;FLORES COSTA, LAIA;1.53;ATKINSON, TANAYA MECHELLE;2.47;KONE, SIKA;0.4;JAMES, KAI AFI GNOZI NONI;0.3;TIRERA, MEIYA;0.03;HEMPE, MERRIT RAMONA;2.77;GIMENO MARTINEZ, VEGA;3.59;STANACEV, ALEKSANDRA;14.6;PINTO MARTIN, LUCIA;0.0;PINTO MARTIN, LUCIA;0.0;PINTO MARTIN, LUCIA;0.0;PINTO MARTIN, LUCIA;0.0;PINTO MARTIN, LUCIA;0.0;PINTO MARTIN, LUCIA;0.0;PINTO MARTIN, LUCIA;0.0;PINTO MARTIN, LUCIA;0.0;PINTO MARTIN, LUCIA;0.0;PINTO MARTIN, LUCIA;0.0;PINTO MARTIN, LUCIA;0.0;PINTO MARTIN, LUCIA;0.0;PINTO MARTIN, LUCIA;0.0;PINTO MARTIN, LUCIA;0.0;PINTO MARTIN, LUCIA;0.0;PINTO MARTIN, LUCIA;0.0;PINTO MARTIN, LUCIA;0.0;PINTO MARTIN, LUCIA;0.0;PINTO MARTIN, LUCIA;0.0;PINTO MARTIN, LUCIA;0.0
