Minutos (jugador);Minutos (valor);Puntos (jugador);Puntos (valor);T2 Anotados (jugador);T2 Anotados (valor);T2 Lanzados (jugador);T2 Lanzados (valor);% T2 (jugador);% T2 (valor);T3 Anotados (jugador);T3 Anotados (valor);T3 Lanzados (jugador);T3 Lanzados (valor);% T3 (jugador);% T3 (valor);T1 Anotados (jugador);T1 Anotados (valor);T1 Lanzados (jugador);T1 Lanzados (valor);% T1 (jugador);% T1 (valor);Reb. Ofensivos (jugador);Reb. Ofensivos (valor);Reb. Defensivos (jugador);Reb. Defensivos (valor);Rebotes (jugador);Rebotes (valor);Asistencias (jugador);Asistencias (valor);Robos (jugador);Robos (valor);Perdidas (jugador);Perdidas (valor);Tapones (jugador);Tapones (valor);Tapones Recibidos (jugador);Tapones Recibidos (valor);Mates (jugador);Mates (valor);Faltas Cometidas (jugador);Faltas Cometidas (valor);Faltas Recibidas (jugador);Faltas Recibidas (valor);Valoracion (jugador);Valoracion (valor);% Asist (jugador);% Asist (valor);% Tiro Efectivo (jugador);% Tiro Efectivo (valor);% Tiro Verdadero (jugador);% True Shooting (valor);GScore (jugador);GScore (valor);TLR% (jugador);TLR% (valor);Posesiones Anotadas (jugador);Posesiones Anotadas (valor);Posesiones No Anotadas (jugador);Posesiones No Anotadas (valor);Floor Percentage (jugador);Floor Percentage (valor);Puntos por Tiro (jugador);Puntos por Tiro (valor);% Rebotes (jugador);% Rebotes (valor);% Rebotes Def (jugador);% Rebotes Def (valor);% Rebotes Of (jugador);% Rebotes Of (valor);% Robos (jugador);% Robos (valor);Toques (jugador);Toques (valor);Uso (jugador);Uso (valor);Versatilidad (jugador);Versatilidad (valor);Win Scores (jugador);Win Scores (valor);Eficiencia Ofensiva (jugador);Eficiencia Ofensiva (valor);Eficiencia Defensiva (jugador);Eficiencia Defensiva (valor);Diferencia Eficiencia (jugador);Diferencia Eficiencia (valor)
HODGES, RONEEKA RAYSHELL;38.09;HODGES, RONEEKA RAYSHELL;20.19;BENNINGFIELD, JENNIFER ANN;5.73;BENNINGFIELD, JENNIFER ANN;13.4;ASURMENDI VILLAVERDE, MARIA DEL CARMEN;0.64;PALOMARES VALIENTE, PAULA;2.82;PIIPARI, REETTA SINIKKA KARINE;7.0;MUJANOVIC, RAZIJA;1.0;MORALES MARTIN, SILVIA;4.5;MORALES MARTIN, SILVIA;5.96;FARRE CASANOVAS, ESTER;1.0;SANTOS DE OLIVEIRA, ALESSANDRA;3.24;WILLINGHAM, LE`COE LOUISE;7.96;WILLINGHAM, LE`COE LOUISE;11.04;MORALES MARTIN, SILVIA;5.0;LYTTLE LYTTLE, SANCHO TRACY CONSTANCE;2.85;WILLINGHAM, LE`COE LOUISE;4.31;LYTTLE LYTTLE, SANCHO TRACY CONSTANCE;1.23;LYTTLE LYTTLE, SANCHO TRACY CONSTANCE;0.69;SARENAC, RANKICA;0.04;PODKOVALNIKOVA, OLGA;3.71;MORALES MARTIN, SILVIA;5.77;WILLINGHAM, LE`COE LOUISE;24.42;GARCIA RODRIGUEZ, LEYRE;0.0;GARCIA RODRIGUEZ, LEYRE;0.0;GARCIA RODRIGUEZ, LEYRE;0.0;GARCIA RODRIGUEZ, LEYRE;0.0;GARCIA RODRIGUEZ, LEYRE;0.0;GARCIA RODRIGUEZ, LEYRE;0.0;GARCIA RODRIGUEZ, LEYRE;0.0;GARCIA RODRIGUEZ, LEYRE;0.0;GARCIA RODRIGUEZ, LEYRE;0.0;GARCIA RODRIGUEZ, LEYRE;0.0;GARCIA RODRIGUEZ, LEYRE;0.0;GARCIA RODRIGUEZ, LEYRE;0.0;GARCIA RODRIGUEZ, LEYRE;0.0;GARCIA RODRIGUEZ, LEYRE;0.0;GARCIA RODRIGUEZ, LEYRE;0.0;GARCIA RODRIGUEZ, LEYRE;0.0;GARCIA RODRIGUEZ, LEYRE;0.0;GARCIA RODRIGUEZ, LEYRE;0.0;GARCIA RODRIGUEZ, LEYRE;0.0;GARCIA RODRIGUEZ, LEYRE;0.0
WILLINGHAM, LE`COE LOUISE;37.04;WILLINGHAM, LE`COE LOUISE;18.77;DA SILVA SANTOS, KELLY;5.57;DA SILVA SANTOS, KELLY;11.24;ANTIBE, NICOLE;0.6;SANTOS LUZ, HELEN CRISTINA;2.54;PALOMARES VALIENTE, PAULA;6.65;ABROMAITE, AGNE;1.0;HODGES, RONEEKA RAYSHELL;4.31;DA SILVA SANTOS, KELLY;5.57;HERRADAS MARTIN, IRENE;1.0;WILLINGHAM, LE`COE LOUISE;3.08;LYTTLE LYTTLE, SANCHO TRACY CONSTANCE;7.35;LYTTLE LYTTLE, SANCHO TRACY CONSTANCE;10.0;CIOCAN, PAULA CRISTINA;4.33;MUSOVIC, MILJANA;2.46;GARVAO ZAKRZESKI, SOELI;4.08;TAMANE, ZANE;1.19;TUUKKANEN, TARU TELLERVO;0.58;PONS MOLINA, INGRID;0.04;WYCKOFF, BROOKE ELIZABETH;3.62;CHRISTON, SHAMEKA DE LYNN;4.92;LYTTLE LYTTLE, SANCHO TRACY CONSTANCE;19.77;GONZALEZ EXPOSITO, SARA;0.0;GONZALEZ EXPOSITO, SARA;0.0;GONZALEZ EXPOSITO, SARA;0.0;GONZALEZ EXPOSITO, SARA;0.0;GONZALEZ EXPOSITO, SARA;0.0;GONZALEZ EXPOSITO, SARA;0.0;GONZALEZ EXPOSITO, SARA;0.0;GONZALEZ EXPOSITO, SARA;0.0;GONZALEZ EXPOSITO, SARA;0.0;GONZALEZ EXPOSITO, SARA;0.0;GONZALEZ EXPOSITO, SARA;0.0;GONZALEZ EXPOSITO, SARA;0.0;GONZALEZ EXPOSITO, SARA;0.0;GONZALEZ EXPOSITO, SARA;0.0;GONZALEZ EXPOSITO, SARA;0.0;GONZALEZ EXPOSITO, SARA;0.0;GONZALEZ EXPOSITO, SARA;0.0;GONZALEZ EXPOSITO, SARA;0.0;GONZALEZ EXPOSITO, SARA;0.0;GONZALEZ EXPOSITO, SARA;0.0
TUUKKANEN, TARU TELLERVO;35.81;CHRISTON, SHAMEKA DE LYNN;17.54;PODKOVALNIKOVA, OLGA;5.47;HODGES, RONEEKA RAYSHELL;11.08;MATIC, IVANKA;0.6;PIIPARI, REETTA SINIKKA KARINE;2.31;SANTOS LUZ, HELEN CRISTINA;6.23;BERMEJO MORENO, CLARA SUSANA;0.52;CHRISTON, SHAMEKA DE LYNN;4.19;TUUKKANEN, TARU TELLERVO;5.23;ANTOJA ROVIRA, LAURA;0.92;TAMANE, ZANE;3.0;WYCKOFF, BROOKE ELIZABETH;6.42;WYCKOFF, BROOKE ELIZABETH;8.88;SANTOS LUZ, SILVIA ANDREA;3.38;CRUZ LEBRATO, ANNA;2.23;MONTAANA GIMENO, ANNA;3.88;WYCKOFF, BROOKE ELIZABETH;0.92;ROYO TORRES, MARIA ESTELA;0.54;GARCIA RODRIGUEZ, LEYRE;0.0;CIOCAN, PAULA CRISTINA;3.25;TUUKKANEN, TARU TELLERVO;4.85;MORALES MARTIN, SILVIA;19.23;NOGUEIRA BOVEDA, ALEJANDRA;0.0;NOGUEIRA BOVEDA, ALEJANDRA;0.0;NOGUEIRA BOVEDA, ALEJANDRA;0.0;NOGUEIRA BOVEDA, ALEJANDRA;0.0;NOGUEIRA BOVEDA, ALEJANDRA;0.0;NOGUEIRA BOVEDA, ALEJANDRA;0.0;NOGUEIRA BOVEDA, ALEJANDRA;0.0;NOGUEIRA BOVEDA, ALEJANDRA;0.0;NOGUEIRA BOVEDA, ALEJANDRA;0.0;NOGUEIRA BOVEDA, ALEJANDRA;0.0;NOGUEIRA BOVEDA, ALEJANDRA;0.0;NOGUEIRA BOVEDA, ALEJANDRA;0.0;NOGUEIRA BOVEDA, ALEJANDRA;0.0;NOGUEIRA BOVEDA, ALEJANDRA;0.0;NOGUEIRA BOVEDA, ALEJANDRA;0.0;NOGUEIRA BOVEDA, ALEJANDRA;0.0;NOGUEIRA BOVEDA, ALEJANDRA;0.0;NOGUEIRA BOVEDA, ALEJANDRA;0.0;NOGUEIRA BOVEDA, ALEJANDRA;0.0;NOGUEIRA BOVEDA, ALEJANDRA;0.0
CRUZ LEBRATO, ANNA;35.49;MORALES MARTIN, SILVIA;15.81;WILLINGHAM, LE`COE LOUISE;5.42;PODKOVALNIKOVA, OLGA;11.06;RODRIGUEZ MANSO, LEONOR DEL PILAR;0.6;FEASTER, ALISON;2.25;HODGES, RONEEKA RAYSHELL;6.19;PODKOVALNIKOVA, OLGA;0.5;TUUKKANEN, TARU TELLERVO;4.0;WILLINGHAM, LE`COE LOUISE;5.12;FEASTER, ALISON;0.92;DE SOUZA MACHADO, ERIKA CRISTINA;2.73;DA SILVA SANTOS, KELLY;5.95;DA SILVA SANTOS, KELLY;8.19;INFANTE NUEZ, LORENA;3.35;MORALES MARTIN, SILVIA;2.23;INFANTE NUEZ, LORENA;3.62;MILLER, CLIFETEANA MC KIVER;0.92;SANCHEZ FERNANDEZ, ISABEL;0.5;GONZALEZ EXPOSITO, SARA;0.0;PALOMARES VALIENTE, PAULA;3.24;DA SILVA SANTOS, KELLY;4.81;ANTIBE, NICOLE;16.92;MARIO SOUTO, MARIA ELENA;0.0;MARIO SOUTO, MARIA ELENA;0.0;MARIO SOUTO, MARIA ELENA;0.0;MARIO SOUTO, MARIA ELENA;0.0;MARIO SOUTO, MARIA ELENA;0.0;MARIO SOUTO, MARIA ELENA;0.0;MARIO SOUTO, MARIA ELENA;0.0;MARIO SOUTO, MARIA ELENA;0.0;MARIO SOUTO, MARIA ELENA;0.0;MARIO SOUTO, MARIA ELENA;0.0;MARIO SOUTO, MARIA ELENA;0.0;MARIO SOUTO, MARIA ELENA;0.0;MARIO SOUTO, MARIA ELENA;0.0;MARIO SOUTO, MARIA ELENA;0.0;MARIO SOUTO, MARIA ELENA;0.0;MARIO SOUTO, MARIA ELENA;0.0;MARIO SOUTO, MARIA ELENA;0.0;MARIO SOUTO, MARIA ELENA;0.0;MARIO SOUTO, MARIA ELENA;0.0;MARIO SOUTO, MARIA ELENA;0.0
GALLEGO VICARIO, SANDRA;35.42;TUUKKANEN, TARU TELLERVO;15.65;ANTIBE, NICOLE;5.15;TUUKKANEN, TARU TELLERVO;10.73;DOUGLAS, KATHRYN;0.59;HODGES, RONEEKA RAYSHELL;2.12;CHRISTON, SHAMEKA DE LYNN;6.15;RASMUSSEN, KRISTEN;0.5;WILLINGHAM, LE`COE LOUISE;4.0;HODGES, RONEEKA RAYSHELL;5.08;BROWN, KIESHA LINDSAY;0.9;NICHOLLS GONZALEZ, LAURA;2.73;PODKOVALNIKOVA, OLGA;5.65;TAMANE, ZANE;8.15;PALAU ALTES, LAIA;3.15;MONTAANA GIMENO, ANNA;2.08;CIOCAN, PAULA CRISTINA;3.54;DE SOUZA MACHADO, ERIKA CRISTINA;0.87;GOMEZ FERREIROS, SARA;0.5;TODOROVA, VESELKA IVANOVA;0.0;NICHOLLS GONZALEZ, LAURA;3.19;WILLINGHAM, LE`COE LOUISE;4.77;HODGES, RONEEKA RAYSHELL;16.58;TODOROVA, VESELKA IVANOVA;0.0;TODOROVA, VESELKA IVANOVA;0.0;TODOROVA, VESELKA IVANOVA;0.0;TODOROVA, VESELKA IVANOVA;0.0;TODOROVA, VESELKA IVANOVA;0.0;TODOROVA, VESELKA IVANOVA;0.0;TODOROVA, VESELKA IVANOVA;0.0;TODOROVA, VESELKA IVANOVA;0.0;TODOROVA, VESELKA IVANOVA;0.0;TODOROVA, VESELKA IVANOVA;0.0;TODOROVA, VESELKA IVANOVA;0.0;TODOROVA, VESELKA IVANOVA;0.0;TODOROVA, VESELKA IVANOVA;0.0;TODOROVA, VESELKA IVANOVA;0.0;TODOROVA, VESELKA IVANOVA;0.0;TODOROVA, VESELKA IVANOVA;0.0;TODOROVA, VESELKA IVANOVA;0.0;TODOROVA, VESELKA IVANOVA;0.0;TODOROVA, VESELKA IVANOVA;0.0;TODOROVA, VESELKA IVANOVA;0.0
CHRISTON, SHAMEKA DE LYNN;35.08;JOENS, CATHERINE ELISABETH;15.5;LYTTLE LYTTLE, SANCHO TRACY CONSTANCE;5.12;LYTTLE LYTTLE, SANCHO TRACY CONSTANCE;10.42;WILLINGHAM, LE`COE LOUISE;0.59;JOENS, CATHERINE ELISABETH;2.12;GOMEZ FERREIROS, SARA;5.31;MALTSI, EVANTHIA;0.49;DA SILVA SANTOS, KELLY;3.81;CHRISTON, SHAMEKA DE LYNN;4.92;TORNIKIDOU TORNIKIDOU, ELENA;0.89;LYTTLE LYTTLE, SANCHO TRACY CONSTANCE;2.65;GARVAO ZAKRZESKI, SOELI;5.58;NICHOLLS GONZALEZ, LAURA;8.08;SANTOS LUZ, HELEN CRISTINA;3.08;SANTOS LUZ, SILVIA ANDREA;1.96;CHRISTON, SHAMEKA DE LYNN;3.46;GARVAO ZAKRZESKI, SOELI;0.77;WILLINGHAM, LE`COE LOUISE;0.5;TILLIS, ICISS;0.0;MUSOVIC, MILJANA;3.19;HODGES, RONEEKA RAYSHELL;4.42;DA SILVA SANTOS, KELLY;16.29;TILLIS, ICISS;0.0;TILLIS, ICISS;0.0;TILLIS, ICISS;0.0;TILLIS, ICISS;0.0;TILLIS, ICISS;0.0;TILLIS, ICISS;0.0;TILLIS, ICISS;0.0;TILLIS, ICISS;0.0;TILLIS, ICISS;0.0;TILLIS, ICISS;0.0;TILLIS, ICISS;0.0;TILLIS, ICISS;0.0;TILLIS, ICISS;0.0;TILLIS, ICISS;0.0;TILLIS, ICISS;0.0;TILLIS, ICISS;0.0;TILLIS, ICISS;0.0;TILLIS, ICISS;0.0;TILLIS, ICISS;0.0;TILLIS, ICISS;0.0
WYCKOFF, BROOKE ELIZABETH;35.05;DA SILVA SANTOS, KELLY;14.95;MONTAANA GIMENO, ANNA;4.81;SARENAC, RANKICA;9.69;DOMINGUEZ FERNANDEZ, SILVIA;0.58;WYCKOFF, BROOKE ELIZABETH;1.96;FEASTER, ALISON;5.29;JORDANA BOFILL, NOEMI;0.49;BROWN, KIESHA LINDSAY;3.71;PODKOVALNIKOVA, OLGA;4.53;THORBURN, SHONA LOUISE;0.88;MILLER, CLIFETEANA MC KIVER;2.5;STEVENSON, MANDISA ARAMINTA SANURA;5.48;PODKOVALNIKOVA, OLGA;7.53;HODGES, RONEEKA RAYSHELL;3.04;GARVAO ZAKRZESKI, SOELI;1.81;COHEN, LIRON;3.46;MUJANOVIC, RAZIJA;0.76;SARENAC, RANKICA;0.5;NOGUEIRA BOVEDA, ALEJANDRA;0.0;KRESS, MARINA;3.18;GARVAO ZAKRZESKI, SOELI;4.38;GARVAO ZAKRZESKI, SOELI;15.5;MORCILLO DURAN, CRISTINA;0.0;MORCILLO DURAN, CRISTINA;0.0;MORCILLO DURAN, CRISTINA;0.0;MORCILLO DURAN, CRISTINA;0.0;MORCILLO DURAN, CRISTINA;0.0;MORCILLO DURAN, CRISTINA;0.0;MORCILLO DURAN, CRISTINA;0.0;MORCILLO DURAN, CRISTINA;0.0;MORCILLO DURAN, CRISTINA;0.0;MORCILLO DURAN, CRISTINA;0.0;MORCILLO DURAN, CRISTINA;0.0;MORCILLO DURAN, CRISTINA;0.0;MORCILLO DURAN, CRISTINA;0.0;MORCILLO DURAN, CRISTINA;0.0;MORCILLO DURAN, CRISTINA;0.0;MORCILLO DURAN, CRISTINA;0.0;MORCILLO DURAN, CRISTINA;0.0;MORCILLO DURAN, CRISTINA;0.0;MORCILLO DURAN, CRISTINA;0.0;MORCILLO DURAN, CRISTINA;0.0
BROWN, KIESHA LINDSAY;34.67;PALOMARES VALIENTE, PAULA;14.76;MILTON, DELISHA LACHELL;4.8;CHRISTON, SHAMEKA DE LYNN;9.58;BERMEJO MORENO, CLARA SUSANA;0.58;PELAEZ SAN GIL, LOURDES;1.89;GARCIA PIERO, MARIA BEGOA;5.04;WYCKOFF, BROOKE ELIZABETH;0.46;ANTIBE, NICOLE;3.42;ANTIBE, NICOLE;4.27;QUINTERO CASTELLANO, THANIA;0.88;WYCKOFF, BROOKE ELIZABETH;2.46;TUUKKANEN, TARU TELLERVO;5.35;GARVAO ZAKRZESKI, SOELI;7.5;COHEN, LIRON;3.04;SANTOS LUZ, HELEN CRISTINA;1.73;HODGES, RONEEKA RAYSHELL;3.23;ROBINSON, ASHLEY KHRISTINA;0.72;MILLER, CLIFETEANA MC KIVER;0.5;MARIO SOUTO, MARIA ELENA;0.0;JIMENEZ GALINDO, ANNA ISABEL;3.09;PODKOVALNIKOVA, OLGA;4.24;WYCKOFF, BROOKE ELIZABETH;15.04;PEREZ GUILLEN, MARIA ISABEL;0.0;PEREZ GUILLEN, MARIA ISABEL;0.0;PEREZ GUILLEN, MARIA ISABEL;0.0;PEREZ GUILLEN, MARIA ISABEL;0.0;PEREZ GUILLEN, MARIA ISABEL;0.0;PEREZ GUILLEN, MARIA ISABEL;0.0;PEREZ GUILLEN, MARIA ISABEL;0.0;PEREZ GUILLEN, MARIA ISABEL;0.0;PEREZ GUILLEN, MARIA ISABEL;0.0;PEREZ GUILLEN, MARIA ISABEL;0.0;PEREZ GUILLEN, MARIA ISABEL;0.0;PEREZ GUILLEN, MARIA ISABEL;0.0;PEREZ GUILLEN, MARIA ISABEL;0.0;PEREZ GUILLEN, MARIA ISABEL;0.0;PEREZ GUILLEN, MARIA ISABEL;0.0;PEREZ GUILLEN, MARIA ISABEL;0.0;PEREZ GUILLEN, MARIA ISABEL;0.0;PEREZ GUILLEN, MARIA ISABEL;0.0;PEREZ GUILLEN, MARIA ISABEL;0.0;PEREZ GUILLEN, MARIA ISABEL;0.0
INFANTE NUEZ, LORENA;34.64;MONTAANA GIMENO, ANNA;14.73;HODGES, RONEEKA RAYSHELL;4.77;BROWN, KIESHA LINDSAY;9.42;NAVARRO SALLES, LAURA;0.58;GOMEZ FERREIROS, SARA;1.85;JOENS, CATHERINE ELISABETH;4.77;VALERO CEBRIAN, PILAR;0.45;COHEN, LIRON;3.23;GARVAO ZAKRZESKI, SOELI;4.12;RASMUSSEN, KRISTEN;0.87;PIRSIC, SANDRA;2.38;NICHOLLS GONZALEZ, LAURA;5.35;TUUKKANEN, TARU TELLERVO;7.42;MONTAANA GIMENO, ANNA;2.96;PALAU ALTES, LAIA;1.65;MUJANOVIC, RAZIJA;3.2;NICHOLLS GONZALEZ, LAURA;0.69;MORALES MARTIN, SILVIA;0.5;CHUMILLAS PERIS, BERTA;0.0;ROVIRA RODRIGUEZ, MARIA DEL MAR;3.08;MILJOVIC, MAJA;4.22;TUUKKANEN, TARU TELLERVO;14.96;CHUMILLAS PERIS, BERTA;0.0;CHUMILLAS PERIS, BERTA;0.0;CHUMILLAS PERIS, BERTA;0.0;CHUMILLAS PERIS, BERTA;0.0;CHUMILLAS PERIS, BERTA;0.0;CHUMILLAS PERIS, BERTA;0.0;CHUMILLAS PERIS, BERTA;0.0;CHUMILLAS PERIS, BERTA;0.0;CHUMILLAS PERIS, BERTA;0.0;CHUMILLAS PERIS, BERTA;0.0;CHUMILLAS PERIS, BERTA;0.0;CHUMILLAS PERIS, BERTA;0.0;CHUMILLAS PERIS, BERTA;0.0;CHUMILLAS PERIS, BERTA;0.0;CHUMILLAS PERIS, BERTA;0.0;CHUMILLAS PERIS, BERTA;0.0;CHUMILLAS PERIS, BERTA;0.0;CHUMILLAS PERIS, BERTA;0.0;CHUMILLAS PERIS, BERTA;0.0;CHUMILLAS PERIS, BERTA;0.0
ROVIRA RODRIGUEZ, MARIA DEL MAR;34.57;ANTIBE, NICOLE;14.65;SARENAC, RANKICA;4.77;MONTAANA GIMENO, ANNA;9.35;SVITLICA, DRAGANA;0.57;CHRISTON, SHAMEKA DE LYNN;1.81;MUSOVIC, MILJANA;4.77;FARRE CASANOVAS, ESTER;0.45;PODKOVALNIKOVA, OLGA;3.06;NICHOLLS GONZALEZ, LAURA;4.12;HERRERA AREVALO, MIRIAM;0.87;DA SILVA SANTOS, KELLY;2.24;TAMANE, ZANE;5.15;STEVENSON, MANDISA ARAMINTA SANURA;7.24;PIIPARI, REETTA SINIKKA KARINE;2.92;CHRISTON, SHAMEKA DE LYNN;1.65;BROWN, KIESHA LINDSAY;3.12;BARANOVA, ELENA;0.67;SANTOS DE OLIVEIRA, ALESSANDRA;0.48;BORGES DOS REIS, SONIA;0.0;MILLER, CLIFETEANA MC KIVER;3.0;BROWN, KIESHA LINDSAY;4.17;MONTAANA GIMENO, ANNA;14.92;BORGES DOS REIS, SONIA;0.0;BORGES DOS REIS, SONIA;0.0;BORGES DOS REIS, SONIA;0.0;BORGES DOS REIS, SONIA;0.0;BORGES DOS REIS, SONIA;0.0;BORGES DOS REIS, SONIA;0.0;BORGES DOS REIS, SONIA;0.0;BORGES DOS REIS, SONIA;0.0;BORGES DOS REIS, SONIA;0.0;BORGES DOS REIS, SONIA;0.0;BORGES DOS REIS, SONIA;0.0;BORGES DOS REIS, SONIA;0.0;BORGES DOS REIS, SONIA;0.0;BORGES DOS REIS, SONIA;0.0;BORGES DOS REIS, SONIA;0.0;BORGES DOS REIS, SONIA;0.0;BORGES DOS REIS, SONIA;0.0;BORGES DOS REIS, SONIA;0.0;BORGES DOS REIS, SONIA;0.0;BORGES DOS REIS, SONIA;0.0
