Minutos (jugador);Minutos (valor);Puntos (jugador);Puntos (valor);T2 Anotados (jugador);T2 Anotados (valor);T2 Lanzados (jugador);T2 Lanzados (valor);% T2 (jugador);% T2 (valor);T3 Anotados (jugador);T3 Anotados (valor);T3 Lanzados (jugador);T3 Lanzados (valor);% T3 (jugador);% T3 (valor);T1 Anotados (jugador);T1 Anotados (valor);T1 Lanzados (jugador);T1 Lanzados (valor);% T1 (jugador);% T1 (valor);Reb. Ofensivos (jugador);Reb. Ofensivos (valor);Reb. Defensivos (jugador);Reb. Defensivos (valor);Rebotes (jugador);Rebotes (valor);Asistencias (jugador);Asistencias (valor);Robos (jugador);Robos (valor);Perdidas (jugador);Perdidas (valor);Tapones (jugador);Tapones (valor);Tapones Recibidos (jugador);Tapones Recibidos (valor);Mates (jugador);Mates (valor);Faltas Cometidas (jugador);Faltas Cometidas (valor);Faltas Recibidas (jugador);Faltas Recibidas (valor);Valoracion (jugador);Valoracion (valor);% Asist (jugador);% Asist (valor);% Tiro Efectivo (jugador);% Tiro Efectivo (valor);% Tiro Verdadero (jugador);% True Shooting (valor);GScore (jugador);GScore (valor);TLR% (jugador);TLR% (valor);Posesiones Anotadas (jugador);Posesiones Anotadas (valor);Posesiones No Anotadas (jugador);Posesiones No Anotadas (valor);Floor Percentage (jugador);Floor Percentage (valor);Puntos por Tiro (jugador);Puntos por Tiro (valor);% Rebotes (jugador);% Rebotes (valor);% Rebotes Def (jugador);% Rebotes Def (valor);% Rebotes Of (jugador);% Rebotes Of (valor);% Robos (jugador);% Robos (valor);Toques (jugador);Toques (valor);Uso (jugador);Uso (valor);Versatilidad (jugador);Versatilidad (valor);Win Scores (jugador);Win Scores (valor);Eficiencia Ofensiva (jugador);Eficiencia Ofensiva (valor);Eficiencia Defensiva (jugador);Eficiencia Defensiva (valor);Diferencia Eficiencia (jugador);Diferencia Eficiencia (valor)
CHAMBERS, BRITTANY MARIE;38.65;CHAMBERS, BRITTANY MARIE;19.59;SARR, OUMOUL KHAIRY;6.36;SARR, OUMOUL KHAIRY;12.82;SEGUES ECEIZA, AMAIA;0.6;JORDANA BOFILL, NOEMI;2.64;GOMEZ NOVO, MARIA ARANZAZU;7.14;ABALDE DIAZ, TAMARA;0.6;GOMEZ NOVO, MARIA ARANZAZU;5.55;GOMEZ NOVO, MARIA ARANZAZU;7.05;CABRERA ARGUELLO, PATRICIA;1.0;MANZANARES VICENTE, YLENIA;4.14;NDOUR, ASTOU BARRO;9.5;NDOUR, ASTOU BARRO;13.23;GOMEZ NOVO, MARIA ARANZAZU;6.32;CASAS CARRERAS, QUERALT;2.76;GOMEZ NOVO, MARIA ARANZAZU;6.23;NDOUR, ASTOU BARRO;1.64;CHAMBERS, BRITTANY MARIE;1.0;JODAR PORTAS, ANNA;0.0;SARR, OUMOUL KHAIRY;3.41;GOMEZ NOVO, MARIA ARANZAZU;8.82;NDOUR, ASTOU BARRO;24.95;JODAR PORTAS, ANNA;0.0;JODAR PORTAS, ANNA;0.0;JODAR PORTAS, ANNA;0.0;JODAR PORTAS, ANNA;0.0;JODAR PORTAS, ANNA;0.0;JODAR PORTAS, ANNA;0.0;JODAR PORTAS, ANNA;0.0;JODAR PORTAS, ANNA;0.0;JODAR PORTAS, ANNA;0.0;JODAR PORTAS, ANNA;0.0;JODAR PORTAS, ANNA;0.0;JODAR PORTAS, ANNA;0.0;JODAR PORTAS, ANNA;0.0;JODAR PORTAS, ANNA;0.0;JODAR PORTAS, ANNA;0.0;JODAR PORTAS, ANNA;0.0;JODAR PORTAS, ANNA;0.0;JODAR PORTAS, ANNA;0.0;JODAR PORTAS, ANNA;0.0;JODAR PORTAS, ANNA;0.0
GOMEZ NOVO, MARIA ARANZAZU;38.3;GOMEZ NOVO, MARIA ARANZAZU;17.91;VEGA REBORA, GISELA VERONICA;6.09;VEGA REBORA, GISELA VERONICA;11.91;PIRSIC, SANDRA;0.58;CHAMBERS, BRITTANY MARIE;2.14;JORDANA BOFILL, NOEMI;6.91;VEGA REBORA, GISELA VERONICA;0.5;CHAMBERS, BRITTANY MARIE;4.45;CHAMBERS, BRITTANY MARIE;6.09;KNIGHT, LESLIE FAYE;0.93;NDOUR, ASTOU BARRO;3.73;GOMEZ NOVO, MARIA ARANZAZU;6.68;MANZANARES VICENTE, YLENIA;10.09;CHAMBERS, BRITTANY MARIE;3.5;MURPHY, ESHAYA MARIE;2.57;CHAMBERS, BRITTANY MARIE;4.68;PIRSIC, SANDRA;1.6;VEGA REBORA, GISELA VERONICA;1.0;ROMAN ALCANTARILLA, NURIA;0.0;GERMAN VELASCO, ICIAR;3.24;MANZANARES VICENTE, YLENIA;5.41;GOMEZ NOVO, MARIA ARANZAZU;20.91;ROMAN ALCANTARILLA, NURIA;0.0;ROMAN ALCANTARILLA, NURIA;0.0;ROMAN ALCANTARILLA, NURIA;0.0;ROMAN ALCANTARILLA, NURIA;0.0;ROMAN ALCANTARILLA, NURIA;0.0;ROMAN ALCANTARILLA, NURIA;0.0;ROMAN ALCANTARILLA, NURIA;0.0;ROMAN ALCANTARILLA, NURIA;0.0;ROMAN ALCANTARILLA, NURIA;0.0;ROMAN ALCANTARILLA, NURIA;0.0;ROMAN ALCANTARILLA, NURIA;0.0;ROMAN ALCANTARILLA, NURIA;0.0;ROMAN ALCANTARILLA, NURIA;0.0;ROMAN ALCANTARILLA, NURIA;0.0;ROMAN ALCANTARILLA, NURIA;0.0;ROMAN ALCANTARILLA, NURIA;0.0;ROMAN ALCANTARILLA, NURIA;0.0;ROMAN ALCANTARILLA, NURIA;0.0;ROMAN ALCANTARILLA, NURIA;0.0;ROMAN ALCANTARILLA, NURIA;0.0
NDOUR, ASTOU BARRO;36.41;NDOUR, ASTOU BARRO;17.82;NDOUR, ASTOU BARRO;5.95;BROWN, LA NEDRA JE'TAIME;11.73;ROBINSON, ANGELICA DANIELLE;0.57;GOMEZ NOVO, MARIA ARANZAZU;2.0;CHAMBERS, BRITTANY MARIE;6.55;ALLISON, RACHEL LINDSAY;0.5;MANZANARES VICENTE, YLENIA;3.59;NDOUR, ASTOU BARRO;4.73;RODRIGUEZ MANSO, LEONOR DEL PILAR;0.93;VEGA REBORA, GISELA VERONICA;3.23;SARR, OUMOUL KHAIRY;6.14;VEGA REBORA, GISELA VERONICA;8.95;XARGAY CASADEMONT, MARTA;3.32;GRETTER, MELISA PAOLA;2.36;SUAREZ UTRERO, ANA MARIA;3.83;COMFORT, LADY;1.58;MANZANARES VICENTE, YLENIA;0.77;RODRIGUEZ SANCHEZ, MIRIAM;0.0;CHUMILLAS PERIS, BERTA;3.23;CHAMBERS, BRITTANY MARIE;4.73;MURPHY, ESHAYA MARIE;17.95;RODRIGUEZ SANCHEZ, MIRIAM;0.0;RODRIGUEZ SANCHEZ, MIRIAM;0.0;RODRIGUEZ SANCHEZ, MIRIAM;0.0;RODRIGUEZ SANCHEZ, MIRIAM;0.0;RODRIGUEZ SANCHEZ, MIRIAM;0.0;RODRIGUEZ SANCHEZ, MIRIAM;0.0;RODRIGUEZ SANCHEZ, MIRIAM;0.0;RODRIGUEZ SANCHEZ, MIRIAM;0.0;RODRIGUEZ SANCHEZ, MIRIAM;0.0;RODRIGUEZ SANCHEZ, MIRIAM;0.0;RODRIGUEZ SANCHEZ, MIRIAM;0.0;RODRIGUEZ SANCHEZ, MIRIAM;0.0;RODRIGUEZ SANCHEZ, MIRIAM;0.0;RODRIGUEZ SANCHEZ, MIRIAM;0.0;RODRIGUEZ SANCHEZ, MIRIAM;0.0;RODRIGUEZ SANCHEZ, MIRIAM;0.0;RODRIGUEZ SANCHEZ, MIRIAM;0.0;RODRIGUEZ SANCHEZ, MIRIAM;0.0;RODRIGUEZ SANCHEZ, MIRIAM;0.0;RODRIGUEZ SANCHEZ, MIRIAM;0.0
GOMEZ IGUAL, ANNA;35.8;MURPHY, ESHAYA MARIE;17.76;ELONU, ADAORA NNENNA;5.45;ELONU, ADAORA NNENNA;11.27;MERCADAL ESCOLANO, PAOLA;0.56;MOLINA PRADOS MARTIN BURO, JUANA MARIA;1.73;MOLINA PRADOS MARTIN BURO, JUANA MARIA;6.36;MONTENEGRO SANTANA, RITA ESTHER;0.44;NDOUR, ASTOU BARRO;3.18;MANZANARES VICENTE, YLENIA;4.64;DELGADO PONTES, MARINA;0.92;DAVIS, CHELSEA MARIA;2.82;MANZANARES VICENTE, YLENIA;5.95;GOMEZ NOVO, MARIA ARANZAZU;8.18;SUAREZ UTRERO, ANA MARIA;3.17;GOMEZ NOVO, MARIA ARANZAZU;2.23;VEGA REBORA, GISELA VERONICA;3.82;ROBINSON, ANGELICA DANIELLE;1.38;KNIGHT, LESLIE FAYE;0.65;MOSBY, TYRONE BERNICE;0.0;DAVIS, CHELSEA MARIA;3.09;NDOUR, ASTOU BARRO;4.45;MANZANARES VICENTE, YLENIA;17.59;MOSBY, TYRONE BERNICE;0.0;MOSBY, TYRONE BERNICE;0.0;MOSBY, TYRONE BERNICE;0.0;MOSBY, TYRONE BERNICE;0.0;MOSBY, TYRONE BERNICE;0.0;MOSBY, TYRONE BERNICE;0.0;MOSBY, TYRONE BERNICE;0.0;MOSBY, TYRONE BERNICE;0.0;MOSBY, TYRONE BERNICE;0.0;MOSBY, TYRONE BERNICE;0.0;MOSBY, TYRONE BERNICE;0.0;MOSBY, TYRONE BERNICE;0.0;MOSBY, TYRONE BERNICE;0.0;MOSBY, TYRONE BERNICE;0.0;MOSBY, TYRONE BERNICE;0.0;MOSBY, TYRONE BERNICE;0.0;MOSBY, TYRONE BERNICE;0.0;MOSBY, TYRONE BERNICE;0.0;MOSBY, TYRONE BERNICE;0.0;MOSBY, TYRONE BERNICE;0.0
FORASTE GALOBARDES, MIRIAM;35.33;VEGA REBORA, GISELA VERONICA;15.36;ROBINSON, ANGELICA DANIELLE;5.33;MURPHY, ESHAYA MARIE;11.0;NDOUR, ASTOU BARRO;0.54;CIAPPINA, ROMINA MARIE;1.71;ALVERSON, VIRGINIA BLANCHE;5.52;DAVIS, CHELSEA MARIA;0.44;VEGA REBORA, GISELA VERONICA;3.05;VEGA REBORA, GISELA VERONICA;3.91;MARCOS BENITO, BLANCA;0.9;NICHOLLS GONZALEZ, LAURA;2.77;MONTENEGRO SANTANA, RITA ESTHER;5.86;MONTENEGRO SANTANA, RITA ESTHER;8.14;GOMEZ IGUAL, ANNA;3.05;CHUMILLAS PERIS, BERTA;2.09;MANZANARES VICENTE, YLENIA;3.36;SARR, OUMOUL KHAIRY;1.36;GOMEZ NOVO, MARIA ARANZAZU;0.64;HALVARSSON, LOUICE;0.0;BRRING, TANYA;3.05;GOMEZ IGUAL, ANNA;4.41;VEGA REBORA, GISELA VERONICA;17.55;HALVARSSON, LOUICE;0.0;HALVARSSON, LOUICE;0.0;HALVARSSON, LOUICE;0.0;HALVARSSON, LOUICE;0.0;HALVARSSON, LOUICE;0.0;HALVARSSON, LOUICE;0.0;HALVARSSON, LOUICE;0.0;HALVARSSON, LOUICE;0.0;HALVARSSON, LOUICE;0.0;HALVARSSON, LOUICE;0.0;HALVARSSON, LOUICE;0.0;HALVARSSON, LOUICE;0.0;HALVARSSON, LOUICE;0.0;HALVARSSON, LOUICE;0.0;HALVARSSON, LOUICE;0.0;HALVARSSON, LOUICE;0.0;HALVARSSON, LOUICE;0.0;HALVARSSON, LOUICE;0.0;HALVARSSON, LOUICE;0.0;HALVARSSON, LOUICE;0.0
SARR, OUMOUL KHAIRY;34.98;SARR, OUMOUL KHAIRY;14.68;MURPHY, ESHAYA MARIE;5.29;NDOUR, ASTOU BARRO;11.0;DENNETT, MELISSA LOUISE;0.52;ARGELLO CUENCA, PATRICIA;1.52;ARGELLO CUENCA, PATRICIA;4.71;BERMEJO MORENO, CLARA SUSANA;0.43;MURPHY, ESHAYA MARIE;3.05;MURPHY, ESHAYA MARIE;3.81;FREIXANET VIEJO, JAEL;0.87;ROBINSON, ANGELICA DANIELLE;2.76;VEGA REBORA, GISELA VERONICA;5.73;PIRSIC, SANDRA;8.0;GRETTER, MELISA PAOLA;3.0;MANZANARES VICENTE, YLENIA;2.05;SARR, OUMOUL KHAIRY;3.36;THOMAS, KRYSTAL VICTORIA;1.27;FORASTE GALOBARDES, MIRIAM;0.64;WILLIAMS, MEAGAN CHRISTINE;0.0;BROWN, LA NEDRA JE'TAIME;3.05;VEGA REBORA, GISELA VERONICA;4.32;PIRSIC, SANDRA;17.0;WILLIAMS, MEAGAN CHRISTINE;0.0;WILLIAMS, MEAGAN CHRISTINE;0.0;WILLIAMS, MEAGAN CHRISTINE;0.0;WILLIAMS, MEAGAN CHRISTINE;0.0;WILLIAMS, MEAGAN CHRISTINE;0.0;WILLIAMS, MEAGAN CHRISTINE;0.0;WILLIAMS, MEAGAN CHRISTINE;0.0;WILLIAMS, MEAGAN CHRISTINE;0.0;WILLIAMS, MEAGAN CHRISTINE;0.0;WILLIAMS, MEAGAN CHRISTINE;0.0;WILLIAMS, MEAGAN CHRISTINE;0.0;WILLIAMS, MEAGAN CHRISTINE;0.0;WILLIAMS, MEAGAN CHRISTINE;0.0;WILLIAMS, MEAGAN CHRISTINE;0.0;WILLIAMS, MEAGAN CHRISTINE;0.0;WILLIAMS, MEAGAN CHRISTINE;0.0;WILLIAMS, MEAGAN CHRISTINE;0.0;WILLIAMS, MEAGAN CHRISTINE;0.0;WILLIAMS, MEAGAN CHRISTINE;0.0;WILLIAMS, MEAGAN CHRISTINE;0.0
DAVIS, CHELSEA MARIA;34.94;MONTENEGRO SANTANA, RITA ESTHER;13.45;BROWN, LA NEDRA JE'TAIME;5.05;DAVIS, CHELSEA MARIA;10.95;VEGA REBORA, GISELA VERONICA;0.51;ASURMENDI VILLAVERDE, MARIA DEL CARMEN;1.5;CIAPPINA, ROMINA MARIE;4.62;QUEVEDO CAIZARES, LAURA;0.42;PARHAM, AJA DANIELLE;2.71;PIRSIC, SANDRA;3.7;CHUMILLAS PERIS, BERTA;0.86;PIRSIC, SANDRA;2.45;PIRSIC, SANDRA;5.55;ROBINSON, ANGELICA DANIELLE;7.95;JORDANA BOFILL, NOEMI;2.95;PARHAM, AJA DANIELLE;1.9;PARHAM, AJA DANIELLE;3.0;GARCIA MARTIN, MARTA;0.91;SUAREZ UTRERO, ANA MARIA;0.61;GARCIA URLEZAGA, IZASKUN;0.0;COMFORT, LADY;2.92;PIRSIC, SANDRA;4.3;MONTENEGRO SANTANA, RITA ESTHER;16.05;GARCIA URLEZAGA, IZASKUN;0.0;GARCIA URLEZAGA, IZASKUN;0.0;GARCIA URLEZAGA, IZASKUN;0.0;GARCIA URLEZAGA, IZASKUN;0.0;GARCIA URLEZAGA, IZASKUN;0.0;GARCIA URLEZAGA, IZASKUN;0.0;GARCIA URLEZAGA, IZASKUN;0.0;GARCIA URLEZAGA, IZASKUN;0.0;GARCIA URLEZAGA, IZASKUN;0.0;GARCIA URLEZAGA, IZASKUN;0.0;GARCIA URLEZAGA, IZASKUN;0.0;GARCIA URLEZAGA, IZASKUN;0.0;GARCIA URLEZAGA, IZASKUN;0.0;GARCIA URLEZAGA, IZASKUN;0.0;GARCIA URLEZAGA, IZASKUN;0.0;GARCIA URLEZAGA, IZASKUN;0.0;GARCIA URLEZAGA, IZASKUN;0.0;GARCIA URLEZAGA, IZASKUN;0.0;GARCIA URLEZAGA, IZASKUN;0.0;GARCIA URLEZAGA, IZASKUN;0.0
DIAZ CASTELLANO, YURENA;34.6;ELDEBRINK, FRIDA;13.32;DAVIS, CHELSEA MARIA;5.05;CHAMBERS, BRITTANY MARIE;10.05;BAHI BLANQUERA, GEORGINA;0.51;ALVERSON, VIRGINIA BLANCHE;1.48;GRETTER, MELISA PAOLA;4.59;LIEPKALNE, DITA;0.41;PIRSIC, SANDRA;2.6;DAVIS, CHELSEA MARIA;3.68;FERNANDEZ FARRES, MARTA;0.86;COMFORT, LADY;2.42;ROBINSON, ANGELICA DANIELLE;5.19;SARR, OUMOUL KHAIRY;7.86;ASURMENDI VILLAVERDE, MARIA DEL CARMEN;2.55;VILARO ARAGONES, ANDREA;1.73;NDOUR, ASTOU BARRO;2.95;DENNETT, MELISSA LOUISE;0.84;ALLISON, RACHEL LINDSAY;0.55;COMELLA PONS, PILAR;0.0;NDOUR, ASTOU BARRO;2.86;FORASTE GALOBARDES, MIRIAM;3.64;ROBINSON, ANGELICA DANIELLE;16.05;COMELLA PONS, PILAR;0.0;COMELLA PONS, PILAR;0.0;COMELLA PONS, PILAR;0.0;COMELLA PONS, PILAR;0.0;COMELLA PONS, PILAR;0.0;COMELLA PONS, PILAR;0.0;COMELLA PONS, PILAR;0.0;COMELLA PONS, PILAR;0.0;COMELLA PONS, PILAR;0.0;COMELLA PONS, PILAR;0.0;COMELLA PONS, PILAR;0.0;COMELLA PONS, PILAR;0.0;COMELLA PONS, PILAR;0.0;COMELLA PONS, PILAR;0.0;COMELLA PONS, PILAR;0.0;COMELLA PONS, PILAR;0.0;COMELLA PONS, PILAR;0.0;COMELLA PONS, PILAR;0.0;COMELLA PONS, PILAR;0.0;COMELLA PONS, PILAR;0.0
MANZANARES VICENTE, YLENIA;33.36;DAVIS, CHELSEA MARIA;13.14;FORASTE GALOBARDES, MIRIAM;4.86;FORASTE GALOBARDES, MIRIAM;9.86;REZAN, MARIJA;0.51;ELDEBRINK, FRIDA;1.42;MURPHY, ESHAYA MARIE;4.48;ROBINSON, ANGELICA DANIELLE;0.4;NICHOLLS GONZALEZ, LAURA;2.59;PARHAM, AJA DANIELLE;3.43;PABLOS VILLARROEL, LUCIA;0.85;BROWN, LA NEDRA JE'TAIME;2.32;CHATZINIKOLAU, OLGA;5.05;COMFORT, LADY;7.42;CHATZINIKOLAU, OLGA;2.5;CHAMBERS, BRITTANY MARIE;1.68;ROBINSON, ANGELICA DANIELLE;2.95;REZAN, MARIJA;0.77;BOGICEVIC, NINA;0.53;KAMARA, NDEYE THIAMA;0.0;BAHI BLANQUERA, GEORGINA;2.86;DAVIS, CHELSEA MARIA;3.55;CHAMBERS, BRITTANY MARIE;15.64;KAMARA, NDEYE THIAMA;0.0;KAMARA, NDEYE THIAMA;0.0;KAMARA, NDEYE THIAMA;0.0;KAMARA, NDEYE THIAMA;0.0;KAMARA, NDEYE THIAMA;0.0;KAMARA, NDEYE THIAMA;0.0;KAMARA, NDEYE THIAMA;0.0;KAMARA, NDEYE THIAMA;0.0;KAMARA, NDEYE THIAMA;0.0;KAMARA, NDEYE THIAMA;0.0;KAMARA, NDEYE THIAMA;0.0;KAMARA, NDEYE THIAMA;0.0;KAMARA, NDEYE THIAMA;0.0;KAMARA, NDEYE THIAMA;0.0;KAMARA, NDEYE THIAMA;0.0;KAMARA, NDEYE THIAMA;0.0;KAMARA, NDEYE THIAMA;0.0;KAMARA, NDEYE THIAMA;0.0;KAMARA, NDEYE THIAMA;0.0;KAMARA, NDEYE THIAMA;0.0
BUCH ROSELL, ROSO;32.98;ELONU, ADAORA NNENNA;13.05;NICHOLLS GONZALEZ, LAURA;4.41;CASAS CARRERAS, QUERALT;9.65;FERNANDEZ FARRES, MARTA;0.5;MURPHY, ESHAYA MARIE;1.38;ELDEBRINK, FRIDA;4.37;KNIGHT, LESLIE FAYE;0.4;COMFORT, LADY;2.58;BROWN, LA NEDRA JE'TAIME;3.41;NICHOLLS GONZALEZ, LAURA;0.85;THOMAS, KRYSTAL VICTORIA;2.32;COMFORT, LADY;5.0;NICHOLLS GONZALEZ, LAURA;7.18;MONTENEGRO SANTANA, RITA ESTHER;2.45;CHATZINIKOLAU, OLGA;1.68;MONTENEGRO SANTANA, RITA ESTHER;2.91;NICHOLLS GONZALEZ, LAURA;0.73;HERRERA BOXO, LAURA;0.52;ALONSO DE ARMIO RIAO, ALICIA;0.0;PIRSIC, SANDRA;2.85;PARHAM, AJA DANIELLE;3.33;SARR, OUMOUL KHAIRY;15.23;ALONSO DE ARMIO RIAO, ALICIA;0.0;ALONSO DE ARMIO RIAO, ALICIA;0.0;ALONSO DE ARMIO RIAO, ALICIA;0.0;ALONSO DE ARMIO RIAO, ALICIA;0.0;ALONSO DE ARMIO RIAO, ALICIA;0.0;ALONSO DE ARMIO RIAO, ALICIA;0.0;ALONSO DE ARMIO RIAO, ALICIA;0.0;ALONSO DE ARMIO RIAO, ALICIA;0.0;ALONSO DE ARMIO RIAO, ALICIA;0.0;ALONSO DE ARMIO RIAO, ALICIA;0.0;ALONSO DE ARMIO RIAO, ALICIA;0.0;ALONSO DE ARMIO RIAO, ALICIA;0.0;ALONSO DE ARMIO RIAO, ALICIA;0.0;ALONSO DE ARMIO RIAO, ALICIA;0.0;ALONSO DE ARMIO RIAO, ALICIA;0.0;ALONSO DE ARMIO RIAO, ALICIA;0.0;ALONSO DE ARMIO RIAO, ALICIA;0.0;ALONSO DE ARMIO RIAO, ALICIA;0.0;ALONSO DE ARMIO RIAO, ALICIA;0.0;ALONSO DE ARMIO RIAO, ALICIA;0.0
