Nombre;Equipo;Partidos;Minutos;Puntos;T2 Anotados;T2 Lanzados;% T2;T3 Anotados;T3 Lanzados;% T3;T1 Anotados;T1 Lanzados;% T1;Reb. Ofensivos;Reb. Defensivos;Rebotes;Asistencias;Robos;Perdidas;Tapones;Tapones Recibidos;Mates;Faltas Cometidas;Faltas Recibidas;Valoracion;% Asist;% Tiro Efectivo;% Tiro Verdadero;GScore;TLR%;Posesiones Anotadas;Posesiones No Anotadas;Floor Percentage;Puntos por Tiro;% Rebotes;% Rebotes Def;% Rebotes Of;% Robos;Toques;Uso;Versatilidad;Win Scores;Eficiencia Ofensiva;Eficiencia Defensiva;Diferencia eficiencia
b'CANO MARTINEZ, LAURA';['CB.STA.ROSA DE LIMA HORTA'];19.0;16.47;4.32;0.26;0.84;0.31;1.0;3.21;0.31;0.79;0.95;0.83;0.32;0.89;1.21;0.79;0.53;0.84;0.05;0.0;0.0;2.58;0.42;0.95;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
b'CANTERO OSTOS, CRISTINA';['A.D. CORTEGADA'];14.0;19.29;7.07;1.0;4.21;0.24;0.57;2.14;0.27;3.36;4.43;0.76;0.5;1.29;1.79;0.86;0.57;1.64;0.07;0.29;0.0;2.64;1.64;1.57;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
b'CAPIN, KARIN INGELA ELISABETH';['BASKET ZARAGOZA'];9.0;18.33;5.56;2.0;6.0;0.33;0.11;0.56;0.2;1.22;2.11;0.58;2.11;2.0;4.11;0.22;0.22;2.0;0.0;0.44;0.0;2.33;2.33;2.33;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
b'CARBALLO AFONSO, ROCIO';['A.D. CORTEGADA'];26.0;30.12;14.65;4.23;9.23;0.46;1.0;2.58;0.39;3.19;4.19;0.76;1.04;2.0;3.04;0.42;1.65;2.08;0.08;0.35;0.0;3.54;1.73;8.04;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
b'CARRERA PEREZ, ANDREA';['R.CLUB CELTA BANCO SIMEON'];8.0;5.25;0.62;0.25;1.0;0.25;0.0;0.5;0.0;0.12;0.25;0.5;0.0;0.5;0.5;0.0;0.0;0.75;0.0;0.0;0.0;0.38;0.12;-1.25;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
b'CEBRIAN SCHEURER, ELISABET';['UNIVERSITAT DE BARCELONA'];26.0;27.81;9.88;3.85;7.5;0.51;0.0;0.04;0.0;2.19;3.54;0.62;1.85;4.27;6.12;1.38;1.62;1.96;1.27;0.12;0.0;3.77;2.58;11.96;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
b'CERQUEIRA DE LA TORRE, CONCEPCION';['ANDALUCIA SOLO HAY UNA'];25.0;35.16;10.44;3.12;6.96;0.45;0.8;2.08;0.38;1.8;2.68;0.67;0.72;4.0;4.72;2.2;1.52;4.64;0.32;0.24;0.0;2.4;2.68;8.6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
b'CHECA JIMENO, MARIA TERESA';['ANDALUCIA SOLO HAY UNA'];26.0;28.04;14.88;4.92;10.65;0.46;0.85;3.5;0.24;2.5;3.38;0.74;2.31;3.54;5.85;0.46;1.15;1.96;0.08;0.42;0.0;3.19;2.62;10.19;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
b'DE OLIVEIRA MAURICIO, NASSECELA C.';['VETUSTA OVIEDO'];15.0;29.4;9.6;3.6;8.07;0.45;0.13;0.33;0.4;2.0;3.0;0.67;2.33;5.33;7.67;0.67;1.8;2.07;0.4;1.13;0.0;3.0;3.0;11.27;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
b'DELGADO DIAZ-GUEMES, RAQUEL';['ROS CASARES'];25.0;22.72;6.32;1.92;3.4;0.56;0.6;1.68;0.36;0.68;1.16;0.59;1.08;2.12;3.2;2.72;1.2;1.56;0.04;0.0;0.0;1.52;1.24;8.6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
