Nombre;Condicion;Partidos;Minutos;Puntos;T2 Anotados;T2 Lanzados;% T2;T3 Anotados;T3 Lanzados;% T3;T1 Anotados;T1 Lanzados;% T1;Reb. Ofensivos;Reb. Defensivos;Rebotes;Asistencias;Robos;Perdidas;Tapones;Tapones Recibidos;Mates;Faltas Cometidas;Faltas Recibidas;Valoracion;Posesiones;Ritmo;OER;% TC Efectivo;% Jugada;Frec. TL;% Reb Def;% Reb Of;% Assis;% Perd
['A.D. CORTEGADA', 'A.D. CORTEGADA', 'A.D. CORTEGADA', 'A.D. CORTEGADA', 'A.D. CORTEGADA', 'A.D. CORTEGADA', 'A.D. CORTEGADA', 'A.D. CORTEGADA', 'A.D. CORTEGADA', 'A.D. CORTEGADA', 'A.D. CORTEGADA'] Equipo;['Media'];6.0;200.0;66.83;20.83;52.67;0.4;2.33;10.0;0.23;18.17;26.33;0.69;11.67;20.83;32.5;5.17;11.17;13.5;0.5;0.83;0.0;23.5;7.83;38.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
['A.D. CORTEGADA', 'A.D. CORTEGADA', 'A.D. CORTEGADA', 'A.D. CORTEGADA', 'A.D. CORTEGADA', 'A.D. CORTEGADA', 'A.D. CORTEGADA', 'A.D. CORTEGADA', 'A.D. CORTEGADA', 'A.D. CORTEGADA', 'A.D. CORTEGADA'] Equipo Rival;['Media Rival'];6.0;196.83;65.17;18.17;40.17;0.45;3.83;12.0;0.32;17.33;24.83;0.7;9.17;17.67;26.83;4.67;7.17;11.17;2.67;0.0;0.0;23.67;7.83;41.83;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
['A.D. CORTEGADA', 'A.D. CORTEGADA', 'A.D. CORTEGADA', 'A.D. CORTEGADA', 'A.D. CORTEGADA', 'A.D. CORTEGADA', 'A.D. CORTEGADA', 'A.D. CORTEGADA', 'A.D. CORTEGADA', 'A.D. CORTEGADA'] Equipo;['Media'];10.0;202.5;70.7;20.6;46.8;0.44;4.2;13.3;0.32;16.9;24.1;0.7;8.4;21.0;29.4;5.0;7.6;16.1;0.6;1.6;0.0;20.9;8.8;41.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
['A.D. CORTEGADA', 'A.D. CORTEGADA', 'A.D. CORTEGADA', 'A.D. CORTEGADA', 'A.D. CORTEGADA', 'A.D. CORTEGADA', 'A.D. CORTEGADA', 'A.D. CORTEGADA', 'A.D. CORTEGADA', 'A.D. CORTEGADA'] Equipo Rival;['Media Rival'];10.0;198.2;77.9;25.4;47.5;0.53;4.6;12.1;0.38;13.3;22.1;0.6;11.0;14.7;25.7;8.0;10.1;12.5;2.5;0.5;0.0;21.7;8.6;59.7;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
['A.D. CORTEGADA', 'A.D. CORTEGADA', 'A.D. CORTEGADA', 'A.D. CORTEGADA', 'A.D. CORTEGADA', 'A.D. CORTEGADA', 'A.D. CORTEGADA', 'A.D. CORTEGADA', 'A.D. CORTEGADA'] Equipo;['Media'];9.0;200.0;67.89;20.89;46.11;0.45;3.44;10.11;0.34;15.78;22.44;0.7;9.22;20.0;29.22;5.0;9.33;16.0;1.44;2.0;0.0;17.56;12.0;50.78;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
['A.D. CORTEGADA', 'A.D. CORTEGADA', 'A.D. CORTEGADA', 'A.D. CORTEGADA', 'A.D. CORTEGADA', 'A.D. CORTEGADA', 'A.D. CORTEGADA', 'A.D. CORTEGADA', 'A.D. CORTEGADA'] Equipo Rival;['Media Rival'];9.0;198.22;73.0;24.11;48.0;0.5;4.78;9.44;0.51;10.44;14.11;0.74;7.78;16.78;24.56;9.44;10.56;11.89;2.56;0.56;0.0;21.22;9.0;63.22;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
['A.D. CORTEGADA', 'A.D. CORTEGADA', 'A.D. CORTEGADA', 'A.D. CORTEGADA', 'A.D. CORTEGADA', 'A.D. CORTEGADA', 'A.D. CORTEGADA', 'A.D. CORTEGADA'] Equipo;['Media'];1.0;200.0;79.0;19.0;40.0;0.47;5.0;13.0;0.39;26.0;35.0;0.74;8.0;19.0;27.0;1.0;16.0;17.0;4.0;2.0;0.0;26.0;24.0;68.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
['A.D. CORTEGADA', 'A.D. CORTEGADA', 'A.D. CORTEGADA', 'A.D. CORTEGADA', 'A.D. CORTEGADA', 'A.D. CORTEGADA', 'A.D. CORTEGADA', 'A.D. CORTEGADA'] Equipo Rival;['Media Rival'];1.0;200.0;74.0;18.0;46.0;0.39;5.0;14.0;0.36;23.0;32.0;0.72;13.0;19.0;32.0;10.0;12.0;18.0;2.0;4.0;0.0;24.0;25.0;63.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
['ANDALUCIA SOLO HAY UNA', 'ANDALUCIA SOLO HAY UNA', 'ANDALUCIA SOLO HAY UNA', 'ANDALUCIA SOLO HAY UNA', 'ANDALUCIA SOLO HAY UNA', 'ANDALUCIA SOLO HAY UNA', 'ANDALUCIA SOLO HAY UNA', 'ANDALUCIA SOLO HAY UNA', 'ANDALUCIA SOLO HAY UNA', 'ANDALUCIA SOLO HAY UNA', 'ANDALUCIA SOLO HAY UNA', 'ANDALUCIA SOLO HAY UNA'] Equipo;['Media'];3.0;200.0;67.67;26.33;62.0;0.42;1.0;8.33;0.12;12.0;17.33;0.69;13.0;24.67;37.67;7.0;12.0;14.0;4.67;1.0;0.0;19.33;17.0;63.33;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
['ANDALUCIA SOLO HAY UNA', 'ANDALUCIA SOLO HAY UNA', 'ANDALUCIA SOLO HAY UNA', 'ANDALUCIA SOLO HAY UNA', 'ANDALUCIA SOLO HAY UNA', 'ANDALUCIA SOLO HAY UNA', 'ANDALUCIA SOLO HAY UNA', 'ANDALUCIA SOLO HAY UNA', 'ANDALUCIA SOLO HAY UNA', 'ANDALUCIA SOLO HAY UNA', 'ANDALUCIA SOLO HAY UNA', 'ANDALUCIA SOLO HAY UNA'] Equipo Rival;['Media Rival'];3.0;190.33;62.67;21.33;44.67;0.48;2.33;13.0;0.18;13.0;18.67;0.7;8.67;20.0;28.67;6.0;8.33;16.33;1.0;4.67;0.0;16.67;19.33;48.67;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
['ANDALUCIA SOLO HAY UNA', 'ANDALUCIA SOLO HAY UNA', 'ANDALUCIA SOLO HAY UNA', 'ANDALUCIA SOLO HAY UNA', 'ANDALUCIA SOLO HAY UNA', 'ANDALUCIA SOLO HAY UNA', 'ANDALUCIA SOLO HAY UNA', 'ANDALUCIA SOLO HAY UNA', 'ANDALUCIA SOLO HAY UNA', 'ANDALUCIA SOLO HAY UNA', 'ANDALUCIA SOLO HAY UNA'] Equipo;['Media'];1.0;200.0;91.0;32.0;51.0;0.63;4.0;9.0;0.44;15.0;19.0;0.79;8.0;31.0;39.0;10.0;15.0;21.0;6.0;1.0;0.0;20.0;21.0;112.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
['ANDALUCIA SOLO HAY UNA', 'ANDALUCIA SOLO HAY UNA', 'ANDALUCIA SOLO HAY UNA', 'ANDALUCIA SOLO HAY UNA', 'ANDALUCIA SOLO HAY UNA', 'ANDALUCIA SOLO HAY UNA', 'ANDALUCIA SOLO HAY UNA', 'ANDALUCIA SOLO HAY UNA', 'ANDALUCIA SOLO HAY UNA', 'ANDALUCIA SOLO HAY UNA', 'ANDALUCIA SOLO HAY UNA'] Equipo Rival;['Media Rival'];1.0;200.0;65.0;23.0;49.0;0.47;1.0;14.0;0.07;16.0;23.0;0.7;4.0;17.0;21.0;4.0;12.0;16.0;1.0;6.0;0.0;21.0;20.0;34.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
['ANDALUCIA SOLO HAY UNA', 'ANDALUCIA SOLO HAY UNA', 'ANDALUCIA SOLO HAY UNA', 'ANDALUCIA SOLO HAY UNA', 'ANDALUCIA SOLO HAY UNA', 'ANDALUCIA SOLO HAY UNA', 'ANDALUCIA SOLO HAY UNA', 'ANDALUCIA SOLO HAY UNA', 'ANDALUCIA SOLO HAY UNA', 'ANDALUCIA SOLO HAY UNA'] Equipo;['Media'];7.0;200.0;69.86;23.0;49.71;0.46;3.57;10.0;0.36;13.14;19.57;0.67;10.29;20.29;30.57;6.43;7.57;19.0;1.86;2.0;0.0;19.71;18.43;54.43;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
