Temporada,Grupo,Jugador,Equipo,Tot,Part,Med
2024,Play-Offs 1/4 Final,"DOMINGUEZ FERNANDEZ, SILVIA",PERFUMERIAS AVENIDA,3 / 4,2,75
2024,Play-Offs 1/4 Final,"PIERA FLO, LAURA",CLUB JOVENTUT BADALONA,5 / 7,2,"71,43"
2024,Play-Offs 1/4 Final,"FRASER, BRIANNA ASHAKI",CASADEMONT ZARAGOZA,7 / 10,2,70
2024,Play-Offs 1/4 Final,"HEMPE, MERRIT RAMONA",CASADEMONT ZARAGOZA,7 / 10,2,70
2024,Play-Offs 1/4 Final,"DEMBELE, GNERE ALIMA",CLUB JOVENTUT BADALONA,8 / 12,2,"66,67"
2024,Play-Offs 1/4 Final,"FIEBICH, LEONIE",VALENCIA B.C.,10 / 10,2,100
2024,Play-Offs 1/4 Final,"KONE , SIKA",PERFUMERIAS AVENIDA,7 / 7,2,100
2024,Play-Offs 1/4 Final,"ALEXANDER, KAYLA JANINE",VALENCIA B.C.,6 / 6,2,100
2024,Play-Offs 1/4 Final,"MILLAN MODIA, BLANCA",BAXI FERROL,6 / 6,2,100
2024,Play-Offs 1/4 Final,"MANÉ, MARIE",CASADEMONT ZARAGOZA,5 / 5,2,100
2024,Play-Offs 1/4 Final,"LUNDQUIST, KLARA MARIA SUSSANE",SPAR GIRONA,4 / 4,2,100
2024,Play-Offs 1/4 Final,"AYUSO BAGUR, AINA",HOZONO GLOBAL JAIRIS,4 / 4,2,100
2024,Play-Offs 1/4 Final,"CRUZ LEBRATO, ANNA",CLUB JOVENTUT BADALONA,4 / 4,2,100
2024,Play-Offs 1/4 Final,"CARRERA QUINTANA, RAQUEL",VALENCIA B.C.,3 / 3,2,100
2024,Play-Offs 1/4 Final,"LEKOVIC, MARIJA",PERFUMERIAS AVENIDA,2 / 2,2,100
2024,Play-Offs 1/4 Final,"GRAY, RESHANDA JACQUETA",HOZONO GLOBAL JAIRIS,2 / 2,2,100
2024,Play-Offs 1/4 Final,"ATKINSON, TANAYA MECHELLE",CASADEMONT ZARAGOZA,2 / 2,1,100
2024,Play-Offs 1/4 Final,"CARTER, ARICA DERRIS",PERFUMERIAS AVENIDA,2 / 2,2,100
2024,Play-Offs 1/4 Final,"MAVUNGA, TAFADZWA STEPHANIE PAULA",VALENCIA B.C.,2 / 2,2,100
2024,Play-Offs 1/4 Final,"TURNER, YVONNE NICOLE",VALENCIA B.C.,2 / 2,2,100
2024,Play-Offs 1/4 Final,"HRISTOVA, BORISLAVA",SPAR GIRONA,2 / 2,2,100
2024,Play-Offs 1/4 Final,"DELAERE, ANTONIA LAURA A.",PERFUMERIAS AVENIDA,2 / 2,2,100
2024,Play-Offs 1/4 Final,"ELDEBRINK, FRIDA",HOZONO GLOBAL JAIRIS,2 / 2,2,100
2024,Play-Offs 1/4 Final,"TORRENS SALOM, ALBA",VALENCIA B.C.,8 / 9,2,"88,89"
2024,Play-Offs 1/4 Final,"MASSEY, BILLIE KIM",HOZONO GLOBAL JAIRIS,6 / 7,2,"85,71"
2024,Play-Offs 1/4 Final,"WHITTLE, MARENA JOSEPHINE",MOVISTAR ESTUDIANTES,5 / 6,2,"83,33"
2024,Play-Offs 1/4 Final,"MARTIN CARRION, IYANA",PERFUMERIAS AVENIDA,9 / 12,2,75
2024,Play-Offs 1/4 Final,"HOLESINSKA, PETRA",HOZONO GLOBAL JAIRIS,6 / 8,2,75
2024,Play-Offs 1/4 Final,"MELIA, CLAIRE",BAXI FERROL,3 / 4,2,75
2024,Play-Offs 1/4 Final,"SANCHEZ RAMOS PEREDA, ALBA",BAXI FERROL,3 / 4,2,75
2024,Play-Offs 1/4 Final,"DOMINGUEZ FERNANDEZ, SILVIA",PERFUMERIAS AVENIDA,3 / 4,2,75
2024,Play-Offs 1/4 Final,"PIERA FLO, LAURA",CLUB JOVENTUT BADALONA,5 / 7,2,"71,43"
2024,Play-Offs 1/4 Final,"FRASER, BRIANNA ASHAKI",CASADEMONT ZARAGOZA,7 / 10,2,70
2024,Play-Offs 1/4 Final,"HEMPE, MERRIT RAMONA",CASADEMONT ZARAGOZA,7 / 10,2,70
2024,Play-Offs 1/4 Final,"DEMBELE, GNERE ALIMA",CLUB JOVENTUT BADALONA,8 / 12,2,"66,67"
