Temporada,Grupo,Jugador,Equipo,Tot,Part,Med
2024,Liga Regular Único,"SANTIBAÑEZ HERRERO, INES",CLUB JOVENTUT BADALONA,158,29,"5,45"
2024,Liga Regular Único,"ARIZTIMUÑO LOPEZ , ITZIAR",LOINTEK GERNIKA BIZKAIA,143,27,"5,3"
2024,Liga Regular Único,"TURNER, YVONNE NICOLE",VALENCIA B.C.,153,29,"5,28"
2024,Liga Regular Único,"SANCHEZ RAMOS PEREDA, ALBA",BAXI FERROL,147,28,"5,25"
2024,Liga Regular Único,"MUHATE PEÑA, CECILIA",DURÁN MAQUINARIA ENSINO,152,29,"5,24"
2024,Liga Regular Único,"SENOSIAIN VERGARACHEA, ANNE",OSES CONSTRUCCION,152,30,"5,07"
2024,Liga Regular Único,"SILA, LUIZE ANNA",CELTA  FEMXA ZORKA,148,30,"4,93"
2024,Liga Regular Único,"PIERA FLO, LAURA",CLUB JOVENTUT BADALONA,142,30,"4,73"
2024,Liga Regular Único,"HALVARSSON, LOUICE SOFIE LINNÉA",IDK EUSKOTREN,118,26,"4,54"
2024,Liga Regular Único,"FLORES COSTA, LAIA",CASADEMONT ZARAGOZA,108,24,"4,5"
2024,Liga Regular Único,"VAN DEN ADEL, NATALIE ISABELLE",KUTXABANK ARASKI,123,28,"4,39"
2024,Liga Regular Único,"BURANI, AGOSTINA PAOLA",SPAR GRAN CANARIA,125,29,"4,31"
2024,Liga Regular Único,"DOMINGUEZ FERNANDEZ, SILVIA",PERFUMERIAS AVENIDA,103,24,"4,29"
2024,Liga Regular Único,"RODRIGUEZ DOMINGUEZ, NATALIA",KUTXABANK ARASKI,124,30,"4,13"
2024,Liga Regular Único,"GARFELLA BEJAR, ELBA",DURÁN MAQUINARIA ENSINO,121,30,"4,03"
2024,Liga Regular Único,"RAMETTE, ELISE CLAUDINE",CLUB JOVENTUT BADALONA,120,30,4
2024,Liga Regular Único,"VENNEMA, IRIS",CLUB JOVENTUT BADALONA,99,26,"3,81"
2024,Liga Regular Único,"WONE ARANAZ, AIXA",OSES CONSTRUCCION,114,30,"3,8"
2024,Liga Regular Único,"JUNIO MBULITO, IRIS",IDK EUSKOTREN,63,17,"3,71"
2024,Liga Regular Único,"MANDIC, ANA",CADI LA SEU,77,21,"3,67"
2024,Liga Regular Único,"MENENDEZ TORRES, CARLOTA",BAXI FERROL,95,27,"3,52"
2024,Liga Regular Único,"SVETLIKOVA, SONA",CADI LA SEU,52,15,"3,47"
2024,Liga Regular Único,"MATA GALINDO, MARINA",CADI LA SEU,83,24,"3,46"
2024,Liga Regular Único,"CLAESSENS, NASTJA",IDK EUSKOTREN,91,27,"3,37"
2024,Liga Regular Único,"JANKOVIC, MASA",PERFUMERIAS AVENIDA,82,25,"3,28"
2024,Liga Regular Único,"COTANO DE JUAN, REBECA",CLUB JOVENTUT BADALONA,86,28,"3,07"
2024,Liga Regular Único,"GELDOF, SERENA LYNN PETRA",CLUB JOVENTUT BADALONA,84,28,3
2024,Liga Regular Único,"BRCANINOVIC, MELISA",CASADEMONT ZARAGOZA,83,28,"2,96"
2024,Liga Regular Único,"BURA, PATRICIA",MOVISTAR ESTUDIANTES,49,17,"2,88"
2024,Liga Regular Único,"LATORRE ALCANTARA, ISABEL",MOVISTAR ESTUDIANTES,84,30,"2,8"
2024,Liga Regular Único,"PALMA JORGE, ANA MARIA",CADI LA SEU,81,29,"2,79"
2024,Liga Regular Único,"FLOREZ GETINO, ALICIA",VALENCIA B.C.,69,26,"2,65"
2024,Liga Regular Único,"DAVIS, JORI N.",BAXI FERROL,75,29,"2,59"
2024,Liga Regular Único,"LOPEZ VIVES, HELENA",CLUB JOVENTUT BADALONA,51,20,"2,55"
2024,Liga Regular Único,"GUTIERREZ LANCHO, LUCIA",CELTA  FEMXA ZORKA,74,30,"2,47"
2024,Liga Regular Único,"DIEZ PASTOR, AMAIA",OSES CONSTRUCCION,66,27,"2,44"
2024,Liga Regular Único,"MOYA BLANCH, LAIA",CELTA  FEMXA ZORKA,60,25,"2,4"
2024,Liga Regular Único,"GRANDE PARDO, CARMEN",HOZONO GLOBAL JAIRIS,56,26,"2,15"
2024,Liga Regular Único,"MISTINOVA, MIROSLAVA",CASADEMONT ZARAGOZA,32,15,"2,13"
2024,Liga Regular Único,"BETTENCOURT CORREIA, MARIA JOAO",DURÁN MAQUINARIA ENSINO,36,17,"2,12"
2024,Liga Regular Único,"CANELLA RODRIGUEZ, MARTA",SPAR GIRONA,63,30,"2,1"
2024,Liga Regular Único,"BROTONS PASCUAL, MONTSERRAT",KUTXABANK ARASKI,59,30,"1,97"
2024,Liga Regular Único,"VIDAL ACUÑA, SARA",CELTA  FEMXA ZORKA,31,19,"1,63"
2024,Liga Regular Único,"BERMEJO ESCRIBANO, DEVA",CLUB JOVENTUT BADALONA,23,15,"1,53"
2024,Liga Regular Único,"SARAVIA LOGROÑO, PAULA",MOVISTAR ESTUDIANTES,16,15,"1,07"
2024,Liga Regular Único,"ALBERDI LARRUCEA, MARTA",LOINTEK GERNIKA BIZKAIA,18,23,"0,78"
