Temporada,Grupo,Jugador,Equipo,Tot,Part,Med
2024,Play-Offs Final,"DAVIS, JORI N.",BAXI FERROL,1,1,1
2024,Play-Offs Final,"GRANDE PARDO, CARMEN",HOZONO GLOBAL JAIRIS,1,1,1
2024,Play-Offs Final,"LEKOVIC, MARIJA",PERFUMERIAS AVENIDA,2,2,1
2024,Play-Offs Final,"JESPERSEN , MARIA STEEN",PERFUMERIAS AVENIDA,3,3,1
2024,Play-Offs Final,"JANKOVIC, MASA",PERFUMERIAS AVENIDA,3,4,"0,75"
2024,Play-Offs Final,"DOMINGUEZ FERNANDEZ, SILVIA",PERFUMERIAS AVENIDA,3,4,"0,75"
2024,Play-Offs Final,"SARAVIA LOGROÑO, PAULA",MOVISTAR ESTUDIANTES,1,2,"0,5"
2024,Play-Offs Final,"COTANO DE JUAN, REBECA",CLUB JOVENTUT BADALONA,1,2,"0,5"
2024,Play-Offs Final,"DEMBELE TRAORE, MAMA",VALENCIA B.C.,1,5,"0,2"
2024,Play-Offs 1/2 Final,"KONE , SIKA",PERFUMERIAS AVENIDA,49,4,"12,25"
2024,Play-Offs 1/2 Final,"COULIBALY, MARIAM ALOU",CLUB JOVENTUT BADALONA,18,2,9
2024,Play-Offs 1/2 Final,"DEMBELE, GNERE ALIMA",CLUB JOVENTUT BADALONA,17,2,"8,5"
2024,Play-Offs 1/2 Final,"CANELLA RODRIGUEZ, MARTA",SPAR GIRONA,33,4,"8,25"
2024,Play-Offs 1/2 Final,"AYUSO BAGUR, AINA",HOZONO GLOBAL JAIRIS,16,2,8
2024,Play-Offs 1/2 Final,"ALEXANDER, KAYLA JANINE",VALENCIA B.C.,32,4,8
2024,Play-Offs 1/2 Final,"BANASZAK, LILIANA ALEKSANDRA",MOVISTAR ESTUDIANTES,14,2,7
2024,Play-Offs 1/2 Final,"GRAY, RESHANDA JACQUETA",HOZONO GLOBAL JAIRIS,13,2,"6,5"
2024,Play-Offs 1/2 Final,"POSPÍŠILOVÁ, JULIE",BAXI FERROL,13,2,"6,5"
2024,Play-Offs 1/2 Final,"CRUZ LEBRATO, ANNA",CLUB JOVENTUT BADALONA,12,2,6
2024,Play-Offs 1/2 Final,"LÓPEZ-SÉNÉCHAL, LOU",HOZONO GLOBAL JAIRIS,12,2,6
2024,Play-Offs 1/2 Final,"CAMILION CUCCARO, JUANA",MOVISTAR ESTUDIANTES,12,2,6
