Temporada,Grupo,Jugador,Equipo,Tot,Part,Med
2024,Liga Regular Único,"SILA, LUIZE ANNA",CELTA  FEMXA ZORKA,138,30,"4,6"
2024,Liga Regular Único,"PIERA FLO, LAURA",CLUB JOVENTUT BADALONA,137,30,"4,57"
2024,Liga Regular Único,"LATORRE ALCANTARA, ISABEL",MOVISTAR ESTUDIANTES,132,30,"4,4"
2024,Liga Regular Único,"DOMINGUEZ FERNANDEZ, SILVIA",PERFUMERIAS AVENIDA,104,24,"4,33"
2024,Liga Regular Único,"SANCHEZ RAMOS PEREDA, ALBA",BAXI FERROL,121,28,"4,32"
2024,Liga Regular Único,"MANÉ, MARIE",CASADEMONT ZARAGOZA,86,20,"4,3"
2024,Liga Regular Único,"RODRIGUEZ DOMINGUEZ, NATALIA",KUTXABANK ARASKI,123,30,"4,1"
2024,Liga Regular Único,"VAN DEN ADEL, NATALIE ISABELLE",KUTXABANK ARASKI,114,28,"4,07"
2024,Liga Regular Único,"MANDIC, ANA",CADI LA SEU,85,21,"4,05"
2024,Liga Regular Único,"PRIETO MARTINEZ, ALBA",IDK EUSKOTREN,114,29,"3,93"
2024,Liga Regular Único,"JANKOVIC, MASA",PERFUMERIAS AVENIDA,90,25,"3,6"
2024,Liga Regular Único,"OLAETA LARRAURI, ANE",LOINTEK GERNIKA BIZKAIA,99,28,"3,54"
2024,Liga Regular Único,"BURA, PATRICIA",MOVISTAR ESTUDIANTES,60,17,"3,53"
2024,Liga Regular Único,"SENOSIAIN VERGARACHEA, ANNE",OSES CONSTRUCCION,99,30,"3,3"
2024,Liga Regular Único,"COTANO DE JUAN, REBECA",CLUB JOVENTUT BADALONA,92,28,"3,29"
2024,Liga Regular Único,"BRCANINOVIC, MELISA",CASADEMONT ZARAGOZA,87,28,"3,11"
2024,Liga Regular Único,"FLOREZ GETINO, ALICIA",VALENCIA B.C.,80,26,"3,08"
2024,Liga Regular Único,"MUNGO LANZETTI, JULIETA",OSES CONSTRUCCION,76,25,"3,04"
2024,Liga Regular Único,"GELDOF, SERENA LYNN PETRA",CLUB JOVENTUT BADALONA,82,28,"2,93"
2024,Liga Regular Único,"GRANDE PARDO, CARMEN",HOZONO GLOBAL JAIRIS,75,26,"2,88"
2024,Liga Regular Único,"GARFELLA BEJAR, ELBA",DURÁN MAQUINARIA ENSINO,85,30,"2,83"
2024,Liga Regular Único,"LOPEZ VIVES, HELENA",CLUB JOVENTUT BADALONA,56,20,"2,8"
2024,Liga Regular Único,"CLAESSENS, NASTJA",IDK EUSKOTREN,72,27,"2,67"
2024,Liga Regular Único,"DAVIS, JORI N.",BAXI FERROL,74,29,"2,55"
2024,Liga Regular Único,"GUTIERREZ LANCHO, LUCIA",CELTA  FEMXA ZORKA,71,30,"2,37"
2024,Liga Regular Único,"SVETLIKOVA, SONA",CADI LA SEU,34,15,"2,27"
2024,Liga Regular Único,"MENENDEZ TORRES, CARLOTA",BAXI FERROL,61,27,"2,26"
2024,Liga Regular Único,"VENNEMA, IRIS",CLUB JOVENTUT BADALONA,56,26,"2,15"
2024,Liga Regular Único,"WONE ARANAZ, AIXA",OSES CONSTRUCCION,63,30,"2,1"
2024,Liga Regular Único,"MATA GALINDO, MARINA",CADI LA SEU,44,24,"1,83"
2024,Liga Regular Único,"BERMEJO ESCRIBANO, DEVA",CLUB JOVENTUT BADALONA,17,15,"1,13"
2024,Liga Regular Único,"PUJOL LLUCH, ARIADNA",CELTA  FEMXA ZORKA,12,18,"0,67"
2024,Liga Regular Único,"MOYA BLANCH, LAIA",CELTA  FEMXA ZORKA,16,25,"0,64"
2024,Liga Regular Único,"BROTONS PASCUAL, MONTSERRAT",KUTXABANK ARASKI,17,30,"0,57"
2024,Liga Regular Único,"MISTINOVA, MIROSLAVA",CASADEMONT ZARAGOZA,3,15,"0,2"
