Temporada,Grupo,Jugador,Equipo,Tot,Part,Med
2024,Play-Offs 1/2 Final,"TORRENS SALOM, ALBA",VALENCIA B.C.,12,4,3
2024,Play-Offs 1/2 Final,"ATKINSON, TANAYA MECHELLE",CASADEMONT ZARAGOZA,3,1,3
2024,Play-Offs 1/2 Final,"WHITTLE, MARENA JOSEPHINE",MOVISTAR ESTUDIANTES,6,2,3
2024,Play-Offs 1/2 Final,"POSPÍŠILOVÁ, JULIE",BAXI FERROL,6,2,3
2024,Play-Offs 1/2 Final,"MELIA, CLAIRE",BAXI FERROL,6,2,3
2024,Play-Offs 1/2 Final,"TOPUZOVIC, KRISTINA",MOVISTAR ESTUDIANTES,3,1,3
2024,Play-Offs 1/2 Final,"MESTRES RICART, GALA",BAXI FERROL,5,2,"2,5"
2024,Play-Offs 1/2 Final,"MARTIN CARRION, IYANA",PERFUMERIAS AVENIDA,10,4,"2,5"
2024,Play-Offs 1/2 Final,"LATORRE ALCANTARA, ISABEL",MOVISTAR ESTUDIANTES,5,2,"2,5"
2024,Play-Offs 1/2 Final,"CANELLA RODRIGUEZ, MARTA",SPAR GIRONA,9,4,"2,25"
2024,Play-Offs 1/2 Final,"DOMINGUEZ FERNANDEZ, SILVIA",PERFUMERIAS AVENIDA,9,4,"2,25"
2024,Play-Offs 1/2 Final,"HRISTOVA, BORISLAVA",SPAR GIRONA,9,4,"2,25"
2024,Play-Offs 1/2 Final,"SALVADORES ALVAREZ, ANGELA",MOVISTAR ESTUDIANTES,4,2,2
2024,Play-Offs 1/2 Final,"HOLESINSKA, PETRA",HOZONO GLOBAL JAIRIS,4,2,2
2024,Play-Offs 1/2 Final,"ROMERO GONZALEZ, LETICIA",VALENCIA B.C.,4,2,2
2024,Play-Offs 1/2 Final,"PUEYO MELCHOR, HELENA",CASADEMONT ZARAGOZA,8,4,2
2024,Play-Offs 1/2 Final,"TATE, IMANI TY LEAH",SPAR GIRONA,7,4,"1,75"
2024,Play-Offs 1/2 Final,"VILARO ARAGONES, ANDREA",PERFUMERIAS AVENIDA,7,4,"1,75"
2024,Play-Offs 1/2 Final,"DEMBELE, GNERE ALIMA",CLUB JOVENTUT BADALONA,1,2,"0,5"
2024,Play-Offs 1/2 Final,"DEMBELE TRAORE, MAMA",VALENCIA B.C.,2,4,"0,5"
2024,Play-Offs 1/2 Final,"GUERRERO ALCANTARA, CAROLINA",SPAR GIRONA,2,4,"0,5"
2024,Play-Offs 1/2 Final,"BURA, PATRICIA",MOVISTAR ESTUDIANTES,1,2,"0,5"
2024,Play-Offs 1/2 Final,"GELDOF, SERENA LYNN PETRA",CLUB JOVENTUT BADALONA,1,2,"0,5"
2024,Play-Offs 1/2 Final,"NYSTROM, ELLEN ADINA",CASADEMONT ZARAGOZA,1,3,"0,33"
2024,Play-Offs 1/2 Final,"EVANS, SHANTE MARIE",CASADEMONT ZARAGOZA,1,4,"0,25"
2024,Play-Offs 1/2 Final,"KONE , SIKA",PERFUMERIAS AVENIDA,1,4,"0,25"
2024,Play-Offs 1/2 Final,"DEMBELE, GNERE ALIMA",CLUB JOVENTUT BADALONA,1,2,"0,5"
