Temporada,Grupo,Jugador,Equipo,Tot,Part,Med
2024,Play-Offs Final,"CANELLA RODRIGUEZ, MARTA",SPAR GIRONA,7 / 9,4,"77,78"
2024,Play-Offs Final,"KONE , SIKA",PERFUMERIAS AVENIDA,2 / 3,4,"66,67"
2024,Play-Offs Final,"TOPUZOVIC, KRISTINA",MOVISTAR ESTUDIANTES,2 / 3,1,"66,67"
2024,Play-Offs Final,"CRUZ LEBRATO, ANNA",CLUB JOVENTUT BADALONA,3 / 5,2,60
2024,Play-Offs Final,"CARRERA QUINTANA, RAQUEL",VALENCIA B.C.,7 / 12,6,"58,33"
2024,Play-Offs Final,"LUNDQUIST, KLARA MARIA SUSSANE",SPAR GIRONA,5 / 9,4,"55,56"
2024,Play-Offs Final,"ROMERO GONZALEZ, LETICIA",VALENCIA B.C.,3 / 6,4,50
2024,Play-Offs Final,"MILLAN MODIA, BLANCA",BAXI FERROL,3 / 6,2,50
2024,Play-Offs Final,"CAMILION CUCCARO, JUANA",MOVISTAR ESTUDIANTES,2 / 4,2,50
2024,Play-Offs Final,"BERTSCH, MORGAN QUINN",HOZONO GLOBAL JAIRIS,2 / 4,1,50
2024,Play-Offs Final,"FRASER, BRIANNA ASHAKI",CASADEMONT ZARAGOZA,2 / 4,2,50
2024,Play-Offs Final,"SARAVIA LOGROÑO, PAULA",MOVISTAR ESTUDIANTES,1 / 2,2,50
2024,Play-Offs Final,"GELDOF, SERENA LYNN PETRA",CLUB JOVENTUT BADALONA,1 / 2,2,50
2024,Play-Offs Final,"JESPERSEN , MARIA STEEN",PERFUMERIAS AVENIDA,1 / 2,3,50
2024,Play-Offs Final,"NYSTROM, ELLEN ADINA",CASADEMONT ZARAGOZA,4 / 9,5,"44,44"
2024,Play-Offs Final,"WHITTLE, MARENA JOSEPHINE",MOVISTAR ESTUDIANTES,4 / 9,2,"44,44"
2024,Play-Offs Final,"CARTER, ARICA DERRIS",PERFUMERIAS AVENIDA,11 / 25,4,44
2024,Play-Offs Final,"GUERRERO ALCANTARA, CAROLINA",SPAR GIRONA,6 / 14,4,"42,86"
2024,Play-Offs Final,"ELDEBRINK, FRIDA",HOZONO GLOBAL JAIRIS,6 / 14,2,"42,86"
2024,Play-Offs Final,"LOPEZ RODRIGUEZ, AINHOA",SPAR GIRONA,3 / 7,4,"42,86"
2024,Play-Offs Final,"IAGUPOVA, ALINA",VALENCIA B.C.,8 / 19,5,"42,11"
2024,Play-Offs Final,"PUEYO MELCHOR, HELENA",CASADEMONT ZARAGOZA,10 / 24,6,"41,67"
2024,Play-Offs Final,"MAWULI, STEPHANIE",CASADEMONT ZARAGOZA,7 / 17,6,"41,18"
2024,Play-Offs Final,"TORRENS SALOM, ALBA",VALENCIA B.C.,11 / 27,6,"40,74"
