Temporada,Grupo,Jugador,Equipo,Tot,Part,Med
2024,Play-Offs 1/2 Final,"CAMILION CUCCARO, JUANA",MOVISTAR ESTUDIANTES,9,2,"4,5"
2024,Play-Offs 1/2 Final,"HOLESINSKA, PETRA",HOZONO GLOBAL JAIRIS,9,2,"4,5"
2024,Play-Offs 1/2 Final,"ORTIZ VIVES, MARIONA",CASADEMONT ZARAGOZA,17,4,"4,25"
2024,Play-Offs 1/2 Final,"FRASER, BRIANNA ASHAKI",CASADEMONT ZARAGOZA,8,2,4
2024,Play-Offs 1/2 Final,"HEMPE, MERRIT RAMONA",CASADEMONT ZARAGOZA,16,4,4
2024,Play-Offs 1/2 Final,"AYUSO BAGUR, AINA",HOZONO GLOBAL JAIRIS,8,2,4
2024,Play-Offs 1/2 Final,"MILLAN MODIA, BLANCA",BAXI FERROL,8,2,4
2024,Play-Offs 1/2 Final,"PIERA FLO, LAURA",CLUB JOVENTUT BADALONA,7,2,"3,5"
2024,Play-Offs 1/2 Final,"COULIBALY, MARIAM ALOU",CLUB JOVENTUT BADALONA,7,2,"3,5"
2024,Play-Offs 1/2 Final,"MELIA, CLAIRE",BAXI FERROL,7,2,"3,5"
2024,Play-Offs 1/2 Final,"WHITTLE, MARENA JOSEPHINE",MOVISTAR ESTUDIANTES,7,2,"3,5"
2024,Play-Offs 1/2 Final,"PIERRE LOUIS, VIONISE ARON'S",SPAR GIRONA,13,4,"3,25"
2024,Play-Offs 1/2 Final,"LUNDQUIST, KLARA MARIA SUSSANE",SPAR GIRONA,13,4,"3,25"
2024,Play-Offs 1/2 Final,"MASSEY, BILLIE KIM",HOZONO GLOBAL JAIRIS,6,2,3
2024,Play-Offs 1/2 Final,"SALVADORES ALVAREZ, ANGELA",MOVISTAR ESTUDIANTES,6,2,3
2024,Play-Offs 1/2 Final,"TORRENS SALOM, ALBA",VALENCIA B.C.,11,4,"2,75"
2024,Play-Offs 1/2 Final,"TURNER, YVONNE NICOLE",VALENCIA B.C.,11,4,"2,75"
2024,Play-Offs 1/2 Final,"KONE , SIKA",PERFUMERIAS AVENIDA,11,4,"2,75"
2024,Play-Offs 1/2 Final,"MARTIN CARRION, IYANA",PERFUMERIAS AVENIDA,11,4,"2,75"
2024,Play-Offs 1/2 Final,"GIL COLLADO, LAURA",PERFUMERIAS AVENIDA,10,4,"2,5"
2024,Play-Offs 1/2 Final,"DOMINGUEZ FERNANDEZ, SILVIA",PERFUMERIAS AVENIDA,10,4,"2,5"
2024,Play-Offs 1/2 Final,"FLORES COSTA, LAIA",CASADEMONT ZARAGOZA,10,4,"2,5"
2024,Play-Offs 1/2 Final,"ELDEBRINK, FRIDA",HOZONO GLOBAL JAIRIS,5,2,"2,5"
2024,Play-Offs 1/2 Final,"IAGUPOVA, ALINA",VALENCIA B.C.,7,3,"2,33"
2024,Play-Offs 1/2 Final,"CARTER, ARICA DERRIS",PERFUMERIAS AVENIDA,9,4,"2,25"
2024,Play-Offs 1/2 Final,"YGUERAVIDE VIANA, SANDRA",SPAR GIRONA,9,4,"2,25"
2024,Play-Offs 1/2 Final,"ALEXANDER, KAYLA JANINE",VALENCIA B.C.,9,4,"2,25"
2024,Play-Offs 1/2 Final,"NYSTROM, ELLEN ADINA",CASADEMONT ZARAGOZA,2,3,"0,67"
2024,Play-Offs 1/2 Final,"BURA, PATRICIA",MOVISTAR ESTUDIANTES,1,2,"0,5"
2024,Play-Offs 1/2 Final,"SARAVIA LOGROÑO, PAULA",MOVISTAR ESTUDIANTES,1,2,"0,5"
2024,Play-Offs 1/2 Final,"ROMERO GONZALEZ, LETICIA",VALENCIA B.C.,1,2,"0,5"
2024,Play-Offs 1/2 Final,"LEKOVIC, MARIJA",PERFUMERIAS AVENIDA,1,2,"0,5"
2024,Play-Offs 1/2 Final,"FINGALL, NADIA ANGELIQUE",VALENCIA B.C.,2,4,"0,5"
2024,Play-Offs 1/2 Final,"OMA GIRALT, HELENA",CASADEMONT ZARAGOZA,2,4,"0,5"
2024,Play-Offs 1/2 Final,"ALARCON OTERO, TXELL",HOZONO GLOBAL JAIRIS,1,2,"0,5"
2024,Play-Offs 1/2 Final,"JOINER, MOIRA MACY",BAXI FERROL,1,2,"0,5"
2024,Play-Offs 1/2 Final,"EVANS, SHANTE MARIE",CASADEMONT ZARAGOZA,2,4,"0,5"
2024,Play-Offs 1/2 Final,"JESPERSEN , MARIA STEEN",PERFUMERIAS AVENIDA,1,3,"0,33"
2024,Play-Offs 1/2 Final,"VILARO ARAGONES, ANDREA",PERFUMERIAS AVENIDA,1,4,"0,25"
2024,Play-Offs 1/2 Final,"JANKOVIC, MASA",PERFUMERIAS AVENIDA,1,4,"0,25"
2024,Play-Offs 1/2 Final,"NYSTROM, ELLEN ADINA",CASADEMONT ZARAGOZA,2,3,"0,67"
2024,Play-Offs 1/2 Final,"BURA, PATRICIA",MOVISTAR ESTUDIANTES,1,2,"0,5"
2024,Play-Offs 1/2 Final,"SARAVIA LOGROÑO, PAULA",MOVISTAR ESTUDIANTES,1,2,"0,5"
2024,Play-Offs 1/2 Final,"ROMERO GONZALEZ, LETICIA",VALENCIA B.C.,1,2,"0,5"
2024,Play-Offs 1/2 Final,"LEKOVIC, MARIJA",PERFUMERIAS AVENIDA,1,2,"0,5"
2024,Play-Offs 1/2 Final,"FINGALL, NADIA ANGELIQUE",VALENCIA B.C.,2,4,"0,5"
2024,Play-Offs 1/2 Final,"OMA GIRALT, HELENA",CASADEMONT ZARAGOZA,2,4,"0,5"
2024,Play-Offs 1/2 Final,"ALARCON OTERO, TXELL",HOZONO GLOBAL JAIRIS,1,2,"0,5"
2024,Play-Offs 1/2 Final,"JOINER, MOIRA MACY",BAXI FERROL,1,2,"0,5"
2024,Play-Offs 1/2 Final,"EVANS, SHANTE MARIE",CASADEMONT ZARAGOZA,2,4,"0,5"
2024,Play-Offs 1/2 Final,"JESPERSEN , MARIA STEEN",PERFUMERIAS AVENIDA,1,3,"0,33"
2024,Play-Offs 1/2 Final,"VILARO ARAGONES, ANDREA",PERFUMERIAS AVENIDA,1,4,"0,25"
2024,Play-Offs 1/2 Final,"JANKOVIC, MASA",PERFUMERIAS AVENIDA,1,4,"0,25"
2024,Play-Offs 1/4 Final,"DEMBELE, GNERE ALIMA",CLUB JOVENTUT BADALONA,10,2,5
2024,Play-Offs 1/4 Final,"CAMILION CUCCARO, JUANA",MOVISTAR ESTUDIANTES,9,2,"4,5"
2024,Play-Offs 1/4 Final,"HOLESINSKA, PETRA",HOZONO GLOBAL JAIRIS,9,2,"4,5"
2024,Play-Offs 1/4 Final,"TORRENS SALOM, ALBA",VALENCIA B.C.,9,2,"4,5"
2024,Play-Offs 1/4 Final,"ORTIZ VIVES, MARIONA",CASADEMONT ZARAGOZA,8,2,4
2024,Play-Offs 1/4 Final,"FRASER, BRIANNA ASHAKI",CASADEMONT ZARAGOZA,8,2,4
2024,Play-Offs 1/4 Final,"KONE , SIKA",PERFUMERIAS AVENIDA,8,2,4
2024,Play-Offs 1/4 Final,"MARTIN CARRION, IYANA",PERFUMERIAS AVENIDA,8,2,4
2024,Play-Offs 1/4 Final,"AYUSO BAGUR, AINA",HOZONO GLOBAL JAIRIS,8,2,4
2024,Play-Offs 1/4 Final,"MILLAN MODIA, BLANCA",BAXI FERROL,8,2,4
2024,Play-Offs 1/4 Final,"FIEBICH, LEONIE",VALENCIA B.C.,7,2,"3,5"
2024,Play-Offs 1/4 Final,"PIERA FLO, LAURA",CLUB JOVENTUT BADALONA,7,2,"3,5"
2024,Play-Offs 1/4 Final,"COULIBALY, MARIAM ALOU",CLUB JOVENTUT BADALONA,7,2,"3,5"
2024,Play-Offs 1/4 Final,"MELIA, CLAIRE",BAXI FERROL,7,2,"3,5"
2024,Play-Offs 1/4 Final,"HEMPE, MERRIT RAMONA",CASADEMONT ZARAGOZA,7,2,"3,5"
2024,Play-Offs 1/4 Final,"WHITTLE, MARENA JOSEPHINE",MOVISTAR ESTUDIANTES,7,2,"3,5"
2024,Play-Offs 1/4 Final,"IAGUPOVA, ALINA",VALENCIA B.C.,3,1,3
2024,Play-Offs 1/4 Final,"GIL COLLADO, LAURA",PERFUMERIAS AVENIDA,6,2,3
2024,Play-Offs 1/4 Final,"MASSEY, BILLIE KIM",HOZONO GLOBAL JAIRIS,6,2,3
2024,Play-Offs 1/4 Final,"TURNER, YVONNE NICOLE",VALENCIA B.C.,6,2,3
2024,Play-Offs 1/4 Final,"FLORES COSTA, LAIA",CASADEMONT ZARAGOZA,6,2,3
2024,Play-Offs 1/4 Final,"MAWULI, STEPHANIE",CASADEMONT ZARAGOZA,6,2,3
2024,Play-Offs 1/4 Final,"SALVADORES ALVAREZ, ANGELA",MOVISTAR ESTUDIANTES,6,2,3
2024,Play-Offs 1/4 Final,"ELDEBRINK, FRIDA",HOZONO GLOBAL JAIRIS,5,2,"2,5"
2024,Play-Offs 1/4 Final,"LUNDQUIST, KLARA MARIA SUSSANE",SPAR GIRONA,5,2,"2,5"
2024,Play-Offs 1/4 Final,"MANÉ, MARIE",CASADEMONT ZARAGOZA,5,2,"2,5"
2024,Play-Offs 1/4 Final,"PIERRE LOUIS, VIONISE ARON'S",SPAR GIRONA,5,2,"2,5"
2024,Play-Offs 1/4 Final,"CARRERA QUINTANA, RAQUEL",VALENCIA B.C.,4,2,2
2024,Play-Offs 1/4 Final,"GRAY, RESHANDA JACQUETA",HOZONO GLOBAL JAIRIS,4,2,2
2024,Play-Offs 1/4 Final,"YGUERAVIDE VIANA, SANDRA",SPAR GIRONA,4,2,2
2024,Play-Offs 1/4 Final,"VILARO ARAGONES, ANDREA",PERFUMERIAS AVENIDA,1,2,"0,5"
2024,Play-Offs 1/4 Final,"JESPERSEN , MARIA STEEN",PERFUMERIAS AVENIDA,1,2,"0,5"
2024,Play-Offs 1/4 Final,"ALARCON OTERO, TXELL",HOZONO GLOBAL JAIRIS,1,2,"0,5"
2024,Play-Offs 1/4 Final,"JOINER, MOIRA MACY",BAXI FERROL,1,2,"0,5"
2024,Play-Offs 1/4 Final,"EVANS, SHANTE MARIE",CASADEMONT ZARAGOZA,1,2,"0,5"
2024,Play-Offs 1/4 Final,"LEKOVIC, MARIJA",PERFUMERIAS AVENIDA,1,2,"0,5"
2024,Play-Offs 1/4 Final,"SARAVIA LOGROÑO, PAULA",MOVISTAR ESTUDIANTES,1,2,"0,5"
2024,Play-Offs 1/4 Final,"FINGALL, NADIA ANGELIQUE",VALENCIA B.C.,1,2,"0,5"
2024,Play-Offs 1/4 Final,"JANKOVIC, MASA",PERFUMERIAS AVENIDA,1,2,"0,5"
2024,Play-Offs 1/4 Final,"VILARO ARAGONES, ANDREA",PERFUMERIAS AVENIDA,1,2,"0,5"
2024,Play-Offs 1/4 Final,"JESPERSEN , MARIA STEEN",PERFUMERIAS AVENIDA,1,2,"0,5"
2024,Play-Offs 1/4 Final,"ALARCON OTERO, TXELL",HOZONO GLOBAL JAIRIS,1,2,"0,5"
2024,Play-Offs 1/4 Final,"JOINER, MOIRA MACY",BAXI FERROL,1,2,"0,5"
2024,Play-Offs 1/4 Final,"EVANS, SHANTE MARIE",CASADEMONT ZARAGOZA,1,2,"0,5"
2024,Play-Offs 1/4 Final,"LEKOVIC, MARIJA",PERFUMERIAS AVENIDA,1,2,"0,5"
