Nombre;Equipo;Partidos;Minutos;Puntos;T2 Anotados;T2 Lanzados;% T2;T3 Anotados;T3 Lanzados;% T3;T1 Anotados;T1 Lanzados;% T1;Reb. Ofensivos;Reb. Defensivos;Rebotes;Asistencias;Robos;Perdidas;Tapones;Tapones Recibidos;Mates;Faltas Cometidas;Faltas Recibidas;Valoracion;% Asist;% Tiro Efectivo;% Tiro Verdadero;GScore;TLR%;Posesiones Anotadas;Posesiones No Anotadas;Floor Percentage;Puntos por Tiro;% Rebotes;% Rebotes Def;% Rebotes Of;% Robos;Toques;Uso;Versatilidad;Win Scores;Eficiencia Ofensiva;Eficiencia Defensiva;Diferencia eficiencia
b' KONIG, AISLINN CHIA PI';['HOZONO GLOBAL JAIRIS'];30.0;20.6;8.97;0.87;1.8;0.48;2.3;6.57;0.35;0.33;0.5;0.67;0.37;0.97;1.33;1.2;0.63;0.97;0.13;0.07;0.0;1.6;0.37;4.7;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
b'AGUILAR MOTTA, REGINA';['CELTA ZORKA RECALVI'];30.0;24.44;7.07;1.53;3.6;0.43;0.9;3.5;0.26;1.3;1.9;0.68;0.43;1.6;2.03;3.1;1.07;1.53;0.0;0.13;0.0;2.4;2.97;7.03;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
b'AIJANEN, MARIA ANNIINA';['BAXI FERROL'];30.0;16.7;3.73;0.87;2.07;0.42;0.5;1.83;0.27;0.5;0.77;0.65;1.4;1.8;3.2;0.77;0.27;0.37;0.2;0.1;0.0;1.63;0.93;4.3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
b'AKIR TURGUT, OLCAY';['PERFUMERIAS AVENIDA'];28.0;19.59;5.21;1.57;3.11;0.51;0.54;1.75;0.31;0.46;0.57;0.81;0.5;1.86;2.36;2.5;1.57;1.64;0.11;0.04;0.0;1.89;1.14;6.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
b'ALARCON OTERO, TXELL';['KUTXABANK ARASKI'];27.0;19.89;6.11;1.56;3.0;0.52;0.67;1.7;0.39;1.0;1.15;0.87;0.63;2.3;2.93;0.78;0.7;0.85;0.07;0.19;0.0;1.48;1.48;7.11;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
b'ALBERDI LARRUCEA, MARTA';['LOINTEK GERNIKA BIZKAIA'];21.0;6.97;0.9;0.29;1.0;0.29;0.1;0.24;0.4;0.05;0.24;0.2;0.33;0.52;0.86;0.43;0.19;0.29;0.0;0.1;0.0;0.9;0.29;0.43;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
b'ALIAGA ROMERO, LAURA';['KUTXABANK ARASKI'];30.0;18.42;6.1;0.67;1.67;0.4;1.27;4.07;0.31;0.97;1.2;0.81;0.37;0.7;1.07;0.63;0.4;0.77;0.07;0.1;0.0;1.33;0.83;2.97;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
b'ALLEN, REBECCA';['VALENCIA B.C.'];7.0;22.54;10.29;3.0;5.14;0.58;1.43;3.71;0.38;0.0;0.14;0.0;0.43;2.86;3.29;1.14;1.0;1.43;0.71;0.0;0.0;1.0;0.86;10.29;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
b'ALNATAS, NAOMIE';['SPAR GRAN CANARIA'];28.0;29.23;10.14;1.82;4.07;0.45;1.71;4.79;0.36;1.36;1.57;0.86;0.57;2.54;3.11;2.39;1.14;2.11;0.0;0.21;0.0;3.04;2.04;8.14;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
b'ALONSO DE ARMIO RIAO, GRACIA';['IDK EUSKOTREN'];26.0;15.13;3.81;0.85;2.15;0.39;0.42;1.77;0.24;0.85;1.19;0.71;0.73;1.08;1.81;0.77;0.69;0.73;0.08;0.04;0.0;1.46;1.23;3.19;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
