Nombre;Condicion;Partidos;Minutos;Puntos;T2 Anotados;T2 Lanzados;% T2;T3 Anotados;T3 Lanzados;% T3;T1 Anotados;T1 Lanzados;% T1;Reb. Ofensivos;Reb. Defensivos;Rebotes;Asistencias;Robos;Perdidas;Tapones;Tapones Recibidos;Mates;Faltas Cometidas;Faltas Recibidas;Valoracion;Posesiones;Ritmo;OER;% TC Efectivo;% Jugada;Frec. TL;% Reb Def;% Reb Of;% Assis;% Perd
['BARÇA CBS', 'BARÇA CBS', 'BARÇA CBS', 'BARÇA CBS', 'BARÇA CBS', 'BARÇA CBS', 'BARÇA CBS', 'BARÇA CBS', 'BARÇA CBS', 'BARÇA CBS', 'BARÇA CBS', 'BARÇA CBS', 'BARÇA CBS'] Equipo;['Media'];1.0;200.0;58.0;17.0;39.0;0.44;5.0;23.0;0.22;9.0;13.0;0.69;14.0;34.0;48.0;9.0;4.0;14.0;1.0;2.0;0.0;18.0;13.0;57.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
['BARÇA CBS', 'BARÇA CBS', 'BARÇA CBS', 'BARÇA CBS', 'BARÇA CBS', 'BARÇA CBS', 'BARÇA CBS', 'BARÇA CBS', 'BARÇA CBS', 'BARÇA CBS', 'BARÇA CBS', 'BARÇA CBS', 'BARÇA CBS'] Equipo Rival;['Media Rival'];1.0;200.0;39.0;12.0;28.0;0.43;2.0;26.0;0.08;9.0;19.0;0.47;7.0;20.0;27.0;6.0;10.0;11.0;2.0;1.0;0.0;13.0;18.0;28.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
['BARÇA CBS', 'BARÇA CBS', 'BARÇA CBS', 'BARÇA CBS', 'BARÇA CBS', 'BARÇA CBS', 'BARÇA CBS', 'BARÇA CBS', 'BARÇA CBS', 'BARÇA CBS', 'BARÇA CBS', 'BARÇA CBS'] Equipo;['Media'];1.0;200.0;42.0;13.0;41.0;0.32;3.0;12.0;0.25;7.0;9.0;0.78;6.0;17.0;23.0;16.0;3.0;20.0;0.0;1.0;0.0;23.0;17.0;19.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
['BARÇA CBS', 'BARÇA CBS', 'BARÇA CBS', 'BARÇA CBS', 'BARÇA CBS', 'BARÇA CBS', 'BARÇA CBS', 'BARÇA CBS', 'BARÇA CBS', 'BARÇA CBS', 'BARÇA CBS', 'BARÇA CBS'] Equipo Rival;['Media Rival'];1.0;200.0;92.0;28.0;48.0;0.58;7.0;20.0;0.35;15.0;20.0;0.75;14.0;24.0;38.0;27.0;15.0;6.0;1.0;0.0;0.0;17.0;22.0;134.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
['BARÇA CBS', 'BARÇA CBS', 'BARÇA CBS', 'BARÇA CBS', 'BARÇA CBS', 'BARÇA CBS', 'BARÇA CBS', 'BARÇA CBS', 'BARÇA CBS', 'BARÇA CBS', 'BARÇA CBS'] Equipo;['Media'];5.0;200.0;63.2;19.0;40.0;0.47;4.6;17.4;0.26;11.4;15.0;0.76;8.6;22.2;30.8;15.4;7.8;17.8;1.0;0.8;0.0;16.4;17.0;63.6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
['BARÇA CBS', 'BARÇA CBS', 'BARÇA CBS', 'BARÇA CBS', 'BARÇA CBS', 'BARÇA CBS', 'BARÇA CBS', 'BARÇA CBS', 'BARÇA CBS', 'BARÇA CBS', 'BARÇA CBS'] Equipo Rival;['Media Rival'];5.0;200.0;69.4;20.2;41.2;0.49;6.6;23.2;0.28;9.2;13.0;0.71;10.8;21.8;32.6;15.4;10.8;12.6;0.8;1.0;0.0;17.0;16.4;74.4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
['BARÇA CBS', 'BARÇA CBS', 'BARÇA CBS', 'BARÇA CBS', 'BARÇA CBS', 'BARÇA CBS', 'BARÇA CBS', 'BARÇA CBS', 'BARÇA CBS', 'BARÇA CBS'] Equipo;['Media'];14.0;201.79;61.79;19.14;41.93;0.46;4.93;18.0;0.27;8.71;11.43;0.76;7.0;25.0;32.0;15.71;5.64;14.79;1.07;1.57;0.21;18.07;15.93;60.71;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
['BARÇA CBS', 'BARÇA CBS', 'BARÇA CBS', 'BARÇA CBS', 'BARÇA CBS', 'BARÇA CBS', 'BARÇA CBS', 'BARÇA CBS', 'BARÇA CBS', 'BARÇA CBS'] Equipo Rival;['Media Rival'];14.0;201.79;65.43;18.57;42.21;0.44;5.43;20.07;0.27;12.0;17.14;0.7;9.36;25.36;34.71;13.71;8.07;12.29;1.57;1.07;0.14;16.07;18.07;69.79;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
['BARÇA CBS', 'BARÇA CBS', 'BARÇA CBS', 'BARÇA CBS', 'BARÇA CBS', 'BARÇA CBS', 'BARÇA CBS', 'BARÇA CBS', 'BARÇA CBS'] Equipo;['Media'];8.0;200.0;60.12;16.5;37.62;0.44;6.12;19.0;0.32;8.75;11.12;0.79;5.38;20.25;25.62;12.88;8.0;14.5;1.25;1.38;0.0;17.0;14.88;54.88;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
['BARÇA CBS', 'BARÇA CBS', 'BARÇA CBS', 'BARÇA CBS', 'BARÇA CBS', 'BARÇA CBS', 'BARÇA CBS', 'BARÇA CBS', 'BARÇA CBS'] Equipo Rival;['Media Rival'];8.0;200.0;71.0;20.25;41.75;0.49;6.88;20.62;0.33;9.88;12.5;0.79;10.25;26.12;36.38;17.88;8.12;13.88;1.38;1.25;0.12;14.88;17.0;85.12;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
