Nombre;Equipo;Partidos;Minutos;Puntos;T2 Anotados;T2 Lanzados;% T2;T3 Anotados;T3 Lanzados;% T3;T1 Anotados;T1 Lanzados;% T1;Reb. Ofensivos;Reb. Defensivos;Rebotes;Asistencias;Robos;Perdidas;Tapones;Tapones Recibidos;Mates;Faltas Cometidas;Faltas Recibidas;Valoracion;% Asist;% Tiro Efectivo;% Tiro Verdadero;GScore;TLR%;Posesiones Anotadas;Posesiones No Anotadas;Floor Percentage;Puntos por Tiro;% Rebotes;% Rebotes Def;% Rebotes Of;% Robos;Toques;Uso;Versatilidad;Win Scores;Eficiencia Ofensiva;Eficiencia Defensiva;Diferencia eficiencia
b'ABALDE DIAZ, TAMARA';['CADI LA SEU'];26.0;25.18;12.42;4.15;9.73;0.43;0.46;1.35;0.34;2.73;4.12;0.66;2.19;3.27;5.46;1.23;0.88;2.42;0.5;0.19;0.0;2.19;4.04;11.88;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
b'ABIAN MURILLO, MARIA';['CAMPUS PROMETE'];1.0;3.18;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;3.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
b'ADURIZ HERNANI, ONINTZA';['IDK GIPUZKOA'];26.0;22.43;5.46;2.04;4.23;0.48;0.23;0.62;0.38;0.69;1.0;0.69;0.77;1.77;2.54;0.88;0.77;1.27;0.15;0.08;0.0;1.85;1.31;5.04;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
b'AIZPURUA OLABARRIA, OIHANE';['AÑARES RIOJA ISB'];5.0;9.41;2.0;0.6;1.0;0.6;0.0;0.0;0.0;0.8;0.8;1.0;0.8;0.2;1.0;0.4;0.4;0.8;0.2;0.2;0.0;0.8;0.6;2.4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
b'ALCANTARA TENA, ANDREA';['C.B. CONQUERO HUELVA WAGEN'];14.0;5.1;1.93;0.14;0.93;0.15;0.29;1.36;0.21;0.79;0.86;0.92;0.0;0.21;0.21;0.21;0.21;0.71;0.0;0.14;0.0;0.36;0.64;0.07;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
b'ALIAGA ROMERO, LAURA';['QUESOS EL PASTOR DE LA POLVOROSA'];26.0;20.86;6.38;1.04;2.27;0.46;1.35;4.0;0.34;0.27;0.31;0.88;0.62;1.73;2.35;0.62;0.73;0.81;0.23;0.0;0.0;1.92;0.5;4.15;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
b'AMUKAMARA, PROMISE ONYEKA';['C.R.E.F. ¡HOLA!'];26.0;19.6;7.62;2.46;5.73;0.43;0.35;1.35;0.26;1.65;2.04;0.81;0.96;1.54;2.5;1.08;1.62;1.69;0.0;0.23;0.0;2.12;1.58;5.69;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
b'ARREGUI IBARGUREN, GARAZI';['AÑARES RIOJA ISB'];26.0;18.3;4.19;0.77;1.92;0.4;0.73;2.54;0.29;0.46;0.65;0.71;0.27;1.08;1.35;0.54;0.38;1.58;0.0;0.19;0.0;2.46;0.96;0.04;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
b'ARRIEN MUNIOZGUREN, ANE';['GERNIKA BIZKAIA'];1.0;2.12;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
b'ARROJO JIMENEZ, MARIA BELEN';['CADI LA SEU'];26.0;23.53;8.08;3.27;7.04;0.46;0.15;0.96;0.16;1.08;1.42;0.76;1.58;3.08;4.65;1.15;1.38;1.04;0.46;0.27;0.0;2.12;1.15;8.54;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
b'ARROYO CARRASCO, CARMEN';['C.B. CONQUERO HUELVA WAGEN'];3.0;1.53;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
