Nombre;Condicion;Partidos;Minutos;Puntos;T2 Anotados;T2 Lanzados;% T2;T3 Anotados;T3 Lanzados;% T3;T1 Anotados;T1 Lanzados;% T1;Reb. Ofensivos;Reb. Defensivos;Rebotes;Asistencias;Robos;Perdidas;Tapones;Tapones Recibidos;Mates;Faltas Cometidas;Faltas Recibidas;Valoracion;Posesiones;Ritmo;OER;% TC Efectivo;% Jugada;Frec. TL;% Reb Def;% Reb Of;% Assis;% Perd
['BAXI FERROL', 'BAXI FERROL', 'BAXI FERROL', 'BAXI FERROL', 'BAXI FERROL', 'BAXI FERROL', 'BAXI FERROL', 'BAXI FERROL', 'BAXI FERROL', 'BAXI FERROL', 'BAXI FERROL', 'BAXI FERROL'] Equipo;['Media'];6.0;200.0;66.5;17.5;41.5;0.42;6.0;22.67;0.26;13.5;17.5;0.77;11.83;22.0;33.83;13.0;10.5;17.0;2.0;2.5;0.0;16.0;19.17;67.33;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
['BAXI FERROL', 'BAXI FERROL', 'BAXI FERROL', 'BAXI FERROL', 'BAXI FERROL', 'BAXI FERROL', 'BAXI FERROL', 'BAXI FERROL', 'BAXI FERROL', 'BAXI FERROL', 'BAXI FERROL', 'BAXI FERROL'] Equipo Rival;['Media Rival'];6.0;200.0;69.17;20.5;43.67;0.47;4.67;18.83;0.25;14.17;18.67;0.76;10.83;26.5;37.33;15.83;11.0;16.5;2.5;2.0;0.0;19.17;16.0;74.33;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
['BAXI FERROL', 'BAXI FERROL', 'BAXI FERROL', 'BAXI FERROL', 'BAXI FERROL', 'BAXI FERROL', 'BAXI FERROL', 'BAXI FERROL', 'BAXI FERROL', 'BAXI FERROL', 'BAXI FERROL'] Equipo;['Media'];18.0;202.78;69.78;18.0;36.89;0.49;6.89;24.06;0.29;13.11;16.67;0.79;8.61;23.67;32.28;15.56;9.22;15.56;2.06;1.72;0.0;16.61;19.33;76.44;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
['BAXI FERROL', 'BAXI FERROL', 'BAXI FERROL', 'BAXI FERROL', 'BAXI FERROL', 'BAXI FERROL', 'BAXI FERROL', 'BAXI FERROL', 'BAXI FERROL', 'BAXI FERROL', 'BAXI FERROL'] Equipo Rival;['Media Rival'];18.0;202.78;68.83;18.83;42.0;0.45;6.61;20.83;0.32;11.33;15.11;0.75;9.61;23.61;33.22;16.94;7.94;16.67;1.72;2.06;0.0;19.44;16.61;68.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
['BAXI FERROL', 'BAXI FERROL', 'BAXI FERROL', 'BAXI FERROL', 'BAXI FERROL', 'BAXI FERROL', 'BAXI FERROL', 'BAXI FERROL', 'BAXI FERROL', 'BAXI FERROL'] Equipo;['Media'];4.0;206.25;62.0;16.5;37.0;0.45;7.75;25.25;0.31;5.75;7.25;0.79;7.5;23.75;31.25;13.75;6.75;16.5;1.5;0.5;0.0;17.25;13.75;55.75;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
['BAXI FERROL', 'BAXI FERROL', 'BAXI FERROL', 'BAXI FERROL', 'BAXI FERROL', 'BAXI FERROL', 'BAXI FERROL', 'BAXI FERROL', 'BAXI FERROL', 'BAXI FERROL'] Equipo Rival;['Media Rival'];4.0;206.25;74.5;18.75;42.75;0.44;7.25;25.75;0.28;15.25;18.5;0.82;13.0;24.5;37.5;14.75;12.5;11.0;0.5;1.5;0.0;13.75;17.25;86.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
['BAXI FERROL', 'BAXI FERROL', 'BAXI FERROL', 'BAXI FERROL', 'BAXI FERROL', 'BAXI FERROL', 'BAXI FERROL', 'BAXI FERROL', 'BAXI FERROL'] Equipo;['Media'];2.0;200.0;81.0;17.5;38.5;0.45;10.5;28.0;0.38;14.5;16.5;0.88;8.0;19.5;27.5;19.5;10.0;11.0;0.5;0.0;0.0;20.5;19.0;85.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
['BAXI FERROL', 'BAXI FERROL', 'BAXI FERROL', 'BAXI FERROL', 'BAXI FERROL', 'BAXI FERROL', 'BAXI FERROL', 'BAXI FERROL', 'BAXI FERROL'] Equipo Rival;['Media Rival'];2.0;200.0;84.0;24.5;47.0;0.52;6.5;16.0;0.41;15.5;21.0;0.74;12.0;27.5;39.5;27.0;5.5;15.0;0.0;0.5;0.0;19.0;20.0;104.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
['CADI LA SEU', 'CADI LA SEU', 'CADI LA SEU', 'CADI LA SEU', 'CADI LA SEU', 'CADI LA SEU', 'CADI LA SEU', 'CADI LA SEU', 'CADI LA SEU', 'CADI LA SEU', 'CADI LA SEU', 'CADI LA SEU', 'CADI LA SEU'] Equipo;['Media'];1.0;200.0;58.0;13.0;43.0;0.3;8.0;20.0;0.4;8.0;9.0;0.89;7.0;21.0;28.0;15.0;11.0;12.0;0.0;1.0;0.0;13.0;15.0;59.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
['CADI LA SEU', 'CADI LA SEU', 'CADI LA SEU', 'CADI LA SEU', 'CADI LA SEU', 'CADI LA SEU', 'CADI LA SEU', 'CADI LA SEU', 'CADI LA SEU', 'CADI LA SEU', 'CADI LA SEU', 'CADI LA SEU', 'CADI LA SEU'] Equipo Rival;['Media Rival'];1.0;200.0;82.0;21.0;36.0;0.58;10.0;28.0;0.36;10.0;14.0;0.71;9.0;33.0;42.0;25.0;8.0;14.0;1.0;0.0;0.0;16.0;13.0;104.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
