Nombre;Equipo;Partidos;Minutos;Puntos;T2 Anotados;T2 Lanzados;% T2;T3 Anotados;T3 Lanzados;% T3;T1 Anotados;T1 Lanzados;% T1;Reb. Ofensivos;Reb. Defensivos;Rebotes;Asistencias;Robos;Perdidas;Tapones;Tapones Recibidos;Mates;Faltas Cometidas;Faltas Recibidas;Valoracion;% Asist;% Tiro Efectivo;% Tiro Verdadero;GScore;TLR%;Posesiones Anotadas;Posesiones No Anotadas;Floor Percentage;Puntos por Tiro;% Rebotes;% Rebotes Def;% Rebotes Of;% Robos;Toques;Uso;Versatilidad;Win Scores;Eficiencia Ofensiva;Eficiencia Defensiva;Diferencia eficiencia
 MIKESELL, TAYLOR AYN;['LOINTEK GERNIKA BIZKAIA'];5.0;24.05;9.6;2.4;6.0;0.4;1.6;5.2;0.31;0.0;0.0;0.0;0.4;1.0;1.4;1.0;0.4;1.6;0.0;0.0;0.0;2.4;1.0;2.2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
AGUILAR MOTTA, REGINA;['CADI LA SEU'];30.0;26.48;9.73;2.3;5.47;0.42;0.93;3.1;0.3;2.33;2.73;0.85;0.63;1.8;2.43;3.4;1.07;2.53;0.0;0.1;0.0;2.13;3.23;9.47;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
AJEMBA, IJEOMA OBIAMAKA;['OSES CONSTRUCCION'];10.0;16.9;7.0;2.6;5.4;0.48;0.2;0.6;0.33;1.2;1.9;0.63;1.8;3.6;5.4;0.4;0.6;1.7;0.1;0.2;0.0;1.4;2.9;9.4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
ALARCON OTERO, TXELL;['HOZONO GLOBAL JAIRIS'];29.0;23.47;5.69;0.9;1.83;0.49;0.93;2.41;0.39;1.1;1.72;0.64;0.69;1.41;2.1;0.79;0.55;0.62;0.0;0.07;0.0;1.48;1.76;5.76;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
ALBERDI LARRUCEA, MARTA;['LOINTEK GERNIKA BIZKAIA'];23.0;5.78;0.78;0.22;0.83;0.26;0.09;0.35;0.25;0.09;0.09;1.0;0.22;0.35;0.57;0.35;0.22;0.35;0.0;0.09;0.0;0.96;0.13;-0.13;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
ALEXANDER, KAYLA JANINE;['VALENCIA B.C.'];22.0;19.94;12.18;4.82;7.45;0.65;0.14;0.45;0.3;2.14;2.55;0.84;1.95;3.59;5.55;1.0;0.82;1.36;0.09;0.36;0.0;2.18;2.64;15.36;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
ALIAGA ROMERO, LAURA;['KUTXABANK ARASKI'];14.0;24.51;6.5;0.43;1.64;0.26;1.79;4.64;0.38;0.29;0.43;0.67;0.29;1.64;1.93;1.36;0.5;1.14;0.14;0.14;0.0;1.86;0.93;4.14;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
ALNATAS, NAOMIE;['CELTA  FEMXA ZORKA'];11.0;15.73;5.09;0.55;2.0;0.27;1.18;3.09;0.38;0.45;0.73;0.62;0.27;1.27;1.55;1.09;0.27;0.91;0.09;0.18;0.0;1.45;1.0;3.09;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
ALONSO DE ARMIO RIAO, GRACIA;['MOVISTAR ESTUDIANTES'];30.0;24.81;9.47;2.63;5.23;0.5;0.9;2.37;0.38;1.5;1.8;0.83;2.0;2.13;4.13;1.3;0.97;1.27;0.1;0.17;0.0;2.23;1.67;9.77;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
ALVAREZ CASTELLANOS, ELENA;['OSES CONSTRUCCION'];13.0;5.28;0.62;0.15;0.31;0.5;0.0;0.0;0.0;0.31;0.31;1.0;0.23;0.38;0.62;0.62;0.08;0.31;0.0;0.0;0.0;0.69;0.31;1.08;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
