Nombre;Equipo;Partidos;Minutos;Puntos;T2 Anotados;T2 Lanzados;% T2;T3 Anotados;T3 Lanzados;% T3;T1 Anotados;T1 Lanzados;% T1;Reb. Ofensivos;Reb. Defensivos;Rebotes;Asistencias;Robos;Perdidas;Tapones;Tapones Recibidos;Mates;Faltas Cometidas;Faltas Recibidas;Valoracion;% Asist;% Tiro Efectivo;% Tiro Verdadero;GScore;TLR%;Posesiones Anotadas;Posesiones No Anotadas;Floor Percentage;Puntos por Tiro;% Rebotes;% Rebotes Def;% Rebotes Of;% Robos;Toques;Uso;Versatilidad;Win Scores;Eficiencia Ofensiva;Eficiencia Defensiva;Diferencia eficiencia
b'ABALDE DIAZ, TAMARA';['REAL CLUB CELTA VIGOURBAN'];20.0;11.82;2.3;0.6;2.5;0.24;0.05;0.4;0.12;0.95;1.65;0.58;1.0;1.0;2.0;0.35;0.3;0.7;0.1;0.05;0.0;1.2;1.45;1.6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
b'AGUILAR LOPEZ, ELISA';['ROS CASARES VALENCIA'];26.0;33.21;10.35;1.65;4.58;0.36;1.77;4.12;0.43;1.73;2.31;0.75;0.42;3.08;3.5;2.62;1.62;1.77;0.0;0.19;0.0;1.15;1.77;10.88;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
b'ALAMO GONZALEZ, ELENA';['CAJACANARIAS'];26.0;24.12;8.42;1.73;4.31;0.4;1.04;3.0;0.35;1.85;2.69;0.69;0.42;1.96;2.38;3.65;1.35;3.31;0.04;0.23;0.0;2.35;2.73;7.31;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
b'ALMORZA HIDALGO, ESPERANZA';['CADI LA SEU D´URGELL'];16.0;15.94;4.31;1.19;2.75;0.43;0.38;2.25;0.17;0.81;1.19;0.68;0.81;1.44;2.25;0.5;0.88;1.06;0.0;0.12;0.0;1.38;1.19;2.75;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
b'ALONSO DIEGO, MARIA JOSE';['ARRANZ - JOPISA BURGOS'];26.0;28.57;7.69;2.08;5.08;0.41;0.42;1.65;0.26;2.27;3.12;0.73;1.31;3.38;4.69;3.88;2.42;2.73;0.04;0.27;0.0;2.96;3.58;11.27;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
b'ALVAREZ LOPEZ, RAQUEL';['UNIVERSITARIO DE FERROL'];21.0;12.12;4.05;0.29;0.9;0.32;1.14;2.38;0.48;0.05;0.19;0.25;0.19;0.71;0.9;0.19;0.1;0.57;0.05;0.05;0.0;1.14;0.24;1.76;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
b'ANDREWS, JAMILAH JOHNS';['CAJACANARIAS'];26.0;22.98;8.08;3.31;7.65;0.43;0.0;0.04;0.0;1.46;2.38;0.61;2.15;4.35;6.5;0.15;0.62;1.58;0.58;0.15;0.0;2.08;1.88;8.69;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
b'ANTIBE, NICOLE';['ROS CASARES VALENCIA'];26.0;27.05;11.38;4.27;7.88;0.54;0.04;0.23;0.17;2.73;3.73;0.73;1.04;4.27;5.31;1.27;0.77;2.65;0.73;0.23;0.0;2.88;2.92;11.81;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
b'ANTOJA ROVIRA, LAURA';['UNIVERSITAT DE BARCELONA - F.C. BARCELONA'];24.0;21.73;6.5;1.21;3.33;0.36;0.92;2.54;0.36;1.33;1.71;0.78;0.38;1.79;2.17;1.54;0.96;1.79;0.0;0.08;0.0;1.83;1.58;4.92;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
b'ANTON LOPEZ, MONTSERRAT';['USP CEU - ADECCO ESTUDIANTES'];25.0;13.24;3.0;0.88;1.92;0.46;0.24;0.8;0.3;0.52;0.72;0.72;0.56;0.8;1.36;0.4;0.24;1.12;0.0;0.12;0.0;1.12;0.68;1.52;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
b'ARCAIN, JANETH DOS SANTOS';['ROS CASARES VALENCIA'];12.0;27.75;10.67;4.42;9.0;0.49;0.33;0.58;0.57;0.83;1.17;0.71;0.67;2.75;3.42;2.08;2.0;2.17;0.0;0.25;0.0;2.33;1.5;9.75;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
b'ARDON, LESLIE';['ACIS INCOSA LEON'];12.0;11.83;3.25;0.75;1.58;0.47;0.42;1.33;0.31;0.5;0.92;0.55;0.42;0.83;1.25;0.17;0.67;0.42;0.5;0.08;0.0;1.58;0.67;2.25;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
b'ARGENTE GARRIDO, GLORIA MARA';['ROS CASARES VALENCIA'];1.0;1.22;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;-2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
b'BACON, CARRIE';['YAYA MARÍA PORTA XI'];24.0;24.29;7.75;2.67;6.75;0.4;0.46;1.29;0.35;1.04;1.46;0.71;1.62;1.96;3.58;0.54;0.58;2.58;0.08;0.21;0.0;2.92;1.71;3.21;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
b'BATTLE, ASHLEY MICHELLE';['UNIVERSITARIO DE FERROL'];26.0;30.0;11.27;3.19;7.38;0.43;1.15;3.65;0.32;1.42;2.12;0.67;1.15;4.19;5.35;1.54;2.12;3.5;0.19;0.27;0.0;2.08;2.08;9.31;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
b'BECANOVIC, LIDIJA';['UNIVERSITARIO DE FERROL'];9.0;15.71;4.22;1.78;5.78;0.31;0.0;0.11;0.0;0.67;1.33;0.5;1.67;1.67;3.33;0.33;0.56;1.0;0.22;0.22;0.0;1.0;1.33;3.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
b'BENNINGFIELD, JENNIFER ANN';['ARRANZ - JOPISA BURGOS'];23.0;33.34;13.74;5.26;12.09;0.44;0.48;0.83;0.58;1.78;2.35;0.76;1.26;4.87;6.13;1.61;1.74;1.39;0.61;0.3;0.0;2.52;2.74;14.61;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
b'BERMEJO MORENO, CLARA SUSANA';['PERFUMERIAS AVENIDA'];25.0;18.67;3.28;0.96;1.6;0.6;0.24;1.08;0.22;0.64;1.12;0.57;0.36;1.76;2.12;2.08;1.04;2.04;0.0;0.12;0.0;1.36;1.52;4.56;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
b'BILLS, ANDREA MICHELLE';['ARRANZ - JOPISA BURGOS'];3.0;19.49;5.0;2.33;4.67;0.5;0.0;0.0;0.0;0.33;1.0;0.33;1.67;3.33;5.0;0.67;0.33;1.0;0.67;0.0;0.0;2.0;1.33;7.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
