Nombre;Condicion;Partidos;Minutos;Puntos;T2 Anotados;T2 Lanzados;% T2;T3 Anotados;T3 Lanzados;% T3;T1 Anotados;T1 Lanzados;% T1;Reb. Ofensivos;Reb. Defensivos;Rebotes;Asistencias;Robos;Perdidas;Tapones;Tapones Recibidos;Mates;Faltas Cometidas;Faltas Recibidas;Valoracion;Posesiones;Ritmo;OER;% TC Efectivo;% Jugada;Frec. TL;% Reb Def;% Reb Of;% Assis;% Perd
['ACIS-SUFI LEON', 'ACIS-SUFI LEON', 'ACIS-SUFI LEON', 'ACIS-SUFI LEON', 'ACIS-SUFI LEON', 'ACIS-SUFI LEON', 'ACIS-SUFI LEON', 'ACIS-SUFI LEON', 'ACIS-SUFI LEON', 'ACIS-SUFI LEON', 'ACIS-SUFI LEON', 'ACIS-SUFI LEON', 'ACIS-SUFI LEON'] Equipo;['Media'];2.0;200.0;47.0;13.0;39.5;0.33;4.0;10.0;0.4;9.0;14.0;0.64;6.5;21.5;28.0;5.5;5.5;22.5;1.5;7.0;0.0;21.0;15.0;14.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
['ACIS-SUFI LEON', 'ACIS-SUFI LEON', 'ACIS-SUFI LEON', 'ACIS-SUFI LEON', 'ACIS-SUFI LEON', 'ACIS-SUFI LEON', 'ACIS-SUFI LEON', 'ACIS-SUFI LEON', 'ACIS-SUFI LEON', 'ACIS-SUFI LEON', 'ACIS-SUFI LEON', 'ACIS-SUFI LEON', 'ACIS-SUFI LEON'] Equipo Rival;['Media Rival'];2.0;200.0;91.0;29.0;53.0;0.55;6.5;15.0;0.43;13.5;22.0;0.61;11.0;26.5;37.5;15.0;13.0;10.0;7.0;1.5;0.0;15.5;20.5;116.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
['ACIS-SUFI LEON', 'ACIS-SUFI LEON', 'ACIS-SUFI LEON', 'ACIS-SUFI LEON', 'ACIS-SUFI LEON', 'ACIS-SUFI LEON', 'ACIS-SUFI LEON', 'ACIS-SUFI LEON', 'ACIS-SUFI LEON', 'ACIS-SUFI LEON', 'ACIS-SUFI LEON', 'ACIS-SUFI LEON'] Equipo;['Media'];4.0;200.0;58.25;18.5;42.75;0.43;3.5;11.75;0.3;10.75;14.5;0.74;7.0;23.0;30.0;11.75;8.5;18.75;3.25;2.25;0.0;17.25;17.0;54.25;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
['ACIS-SUFI LEON', 'ACIS-SUFI LEON', 'ACIS-SUFI LEON', 'ACIS-SUFI LEON', 'ACIS-SUFI LEON', 'ACIS-SUFI LEON', 'ACIS-SUFI LEON', 'ACIS-SUFI LEON', 'ACIS-SUFI LEON', 'ACIS-SUFI LEON', 'ACIS-SUFI LEON', 'ACIS-SUFI LEON'] Equipo Rival;['Media Rival'];4.0;199.0;56.75;16.25;38.75;0.42;5.25;17.75;0.3;8.5;14.5;0.59;9.75;20.5;30.25;8.5;11.0;16.0;2.25;3.25;0.0;17.0;17.25;48.75;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
['ACIS-SUFI LEON', 'ACIS-SUFI LEON', 'ACIS-SUFI LEON', 'ACIS-SUFI LEON', 'ACIS-SUFI LEON', 'ACIS-SUFI LEON', 'ACIS-SUFI LEON', 'ACIS-SUFI LEON', 'ACIS-SUFI LEON', 'ACIS-SUFI LEON', 'ACIS-SUFI LEON'] Equipo;['Media'];6.0;200.0;62.0;18.17;46.33;0.39;4.67;14.17;0.33;11.67;18.33;0.64;10.67;23.5;34.17;10.83;6.5;15.5;1.0;2.33;0.0;20.67;17.67;49.33;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
['ACIS-SUFI LEON', 'ACIS-SUFI LEON', 'ACIS-SUFI LEON', 'ACIS-SUFI LEON', 'ACIS-SUFI LEON', 'ACIS-SUFI LEON', 'ACIS-SUFI LEON', 'ACIS-SUFI LEON', 'ACIS-SUFI LEON', 'ACIS-SUFI LEON', 'ACIS-SUFI LEON'] Equipo Rival;['Media Rival'];6.0;200.0;67.67;17.83;39.67;0.45;5.67;17.17;0.33;15.0;21.5;0.7;6.67;24.83;31.5;12.33;8.83;14.5;2.0;1.0;0.0;17.67;20.5;69.83;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
['ACIS-SUFI LEON', 'ACIS-SUFI LEON', 'ACIS-SUFI LEON', 'ACIS-SUFI LEON', 'ACIS-SUFI LEON', 'ACIS-SUFI LEON', 'ACIS-SUFI LEON', 'ACIS-SUFI LEON', 'ACIS-SUFI LEON', 'ACIS-SUFI LEON'] Equipo;['Media'];9.0;200.0;67.22;21.0;44.33;0.47;4.11;14.67;0.28;12.89;18.89;0.68;8.78;23.78;32.56;12.67;7.67;13.44;1.11;2.22;0.0;18.11;19.89;67.44;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
['ACIS-SUFI LEON', 'ACIS-SUFI LEON', 'ACIS-SUFI LEON', 'ACIS-SUFI LEON', 'ACIS-SUFI LEON', 'ACIS-SUFI LEON', 'ACIS-SUFI LEON', 'ACIS-SUFI LEON', 'ACIS-SUFI LEON', 'ACIS-SUFI LEON'] Equipo Rival;['Media Rival'];9.0;200.0;70.22;18.89;40.56;0.47;7.44;21.0;0.35;10.11;14.78;0.68;7.56;20.22;27.78;13.33;7.22;13.0;2.22;1.11;0.0;19.78;17.89;64.89;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
['ACIS-SUFI LEON', 'ACIS-SUFI LEON', 'ACIS-SUFI LEON', 'ACIS-SUFI LEON', 'ACIS-SUFI LEON', 'ACIS-SUFI LEON', 'ACIS-SUFI LEON', 'ACIS-SUFI LEON', 'ACIS-SUFI LEON'] Equipo;['Media'];5.0;200.0;60.8;19.2;44.2;0.43;3.6;11.8;0.31;11.6;16.4;0.71;10.4;23.2;33.6;11.4;8.4;16.0;1.0;2.6;0.0;20.2;19.0;57.4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
['ACIS-SUFI LEON', 'ACIS-SUFI LEON', 'ACIS-SUFI LEON', 'ACIS-SUFI LEON', 'ACIS-SUFI LEON', 'ACIS-SUFI LEON', 'ACIS-SUFI LEON', 'ACIS-SUFI LEON', 'ACIS-SUFI LEON'] Equipo Rival;['Media Rival'];5.0;200.0;58.8;18.0;40.4;0.45;4.0;18.8;0.21;10.8;18.6;0.58;8.2;20.4;28.6;9.0;10.2;11.8;2.4;1.0;0.0;19.0;19.8;52.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
['ARRANZ - JOPISA BURGOS', 'ARRANZ - JOPISA BURGOS', 'ARRANZ - JOPISA BURGOS', 'ARRANZ - JOPISA BURGOS', 'ARRANZ - JOPISA BURGOS', 'ARRANZ - JOPISA BURGOS', 'ARRANZ - JOPISA BURGOS', 'ARRANZ - JOPISA BURGOS', 'ARRANZ - JOPISA BURGOS', 'ARRANZ - JOPISA BURGOS', 'ARRANZ - JOPISA BURGOS'] Equipo;['Media'];1.0;196.0;51.0;15.0;33.0;0.46;4.0;19.0;0.21;9.0;13.0;0.69;6.0;18.0;24.0;7.0;9.0;13.0;0.0;1.0;0.0;19.0;19.0;40.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
['ARRANZ - JOPISA BURGOS', 'ARRANZ - JOPISA BURGOS', 'ARRANZ - JOPISA BURGOS', 'ARRANZ - JOPISA BURGOS', 'ARRANZ - JOPISA BURGOS', 'ARRANZ - JOPISA BURGOS', 'ARRANZ - JOPISA BURGOS', 'ARRANZ - JOPISA BURGOS', 'ARRANZ - JOPISA BURGOS', 'ARRANZ - JOPISA BURGOS', 'ARRANZ - JOPISA BURGOS'] Equipo Rival;['Media Rival'];1.0;200.0;78.0;20.0;39.0;0.51;7.0;16.0;0.44;17.0;20.0;0.85;7.0;28.0;35.0;8.0;10.0;17.0;1.0;0.0;0.0;19.0;19.0;84.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
['ARRANZ - JOPISA BURGOS', 'ARRANZ - JOPISA BURGOS', 'ARRANZ - JOPISA BURGOS', 'ARRANZ - JOPISA BURGOS', 'ARRANZ - JOPISA BURGOS', 'ARRANZ - JOPISA BURGOS', 'ARRANZ - JOPISA BURGOS', 'ARRANZ - JOPISA BURGOS', 'ARRANZ - JOPISA BURGOS', 'ARRANZ - JOPISA BURGOS'] Equipo;['Media'];5.0;200.0;71.4;21.8;40.0;0.55;4.6;13.2;0.35;14.0;20.4;0.69;8.6;17.4;26.0;6.2;11.2;15.6;0.8;0.4;0.0;22.4;21.2;65.2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
['ARRANZ - JOPISA BURGOS', 'ARRANZ - JOPISA BURGOS', 'ARRANZ - JOPISA BURGOS', 'ARRANZ - JOPISA BURGOS', 'ARRANZ - JOPISA BURGOS', 'ARRANZ - JOPISA BURGOS', 'ARRANZ - JOPISA BURGOS', 'ARRANZ - JOPISA BURGOS', 'ARRANZ - JOPISA BURGOS', 'ARRANZ - JOPISA BURGOS'] Equipo Rival;['Media Rival'];5.0;200.0;71.4;21.4;41.2;0.52;4.4;11.6;0.38;15.4;22.6;0.68;9.6;16.4;26.0;8.8;12.0;16.2;0.2;0.8;0.0;20.6;22.6;69.2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
['ARRANZ - JOPISA BURGOS', 'ARRANZ - JOPISA BURGOS', 'ARRANZ - JOPISA BURGOS', 'ARRANZ - JOPISA BURGOS', 'ARRANZ - JOPISA BURGOS', 'ARRANZ - JOPISA BURGOS', 'ARRANZ - JOPISA BURGOS', 'ARRANZ - JOPISA BURGOS', 'ARRANZ - JOPISA BURGOS'] Equipo;['Media'];10.0;198.84;56.0;16.3;34.9;0.47;4.0;13.9;0.29;11.4;18.3;0.62;7.7;20.7;28.4;5.0;8.4;15.7;1.8;1.1;0.0;19.4;19.0;47.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
['ARRANZ - JOPISA BURGOS', 'ARRANZ - JOPISA BURGOS', 'ARRANZ - JOPISA BURGOS', 'ARRANZ - JOPISA BURGOS', 'ARRANZ - JOPISA BURGOS', 'ARRANZ - JOPISA BURGOS', 'ARRANZ - JOPISA BURGOS', 'ARRANZ - JOPISA BURGOS', 'ARRANZ - JOPISA BURGOS'] Equipo Rival;['Media Rival'];10.0;200.0;61.8;18.6;40.5;0.46;4.3;14.1;0.3;11.7;17.6;0.66;7.5;21.2;28.7;7.2;10.1;14.4;1.0;1.6;0.0;19.1;19.5;55.6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
['ARRANZ - JOPISA BURGOS', 'ARRANZ - JOPISA BURGOS', 'ARRANZ - JOPISA BURGOS', 'ARRANZ - JOPISA BURGOS', 'ARRANZ - JOPISA BURGOS', 'ARRANZ - JOPISA BURGOS', 'ARRANZ - JOPISA BURGOS', 'ARRANZ - JOPISA BURGOS'] Equipo;['Media'];10.0;194.75;64.5;18.8;39.2;0.48;4.5;14.7;0.31;13.4;18.3;0.73;8.6;22.0;30.6;7.0;7.0;14.2;3.1;0.9;0.0;17.2;18.6;63.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
['ARRANZ - JOPISA BURGOS', 'ARRANZ - JOPISA BURGOS', 'ARRANZ - JOPISA BURGOS', 'ARRANZ - JOPISA BURGOS', 'ARRANZ - JOPISA BURGOS', 'ARRANZ - JOPISA BURGOS', 'ARRANZ - JOPISA BURGOS', 'ARRANZ - JOPISA BURGOS'] Equipo Rival;['Media Rival'];10.0;200.0;65.8;21.3;46.6;0.46;4.3;12.8;0.34;10.3;15.1;0.68;10.1;20.5;30.6;8.1;9.5;14.3;1.0;3.0;0.1;19.0;17.4;57.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
