Nombre;Jornada;Equipo;Minutos;Puntos;T2 Anotados;T2 Lanzados;% T2;T3 Anotados;T3 Lanzados;% T3;T1 Anotados;T1 Lanzados;% T1;Reb. Ofensivos;Reb. Defensivos;Rebotes;Asistencias;Robos;Perdidas;Tapones;Tapones Recibidos;Mates;Faltas Cometidas;Faltas Recibidas;Valoracion;Local;Visitante;Resultado;Diferencia;Titular
b'ABALDE DIAZ, TAMARA';Jornada 01;['REAL CLUB CELTA VIGOURBAN', 'REAL CLUB CELTA VIGOURBAN', 'REAL CLUB CELTA VIGOURBAN', 'REAL CLUB CELTA VIGOURBAN', 'REAL CLUB CELTA VIGOURBAN', 'REAL CLUB CELTA VIGOURBAN', 'REAL CLUB CELTA VIGOURBAN', 'REAL CLUB CELTA VIGOURBAN', 'REAL CLUB CELTA VIGOURBAN'];21.92;7.0;2.0;7.0;0.29;0.0;0.0;0.0;3.0;6.0;0.5;0.0;4.0;4.0;2.0;0.0;3.0;0.0;0.0;0.0;3.0;4.0;3.0;['REAL CLUB CELTA VIGOURBAN', 'REAL CLUB CELTA VIGOURBAN', 'REAL CLUB CELTA VIGOURBAN', 'REAL CLUB CELTA VIGOURBAN', 'REAL CLUB CELTA VIGOURBAN', 'REAL CLUB CELTA VIGOURBAN', 'REAL CLUB CELTA VIGOURBAN', 'REAL CLUB CELTA VIGOURBAN', 'REAL CLUB CELTA VIGOURBAN'];['EXTRUGASA', 'EXTRUGASA', 'EXTRUGASA', 'EXTRUGASA', 'EXTRUGASA', 'EXTRUGASA', 'EXTRUGASA', 'EXTRUGASA', 'EXTRUGASA', 'EXTRUGASA'];False;-1.0;True
b'ABALDE DIAZ, TAMARA';Jornada 02;['REAL CLUB CELTA VIGOURBAN', 'REAL CLUB CELTA VIGOURBAN', 'REAL CLUB CELTA VIGOURBAN', 'REAL CLUB CELTA VIGOURBAN', 'REAL CLUB CELTA VIGOURBAN', 'REAL CLUB CELTA VIGOURBAN', 'REAL CLUB CELTA VIGOURBAN', 'REAL CLUB CELTA VIGOURBAN', 'REAL CLUB CELTA VIGOURBAN', 'REAL CLUB CELTA VIGOURBAN'];32.18;10.0;2.0;6.0;0.33;1.0;1.0;1.0;3.0;4.0;0.75;2.0;7.0;9.0;2.0;2.0;0.0;1.0;1.0;0.0;0.0;2.0;20.0;['ACIS INCOSA LEON', 'ACIS INCOSA LEON', 'ACIS INCOSA LEON', 'ACIS INCOSA LEON', 'ACIS INCOSA LEON', 'ACIS INCOSA LEON', 'ACIS INCOSA LEON', 'ACIS INCOSA LEON', 'ACIS INCOSA LEON', 'ACIS INCOSA LEON'];['REAL CLUB CELTA VIGOURBAN', 'REAL CLUB CELTA VIGOURBAN', 'REAL CLUB CELTA VIGOURBAN', 'REAL CLUB CELTA VIGOURBAN', 'REAL CLUB CELTA VIGOURBAN', 'REAL CLUB CELTA VIGOURBAN', 'REAL CLUB CELTA VIGOURBAN', 'REAL CLUB CELTA VIGOURBAN', 'REAL CLUB CELTA VIGOURBAN', 'REAL CLUB CELTA VIGOURBAN'];True;3.0;True
b'ABALDE DIAZ, TAMARA';Jornada 03;['REAL CLUB CELTA VIGOURBAN', 'REAL CLUB CELTA VIGOURBAN', 'REAL CLUB CELTA VIGOURBAN', 'REAL CLUB CELTA VIGOURBAN', 'REAL CLUB CELTA VIGOURBAN', 'REAL CLUB CELTA VIGOURBAN', 'REAL CLUB CELTA VIGOURBAN', 'REAL CLUB CELTA VIGOURBAN', 'REAL CLUB CELTA VIGOURBAN', 'REAL CLUB CELTA VIGOURBAN'];12.37;2.0;1.0;2.0;0.5;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;1.0;0.0;2.0;0.0;0.0;0.0;3.0;0.0;-3.0;['REAL CLUB CELTA VIGOURBAN', 'REAL CLUB CELTA VIGOURBAN', 'REAL CLUB CELTA VIGOURBAN', 'REAL CLUB CELTA VIGOURBAN', 'REAL CLUB CELTA VIGOURBAN', 'REAL CLUB CELTA VIGOURBAN', 'REAL CLUB CELTA VIGOURBAN', 'REAL CLUB CELTA VIGOURBAN', 'REAL CLUB CELTA VIGOURBAN', 'REAL CLUB CELTA VIGOURBAN'];['MANN FILTER ZARAGOZA', 'MANN FILTER ZARAGOZA', 'MANN FILTER ZARAGOZA', 'MANN FILTER ZARAGOZA', 'MANN FILTER ZARAGOZA', 'MANN FILTER ZARAGOZA', 'MANN FILTER ZARAGOZA', 'MANN FILTER ZARAGOZA', 'MANN FILTER ZARAGOZA', 'MANN FILTER ZARAGOZA', 'MANN FILTER ZARAGOZA'];True;4.0;True
b'ABALDE DIAZ, TAMARA';Jornada 04;['REAL CLUB CELTA VIGOURBAN', 'REAL CLUB CELTA VIGOURBAN', 'REAL CLUB CELTA VIGOURBAN', 'REAL CLUB CELTA VIGOURBAN', 'REAL CLUB CELTA VIGOURBAN', 'REAL CLUB CELTA VIGOURBAN', 'REAL CLUB CELTA VIGOURBAN', 'REAL CLUB CELTA VIGOURBAN', 'REAL CLUB CELTA VIGOURBAN', 'REAL CLUB CELTA VIGOURBAN'];18.7;4.0;2.0;7.0;0.29;0.0;1.0;0.0;0.0;0.0;0.0;3.0;2.0;5.0;1.0;1.0;1.0;0.0;0.0;0.0;1.0;2.0;5.0;['HONDARRIBIA - IRÚN', 'HONDARRIBIA - IRÚN', 'HONDARRIBIA - IRÚN', 'HONDARRIBIA - IRÚN', 'HONDARRIBIA - IRÚN', 'HONDARRIBIA - IRÚN', 'HONDARRIBIA - IRÚN', 'HONDARRIBIA - IRÚN', 'HONDARRIBIA - IRÚN'];['REAL CLUB CELTA VIGOURBAN', 'REAL CLUB CELTA VIGOURBAN', 'REAL CLUB CELTA VIGOURBAN', 'REAL CLUB CELTA VIGOURBAN', 'REAL CLUB CELTA VIGOURBAN', 'REAL CLUB CELTA VIGOURBAN', 'REAL CLUB CELTA VIGOURBAN', 'REAL CLUB CELTA VIGOURBAN', 'REAL CLUB CELTA VIGOURBAN', 'REAL CLUB CELTA VIGOURBAN'];False;-4.0;True
b'ABALDE DIAZ, TAMARA';Jornada 05;['REAL CLUB CELTA VIGOURBAN', 'REAL CLUB CELTA VIGOURBAN', 'REAL CLUB CELTA VIGOURBAN', 'REAL CLUB CELTA VIGOURBAN', 'REAL CLUB CELTA VIGOURBAN', 'REAL CLUB CELTA VIGOURBAN', 'REAL CLUB CELTA VIGOURBAN', 'REAL CLUB CELTA VIGOURBAN', 'REAL CLUB CELTA VIGOURBAN', 'REAL CLUB CELTA VIGOURBAN'];18.58;4.0;2.0;7.0;0.29;0.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0;2.0;0.0;0.0;1.0;0.0;0.0;0.0;3.0;1.0;-2.0;['REAL CLUB CELTA VIGOURBAN', 'REAL CLUB CELTA VIGOURBAN', 'REAL CLUB CELTA VIGOURBAN', 'REAL CLUB CELTA VIGOURBAN', 'REAL CLUB CELTA VIGOURBAN', 'REAL CLUB CELTA VIGOURBAN', 'REAL CLUB CELTA VIGOURBAN', 'REAL CLUB CELTA VIGOURBAN', 'REAL CLUB CELTA VIGOURBAN', 'REAL CLUB CELTA VIGOURBAN'];['ENSINO', 'ENSINO', 'ENSINO', 'ENSINO', 'ENSINO', 'ENSINO', 'ENSINO', 'ENSINO', 'ENSINO', 'ENSINO', 'ENSINO'];True;16.0;False
b'ABALDE DIAZ, TAMARA';Jornada 06;['REAL CLUB CELTA VIGOURBAN', 'REAL CLUB CELTA VIGOURBAN', 'REAL CLUB CELTA VIGOURBAN', 'REAL CLUB CELTA VIGOURBAN', 'REAL CLUB CELTA VIGOURBAN', 'REAL CLUB CELTA VIGOURBAN', 'REAL CLUB CELTA VIGOURBAN', 'REAL CLUB CELTA VIGOURBAN', 'REAL CLUB CELTA VIGOURBAN', 'REAL CLUB CELTA VIGOURBAN'];33.43;12.0;5.0;14.0;0.36;0.0;0.0;0.0;2.0;2.0;1.0;2.0;4.0;6.0;1.0;1.0;2.0;0.0;1.0;0.0;3.0;3.0;8.0;['PERFUMERIAS AVENIDA', 'PERFUMERIAS AVENIDA', 'PERFUMERIAS AVENIDA', 'PERFUMERIAS AVENIDA', 'PERFUMERIAS AVENIDA', 'PERFUMERIAS AVENIDA', 'PERFUMERIAS AVENIDA', 'PERFUMERIAS AVENIDA', 'PERFUMERIAS AVENIDA', 'PERFUMERIAS AVENIDA'];['REAL CLUB CELTA VIGOURBAN', 'REAL CLUB CELTA VIGOURBAN', 'REAL CLUB CELTA VIGOURBAN', 'REAL CLUB CELTA VIGOURBAN', 'REAL CLUB CELTA VIGOURBAN', 'REAL CLUB CELTA VIGOURBAN', 'REAL CLUB CELTA VIGOURBAN', 'REAL CLUB CELTA VIGOURBAN', 'REAL CLUB CELTA VIGOURBAN', 'REAL CLUB CELTA VIGOURBAN'];True;1.0;True
b'ABALDE DIAZ, TAMARA';Jornada 07;['REAL CLUB CELTA VIGOURBAN', 'REAL CLUB CELTA VIGOURBAN', 'REAL CLUB CELTA VIGOURBAN', 'REAL CLUB CELTA VIGOURBAN', 'REAL CLUB CELTA VIGOURBAN', 'REAL CLUB CELTA VIGOURBAN', 'REAL CLUB CELTA VIGOURBAN', 'REAL CLUB CELTA VIGOURBAN', 'REAL CLUB CELTA VIGOURBAN', 'REAL CLUB CELTA VIGOURBAN'];26.83;8.0;2.0;7.0;0.29;0.0;0.0;0.0;4.0;4.0;1.0;1.0;2.0;3.0;1.0;1.0;4.0;0.0;0.0;0.0;0.0;3.0;7.0;['REAL CLUB CELTA VIGOURBAN', 'REAL CLUB CELTA VIGOURBAN', 'REAL CLUB CELTA VIGOURBAN', 'REAL CLUB CELTA VIGOURBAN', 'REAL CLUB CELTA VIGOURBAN', 'REAL CLUB CELTA VIGOURBAN', 'REAL CLUB CELTA VIGOURBAN', 'REAL CLUB CELTA VIGOURBAN', 'REAL CLUB CELTA VIGOURBAN', 'REAL CLUB CELTA VIGOURBAN'];['UNIVERSITAT DE BARCELONA - F.C. BARCELONA', 'UNIVERSITAT DE BARCELONA - F.C. BARCELONA', 'UNIVERSITAT DE BARCELONA - F.C. BARCELONA', 'UNIVERSITAT DE BARCELONA - F.C. BARCELONA', 'UNIVERSITAT DE BARCELONA - F.C. BARCELONA', 'UNIVERSITAT DE BARCELONA - F.C. BARCELONA', 'UNIVERSITAT DE BARCELONA - F.C. BARCELONA', 'UNIVERSITAT DE BARCELONA - F.C. BARCELONA', 'UNIVERSITAT DE BARCELONA - F.C. BARCELONA', 'UNIVERSITAT DE BARCELONA - F.C. BARCELONA', 'UNIVERSITAT DE BARCELONA - F.C. BARCELONA'];False;-6.0;False
b'ABALDE DIAZ, TAMARA';Jornada 08;['REAL CLUB CELTA VIGOURBAN', 'REAL CLUB CELTA VIGOURBAN', 'REAL CLUB CELTA VIGOURBAN', 'REAL CLUB CELTA VIGOURBAN', 'REAL CLUB CELTA VIGOURBAN', 'REAL CLUB CELTA VIGOURBAN', 'REAL CLUB CELTA VIGOURBAN', 'REAL CLUB CELTA VIGOURBAN', 'REAL CLUB CELTA VIGOURBAN', 'REAL CLUB CELTA VIGOURBAN'];32.83;20.0;8.0;16.0;0.5;1.0;2.0;0.5;1.0;5.0;0.2;4.0;5.0;9.0;0.0;2.0;2.0;1.0;0.0;0.0;2.0;5.0;20.0;['USP-CEU MMT ESTUDIANTES', 'USP-CEU MMT ESTUDIANTES', 'USP-CEU MMT ESTUDIANTES', 'USP-CEU MMT ESTUDIANTES', 'USP-CEU MMT ESTUDIANTES', 'USP-CEU MMT ESTUDIANTES', 'USP-CEU MMT ESTUDIANTES', 'USP-CEU MMT ESTUDIANTES'];['REAL CLUB CELTA VIGOURBAN', 'REAL CLUB CELTA VIGOURBAN', 'REAL CLUB CELTA VIGOURBAN', 'REAL CLUB CELTA VIGOURBAN', 'REAL CLUB CELTA VIGOURBAN', 'REAL CLUB CELTA VIGOURBAN', 'REAL CLUB CELTA VIGOURBAN', 'REAL CLUB CELTA VIGOURBAN', 'REAL CLUB CELTA VIGOURBAN', 'REAL CLUB CELTA VIGOURBAN'];False;-6.0;True
b'ABALDE DIAZ, TAMARA';Jornada 09;['REAL CLUB CELTA VIGOURBAN', 'REAL CLUB CELTA VIGOURBAN', 'REAL CLUB CELTA VIGOURBAN', 'REAL CLUB CELTA VIGOURBAN', 'REAL CLUB CELTA VIGOURBAN', 'REAL CLUB CELTA VIGOURBAN', 'REAL CLUB CELTA VIGOURBAN', 'REAL CLUB CELTA VIGOURBAN', 'REAL CLUB CELTA VIGOURBAN', 'REAL CLUB CELTA VIGOURBAN'];23.78;9.0;3.0;13.0;0.23;0.0;0.0;0.0;3.0;6.0;0.5;2.0;0.0;2.0;1.0;1.0;1.0;0.0;1.0;0.0;2.0;3.0;-1.0;['REAL CLUB CELTA VIGOURBAN', 'REAL CLUB CELTA VIGOURBAN', 'REAL CLUB CELTA VIGOURBAN', 'REAL CLUB CELTA VIGOURBAN', 'REAL CLUB CELTA VIGOURBAN', 'REAL CLUB CELTA VIGOURBAN', 'REAL CLUB CELTA VIGOURBAN', 'REAL CLUB CELTA VIGOURBAN', 'REAL CLUB CELTA VIGOURBAN', 'REAL CLUB CELTA VIGOURBAN'];['CIUDAD ROS CASARES VALENCIA', 'CIUDAD ROS CASARES VALENCIA', 'CIUDAD ROS CASARES VALENCIA', 'CIUDAD ROS CASARES VALENCIA', 'CIUDAD ROS CASARES VALENCIA', 'CIUDAD ROS CASARES VALENCIA', 'CIUDAD ROS CASARES VALENCIA', 'CIUDAD ROS CASARES VALENCIA', 'CIUDAD ROS CASARES VALENCIA', 'CIUDAD ROS CASARES VALENCIA', 'CIUDAD ROS CASARES VALENCIA'];False;-21.0;False
b'ABALDE DIAZ, TAMARA';Jornada 10;['REAL CLUB CELTA VIGOURBAN', 'REAL CLUB CELTA VIGOURBAN', 'REAL CLUB CELTA VIGOURBAN', 'REAL CLUB CELTA VIGOURBAN', 'REAL CLUB CELTA VIGOURBAN', 'REAL CLUB CELTA VIGOURBAN', 'REAL CLUB CELTA VIGOURBAN', 'REAL CLUB CELTA VIGOURBAN', 'REAL CLUB CELTA VIGOURBAN', 'REAL CLUB CELTA VIGOURBAN'];10.48;2.0;0.0;2.0;0.0;0.0;0.0;0.0;2.0;2.0;1.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;1.0;2.0;1.0;['RIVAS FUTURA', 'RIVAS FUTURA', 'RIVAS FUTURA', 'RIVAS FUTURA', 'RIVAS FUTURA', 'RIVAS FUTURA', 'RIVAS FUTURA', 'RIVAS FUTURA', 'RIVAS FUTURA', 'RIVAS FUTURA'];['REAL CLUB CELTA VIGOURBAN', 'REAL CLUB CELTA VIGOURBAN', 'REAL CLUB CELTA VIGOURBAN', 'REAL CLUB CELTA VIGOURBAN', 'REAL CLUB CELTA VIGOURBAN', 'REAL CLUB CELTA VIGOURBAN', 'REAL CLUB CELTA VIGOURBAN', 'REAL CLUB CELTA VIGOURBAN', 'REAL CLUB CELTA VIGOURBAN', 'REAL CLUB CELTA VIGOURBAN'];False;-13.0;True
