Nombre;Equipo;Partidos;Minutos;Puntos;T2 Anotados;T2 Lanzados;% T2;T3 Anotados;T3 Lanzados;% T3;T1 Anotados;T1 Lanzados;% T1;Reb. Ofensivos;Reb. Defensivos;Rebotes;Asistencias;Robos;Perdidas;Tapones;Tapones Recibidos;Mates;Faltas Cometidas;Faltas Recibidas;Valoracion;% Asist;% Tiro Efectivo;% Tiro Verdadero;GScore;TLR%;Posesiones Anotadas;Posesiones No Anotadas;Floor Percentage;Puntos por Tiro;% Rebotes;% Rebotes Def;% Rebotes Of;% Robos;Toques;Uso;Versatilidad;Win Scores;Eficiencia Ofensiva;Eficiencia Defensiva;Diferencia eficiencia
b'ABALDE DIAZ, TAMARA';['REAL CLUB CELTA VIGOURBAN'];25.0;20.18;7.04;2.52;7.12;0.35;0.12;0.44;0.27;1.64;2.36;0.69;1.36;2.2;3.56;0.52;0.84;1.68;0.24;0.16;0.0;1.96;2.48;5.24;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
b'ABROMAITE, AGNE';['EXTRUGASA'];26.0;28.45;9.5;3.46;8.12;0.43;0.0;0.04;0.0;2.58;3.5;0.74;2.04;3.12;5.15;0.77;0.81;1.58;0.23;0.42;0.0;3.38;3.23;8.69;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
b'AGUILAR LOPEZ, ELISA';['CIUDAD ROS CASARES VALENCIA'];25.0;28.38;9.04;1.24;2.64;0.47;1.8;4.64;0.39;1.16;1.52;0.76;0.36;2.92;3.28;4.16;1.2;1.48;0.04;0.28;0.0;0.84;1.04;11.56;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
b'ALAMO GONZALEZ, ELENA';['GRAN CANARIA'];26.0;17.78;6.12;1.35;3.46;0.39;0.77;2.31;0.33;1.12;1.46;0.76;0.31;1.54;1.85;2.42;1.0;2.77;0.04;0.31;0.0;2.5;2.19;4.04;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
b'ALONSO DIEGO, MARIA JOSE';['REAL CLUB CELTA VIGOURBAN'];26.0;25.76;5.85;1.04;2.96;0.35;0.65;1.92;0.34;1.81;2.73;0.66;1.0;2.35;3.35;3.12;1.58;2.46;0.0;0.35;0.0;3.19;3.04;6.81;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
b'ANTOJA ROVIRA, LAURA';['HONDARRIBIA - IRÚN'];23.0;26.96;5.83;1.04;3.22;0.32;0.83;3.04;0.27;1.26;1.7;0.74;0.52;2.13;2.65;0.96;0.96;1.7;0.0;0.22;0.0;2.43;1.78;3.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
b'ARDON, LESLIE';['EXTRUGASA'];26.0;22.41;7.23;1.5;3.69;0.41;1.04;3.54;0.29;1.12;1.58;0.71;1.19;2.0;3.19;0.65;1.73;1.42;0.54;0.19;0.0;2.69;1.73;5.62;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
b'ARGELLO CUENCA, PATRICIA';['USP-CEU MMT ESTUDIANTES'];25.0;22.48;6.48;1.48;3.12;0.47;1.0;4.04;0.25;0.52;0.68;0.76;0.6;1.64;2.24;1.28;0.6;2.08;0.04;0.28;0.0;2.56;1.24;2.12;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
b'ARGENTE GARRIDO, GLORIA MARA';['CIUDAD ROS CASARES VALENCIA'];1.0;1.48;1.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;2.0;0.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
b'ASURMENDI VILLAVERDE, MARIA DEL CARMEN';['ARRANZ-JOPISA BURGOS'];19.0;14.62;2.05;0.53;1.21;0.43;0.05;0.84;0.06;0.84;1.11;0.76;0.21;1.26;1.47;1.21;1.26;1.16;0.0;0.05;0.0;1.47;1.47;3.05;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
b'BATTLE, ASHLEY MICHELLE';['GRAN CANARIA'];26.0;32.76;16.04;4.15;9.88;0.42;1.69;5.58;0.3;2.65;3.65;0.73;1.35;4.12;5.46;1.69;2.12;3.38;0.23;0.31;0.0;1.73;3.0;12.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
b'BENET EDO, PATRICIA';['CIUDAD ROS CASARES VALENCIA'];7.0;3.31;0.57;0.0;0.0;0.0;0.14;0.29;0.5;0.14;0.86;0.17;0.0;0.0;0.0;0.0;0.0;0.43;0.0;0.0;0.0;0.57;0.57;-0.71;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
b'BENNINGFIELD, JENNIFER ANN';['EBE PROMOCIONES-PDV STA.EULALIA'];26.0;30.75;12.42;4.77;9.58;0.5;0.38;1.54;0.25;1.73;2.0;0.87;1.73;4.31;6.04;1.38;0.96;1.12;0.62;0.54;0.0;2.04;2.19;13.69;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
b'BERMEJO MORENO, CLARA SUSANA';['PERFUMERIAS AVENIDA'];26.0;27.04;5.12;1.38;2.27;0.61;0.5;1.54;0.33;0.85;1.23;0.69;0.38;2.81;3.19;3.35;1.5;2.58;0.19;0.08;0.0;2.27;1.54;7.65;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
b'BLANCO BERNAL, SONIA';['ARRANZ-JOPISA BURGOS'];22.0;14.71;4.0;1.5;3.41;0.44;0.0;0.0;0.0;1.0;1.14;0.88;1.18;1.55;2.73;0.64;0.5;0.68;0.0;0.41;0.0;1.36;0.95;4.32;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
b'BLANES MACHO, MARTA';['RIVAS FUTURA'];25.0;12.81;4.24;0.84;1.76;0.48;0.48;1.2;0.4;1.12;1.84;0.61;0.44;1.2;1.64;0.52;0.64;0.4;0.28;0.04;0.0;1.64;2.0;4.88;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
b'BOKESA ABIA, AURI LORENA';['USP-CEU MMT ESTUDIANTES'];17.0;6.94;1.24;0.29;1.47;0.2;0.0;0.06;0.0;0.65;0.94;0.69;0.35;1.06;1.41;0.24;0.18;0.29;0.0;0.06;0.0;0.82;0.53;0.88;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
b'BOWMAN, MELSHIKA SHANELL';['REAL CLUB CELTA VIGOURBAN'];9.0;23.06;4.89;2.22;5.56;0.4;0.0;0.0;0.0;0.44;0.78;0.57;1.44;4.33;5.78;0.44;0.11;1.89;0.33;0.0;0.0;1.56;1.11;5.56;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
b'BREITREINEK, ANNE';['CIUDAD ROS CASARES VALENCIA'];12.0;15.13;5.42;1.58;3.92;0.4;0.58;2.0;0.29;0.5;0.83;0.6;0.58;1.25;1.83;0.83;0.33;0.92;0.08;0.33;0.0;1.58;1.0;2.58;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
b'BROWN, KIESHA LINDSAY';['MANN FILTER ZARAGOZA'];20.0;33.67;16.9;4.25;10.15;0.42;1.35;4.45;0.3;4.35;5.0;0.87;1.6;3.65;5.25;2.05;2.0;2.5;0.1;0.3;0.0;2.0;4.15;16.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
b'CALVO VERA, ARANTXA';['RIVAS FUTURA'];26.0;17.73;4.88;1.38;3.85;0.36;0.42;1.08;0.39;0.85;1.27;0.67;0.96;1.58;2.54;1.08;0.92;1.35;0.0;0.31;0.0;2.42;1.46;3.27;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
