Minutos (jugador);Minutos (valor);Puntos (jugador);Puntos (valor);T2 Anotados (jugador);T2 Anotados (valor);T2 Lanzados (jugador);T2 Lanzados (valor);% T2 (jugador);% T2 (valor);T3 Anotados (jugador);T3 Anotados (valor);T3 Lanzados (jugador);T3 Lanzados (valor);% T3 (jugador);% T3 (valor);T1 Anotados (jugador);T1 Anotados (valor);T1 Lanzados (jugador);T1 Lanzados (valor);% T1 (jugador);% T1 (valor);Reb. Ofensivos (jugador);Reb. Ofensivos (valor);Reb. Defensivos (jugador);Reb. Defensivos (valor);Rebotes (jugador);Rebotes (valor);Asistencias (jugador);Asistencias (valor);Robos (jugador);Robos (valor);Perdidas (jugador);Perdidas (valor);Tapones (jugador);Tapones (valor);Tapones Recibidos (jugador);Tapones Recibidos (valor);Mates (jugador);Mates (valor);Faltas Cometidas (jugador);Faltas Cometidas (valor);Faltas Recibidas (jugador);Faltas Recibidas (valor);Valoracion (jugador);Valoracion (valor);% Asist (jugador);% Asist (valor);% Tiro Efectivo (jugador);% Tiro Efectivo (valor);% Tiro Verdadero (jugador);% True Shooting (valor);GScore (jugador);GScore (valor);TLR% (jugador);TLR% (valor);Posesiones Anotadas (jugador);Posesiones Anotadas (valor);Posesiones No Anotadas (jugador);Posesiones No Anotadas (valor);Floor Percentage (jugador);Floor Percentage (valor);Puntos por Tiro (jugador);Puntos por Tiro (valor);% Rebotes (jugador);% Rebotes (valor);% Rebotes Def (jugador);% Rebotes Def (valor);% Rebotes Of (jugador);% Rebotes Of (valor);% Robos (jugador);% Robos (valor);Toques (jugador);Toques (valor);Uso (jugador);Uso (valor);Versatilidad (jugador);Versatilidad (valor);Win Scores (jugador);Win Scores (valor);Eficiencia Ofensiva (jugador);Eficiencia Ofensiva (valor);Eficiencia Defensiva (jugador);Eficiencia Defensiva (valor);Diferencia Eficiencia (jugador);Diferencia Eficiencia (valor)
MORALES MARTIN, SILVIA;36.59;FERNANDEZ FARRES, MARTA;18.57;SARENAC, RANKICA;6.4;TUUKKANEN, TARU TELLERVO;13.73;DE SOUZA MACHADO, ERIKA CRISTINA;0.62;PALOMARES VALIENTE, PAULA;2.38;PALOMARES VALIENTE, PAULA;6.81;MONTESDEOCA LOPEZ, EVA;1.0;FERNANDEZ FARRES, MARTA;5.39;FERNANDEZ FARRES, MARTA;6.74;GOMEZ IGUAL, ANNA;1.0;MONTESDEOCA LOPEZ, EVA;3.5;LYTTLE LYTTLE, SANCHO TRACY CONSTANCE;8.04;PAGE, LINDA A. MURRIEL;10.92;MORALES MARTIN, SILVIA;4.62;GOMEZ NOVO, MARIA ARANZAZU;2.77;HLEDE, KORALJKA;3.84;DYDEK, MARGO;2.04;SANCHEZ FERNANDEZ, ISABEL;0.96;SANCHEZ FERNANDEZ, ISABEL;0.27;LIMA GARCIA, CINDY ORQUIDEA;3.88;SANCHEZ FERNANDEZ, ISABEL;5.54;FERNANDEZ FARRES, MARTA;22.22;MARIN OTO, MARTA;0.0;MARIN OTO, MARTA;0.0;MARIN OTO, MARTA;0.0;MARIN OTO, MARTA;0.0;MARIN OTO, MARTA;0.0;MARIN OTO, MARTA;0.0;MARIN OTO, MARTA;0.0;MARIN OTO, MARTA;0.0;MARIN OTO, MARTA;0.0;MARIN OTO, MARTA;0.0;MARIN OTO, MARTA;0.0;MARIN OTO, MARTA;0.0;MARIN OTO, MARTA;0.0;MARIN OTO, MARTA;0.0;MARIN OTO, MARTA;0.0;MARIN OTO, MARTA;0.0;MARIN OTO, MARTA;0.0;MARIN OTO, MARTA;0.0;MARIN OTO, MARTA;0.0;MARIN OTO, MARTA;0.0
TUUKKANEN, TARU TELLERVO;36.27;BROWN, KIESHA LINDSAY;16.9;TUUKKANEN, TARU TELLERVO;5.69;OHLDE, NICOLE KATHERINE;11.59;BERMEJO MORENO, CLARA SUSANA;0.61;POWELL, NICOLE KRISTEN;2.35;PIIPARI, REETTA SINIKKA KARINE;5.96;LIMA GARCIA, CINDY ORQUIDEA;1.0;OHLDE, NICOLE KATHERINE;4.65;OHLDE, NICOLE KATHERINE;5.65;FEASTER, ALISON;1.0;PAGE, LINDA A. MURRIEL;3.0;PAGE, LINDA A. MURRIEL;7.92;LYTTLE LYTTLE, SANCHO TRACY CONSTANCE;10.72;AGUILAR LOPEZ, ELISA;4.16;GOMEZ IGLESIAS, REGINA;2.69;PALOMARES VALIENTE, PAULA;3.69;IRVIN, SANDORA LAVETT;1.52;CARBO COLOMA, ANNA;0.73;IVEZIC, JELENA;0.08;MONTESDEOCA LOPEZ, EVA;3.71;MORALES MARTIN, SILVIA;5.54;LYTTLE LYTTLE, SANCHO TRACY CONSTANCE;21.08;LEUCHANKA, YELENA;0.0;LEUCHANKA, YELENA;0.0;LEUCHANKA, YELENA;0.0;LEUCHANKA, YELENA;0.0;LEUCHANKA, YELENA;0.0;LEUCHANKA, YELENA;0.0;LEUCHANKA, YELENA;0.0;LEUCHANKA, YELENA;0.0;LEUCHANKA, YELENA;0.0;LEUCHANKA, YELENA;0.0;LEUCHANKA, YELENA;0.0;LEUCHANKA, YELENA;0.0;LEUCHANKA, YELENA;0.0;LEUCHANKA, YELENA;0.0;LEUCHANKA, YELENA;0.0;LEUCHANKA, YELENA;0.0;LEUCHANKA, YELENA;0.0;LEUCHANKA, YELENA;0.0;LEUCHANKA, YELENA;0.0;LEUCHANKA, YELENA;0.0
PAGE, LINDA A. MURRIEL;34.97;SARENAC, RANKICA;16.88;FERNANDEZ FARRES, MARTA;5.48;SARENAC, RANKICA;11.24;LELAS, ZANA;0.6;MONDT, ANKE DE;2.12;POWELL, NICOLE KRISTEN;5.96;GINES GONZALEZ, MARTA;0.55;BROWN, KIESHA LINDSAY;4.35;SANCHEZ FERNANDEZ, ISABEL;5.23;MONDT, ANKE DE;0.93;DE SOUZA MACHADO, ERIKA CRISTINA;2.88;UJHELYI, PETRA;7.77;UJHELYI, PETRA;10.35;CIOCAN, PAULA CRISTINA;4.08;LYTTLE LYTTLE, SANCHO TRACY CONSTANCE;2.48;SARENAC, RANKICA;3.6;CHRISTON, SHAMEKA DE LYNN;1.47;ZURRO ALFONSO, MARTA;0.58;MARIN OTO, MARTA;0.0;HILL, JOANNE KAY;3.54;GOMEZ NOVO, MARIA ARANZAZU;5.23;MORALES MARTIN, SILVIA;19.5;NNINDJEM, AGATHE RACHEL;0.0;NNINDJEM, AGATHE RACHEL;0.0;NNINDJEM, AGATHE RACHEL;0.0;NNINDJEM, AGATHE RACHEL;0.0;NNINDJEM, AGATHE RACHEL;0.0;NNINDJEM, AGATHE RACHEL;0.0;NNINDJEM, AGATHE RACHEL;0.0;NNINDJEM, AGATHE RACHEL;0.0;NNINDJEM, AGATHE RACHEL;0.0;NNINDJEM, AGATHE RACHEL;0.0;NNINDJEM, AGATHE RACHEL;0.0;NNINDJEM, AGATHE RACHEL;0.0;NNINDJEM, AGATHE RACHEL;0.0;NNINDJEM, AGATHE RACHEL;0.0;NNINDJEM, AGATHE RACHEL;0.0;NNINDJEM, AGATHE RACHEL;0.0;NNINDJEM, AGATHE RACHEL;0.0;NNINDJEM, AGATHE RACHEL;0.0;NNINDJEM, AGATHE RACHEL;0.0;NNINDJEM, AGATHE RACHEL;0.0
GOMEZ NOVO, MARIA ARANZAZU;34.49;MORALES MARTIN, SILVIA;16.77;MILTON, DELISHA LACHELL;5.41;PAGE, LINDA A. MURRIEL;11.19;GERMAN VELASCO, ICIAR;0.59;PIIPARI, REETTA SINIKKA KARINE;2.08;BATTLE, ASHLEY MICHELLE;5.58;LELAS, ZANA;0.54;SANCHEZ FERNANDEZ, ISABEL;4.12;BROWN, KIESHA LINDSAY;5.0;VILLAR FERNANDEZ, IRIA;0.92;PONS MOLINA, INGRID;2.8;IRVIN, SANDORA LAVETT;6.81;IRVIN, SANDORA LAVETT;9.48;FERNANDEZ FARRES, MARTA;3.7;FERNANDEZ FARRES, MARTA;2.22;MORALES MARTIN, SILVIA;3.42;SILVA DOS SANTOS, CINTIA;1.21;IVEZIC, JELENA;0.56;CAMPOS SILVA OLIVEIRA SILVA, GEISA ALINI;0.0;IRVIN, SANDORA LAVETT;3.52;FERNANDEZ FARRES, MARTA;5.13;SARENAC, RANKICA;19.12;CAMPOS SILVA OLIVEIRA SILVA, GEISA ALINI;0.0;CAMPOS SILVA OLIVEIRA SILVA, GEISA ALINI;0.0;CAMPOS SILVA OLIVEIRA SILVA, GEISA ALINI;0.0;CAMPOS SILVA OLIVEIRA SILVA, GEISA ALINI;0.0;CAMPOS SILVA OLIVEIRA SILVA, GEISA ALINI;0.0;CAMPOS SILVA OLIVEIRA SILVA, GEISA ALINI;0.0;CAMPOS SILVA OLIVEIRA SILVA, GEISA ALINI;0.0;CAMPOS SILVA OLIVEIRA SILVA, GEISA ALINI;0.0;CAMPOS SILVA OLIVEIRA SILVA, GEISA ALINI;0.0;CAMPOS SILVA OLIVEIRA SILVA, GEISA ALINI;0.0;CAMPOS SILVA OLIVEIRA SILVA, GEISA ALINI;0.0;CAMPOS SILVA OLIVEIRA SILVA, GEISA ALINI;0.0;CAMPOS SILVA OLIVEIRA SILVA, GEISA ALINI;0.0;CAMPOS SILVA OLIVEIRA SILVA, GEISA ALINI;0.0;CAMPOS SILVA OLIVEIRA SILVA, GEISA ALINI;0.0;CAMPOS SILVA OLIVEIRA SILVA, GEISA ALINI;0.0;CAMPOS SILVA OLIVEIRA SILVA, GEISA ALINI;0.0;CAMPOS SILVA OLIVEIRA SILVA, GEISA ALINI;0.0;CAMPOS SILVA OLIVEIRA SILVA, GEISA ALINI;0.0;CAMPOS SILVA OLIVEIRA SILVA, GEISA ALINI;0.0
BROWN, KIESHA LINDSAY;33.67;BATTLE, ASHLEY MICHELLE;16.04;PAGE, LINDA A. MURRIEL;5.35;UJHELYI, PETRA;10.81;ZURRO ALFONSO, MARTA;0.58;SANTOS LUZ, HELEN CRISTINA;1.88;MONDT, ANKE DE;5.46;IRVIN, SANDORA LAVETT;0.5;MORALES MARTIN, SILVIA;3.88;MORALES MARTIN, SILVIA;4.96;BLANCO BERNAL, SONIA;0.88;LYTTLE LYTTLE, SANCHO TRACY CONSTANCE;2.68;TUUKKANEN, TARU TELLERVO;6.5;SCHUMACHER, KELLY MARIE;9.17;BERMEJO MORENO, CLARA SUSANA;3.35;GOMEZ FERREIROS, SARA;2.19;BATTLE, ASHLEY MICHELLE;3.38;MUJANOVIC, RAZIJA;1.08;SCHUMACHER, KELLY MARIE;0.54;PEREDO LOPEZ, ANA ROSA;0.0;MAGLISCEAU, MICHELLE YVONNE;3.4;SARENAC, RANKICA;4.8;PAGE, LINDA A. MURRIEL;17.5;PEREDO LOPEZ, ANA ROSA;0.0;PEREDO LOPEZ, ANA ROSA;0.0;PEREDO LOPEZ, ANA ROSA;0.0;PEREDO LOPEZ, ANA ROSA;0.0;PEREDO LOPEZ, ANA ROSA;0.0;PEREDO LOPEZ, ANA ROSA;0.0;PEREDO LOPEZ, ANA ROSA;0.0;PEREDO LOPEZ, ANA ROSA;0.0;PEREDO LOPEZ, ANA ROSA;0.0;PEREDO LOPEZ, ANA ROSA;0.0;PEREDO LOPEZ, ANA ROSA;0.0;PEREDO LOPEZ, ANA ROSA;0.0;PEREDO LOPEZ, ANA ROSA;0.0;PEREDO LOPEZ, ANA ROSA;0.0;PEREDO LOPEZ, ANA ROSA;0.0;PEREDO LOPEZ, ANA ROSA;0.0;PEREDO LOPEZ, ANA ROSA;0.0;PEREDO LOPEZ, ANA ROSA;0.0;PEREDO LOPEZ, ANA ROSA;0.0;PEREDO LOPEZ, ANA ROSA;0.0
FERNANDEZ FARRES, MARTA;32.78;TUUKKANEN, TARU TELLERVO;15.5;DE SOUZA MACHADO, ERIKA CRISTINA;5.08;REID, TRACY LASHAWN;10.72;FERRAGUT CASTILLO, MARINA;0.58;AGUILAR LOPEZ, ELISA;1.8;GOMEZ FERREIROS, SARA;5.38;DENTI MUNTANE, AINA;0.5;SARENAC, RANKICA;3.72;SARENAC, RANKICA;4.76;BROWN, KIESHA LINDSAY;0.87;IRVIN, SANDORA LAVETT;2.67;SCHUMACHER, KELLY MARIE;6.5;TUUKKANEN, TARU TELLERVO;8.92;PALAU ALTES, LAIA;3.32;BATTLE, ASHLEY MICHELLE;2.12;MILTON, DELISHA LACHELL;3.27;TAMANE, ZANE;0.92;GOMEZ NOVO, MARIA ARANZAZU;0.54;BENET EDO, PATRICIA;0.0;ABROMAITE, AGNE;3.38;OHLDE, NICOLE KATHERINE;4.53;MILTON, DELISHA LACHELL;16.95;BENET EDO, PATRICIA;0.0;BENET EDO, PATRICIA;0.0;BENET EDO, PATRICIA;0.0;BENET EDO, PATRICIA;0.0;BENET EDO, PATRICIA;0.0;BENET EDO, PATRICIA;0.0;BENET EDO, PATRICIA;0.0;BENET EDO, PATRICIA;0.0;BENET EDO, PATRICIA;0.0;BENET EDO, PATRICIA;0.0;BENET EDO, PATRICIA;0.0;BENET EDO, PATRICIA;0.0;BENET EDO, PATRICIA;0.0;BENET EDO, PATRICIA;0.0;BENET EDO, PATRICIA;0.0;BENET EDO, PATRICIA;0.0;BENET EDO, PATRICIA;0.0;BENET EDO, PATRICIA;0.0;BENET EDO, PATRICIA;0.0;BENET EDO, PATRICIA;0.0
BATTLE, ASHLEY MICHELLE;32.76;SANCHEZ FERNANDEZ, ISABEL;14.92;OHLDE, NICOLE KATHERINE;5.06;FERNANDEZ FARRES, MARTA;10.7;SARENAC, RANKICA;0.57;VALERO CEBRIAN, PILAR;1.73;YGUERAVIDE VIANA, SANDRA;5.0;SANTOS LUZ, HELEN CRISTINA;0.45;TUUKKANEN, TARU TELLERVO;3.31;ZURRO ALFONSO, MARTA;4.65;BENNINGFIELD, JENNIFER ANN;0.87;SCHUMACHER, KELLY MARIE;2.67;MUJANOVIC, RAZIJA;6.23;MUJANOVIC, RAZIJA;8.73;SANTOS LUZ, HELEN CRISTINA;3.27;MILTON, DELISHA LACHELL;2.0;YGUERAVIDE VIANA, SANDRA;3.21;DE SOUZA MACHADO, ERIKA CRISTINA;0.92;BENNINGFIELD, JENNIFER ANN;0.54;FONTE MONTESINOS, TANIA;0.0;YGUERAVIDE VIANA, SANDRA;3.33;LYTTLE LYTTLE, SANCHO TRACY CONSTANCE;4.16;DE SOUZA MACHADO, ERIKA CRISTINA;16.67;FONTE MONTESINOS, TANIA;0.0;FONTE MONTESINOS, TANIA;0.0;FONTE MONTESINOS, TANIA;0.0;FONTE MONTESINOS, TANIA;0.0;FONTE MONTESINOS, TANIA;0.0;FONTE MONTESINOS, TANIA;0.0;FONTE MONTESINOS, TANIA;0.0;FONTE MONTESINOS, TANIA;0.0;FONTE MONTESINOS, TANIA;0.0;FONTE MONTESINOS, TANIA;0.0;FONTE MONTESINOS, TANIA;0.0;FONTE MONTESINOS, TANIA;0.0;FONTE MONTESINOS, TANIA;0.0;FONTE MONTESINOS, TANIA;0.0;FONTE MONTESINOS, TANIA;0.0;FONTE MONTESINOS, TANIA;0.0;FONTE MONTESINOS, TANIA;0.0;FONTE MONTESINOS, TANIA;0.0;FONTE MONTESINOS, TANIA;0.0;FONTE MONTESINOS, TANIA;0.0
POWELL, NICOLE KRISTEN;32.6;MILTON, DELISHA LACHELL;14.82;SCHUMACHER, KELLY MARIE;5.04;BROWN, KIESHA LINDSAY;10.15;MUJANOVIC, RAZIJA;0.54;GOMEZ FERREIROS, SARA;1.73;AGUILAR LOPEZ, ELISA;4.64;JORDANA BOFILL, NOEMI;0.43;LYTTLE LYTTLE, SANCHO TRACY CONSTANCE;3.28;LYTTLE LYTTLE, SANCHO TRACY CONSTANCE;4.52;HAJDUNE CSASZAR, ANDREA;0.84;REID, TRACY LASHAWN;2.6;DYDEK, MARGO;6.08;DE SOUZA MACHADO, ERIKA CRISTINA;7.88;TORNIKIDOU TORNIKIDOU, ELENA;3.15;BROWN, KIESHA LINDSAY;2.0;CIOCAN, PAULA CRISTINA;3.19;FERNANDEZ FARRES, MARTA;0.91;MAGLISCEAU, MICHELLE YVONNE;0.52;MORENO TRECEO, ESTHER;0.0;PALOMARES VALIENTE, PAULA;3.31;BROWN, KIESHA LINDSAY;4.15;IRVIN, SANDORA LAVETT;16.62;MORENO TRECEO, ESTHER;0.0;MORENO TRECEO, ESTHER;0.0;MORENO TRECEO, ESTHER;0.0;MORENO TRECEO, ESTHER;0.0;MORENO TRECEO, ESTHER;0.0;MORENO TRECEO, ESTHER;0.0;MORENO TRECEO, ESTHER;0.0;MORENO TRECEO, ESTHER;0.0;MORENO TRECEO, ESTHER;0.0;MORENO TRECEO, ESTHER;0.0;MORENO TRECEO, ESTHER;0.0;MORENO TRECEO, ESTHER;0.0;MORENO TRECEO, ESTHER;0.0;MORENO TRECEO, ESTHER;0.0;MORENO TRECEO, ESTHER;0.0;MORENO TRECEO, ESTHER;0.0;MORENO TRECEO, ESTHER;0.0;MORENO TRECEO, ESTHER;0.0;MORENO TRECEO, ESTHER;0.0;MORENO TRECEO, ESTHER;0.0
YGUERAVIDE VIANA, SANDRA;32.59;OHLDE, NICOLE KATHERINE;14.76;REID, TRACY LASHAWN;4.92;MILTON, DELISHA LACHELL;10.09;DYDEK, MARGO;0.54;WECKER, KENDRA RENEE;1.72;BROWN, KIESHA LINDSAY;4.45;LLAMAS PAJUELO, MARIA NIEVES;0.43;ZURRO ALFONSO, MARTA;2.96;TUUKKANEN, TARU TELLERVO;4.5;DENTI MUNTANE, AINA;0.83;UJHELYI, PETRA;2.58;MILTON, DELISHA LACHELL;5.5;MONTESDEOCA LOPEZ, EVA;7.46;ALONSO DIEGO, MARIA JOSE;3.12;MORALES MARTIN, SILVIA;1.92;REID, TRACY LASHAWN;3.04;MILTON, DELISHA LACHELL;0.86;O'NEILL, KRISTEN ROSE;0.52;GMEZ MORERA, CRISTINA;0.0;ALONSO DIEGO, MARIA JOSE;3.19;TUUKKANEN, TARU TELLERVO;4.04;SCHUMACHER, KELLY MARIE;16.17;GMEZ MORERA, CRISTINA;0.0;GMEZ MORERA, CRISTINA;0.0;GMEZ MORERA, CRISTINA;0.0;GMEZ MORERA, CRISTINA;0.0;GMEZ MORERA, CRISTINA;0.0;GMEZ MORERA, CRISTINA;0.0;GMEZ MORERA, CRISTINA;0.0;GMEZ MORERA, CRISTINA;0.0;GMEZ MORERA, CRISTINA;0.0;GMEZ MORERA, CRISTINA;0.0;GMEZ MORERA, CRISTINA;0.0;GMEZ MORERA, CRISTINA;0.0;GMEZ MORERA, CRISTINA;0.0;GMEZ MORERA, CRISTINA;0.0;GMEZ MORERA, CRISTINA;0.0;GMEZ MORERA, CRISTINA;0.0;GMEZ MORERA, CRISTINA;0.0;GMEZ MORERA, CRISTINA;0.0;GMEZ MORERA, CRISTINA;0.0;GMEZ MORERA, CRISTINA;0.0
IRVIN, SANDORA LAVETT;32.5;MONDT, ANKE DE;14.27;LYTTLE LYTTLE, SANCHO TRACY CONSTANCE;4.88;SILVA DOS SANTOS, CINTIA;10.04;NAVARRO SALLES, LAURA;0.54;BATTLE, ASHLEY MICHELLE;1.69;VALERO CEBRIAN, PILAR;4.23;JANSONE, LIENE;0.43;MILTON, DELISHA LACHELL;2.91;GOMEZ NOVO, MARIA ARANZAZU;4.38;GINES GONZALEZ, MARTA;0.83;MUJANOVIC, RAZIJA;2.5;POWELL, NICOLE KRISTEN;5.46;POWELL, NICOLE KRISTEN;7.31;GRANDE FLORES, LAURA;3.0;CRUZ LEBRATO, ANNA;1.85;TORRENS SALOM, ALBA;2.96;SCHUMACHER, KELLY MARIE;0.83;ROYO TORRES, MARIA ESTELA;0.5;LEUCHANKA, YELENA;0.0;MUJANOVIC, RAZIJA;3.19;ZURRO ALFONSO, MARTA;3.85;TUUKKANEN, TARU TELLERVO;16.15;VEGA JORGE, ADARA;0.0;VEGA JORGE, ADARA;0.0;VEGA JORGE, ADARA;0.0;VEGA JORGE, ADARA;0.0;VEGA JORGE, ADARA;0.0;VEGA JORGE, ADARA;0.0;VEGA JORGE, ADARA;0.0;VEGA JORGE, ADARA;0.0;VEGA JORGE, ADARA;0.0;VEGA JORGE, ADARA;0.0;VEGA JORGE, ADARA;0.0;VEGA JORGE, ADARA;0.0;VEGA JORGE, ADARA;0.0;VEGA JORGE, ADARA;0.0;VEGA JORGE, ADARA;0.0;VEGA JORGE, ADARA;0.0;VEGA JORGE, ADARA;0.0;VEGA JORGE, ADARA;0.0;VEGA JORGE, ADARA;0.0;VEGA JORGE, ADARA;0.0
