Nombre;Condicion;Partidos;Minutos;Puntos;T2 Anotados;T2 Lanzados;% T2;T3 Anotados;T3 Lanzados;% T3;T1 Anotados;T1 Lanzados;% T1;Reb. Ofensivos;Reb. Defensivos;Rebotes;Asistencias;Robos;Perdidas;Tapones;Tapones Recibidos;Mates;Faltas Cometidas;Faltas Recibidas;Valoracion;Posesiones;Ritmo;OER;% TC Efectivo;% Jugada;Frec. TL;% Reb Def;% Reb Of;% Assis;% Perd
['ACIS INCOSA LEON', 'ACIS INCOSA LEON', 'ACIS INCOSA LEON', 'ACIS INCOSA LEON', 'ACIS INCOSA LEON', 'ACIS INCOSA LEON', 'ACIS INCOSA LEON', 'ACIS INCOSA LEON', 'ACIS INCOSA LEON', 'ACIS INCOSA LEON', 'ACIS INCOSA LEON', 'ACIS INCOSA LEON'] Equipo;['Media'];2.0;200.0;78.0;21.0;46.0;0.46;6.0;12.5;0.48;18.0;23.0;0.78;10.5;22.5;33.0;13.5;12.5;17.5;2.0;4.0;0.0;21.5;20.5;80.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
['ACIS INCOSA LEON', 'ACIS INCOSA LEON', 'ACIS INCOSA LEON', 'ACIS INCOSA LEON', 'ACIS INCOSA LEON', 'ACIS INCOSA LEON', 'ACIS INCOSA LEON', 'ACIS INCOSA LEON', 'ACIS INCOSA LEON', 'ACIS INCOSA LEON', 'ACIS INCOSA LEON', 'ACIS INCOSA LEON'] Equipo Rival;['Media Rival'];2.0;200.0;63.0;21.5;46.0;0.47;3.0;13.0;0.23;11.0;19.5;0.56;10.0;18.5;28.5;8.0;8.5;18.5;4.0;2.0;0.0;20.5;21.5;49.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
['ACIS INCOSA LEON', 'ACIS INCOSA LEON', 'ACIS INCOSA LEON', 'ACIS INCOSA LEON', 'ACIS INCOSA LEON', 'ACIS INCOSA LEON', 'ACIS INCOSA LEON', 'ACIS INCOSA LEON', 'ACIS INCOSA LEON', 'ACIS INCOSA LEON', 'ACIS INCOSA LEON'] Equipo;['Media'];11.0;202.27;71.45;23.36;51.18;0.46;3.55;10.18;0.35;14.09;20.45;0.69;8.82;22.55;31.36;11.55;8.36;13.64;1.36;2.64;0.64;16.91;20.18;70.27;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
['ACIS INCOSA LEON', 'ACIS INCOSA LEON', 'ACIS INCOSA LEON', 'ACIS INCOSA LEON', 'ACIS INCOSA LEON', 'ACIS INCOSA LEON', 'ACIS INCOSA LEON', 'ACIS INCOSA LEON', 'ACIS INCOSA LEON', 'ACIS INCOSA LEON', 'ACIS INCOSA LEON'] Equipo Rival;['Media Rival'];11.0;202.27;74.45;21.09;43.73;0.48;7.27;18.64;0.39;10.45;15.18;0.69;9.73;23.0;32.73;12.09;7.73;14.55;2.64;1.36;0.0;20.0;16.73;71.73;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
['ACIS INCOSA LEON', 'ACIS INCOSA LEON', 'ACIS INCOSA LEON', 'ACIS INCOSA LEON', 'ACIS INCOSA LEON', 'ACIS INCOSA LEON', 'ACIS INCOSA LEON', 'ACIS INCOSA LEON', 'ACIS INCOSA LEON', 'ACIS INCOSA LEON'] Equipo;['Media'];11.0;202.27;63.0;18.55;48.36;0.38;4.0;10.45;0.38;13.91;18.91;0.74;9.82;24.0;33.82;9.36;7.91;15.09;1.27;2.64;0.0;16.0;18.82;59.18;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
['ACIS INCOSA LEON', 'ACIS INCOSA LEON', 'ACIS INCOSA LEON', 'ACIS INCOSA LEON', 'ACIS INCOSA LEON', 'ACIS INCOSA LEON', 'ACIS INCOSA LEON', 'ACIS INCOSA LEON', 'ACIS INCOSA LEON', 'ACIS INCOSA LEON'] Equipo Rival;['Media Rival'];11.0;202.27;66.45;17.55;39.91;0.44;6.55;20.0;0.33;11.73;15.0;0.78;8.36;25.36;33.73;13.09;8.55;14.73;2.55;1.27;0.09;18.91;15.82;66.18;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
['ACIS INCOSA LEON', 'ACIS INCOSA LEON', 'ACIS INCOSA LEON', 'ACIS INCOSA LEON', 'ACIS INCOSA LEON', 'ACIS INCOSA LEON', 'ACIS INCOSA LEON', 'ACIS INCOSA LEON', 'ACIS INCOSA LEON'] Equipo;['Media'];2.0;200.0;70.0;22.0;48.0;0.46;3.5;13.0;0.27;15.5;19.0;0.82;11.0;24.0;35.0;9.5;5.0;14.5;1.0;2.0;0.0;17.5;20.0;67.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
['ACIS INCOSA LEON', 'ACIS INCOSA LEON', 'ACIS INCOSA LEON', 'ACIS INCOSA LEON', 'ACIS INCOSA LEON', 'ACIS INCOSA LEON', 'ACIS INCOSA LEON', 'ACIS INCOSA LEON', 'ACIS INCOSA LEON'] Equipo Rival;['Media Rival'];2.0;200.0;67.5;21.5;46.0;0.47;4.5;15.5;0.29;11.0;13.0;0.85;8.0;23.0;31.0;14.0;6.5;12.5;2.0;1.0;0.0;20.0;17.0;67.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
['ARRANZ-JOPISA BURGOS', 'ARRANZ-JOPISA BURGOS', 'ARRANZ-JOPISA BURGOS', 'ARRANZ-JOPISA BURGOS', 'ARRANZ-JOPISA BURGOS', 'ARRANZ-JOPISA BURGOS', 'ARRANZ-JOPISA BURGOS', 'ARRANZ-JOPISA BURGOS', 'ARRANZ-JOPISA BURGOS', 'ARRANZ-JOPISA BURGOS', 'ARRANZ-JOPISA BURGOS'] Equipo;['Media'];14.0;201.79;71.57;22.21;48.64;0.46;3.71;12.21;0.3;16.0;21.86;0.73;10.0;25.93;35.93;14.29;9.5;15.36;1.64;1.93;0.0;19.86;21.07;76.07;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
['ARRANZ-JOPISA BURGOS', 'ARRANZ-JOPISA BURGOS', 'ARRANZ-JOPISA BURGOS', 'ARRANZ-JOPISA BURGOS', 'ARRANZ-JOPISA BURGOS', 'ARRANZ-JOPISA BURGOS', 'ARRANZ-JOPISA BURGOS', 'ARRANZ-JOPISA BURGOS', 'ARRANZ-JOPISA BURGOS', 'ARRANZ-JOPISA BURGOS', 'ARRANZ-JOPISA BURGOS'] Equipo Rival;['Media Rival'];14.0;201.79;68.71;17.57;40.21;0.44;6.43;20.21;0.32;14.29;20.36;0.7;8.57;22.86;31.43;10.57;9.21;14.86;1.93;1.64;0.0;21.14;19.79;61.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
