Nombre;Equipo;Partidos;Minutos;Puntos;T2 Anotados;T2 Lanzados;% T2;T3 Anotados;T3 Lanzados;% T3;T1 Anotados;T1 Lanzados;% T1;Reb. Ofensivos;Reb. Defensivos;Rebotes;Asistencias;Robos;Perdidas;Tapones;Tapones Recibidos;Mates;Faltas Cometidas;Faltas Recibidas;Valoracion;% Asist;% Tiro Efectivo;% Tiro Verdadero;GScore;TLR%;Posesiones Anotadas;Posesiones No Anotadas;Floor Percentage;Puntos por Tiro;% Rebotes;% Rebotes Def;% Rebotes Of;% Robos;Toques;Uso;Versatilidad;Win Scores;Eficiencia Ofensiva;Eficiencia Defensiva;Diferencia eficiencia
b'ABALDE DIAZ, TAMARA';['VALENCIA B.C.'];23.0;23.89;7.26;3.04;6.87;0.44;0.0;0.22;0.0;1.17;1.87;0.63;1.52;3.09;4.61;1.39;0.65;1.48;0.26;0.22;0.0;2.22;2.17;7.7;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
b'ADURIZ HERNANI, ONINTZA';['IDK GIPUZKOA'];25.0;24.26;5.24;2.0;4.0;0.5;0.28;0.8;0.35;0.4;0.44;0.91;0.88;2.2;3.08;1.56;0.72;1.0;0.28;0.08;0.0;1.76;1.24;6.72;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
b'AIJANEN, MARIA ANNIINA';['CADI LA SEU'];23.0;10.12;2.57;0.74;1.52;0.49;0.3;0.74;0.41;0.17;0.17;1.0;0.87;0.96;1.83;0.17;0.0;0.74;0.0;0.09;0.0;0.52;0.39;2.39;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
b'ALBERDI LARRUCEA, MARTA';['LOINTEK GERNIKA BIZKAIA'];1.0;2.3;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
b'ALIAGA ROMERO, LAURA';['DURÁN MAQUINARIA ENSINO'];25.0;18.1;4.6;0.6;1.24;0.48;1.08;3.48;0.31;0.16;0.28;0.57;0.32;1.16;1.48;0.72;0.8;0.76;0.16;0.08;0.0;1.52;0.48;2.72;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
b'ALSTON, AMERYST DANAE';['QUESOS EL PASTOR'];8.0;24.99;6.62;1.5;6.75;0.22;1.0;3.12;0.32;0.62;0.62;1.0;0.75;2.25;3.0;1.75;1.0;1.12;0.0;0.12;0.0;1.0;0.75;3.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
b'ANITUA GARCIA, NAHIA';['LOINTEK GERNIKA BIZKAIA'];1.0;0.23;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
b'ARIZTIMUO LOPEZ, ITZIAR';['LOINTEK GERNIKA BIZKAIA'];26.0;14.43;2.73;0.77;1.73;0.44;0.08;0.46;0.17;0.96;1.62;0.6;0.35;1.38;1.73;1.69;0.96;0.92;0.0;0.04;0.0;1.46;1.85;4.54;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
b'ARROJO JIMENEZ, MARIA BELEN';['PERFUMERIAS AVENIDA'];25.0;18.94;4.6;1.32;3.0;0.44;0.4;1.76;0.23;0.76;1.24;0.61;0.84;0.92;1.76;0.92;0.8;0.4;0.04;0.16;0.0;0.76;0.96;4.24;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
b'ASURMENDI VILLAVERDE, MARIA DEL CARMEN';['PERFUMERIAS AVENIDA'];26.0;19.23;6.04;0.65;1.27;0.52;1.38;3.27;0.42;0.58;0.65;0.88;0.38;1.27;1.65;2.0;1.42;1.42;0.0;0.12;0.0;0.62;1.27;7.65;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
b'AYUSO BAGUR, AINA';"[""SNATT'S FEMENI SANT ADRIA""]";26.0;20.34;7.12;1.54;4.08;0.38;0.81;3.27;0.25;1.62;2.04;0.79;0.58;1.62;2.19;1.92;0.92;1.85;0.12;0.12;0.0;2.0;2.0;4.88;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
b'BAGARIA ROVIRA, NURIA';['SPAR CITYLIFT GIRONA'];2.0;2.42;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.5;0.5;0.0;0.0;0.5;0.0;0.0;0.0;0.0;0.5;0.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
b'BAHI BLANQUERA, GEORGINA';['CADI LA SEU'];26.0;24.9;9.42;2.69;4.5;0.6;0.96;2.5;0.38;1.15;1.35;0.86;1.77;3.42;5.19;1.42;1.15;1.65;0.15;0.19;0.0;2.35;2.15;11.77;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
b'BANHAM, RACHAEL MARIE';['LOINTEK GERNIKA BIZKAIA'];11.0;22.31;9.09;1.82;3.82;0.48;1.64;4.73;0.35;0.55;0.64;0.86;0.36;1.82;2.18;1.91;0.82;1.18;0.0;0.09;0.0;2.18;1.45;6.82;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
b'BARBEE, SHACOBIA SHAUNTE';['NISSAN  AL-QÁZERES EXTREMADURA'];11.0;33.52;14.36;4.27;10.18;0.42;1.18;3.09;0.38;2.27;3.55;0.64;1.27;6.55;7.82;1.82;2.18;1.55;0.36;0.45;0.0;2.45;3.82;16.82;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
b'BEDIA DELGADO, IZAR';['RPK ARASKI'];1.0;0.58;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
b'BEREZHYNSKA, VALERIYA';['LOINTEK GERNIKA BIZKAIA'];26.0;24.01;9.04;2.19;5.12;0.43;1.23;3.54;0.35;0.96;1.27;0.76;0.92;4.27;5.19;1.62;0.88;1.58;0.54;0.19;0.0;2.54;1.58;9.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
b'BERONJA, MIRJANA';['QUESOS EL PASTOR'];3.0;4.06;0.0;0.0;0.33;0.0;0.0;0.67;0.0;0.0;0.0;0.0;0.0;0.33;0.33;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;-1.67;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
b'BETTENCOURT CORREIA, MARIA JOAO';['VALENCIA B.C.'];26.0;15.91;3.92;0.42;1.58;0.27;1.0;2.77;0.36;0.08;0.15;0.5;0.08;1.46;1.54;1.15;0.65;0.96;0.04;0.08;0.0;1.23;0.65;2.69;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
b'BRAVO-HARRIOTT, JAY-ANN';['DURÁN MAQUINARIA ENSINO'];5.0;17.41;2.0;0.4;1.0;0.4;0.4;2.4;0.17;0.0;0.0;0.0;0.4;0.8;1.2;2.0;0.6;1.2;0.2;0.0;0.0;2.2;1.2;1.2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
b'BREEDLOVE, STARR REGINA';['DURÁN MAQUINARIA ENSINO'];20.0;26.04;10.9;3.0;6.3;0.48;1.05;3.25;0.32;1.75;2.35;0.74;0.85;2.45;3.3;2.45;1.8;2.85;0.0;0.35;0.0;3.4;2.1;7.85;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
b'BRKIC, IVA';['IDK GIPUZKOA'];26.0;27.26;8.65;1.65;4.04;0.41;1.04;3.19;0.33;2.23;2.62;0.85;0.77;2.5;3.27;3.54;1.38;2.88;0.08;0.19;0.0;2.58;2.65;9.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
b'BROWN, BRITTANY DANIELLE';['MANN-FILTER CASABLANCA'];26.0;31.93;12.81;4.85;12.58;0.39;0.27;1.12;0.24;2.31;3.08;0.75;1.54;5.23;6.77;1.85;2.12;2.54;0.12;0.58;0.0;1.62;3.04;12.62;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
b'BROWN, JOY ALEXIS';['VALENCIA B.C.'];26.0;19.49;6.92;2.35;4.35;0.54;0.38;0.96;0.4;1.08;1.73;0.62;1.62;3.77;5.38;1.19;1.15;1.65;0.27;0.19;0.0;2.15;1.58;9.27;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
b'BUCH ROSELL, ROSO';['SPAR CITYLIFT GIRONA'];26.0;24.46;8.81;1.88;4.35;0.43;1.19;3.42;0.35;1.46;1.81;0.81;0.85;2.46;3.31;2.42;1.08;1.19;0.08;0.15;0.0;1.12;1.5;9.69;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
b'BUSTOS DELGADO, ISABEL';['PERFUMERIAS AVENIDA'];1.0;18.07;11.0;5.0;7.0;0.71;0.0;0.0;0.0;1.0;2.0;0.5;2.0;6.0;8.0;1.0;0.0;0.0;0.0;0.0;0.0;2.0;1.0;16.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
b'CABRERA ARGUELLO, PATRICIA';['BAXI FERROL'];26.0;22.52;6.15;0.15;0.81;0.19;1.88;5.42;0.35;0.19;0.19;1.0;0.27;0.88;1.15;0.62;0.5;0.69;0.08;0.08;0.0;1.27;0.42;2.69;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
b'CACERES AYALA, CLARA MARIA';['EMBUTIDOS PAJARIEL BEMBIBRE PDM'];9.0;4.04;0.67;0.0;0.56;0.0;0.22;0.33;0.67;0.0;0.22;0.0;0.0;0.33;0.33;0.22;0.22;0.33;0.0;0.0;0.0;0.44;0.11;-0.11;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
b'CALVELO AMEIJEIRAS, CLAUDIA';['DURÁN MAQUINARIA ENSINO'];26.0;14.2;2.35;0.92;2.85;0.32;0.08;0.12;0.67;0.27;0.42;0.64;0.85;1.81;2.65;0.54;0.23;0.77;0.27;0.08;0.0;0.81;0.88;3.15;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
b'CALVO DIAZ, ANA BEGOA';['BAXI FERROL'];26.0;19.42;4.35;0.92;2.62;0.35;0.69;1.96;0.35;0.42;0.62;0.69;1.08;2.23;3.31;0.46;0.65;1.27;0.19;0.08;0.0;1.65;0.69;3.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
b'CAMPOS REDONDO, AMALIA';['NISSAN  AL-QÁZERES EXTREMADURA'];1.0;0.6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
