Nombre;Condicion;Partidos;Minutos;Puntos;T2 Anotados;T2 Lanzados;% T2;T3 Anotados;T3 Lanzados;% T3;T1 Anotados;T1 Lanzados;% T1;Reb. Ofensivos;Reb. Defensivos;Rebotes;Asistencias;Robos;Perdidas;Tapones;Tapones Recibidos;Mates;Faltas Cometidas;Faltas Recibidas;Valoracion;Posesiones;Ritmo;OER;% TC Efectivo;% Jugada;Frec. TL;% Reb Def;% Reb Of;% Assis;% Perd
"[""SNATT'S FEMENI SANT ADRIA"", ""SNATT'S FEMENI SANT ADRIA"", ""SNATT'S FEMENI SANT ADRIA"", ""SNATT'S FEMENI SANT ADRIA"", ""SNATT'S FEMENI SANT ADRIA"", ""SNATT'S FEMENI SANT ADRIA"", ""SNATT'S FEMENI SANT ADRIA"", ""SNATT'S FEMENI SANT ADRIA"", ""SNATT'S FEMENI SANT ADRIA"", ""SNATT'S FEMENI SANT ADRIA"", ""SNATT'S FEMENI SANT ADRIA"", ""SNATT'S FEMENI SANT ADRIA""] Equipo";['Media'];3.0;200.0;50.33;15.67;38.33;0.41;3.33;16.67;0.2;9.0;13.33;0.68;7.67;21.67;29.33;6.67;7.0;15.33;0.67;1.67;0.0;17.67;13.67;32.67;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
"[""SNATT'S FEMENI SANT ADRIA"", ""SNATT'S FEMENI SANT ADRIA"", ""SNATT'S FEMENI SANT ADRIA"", ""SNATT'S FEMENI SANT ADRIA"", ""SNATT'S FEMENI SANT ADRIA"", ""SNATT'S FEMENI SANT ADRIA"", ""SNATT'S FEMENI SANT ADRIA"", ""SNATT'S FEMENI SANT ADRIA"", ""SNATT'S FEMENI SANT ADRIA"", ""SNATT'S FEMENI SANT ADRIA"", ""SNATT'S FEMENI SANT ADRIA"", ""SNATT'S FEMENI SANT ADRIA""] Equipo Rival";['Media Rival'];3.0;194.74;77.33;25.0;45.0;0.56;5.0;14.33;0.35;12.33;21.67;0.57;7.33;24.33;31.67;16.67;11.0;11.33;2.33;0.0;0.0;13.33;17.67;93.33;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
"[""SNATT'S FEMENI SANT ADRIA"", ""SNATT'S FEMENI SANT ADRIA"", ""SNATT'S FEMENI SANT ADRIA"", ""SNATT'S FEMENI SANT ADRIA"", ""SNATT'S FEMENI SANT ADRIA"", ""SNATT'S FEMENI SANT ADRIA"", ""SNATT'S FEMENI SANT ADRIA"", ""SNATT'S FEMENI SANT ADRIA"", ""SNATT'S FEMENI SANT ADRIA"", ""SNATT'S FEMENI SANT ADRIA"", ""SNATT'S FEMENI SANT ADRIA""] Equipo";['Media'];9.0;200.0;62.67;17.67;43.78;0.4;6.0;22.78;0.26;9.33;13.67;0.68;10.78;27.44;38.22;7.56;6.0;14.11;1.67;0.89;0.0;19.0;16.33;51.22;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
"[""SNATT'S FEMENI SANT ADRIA"", ""SNATT'S FEMENI SANT ADRIA"", ""SNATT'S FEMENI SANT ADRIA"", ""SNATT'S FEMENI SANT ADRIA"", ""SNATT'S FEMENI SANT ADRIA"", ""SNATT'S FEMENI SANT ADRIA"", ""SNATT'S FEMENI SANT ADRIA"", ""SNATT'S FEMENI SANT ADRIA"", ""SNATT'S FEMENI SANT ADRIA"", ""SNATT'S FEMENI SANT ADRIA"", ""SNATT'S FEMENI SANT ADRIA""] Equipo Rival";['Media Rival'];9.0;197.38;65.44;19.89;42.78;0.46;4.44;18.67;0.24;12.33;16.67;0.74;7.89;27.0;34.89;9.78;8.0;12.56;0.89;1.67;0.0;16.33;18.89;65.89;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
"[""SNATT'S FEMENI SANT ADRIA"", ""SNATT'S FEMENI SANT ADRIA"", ""SNATT'S FEMENI SANT ADRIA"", ""SNATT'S FEMENI SANT ADRIA"", ""SNATT'S FEMENI SANT ADRIA"", ""SNATT'S FEMENI SANT ADRIA"", ""SNATT'S FEMENI SANT ADRIA"", ""SNATT'S FEMENI SANT ADRIA"", ""SNATT'S FEMENI SANT ADRIA"", ""SNATT'S FEMENI SANT ADRIA""] Equipo";['Media'];10.0;202.5;64.6;16.2;42.0;0.39;7.1;24.1;0.29;10.9;14.2;0.77;10.9;23.9;34.8;11.1;10.1;14.3;2.1;2.4;0.0;17.0;15.0;57.9;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
"[""SNATT'S FEMENI SANT ADRIA"", ""SNATT'S FEMENI SANT ADRIA"", ""SNATT'S FEMENI SANT ADRIA"", ""SNATT'S FEMENI SANT ADRIA"", ""SNATT'S FEMENI SANT ADRIA"", ""SNATT'S FEMENI SANT ADRIA"", ""SNATT'S FEMENI SANT ADRIA"", ""SNATT'S FEMENI SANT ADRIA"", ""SNATT'S FEMENI SANT ADRIA"", ""SNATT'S FEMENI SANT ADRIA""] Equipo Rival";['Media Rival'];10.0;201.97;72.8;21.8;44.6;0.49;6.9;19.5;0.35;8.5;14.1;0.6;10.2;28.8;39.0;16.6;8.2;15.6;2.4;2.1;0.0;15.0;16.9;82.2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
"[""SNATT'S FEMENI SANT ADRIA"", ""SNATT'S FEMENI SANT ADRIA"", ""SNATT'S FEMENI SANT ADRIA"", ""SNATT'S FEMENI SANT ADRIA"", ""SNATT'S FEMENI SANT ADRIA"", ""SNATT'S FEMENI SANT ADRIA"", ""SNATT'S FEMENI SANT ADRIA"", ""SNATT'S FEMENI SANT ADRIA"", ""SNATT'S FEMENI SANT ADRIA""] Equipo";['Media'];4.0;200.0;74.25;17.0;37.75;0.45;10.75;30.25;0.36;8.0;10.0;0.8;9.75;27.25;37.0;12.25;5.25;15.25;1.75;0.75;0.0;16.5;14.75;70.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
"[""SNATT'S FEMENI SANT ADRIA"", ""SNATT'S FEMENI SANT ADRIA"", ""SNATT'S FEMENI SANT ADRIA"", ""SNATT'S FEMENI SANT ADRIA"", ""SNATT'S FEMENI SANT ADRIA"", ""SNATT'S FEMENI SANT ADRIA"", ""SNATT'S FEMENI SANT ADRIA"", ""SNATT'S FEMENI SANT ADRIA"", ""SNATT'S FEMENI SANT ADRIA""] Equipo Rival";['Media Rival'];4.0;200.0;73.25;19.25;45.5;0.42;7.0;22.25;0.31;13.75;18.25;0.75;11.5;24.75;36.25;12.0;7.0;10.75;0.75;1.75;0.0;14.75;16.25;72.25;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
['BAXI FERROL', 'BAXI FERROL', 'BAXI FERROL', 'BAXI FERROL', 'BAXI FERROL', 'BAXI FERROL', 'BAXI FERROL', 'BAXI FERROL', 'BAXI FERROL', 'BAXI FERROL', 'BAXI FERROL'] Equipo;['Media'];3.0;200.0;50.33;12.67;39.33;0.32;5.33;19.0;0.28;9.0;13.33;0.68;7.67;27.0;34.67;7.33;7.0;17.0;2.33;1.67;0.0;14.67;13.33;37.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
['BAXI FERROL', 'BAXI FERROL', 'BAXI FERROL', 'BAXI FERROL', 'BAXI FERROL', 'BAXI FERROL', 'BAXI FERROL', 'BAXI FERROL', 'BAXI FERROL', 'BAXI FERROL', 'BAXI FERROL'] Equipo Rival;['Media Rival'];3.0;200.0;69.0;20.0;45.0;0.44;7.33;24.67;0.3;7.0;9.67;0.72;11.0;31.33;42.33;17.67;11.33;10.0;2.67;1.67;0.0;13.33;14.67;87.67;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
