Nombre;Equipo;Partidos;Minutos;Puntos;T2 Anotados;T2 Lanzados;% T2;T3 Anotados;T3 Lanzados;% T3;T1 Anotados;T1 Lanzados;% T1;Reb. Ofensivos;Reb. Defensivos;Rebotes;Asistencias;Robos;Perdidas;Tapones;Tapones Recibidos;Mates;Faltas Cometidas;Faltas Recibidas;Valoracion;% Asist;% Tiro Efectivo;% Tiro Verdadero;GScore;TLR%;Posesiones Anotadas;Posesiones No Anotadas;Floor Percentage;Puntos por Tiro;% Rebotes;% Rebotes Def;% Rebotes Of;% Robos;Toques;Uso;Versatilidad;Win Scores;Eficiencia Ofensiva;Eficiencia Defensiva;Diferencia eficiencia
b'QUIRANTE MARTINEZ, ALEJANDRA';['QUESOS EL PASTOR'];12.0;26.15;3.67;0.25;1.25;0.2;0.92;3.08;0.3;0.42;0.75;0.56;1.0;1.83;2.83;1.33;1.0;1.83;0.0;0.08;0.0;2.92;1.83;2.42;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
b'RAKSANYI, KRISZTINA';['CIUDAD DE LA LAGUNA TENERIFE'];11.0;24.95;7.09;1.18;3.36;0.35;1.36;2.45;0.56;0.64;0.91;0.7;0.27;1.0;1.27;1.45;0.09;2.73;0.0;0.0;0.0;1.73;1.09;3.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
b'RAMAN, JANA GEORGES R';['MOVISTAR ESTUDIANTES'];26.0;20.93;7.38;2.42;4.31;0.56;0.5;1.92;0.26;1.04;1.35;0.77;0.73;3.5;4.23;1.31;0.85;1.38;0.12;0.27;0.0;2.08;1.81;8.62;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
b'RAVENTOS ROIG, LAIA';['CADI LA SEU'];30.0;18.06;5.6;1.33;3.0;0.44;0.7;2.5;0.28;0.83;1.3;0.64;0.27;1.9;2.17;1.63;1.07;2.0;0.03;0.1;0.0;1.83;1.47;4.2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
b'RECIO ROL, MARTA';['ALTER ENERSUN AL-QÁZERES EXTREMADURA'];1.0;0.22;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
b'REISINGEROVA, JULIA SUSSANE';['SPAR GIRONA'];30.0;22.07;11.57;4.97;8.67;0.57;0.07;0.13;0.5;1.43;2.47;0.58;1.1;2.07;3.17;0.6;0.5;1.77;0.3;0.07;0.0;3.0;2.63;9.2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
b'REQUEJO GARCA, CRISTINA';['CAMPUS PROMETE'];1.0;1.45;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;-1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
b'RESIMONT, LAURE DANIELA';['CADI LA SEU'];20.0;19.45;6.1;1.35;2.95;0.46;0.8;2.95;0.27;1.0;1.4;0.71;0.55;1.7;2.25;1.0;0.3;1.35;0.1;0.0;0.0;1.95;1.3;3.6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
b'RHINE, SARA';['EMBUTIDOS PAJARIEL BEMBIBRE PDM'];30.0;28.34;9.1;3.37;6.37;0.53;0.27;1.4;0.19;1.57;1.87;0.84;1.5;3.8;5.3;0.23;0.37;1.03;0.2;0.1;0.03;2.0;2.1;9.83;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
b'RODRGUEZ RAMOS, ANDREA';['CIUDAD DE LA LAGUNA TENERIFE'];2.0;3.3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.5;0.0;-0.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
b'RODRIGUEZ DOMINGUEZ, ELENA';['SPAR GRAN CANARIA'];18.0;3.83;0.56;0.11;0.17;0.67;0.06;0.11;0.5;0.17;0.28;0.6;0.0;0.17;0.17;0.0;0.06;0.22;0.0;0.0;0.0;0.56;0.22;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
b'RODRIGUEZ MANSO, LEONOR DEL PILAR';['PERFUMERIAS AVENIDA'];30.0;19.43;7.27;1.4;2.83;0.49;1.2;2.93;0.41;0.87;1.2;0.72;0.43;1.77;2.2;1.77;0.8;1.1;0.03;0.0;0.03;0.77;1.2;7.9;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
b'RODRIGUEZ SANCHEZ, MIRIAM';['SPAR GRAN CANARIA'];2.0;2.41;0.0;0.0;0.0;0.0;0.0;0.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.5;0.0;-1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
b'RODRIGUEZ TORRELIO, ROMINA ISABEL';['QUESOS EL PASTOR'];3.0;5.73;1.33;0.67;0.67;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.33;0.0;0.67;0.0;0.0;0.0;1.0;0.33;0.33;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
