Nombre;Temporada;Equipo;Partidos;Minutos;Puntos;T2 Anotados;T2 Lanzados;% T2;T3 Anotados;T3 Lanzados;% T3;T1 Anotados;T1 Lanzados;% T1;Reb_Ofensivos;Reb_Defensivos;Rebotes;Asistencias;Robos;Perdidas;Tapones;Tapones Recibidos;Mates;Faltas Cometidas;Faltas Recibidas;Valoracion
HERNANDEZ ORTIZ, ZOE;2023;CADI LA SEU;21.0;8.22;1.86;0.29;0.62;0.46;0.43;1.57;0.27;0.0;0.05;0.0;0.24;0.62;0.86;0.33;0.57;0.43;0.05;0.05;0.0;0.76;0.24;1.19
RUIZ POLIDURA, SARAY;2008;SOLLER JOVENTUT MARIANA;17.0;8.21;1.82;0.59;1.71;0.34;0.06;0.06;1.0;0.47;0.76;0.62;0.59;0.71;1.29;0.18;0.18;0.47;0.0;0.24;0.0;1.29;0.82;0.88
CACERES MARTELL, NAIRA;2014;GRAN CANARIA 2014;19.0;8.2;1.11;0.32;1.11;0.29;0.05;0.37;0.14;0.32;0.42;0.75;0.63;1.47;2.11;0.21;0.47;0.47;0.16;0.0;0.0;0.68;0.37;2.05
IBARRECHE INCLAN, ESTITXU;2002;EXTRUGASA MUEBLES CARBALLO;16.0;8.19;1.25;0.44;1.25;0.35;0.0;0.44;0.0;0.38;0.5;0.75;0.0;0.5;0.5;0.5;0.12;1.38;0.0;0.0;0.0;0.62;0.38;-0.62
ORTEGA BALLUS, AFRICA;2007;C.B. OLESA - ESPANYOL;8.0;8.18;2.12;0.88;1.62;0.54;0.0;0.0;0.0;0.38;0.75;0.5;0.25;0.88;1.12;0.25;0.12;0.62;0.12;0.12;0.0;1.0;0.62;1.5
DIAZ FERNANDEZ, BEATRIZ;2000;VETUSTA OVIEDO;23.0;8.17;0.91;0.35;1.0;0.35;0.04;0.43;0.1;0.09;0.26;0.33;0.3;1.0;1.3;0.17;0.22;0.22;0.0;0.09;0.0;0.83;0.26;0.52
ARGELLO CUENCA, PATRICIA;2014;CAMPUS PROMETE;4.0;8.17;1.0;0.0;0.5;0.0;0.25;1.25;0.2;0.25;0.5;0.5;0.0;0.25;0.25;0.0;0.0;0.5;0.0;0.0;0.0;1.5;1.0;-1.5
PADROS TORTADES, MARIA;1999;POPULAR BASQUET GODELLA;23.0;8.13;3.0;1.35;2.57;0.53;0.0;0.0;0.0;0.3;0.43;0.7;0.52;1.04;1.57;0.22;0.09;0.39;0.04;0.04;0.0;0.78;0.3;2.65
TORRES DOMINGUEZ, ANGELA;2010;PALACIO DE CONGRESOS DE IBIZA;14.0;8.13;1.93;0.14;0.71;0.2;0.5;1.0;0.5;0.14;0.14;1.0;0.21;0.14;0.36;0.14;0.21;0.36;0.0;0.07;0.0;0.79;0.14;0.5
SAN ROMAN FLORES, IRENE;2009;REAL CANOE N.C.;7.0;8.12;0.43;0.0;0.14;0.0;0.14;0.86;0.17;0.0;0.0;0.0;0.29;0.14;0.43;0.71;0.0;0.43;0.14;0.0;0.0;0.57;0.0;-0.14
ORTEGA ARIZ, ANDREA;2001;CBN;9.0;8.11;0.44;0.22;1.11;0.2;0.0;0.89;0.0;0.0;0.0;0.0;0.11;0.44;0.56;0.22;0.11;0.33;0.22;0.11;0.0;0.56;0.33;-0.89
RIVERES ESPARZA, PATRICIA;2001;FILTROS MANN ZARAGOZA;18.0;8.11;2.56;0.94;1.78;0.53;0.0;0.0;0.0;0.67;0.83;0.8;0.33;1.39;1.72;0.0;0.22;0.67;0.0;0.11;0.0;1.89;0.89;1.72
DOUMBIA, MAMA SIDIKI;2022;SPAR GRAN CANARIA;12.0;8.11;1.83;0.75;1.58;0.47;0.0;0.0;0.0;0.33;0.42;0.8;0.33;1.17;1.5;0.25;0.0;0.67;0.17;0.08;0.0;1.25;0.42;1.33
GIL COLLADO, LAURA;2010;PERFUMERIAS AVENIDA;19.0;8.1;2.42;1.0;2.16;0.46;0.05;0.11;0.5;0.26;0.53;0.5;0.89;0.95;1.84;0.11;0.32;0.37;0.05;0.05;0.0;1.32;0.58;2.11
CARRERA PEREZ, ANDREA;2004;REAL CLUB CELTA VIGOURBAN;8.0;8.05;0.5;0.25;0.88;0.29;0.0;0.5;0.0;0.0;0.0;0.0;0.25;0.5;0.75;0.0;0.25;0.88;0.12;0.12;0.0;0.5;0.12;-0.88
LOPEZ RODRIGUEZ, AINHOA;2016;SPAR CITYLIFT GIRONA;13.0;8.05;1.46;0.46;1.08;0.43;0.15;0.92;0.17;0.08;0.23;0.33;0.23;0.69;0.92;0.46;0.23;0.85;0.0;0.0;0.0;0.92;0.46;0.23
HERNANDEZ ORTIZ, ZOE;2021;CASADEMONT ZARAGOZA;25.0;8.04;0.72;0.12;0.24;0.5;0.16;1.0;0.16;0.0;0.12;0.0;0.0;0.56;0.56;0.12;0.12;0.12;0.0;0.0;0.0;0.88;0.2;-0.36
HERRERO GIMENEZ, PILAR;1998;CANAL ISABEL II;6.0;8.0;1.67;0.67;1.83;0.36;0.0;0.0;0.0;0.33;0.33;1.0;0.17;0.5;0.67;0.0;0.0;0.67;0.0;0.0;0.0;0.17;0.17;0.5
PALMERO FERNANDEZ, PATRICIA;1998;A.D. UNIVERSIDAD DE OVIEDO;12.0;8.0;1.83;0.42;1.33;0.31;0.08;0.33;0.25;0.75;0.83;0.9;0.33;0.25;0.58;0.25;0.08;0.42;0.0;0.08;0.0;0.58;0.75;1.17
---, JOY AILEEN;1999;POPULAR BASQUET GODELLA;1.0;8.0;2.0;1.0;2.0;0.5;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;5.0;0.0;-3.0
LPEZ VERD, ALICIA;1999;POPULAR BASQUET GODELLA;1.0;8.0;11.0;0.0;3.0;0.0;1.0;2.0;0.5;8.0;8.0;1.0;1.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;5.0;11.0
RAMIRO DIAZ, NURIA;1999;C.D. ENSINO;1.0;8.0;3.0;0.0;0.0;0.0;0.0;0.0;0.0;3.0;4.0;0.75;0.0;1.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;3.0;1.0;0.0
---, DAYZA;2001;CAJA RURAL DE CANARIAS;17.0;8.0;1.41;0.53;1.06;0.5;0.12;0.65;0.18;0.0;0.18;0.0;0.12;0.24;0.35;0.29;0.53;0.41;0.06;0.0;0.0;1.12;0.41;0.29
NDIAYE, FATOU KINE;2001;CAJA RURAL DE CANARIAS;3.0;8.0;1.33;0.67;2.33;0.29;0.0;0.0;0.0;0.0;0.67;0.0;0.33;1.0;1.33;0.0;0.33;0.67;0.33;0.0;0.0;0.67;0.33;0.0
ALAA SEGURA, SHEILA;2003;REAL CLUB CELTA BANCO SIMEON;17.0;8.0;2.94;1.24;2.53;0.49;0.0;0.06;0.0;0.47;1.06;0.44;0.18;0.82;1.0;0.24;0.06;0.65;0.12;0.12;0.0;1.41;1.12;1.35
SECO SALVADOR, TERESA;2003;MANN FILTER ZARAGOZA;14.0;8.0;2.29;0.07;0.5;0.14;0.57;1.71;0.33;0.43;0.43;1.0;0.07;0.93;1.0;1.0;0.57;0.86;0.0;0.0;0.0;1.07;0.43;1.79
ROYO TORRES, BEATRIZ;2013;MANN-FILTER;15.0;7.99;0.67;0.13;0.73;0.18;0.13;0.87;0.15;0.0;0.13;0.0;0.4;1.6;2.0;0.27;0.27;0.13;0.0;0.07;0.0;1.0;0.07;0.6
DLUZYK, KATARZYNA;2009;REAL CANOE N.C.;6.0;7.98;2.17;0.33;1.33;0.25;0.17;0.5;0.33;1.0;1.5;0.67;0.0;0.33;0.33;0.17;0.33;0.83;0.17;0.17;0.0;1.83;1.17;-0.33
SANCHEZ GONZALEZ, SARA MARIA;2022;INNOVA-TSN LEGANES;5.0;7.95;0.0;0.0;0.2;0.0;0.0;0.6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.2;0.0;1.4;0.0;0.0;0.0;0.8;0.4;-2.4
LAZARO CASTILLERO, YAIZA;2014;GERNIKA BIZKAIA;21.0;7.94;2.62;1.1;1.86;0.59;0.0;0.0;0.0;0.43;0.67;0.64;0.62;0.86;1.48;0.14;0.19;0.48;0.0;0.0;0.0;1.48;0.76;2.24
OLABARRIA BARINAGARREMENTERIA, IULENE;2018;IDK GIPUZKOA;14.0;7.94;2.57;0.21;0.36;0.6;0.71;1.71;0.42;0.0;0.0;0.0;0.0;0.29;0.29;0.07;0.0;0.14;0.0;0.07;0.0;0.36;0.07;1.29
SOTELO MIGUEZ, INES;2023;DURÁN MAQUINARIA ENSINO;7.0;7.94;0.86;0.43;1.29;0.33;0.0;0.14;0.0;0.0;0.0;0.0;0.29;0.57;0.86;0.14;0.14;0.86;0.14;0.14;0.0;1.29;0.29;-0.71
SORIANO CUESTA, CRISTINA;2021;IDK EUSKOTREN;17.0;7.93;1.29;0.59;1.24;0.48;0.0;0.0;0.0;0.12;0.18;0.67;0.35;0.53;0.88;0.35;0.24;0.29;0.12;0.06;0.0;0.71;0.29;1.47
VIDAL ACUA, SARA;2023;CELTA ZORKA RECALVI;24.0;7.92;0.88;0.38;0.92;0.41;0.04;0.58;0.07;0.0;0.0;0.0;0.25;0.46;0.71;0.38;0.17;0.25;0.0;0.0;0.0;1.46;0.12;-0.54
DIAZ TORRES, MARIA ARRIETA;2022;TENERIFE;8.0;7.91;0.5;0.25;1.75;0.14;0.0;0.25;0.0;0.0;0.0;0.0;0.5;0.5;1.0;0.0;0.12;0.0;0.0;0.25;0.0;1.38;0.25;-1.25
MULDERS, SUSANNE;2001;UNIVERSITAT DE BARCELONA B.F.;10.0;7.9;1.8;0.7;1.1;0.64;0.0;0.0;0.0;0.4;1.3;0.31;0.6;1.1;1.7;0.2;0.3;0.6;0.6;0.0;0.0;1.6;0.9;2.0
GONZALEZ PROPIN, MARIANA;2008;USP-CEU MMT ESTUDIANTES;21.0;7.9;1.86;0.76;1.95;0.39;0.0;0.0;0.0;0.33;0.57;0.58;0.38;0.86;1.24;0.0;0.29;1.0;0.0;0.14;0.0;1.71;0.43;-0.48
LOPEZ TOBI, IHO;2013;SPAR UNIGIRONA;19.0;7.9;0.79;0.32;1.05;0.3;0.0;0.0;0.0;0.16;0.32;0.5;0.53;1.21;1.74;0.0;0.16;0.37;0.05;0.11;0.0;0.68;0.47;1.16
GURI MORENO, CLAUDIA;2023;CADI LA SEU;9.0;7.89;3.22;1.56;3.11;0.5;0.0;0.0;0.0;0.11;0.33;0.33;0.56;0.44;1.0;0.22;0.0;1.33;0.11;0.0;0.0;1.11;0.33;0.67
MONTESDEOCA LPEZ, EVA;2001;CAJA RURAL DE CANARIAS;17.0;7.88;2.41;1.06;1.71;0.62;0.0;0.0;0.0;0.29;0.35;0.83;0.88;1.18;2.06;0.18;0.35;0.65;0.24;0.06;0.0;1.41;0.35;2.76
RUBENE, LINDA;2015;C.R.E.F. ¡HOLA!;13.0;7.87;1.85;0.62;1.31;0.47;0.08;0.31;0.25;0.38;0.77;0.5;0.23;1.23;1.46;0.46;0.15;0.62;0.0;0.0;0.0;0.85;0.69;1.85
GARCIA HERNANDEZ, ALEJANDRA;2022;TENERIFE;3.0;7.87;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.67;0.67;0.0;0.33;0.67;0.0;0.0;0.0;0.67;0.0;-0.33
