Nombre;Temporada;Equipo;Partidos;Minutos;Puntos;T2 Anotados;T2 Lanzados;% T2;T3 Anotados;T3 Lanzados;% T3;T1 Anotados;T1 Lanzados;% T1;Reb_Ofensivos;Reb_Defensivos;Rebotes;Asistencias;Robos;Perdidas;Tapones;Tapones Recibidos;Mates;Faltas Cometidas;Faltas Recibidas;Valoracion
PODRUG, EMILIJA;2003;REAL CLUB CELTA BANCO SIMEON;26.0;32.54;12.5;4.5;9.31;0.48;0.0;0.12;0.0;3.5;4.54;0.77;1.92;6.04;7.96;2.42;1.12;3.46;0.27;0.46;0.0;2.62;4.46;16.23
BROCK, BREANNA CAMILLE;2016;SPAR GRAN CANARIA;13.0;32.52;9.38;3.77;8.31;0.45;0.15;0.62;0.25;1.38;2.92;0.47;3.46;5.15;8.62;1.0;0.46;1.92;0.85;0.23;0.0;2.54;2.23;11.31
JAMES, KAI AFI GNOZI NONI;2020;SPAR GRAN CANARIA;30.0;32.52;11.47;4.87;10.4;0.47;0.0;0.13;0.0;1.73;2.73;0.63;3.23;7.0;10.23;1.3;0.53;2.7;0.27;0.3;0.03;3.23;2.73;13.93
---, CHARISSE MARIE;1999;A.D.UNIVERSIDAD DE OVIEDO;26.0;32.5;15.96;4.23;6.81;0.62;1.31;3.88;0.34;3.58;4.27;0.84;2.62;4.31;6.92;0.5;2.04;1.19;0.77;0.23;0.0;2.65;4.35;20.62
MORALES MARTIN, SILVIA;2000;BF HOSPITALET;26.0;32.5;15.08;3.38;8.31;0.41;1.23;3.73;0.33;4.62;5.92;0.78;1.0;3.08;4.08;1.23;2.58;1.81;0.0;0.54;0.0;1.62;4.19;14.46
IRVIN, SANDORA LAVETT;2006;USP-CEU MMT ESTUDIANTES;21.0;32.5;13.48;3.71;8.71;0.43;1.14;2.29;0.5;2.62;3.62;0.72;2.67;6.81;9.48;1.1;1.52;2.43;1.52;0.48;0.0;3.52;3.1;16.62
CALDWELL, TALIA ADAIAH;2015;C.B. CONQUERO HUELVA WAGEN;23.0;32.49;15.26;6.52;11.09;0.59;0.04;0.13;0.33;2.09;4.52;0.46;4.61;6.7;11.3;1.52;0.74;3.22;0.87;0.65;0.0;2.74;4.17;20.17
STANACEV, ALEKSANDRA;2020;DURAN MAQUINARIA ENSINO;30.0;32.49;9.7;2.0;4.57;0.44;1.43;3.5;0.41;1.4;1.7;0.82;0.23;3.83;4.07;4.9;1.57;2.2;0.07;0.03;0.0;1.63;3.07;14.6
PINA TOLOSA, MARIA;2018;VALENCIA B.C.;26.0;32.47;12.46;3.46;7.69;0.45;1.19;4.0;0.3;1.96;2.42;0.81;0.58;5.12;5.69;2.23;0.92;1.31;0.15;0.15;0.0;1.69;2.96;13.77
LLORENTE, VICTORIA;2019;EMBUTIDOS PAJARIEL BEMBIBRE PDM;22.0;32.46;8.86;2.68;7.32;0.37;0.82;2.82;0.29;1.05;2.05;0.51;1.73;3.68;5.41;1.36;0.64;1.73;0.23;0.27;0.0;2.23;2.68;7.32
DE KLEIJN, MARLOU;2011;PALACIO DE CONGRESOS DE IBIZA;15.0;32.44;9.93;2.73;6.0;0.46;0.87;3.67;0.24;1.87;2.4;0.78;1.67;2.47;4.13;0.8;0.47;2.53;0.07;0.6;0.0;1.27;2.53;6.93
NOGIC, JOVANA;2021;CAMPUS PROMETE;30.0;32.44;13.2;2.17;5.3;0.41;2.33;6.43;0.36;1.87;2.03;0.92;0.47;3.6;4.07;2.07;0.9;1.83;0.0;0.23;0.0;2.8;3.9;12.1
ROYO TORRES, MARIA ESTELA;2015;SPAR GRAN CANARIA;26.0;32.43;11.46;3.65;8.08;0.45;0.5;1.5;0.33;2.65;3.88;0.68;1.92;2.54;4.46;2.54;1.65;3.46;0.08;0.38;0.0;2.5;3.5;10.69
GARCIA PIERO, MARIA BEGOA;1999;C.D. ENSINO;24.0;32.42;12.25;2.92;5.21;0.56;1.17;3.58;0.33;2.92;4.17;0.7;0.38;2.75;3.12;2.42;2.12;2.29;0.08;0.12;0.0;3.29;3.71;12.04
GALLEGO VICARIO, SANDRA;2002;FILTROS MANN ZARAGOZA;26.0;32.42;16.08;4.04;7.08;0.57;2.0;4.5;0.44;2.0;2.92;0.68;0.42;1.69;2.12;2.77;2.0;2.54;0.19;0.42;0.0;2.23;3.65;15.15
FEASTER, ALISON;2009;MANN FILTER ZARAGOZA;26.0;32.42;14.65;2.69;5.27;0.51;2.65;6.35;0.42;1.31;1.69;0.77;1.19;2.04;3.23;1.62;1.85;2.38;0.08;0.27;0.0;2.5;1.92;11.54
REID, TRACY LASHAWN;2006;ACIS INCOSA LEON;25.0;32.4;12.44;4.92;10.72;0.46;0.08;0.44;0.18;2.36;3.4;0.69;2.6;3.76;6.36;2.32;1.52;3.04;0.08;0.44;0.0;1.96;2.8;12.88
ELONU, ADAORA NNENNA;2013;BEROIL - CIUDAD DE BURGOS;22.0;32.39;13.05;5.45;11.27;0.48;0.23;0.86;0.26;1.45;1.91;0.76;2.23;3.77;6.0;0.82;1.18;1.73;0.55;0.41;0.0;2.59;2.18;12.14
CROUSE, JENNIFER LYNNE;1999;C.B. STA. ROSA DE LIMA;26.0;32.38;11.5;4.85;8.65;0.56;0.0;0.0;0.0;1.81;2.27;0.8;2.27;4.08;6.35;0.31;0.81;1.04;2.12;0.27;0.0;3.12;1.15;13.54
DE SOUZA DOS SANTOS, FLAVIA LUIZA;2002;YAYA MARIA BREOGAN;24.0;32.38;10.25;4.0;8.79;0.45;0.21;0.67;0.31;1.62;2.75;0.59;3.0;2.96;5.96;0.38;1.21;2.54;0.0;0.38;0.0;2.04;2.62;9.08
MAGLISCEAU, MICHELLE YVONNE;2005;USP CEU - ADECCO ESTUDIANTES;23.0;32.38;12.43;3.3;7.48;0.44;0.78;2.04;0.38;3.48;4.7;0.74;1.74;6.78;8.52;1.26;1.3;2.96;0.74;0.61;0.0;2.74;4.04;15.35
MARKOVIC, MARINA;2015;AÑARES RIOJA ISB;26.0;32.38;12.77;2.81;8.35;0.34;1.38;4.96;0.28;3.0;4.5;0.67;2.38;4.81;7.19;2.08;1.12;3.65;0.15;0.58;0.0;2.96;5.08;10.58
ABALDE DIAZ, TAMARA;2017;MANN-FILTER;26.0;32.38;11.92;4.77;9.46;0.5;0.04;0.23;0.17;2.27;3.27;0.69;1.69;3.04;4.73;0.85;1.12;2.15;0.46;0.31;0.0;2.46;3.54;11.81
PRINCE, ALEXIS SADE;2017;STAR CENTER-UNI FERROL;26.0;32.37;15.54;4.0;8.77;0.46;2.0;5.85;0.34;1.54;2.0;0.77;0.77;5.5;6.27;1.19;0.88;1.54;0.42;0.08;0.0;1.62;1.73;13.73
AGUILAR LOPEZ, ELISA;2003;ROS CASARES VALENCIA;25.0;32.36;8.56;0.88;2.28;0.39;2.04;5.04;0.4;0.68;0.88;0.77;0.28;1.96;2.24;2.84;1.72;1.2;0.12;0.2;0.0;1.32;0.8;8.96
SANTOS LUZ, SILVIA ANDREA;2008;CADI LA SEU D´URGELL;26.0;32.35;12.08;3.92;8.0;0.49;0.81;3.12;0.26;1.81;2.54;0.71;0.35;2.08;2.42;2.65;1.88;3.35;0.0;0.27;0.0;1.42;2.08;8.96
FEASTER, ALISON;2007;CLUB BALONCESTO SAN JOSE;24.0;32.33;13.04;2.12;5.21;0.41;2.25;5.29;0.43;2.04;2.21;0.92;1.42;2.0;3.42;1.67;0.96;2.17;0.08;0.17;0.0;1.96;2.46;11.04
HAIRSTON, KAMESHA DAWN;2009;ASEFA ESTUDIANTES;12.0;32.33;9.5;3.17;8.33;0.38;0.58;2.67;0.22;1.42;2.17;0.65;1.0;3.25;4.25;0.83;1.33;2.58;0.25;0.42;0.0;2.75;2.0;4.42
JUANES HERNANDEZ, YOLANDA;1997;SALAMANCA HALCON VIAJES;22.0;32.32;12.09;2.86;6.91;0.41;1.41;3.55;0.4;2.14;2.86;0.75;0.23;1.27;1.5;1.5;0.91;1.68;0.05;0.18;0.0;1.68;2.91;8.5
LONGIN, KORANA;2000;UNIVERSITAT DE BARCELONA;25.0;32.32;15.96;6.8;12.2;0.56;0.0;0.04;0.0;2.36;2.8;0.84;1.72;5.84;7.56;0.4;0.96;2.08;2.8;0.0;0.0;3.0;2.72;19.44
ROSS, ADRIANNE NICOLE;2011;CADI LA SEU D´URGELL;26.0;32.32;14.69;4.65;11.42;0.41;0.65;2.27;0.29;3.42;4.19;0.82;1.19;3.38;4.58;2.0;2.58;3.46;0.27;0.54;0.0;2.5;3.31;11.77
MONDT, ANKE DE;2005;ARRANZ - JOPISA BURGOS;26.0;32.3;13.31;2.31;5.12;0.45;2.19;6.08;0.36;2.12;2.46;0.86;0.58;2.77;3.35;1.85;1.5;1.5;0.12;0.23;0.0;2.04;1.92;11.23
PIIPARI, REETTA SINIKKA KARINE;2007;GRAN CANARIA LA CAJA DE CANARIAS;26.0;32.29;9.85;1.15;2.54;0.45;2.31;7.0;0.33;0.62;0.73;0.84;0.27;1.96;2.23;2.92;0.85;1.62;0.04;0.23;0.0;2.19;1.15;6.81
JOHNS, POLLYANNA;1999;BARCELONA BC.UNIVERSITARI;25.0;32.28;12.12;4.48;7.84;0.57;0.0;0.0;0.0;3.16;4.92;0.64;4.04;6.48;10.52;0.96;2.0;2.68;0.76;0.8;0.0;2.28;3.24;18.72
YGUERAVIDE VIANA, SANDRA;2015;C.R.E.F. ¡HOLA!;11.0;32.27;14.73;2.73;6.73;0.41;2.36;5.27;0.45;2.18;2.91;0.75;0.09;2.64;2.73;2.64;1.73;2.82;0.0;0.09;0.0;2.73;3.27;11.82
VALERO CEBRIAN, PILAR;2003;MANN FILTER ZARAGOZA;23.0;32.26;11.96;2.83;5.35;0.53;1.48;3.87;0.38;1.87;2.26;0.83;0.74;1.57;2.3;1.83;1.35;1.78;0.04;0.17;0.0;1.87;1.78;10.13
SAMSON, CLEMENTINE;2024;CELTA  FEMXA ZORKA;30.0;32.25;13.2;3.5;7.53;0.46;1.6;4.83;0.33;1.4;1.93;0.72;0.8;3.27;4.07;2.17;1.0;1.87;0.47;0.23;0.0;1.43;2.0;11.8
URDIAIN ASENSIO, NATALIA;1997;CBN;22.0;32.23;10.23;2.86;6.18;0.46;0.95;2.77;0.34;1.64;2.5;0.65;1.95;3.41;5.36;0.14;1.27;2.05;0.18;0.36;0.0;2.55;2.64;8.86
MCNICHOL, JOY AILEEN;1998;BARCELONA BC UNIVERSITARI;26.0;32.23;10.58;4.46;7.73;0.58;0.0;0.0;0.0;1.65;2.19;0.75;1.38;2.5;3.88;0.62;0.88;1.23;0.08;0.23;0.0;1.92;2.46;11.31
PEREZ CAPARROS, ROSA;2001;BALONCESTO CIUDAD DE BURGOS;26.0;32.23;10.73;1.08;3.31;0.33;2.35;5.5;0.43;1.54;2.12;0.73;0.5;1.85;2.35;1.0;1.04;2.27;0.0;0.35;0.0;2.35;2.19;6.38
BROWN, JOY ALEXIS;2017;NISSAN  AL-QÁZERES EXTREMADURA;26.0;32.23;11.35;3.46;8.12;0.43;0.77;1.88;0.41;2.12;3.5;0.6;3.08;6.08;9.15;1.73;1.54;2.65;0.38;0.54;0.0;2.31;4.54;16.04
MIELOSZYNSKA-ZWOLAK, DARIA;2014;ZAMARAT;26.0;32.22;14.15;2.92;6.77;0.43;2.35;6.69;0.35;1.27;1.62;0.79;1.23;2.54;3.77;1.46;0.81;2.31;0.31;0.38;0.0;2.31;1.85;8.81
ZURRO ALFONSO, MARTA;2001;BALONCESTO CIUDAD DE BURGOS;24.0;32.21;15.46;5.58;10.5;0.53;0.12;0.42;0.3;3.92;5.33;0.73;2.21;4.54;6.75;0.33;1.29;2.79;0.5;0.25;0.0;3.38;5.67;16.96
JORDANA BOFILL, NOEMI;2010;RC CELTA INDEPO;26.0;32.21;10.35;1.65;3.96;0.42;1.73;4.73;0.37;1.85;2.81;0.66;0.46;2.08;2.54;2.92;1.12;2.58;0.0;0.08;0.0;2.15;2.96;8.81
GIDDEN, VANESSA NICOLE;2020;QUESOS EL PASTOR;12.0;32.21;10.83;4.33;10.92;0.4;0.0;0.25;0.0;2.17;3.08;0.7;2.25;6.67;8.92;1.92;0.67;3.0;0.42;0.25;0.0;2.17;4.08;13.92
SANTOS LUZ, HELEN CRISTINA;2002;FILTROS MANN ZARAGOZA;10.0;32.2;12.0;1.8;3.4;0.53;2.5;6.2;0.4;0.9;1.1;0.82;0.8;2.6;3.4;2.6;2.3;3.0;0.1;0.1;0.0;2.1;1.3;11.0
SAREGKOU, POLYMNIA;2004;HONDARRIBIA - IRÚN;26.0;32.2;14.5;5.65;10.38;0.54;0.0;0.04;0.0;3.19;5.08;0.63;2.54;5.69;8.23;1.15;1.23;2.38;0.0;0.23;0.0;2.5;5.58;18.92
SANTOS LUZ, SILVIA ANDREA;2006;RIVAS FUTURA;12.0;32.2;12.25;4.67;8.58;0.54;0.75;2.92;0.26;0.67;0.92;0.73;0.83;3.08;3.92;3.25;1.42;2.5;0.08;0.17;0.0;1.25;1.92;12.58
BORGES DOS REIS, SONIA;2009;CADI LA SEU D´URGELL;24.0;32.2;18.42;7.38;13.17;0.56;0.0;0.0;0.0;3.67;5.25;0.7;1.62;4.38;6.0;0.75;1.96;3.17;0.62;0.67;0.0;2.67;5.04;18.92
ATKINSON, TANAYA MECHELLE;2022;KUTXABANK ARASKI;29.0;32.2;15.24;4.79;9.38;0.51;0.76;2.83;0.27;3.38;4.83;0.7;0.55;5.14;5.69;2.48;1.59;2.48;0.07;0.41;0.03;1.41;4.17;17.24
GARCIA PIERO, MARIA BEGOA;2011;UNB OBENASA LACTURALE;26.0;32.19;11.23;2.38;6.19;0.39;1.65;5.23;0.32;1.5;2.38;0.63;0.5;2.23;2.73;2.85;1.12;2.19;0.04;0.35;0.0;2.69;3.0;7.46
GOMES COLHADO, NADIA;2016;IDK GIPUZKOA;19.0;32.16;16.47;6.58;10.95;0.6;0.0;0.05;0.0;3.32;4.74;0.7;2.63;6.68;9.32;0.89;1.16;2.47;0.95;0.42;0.0;2.58;4.37;21.84
MUJANOVIC, RAZIJA;2001;REAL CLUB CELTA BANCO SIMEON;22.0;32.14;18.05;6.73;11.36;0.59;0.0;0.23;0.0;4.59;6.05;0.76;3.0;7.14;10.14;0.73;0.95;2.32;1.09;0.05;0.0;2.82;5.64;25.09
TRAORE, AYA;2015;C.B. CONQUERO HUELVA WAGEN;6.0;32.14;12.0;3.17;6.83;0.46;0.83;3.33;0.25;3.17;3.83;0.83;1.0;4.83;5.83;0.5;0.5;2.5;0.33;0.5;0.0;1.5;2.83;10.67
SENRA PEREZ, SUSANA;1999;FEMENINO TRES CANTOS;25.0;32.12;12.12;5.0;9.32;0.54;0.0;0.08;0.0;2.12;3.96;0.54;1.72;4.24;5.96;0.16;0.68;2.24;0.28;0.4;0.0;3.2;3.24;10.36
ANTOJA ROVIRA, LAURA;2002;CADI LA SEU D´URGELL;26.0;32.12;11.46;3.31;8.96;0.37;0.62;2.88;0.21;3.0;4.12;0.73;0.88;2.42;3.31;1.96;2.0;3.46;0.0;0.19;0.04;3.73;4.08;6.38
POLLINI, CATARINA;2003;YAYA MARIA BREOGAN;26.0;32.12;9.73;3.69;9.08;0.41;0.23;0.58;0.4;1.65;2.31;0.72;1.54;4.0;5.54;0.92;2.04;1.65;0.54;0.19;0.0;2.54;4.0;12.0
PINA TOLOSA, MARIA;2006;USP-CEU MMT ESTUDIANTES;26.0;32.11;7.04;1.5;3.77;0.4;1.08;4.0;0.27;0.81;1.27;0.64;0.73;3.15;3.88;1.0;0.88;1.92;0.12;0.15;0.0;1.85;1.54;4.88
QUEVEDO CAIZARES, LAURA;2018;QUESOS EL PASTOR;25.0;32.11;11.16;2.16;5.32;0.41;1.56;5.2;0.3;2.16;2.6;0.83;1.0;2.16;3.16;1.6;0.96;1.76;0.28;0.24;0.0;2.4;3.04;8.56
SILVA SERRANO, ROSELIS CAROLINA;2019;CAMPUS PROMETE;22.0;32.11;6.82;1.64;4.09;0.4;0.82;3.14;0.26;1.09;1.27;0.86;0.82;4.64;5.45;3.64;3.27;2.05;0.14;0.18;0.0;2.95;2.68;11.86
MEYENDO YABAKIA, FRANCOISE;1999;CORTEGADA-GRUPO 10;26.0;32.08;8.5;3.42;6.88;0.5;0.0;0.0;0.0;1.65;2.54;0.65;3.42;6.58;10.0;0.19;1.31;2.31;0.5;0.27;0.0;3.04;0.85;11.38
MEYENDO YABAKIA, FRANCOISE;2000;A.D. CORTEGADA;24.0;32.08;8.67;3.25;7.08;0.46;0.04;0.21;0.2;2.04;3.54;0.58;3.42;7.08;10.5;0.5;1.25;1.79;0.38;0.25;0.0;3.12;1.67;12.29
DAPO, AMRA;2008;HONDARRIBIA - IRÚN;26.0;32.08;10.73;2.69;5.19;0.52;1.38;3.62;0.38;1.19;2.0;0.6;1.15;2.62;3.77;1.69;1.46;1.38;0.08;0.27;0.0;1.62;2.19;11.12
MORRISON JARA, ZIOMARA ESKET;2011;JOPISA CIUDAD DE BURGOS;26.0;32.08;14.31;4.35;8.81;0.49;0.77;1.77;0.43;3.31;4.27;0.77;3.5;7.12;10.62;0.54;0.58;2.5;0.73;0.5;0.0;3.12;4.42;18.65
GOMEZ FERREIROS, SARA;2007;EXTRUGASA;26.0;32.07;10.38;1.62;3.88;0.42;1.85;5.31;0.35;1.62;2.54;0.64;0.69;2.04;2.73;1.62;1.65;2.19;0.0;0.5;0.0;2.54;2.77;7.27
VEGA REBORA, GISELA VERONICA;2009;SOLLER JOVENTUT MARIANA;26.0;32.06;14.38;5.58;10.46;0.53;0.35;1.35;0.26;2.19;2.92;0.75;1.73;5.81;7.54;1.65;1.62;3.23;0.46;0.5;0.0;2.65;3.35;16.0
ZLATANOVA, JAKLIN;2009;GRAN CANARIA 2014 LA CAJA DE CANARIAS;26.0;32.06;12.5;3.31;7.0;0.47;1.08;3.31;0.33;2.65;3.35;0.79;1.54;5.35;6.88;1.04;1.35;1.88;0.54;0.42;0.0;2.23;3.58;14.73
CHATZINIKOLAU, OLGA;2013;SPAR UNIGIRONA;22.0;32.05;6.59;2.27;5.0;0.45;0.27;1.23;0.22;1.23;2.18;0.56;0.77;5.05;5.82;2.5;1.68;2.23;0.05;0.14;0.0;2.18;2.27;9.73
SECO SALVADOR, TERESA;2000;BASKET ZARAGOZA;26.0;32.04;7.92;1.08;2.54;0.42;1.42;5.23;0.27;1.5;1.85;0.81;0.35;1.69;2.04;1.46;1.73;3.23;0.08;0.31;0.0;2.19;1.69;3.58
GOMEZ SANDO, GERTRUDIS;2002;EXTRUGASA MUEBLES CARBALLO;26.0;32.04;10.04;3.92;9.38;0.42;0.08;0.35;0.22;1.96;3.19;0.61;1.77;5.81;7.58;0.42;1.19;2.12;0.58;0.27;0.0;2.38;2.58;10.65
MIRCHANDANI VILLAR, LIDIA;2003;C.B. PUIG D`EN VALLS SANTA EULALIA;26.0;32.04;9.27;1.58;4.15;0.38;1.42;4.42;0.32;1.85;2.31;0.8;0.19;2.46;2.65;2.08;1.46;3.15;0.12;0.19;0.0;1.69;2.65;7.15
CHESLEK, SHELBY CHEYANNE;2018;BAXI FERROL;26.0;32.04;9.19;4.12;8.81;0.47;0.0;0.04;0.0;0.96;2.0;0.48;2.35;5.08;7.42;1.81;1.08;3.19;1.12;0.58;0.0;3.04;2.19;10.23
MOSBY, TYRONE BERNICE;2014;GERNIKA BIZKAIA;26.0;32.03;19.19;6.65;13.15;0.51;1.0;2.0;0.5;2.88;3.58;0.81;2.27;6.08;8.35;2.19;1.27;3.0;0.62;0.31;0.0;1.88;3.96;22.19
SALGADO SANCHEZ, IRENE;2004;YAYA MARIA BREOGAN;24.0;32.01;8.33;2.58;6.25;0.41;0.75;3.08;0.24;0.92;1.29;0.71;0.25;2.17;2.42;1.42;1.08;1.58;0.04;0.17;0.0;1.83;2.0;5.33
ALONSO DIEGO, MARIA JOSE;2000;B. CIUDAD DE BURGOS;24.0;32.0;11.46;2.83;6.33;0.45;0.71;2.08;0.34;3.67;4.54;0.81;1.38;2.67;4.04;2.21;3.67;3.29;0.08;0.21;0.0;3.12;4.0;13.08
CHRISTOFORAKIS, ATHENA;2002;PERFUMERIAS AVENIDA;11.0;32.0;6.09;2.45;6.64;0.37;0.0;0.0;0.0;1.18;1.64;0.72;2.73;5.09;7.82;0.45;1.18;1.18;0.09;0.27;0.0;3.64;1.55;7.45
BRAZDEIKYTE, LINA;2003;ARRANZ ACINAS;14.0;32.0;11.29;2.93;5.93;0.49;0.86;2.36;0.36;2.86;3.5;0.82;0.43;1.79;2.21;1.0;0.93;2.64;0.14;0.0;0.0;2.14;3.29;8.93
GARCA SALINERO, LAURA;2011;HONDARRIBIA - IRÚN;26.0;32.0;13.35;4.69;10.19;0.46;0.81;1.92;0.42;1.54;2.15;0.71;1.0;2.62;3.62;1.88;1.27;3.12;0.08;0.65;0.0;0.85;2.04;10.38
GARCIA PIERO, MARIA BEGOA;2007;HONDARRIBIA - IRÚN;26.0;31.96;10.15;1.92;4.81;0.4;1.5;5.04;0.3;1.81;2.35;0.77;0.69;2.73;3.42;2.62;1.54;1.96;0.08;0.23;0.0;2.31;2.88;9.23
MOSBY, TYRONE BERNICE;2011;CAJA RURAL TINTOS DE TORO;25.0;31.95;17.36;6.52;13.36;0.49;0.48;1.52;0.32;2.88;4.12;0.7;2.84;5.04;7.88;1.16;0.84;3.0;0.6;0.48;0.0;2.2;3.84;16.88
BENNINGFIELD, JENNIFER ANN;2004;USP CEU - ADECCO ESTUDIANTES;26.0;31.94;16.19;6.27;13.19;0.48;0.46;1.42;0.32;2.27;2.96;0.77;1.85;4.5;6.35;0.65;1.23;1.62;0.69;0.58;0.12;3.04;3.27;14.58
GIOMI, LYDIA MORA;2021;SPAR GRAN CANARIA;30.0;31.94;9.13;3.93;8.1;0.49;0.03;0.1;0.33;1.17;1.8;0.65;3.73;4.8;8.53;0.5;1.07;1.9;0.13;0.17;0.2;2.9;2.43;12.13
BROWN, BRITTANY DANIELLE;2018;MANN-FILTER CASABLANCA;26.0;31.93;12.81;4.85;12.58;0.39;0.27;1.12;0.24;2.31;3.08;0.75;1.54;5.23;6.77;1.85;2.12;2.54;0.12;0.58;0.0;1.62;3.04;12.62
SIMMS, JENNIE CHANNEL;2019;NISSAN  AL-QÁZERES EXTREMADURA;22.0;31.92;14.64;3.82;8.95;0.43;1.32;5.45;0.24;3.05;3.73;0.82;2.23;4.45;6.68;2.09;1.41;3.64;0.32;0.36;0.0;3.27;3.91;11.82
POINTER, KHAYLA NICOLE;2022;INNOVA-TSN LEGANES;13.0;31.92;12.0;3.08;8.46;0.36;0.69;3.38;0.2;3.77;5.31;0.71;0.69;3.23;3.92;2.85;1.77;2.85;0.15;0.69;0.0;2.0;5.0;11.23
GRETTER, MELISA PAOLA;2022;MOVISTAR ESTUDIANTES;21.0;31.9;7.33;1.71;4.19;0.41;0.9;2.62;0.35;1.19;1.52;0.78;0.9;3.38;4.29;5.24;1.57;1.95;0.05;0.05;0.0;2.1;2.67;12.57
CARTER, AMISHA LOLINA;2004;MOTIVA REAL CANOE N.C.;13.0;31.88;13.85;5.23;13.69;0.38;0.0;0.31;0.0;3.38;4.77;0.71;3.69;6.62;10.31;0.46;2.08;2.23;0.38;0.62;0.0;3.31;4.31;15.08
DE SOUZA SOBRAL, LEILA;2004;REAL CLUB CELTA VIGOURBAN;26.0;31.88;15.15;5.31;10.69;0.5;0.73;2.23;0.33;2.35;4.19;0.56;2.27;4.31;6.58;0.73;2.35;2.58;0.38;0.12;0.0;3.19;4.38;14.96
COULIBALY, MARIAM ALOU;2022;IDK EUSKOTREN;30.0;31.87;15.03;5.8;11.2;0.52;0.0;0.27;0.0;3.43;4.3;0.8;2.43;6.5;8.93;1.1;0.77;1.9;0.47;0.3;0.0;2.23;4.03;19.67
BEZOS MARTNEZ, EMMA;1997;ALUMINIOS TIZONA;22.0;31.86;14.23;5.45;10.36;0.53;0.0;0.05;0.0;3.32;5.14;0.65;3.36;7.09;10.45;0.55;0.73;2.41;0.41;0.36;0.0;2.73;1.95;16.05
---, HEATRHER;2000;ANDALUCIA SOLO HAY UNA;14.0;31.86;9.57;3.86;9.29;0.42;0.0;0.14;0.0;1.86;2.86;0.65;2.07;3.86;5.93;0.43;1.43;1.93;0.5;0.21;0.0;2.64;2.86;9.36
MURPHY, ESHAYA MARIE;2008;CLUB BALONCESTO FEVE SAN JOSE;26.0;31.86;20.73;5.81;11.96;0.49;1.62;4.62;0.35;4.27;5.38;0.79;3.81;3.54;7.35;1.15;2.81;3.46;0.23;0.58;0.0;2.46;4.42;19.92
CANTERO OSTOS, CRISTINA;2002;REAL CLUB CELTA BANCO SIMEON;26.0;31.85;9.42;2.27;5.85;0.39;0.69;2.69;0.26;2.81;3.88;0.72;0.62;3.65;4.27;2.62;1.35;1.69;0.15;0.08;0.0;3.65;4.23;9.96
HOLT, AMBER SHIRELL;2016;SPAR GRAN CANARIA;13.0;31.85;8.62;3.23;8.15;0.4;0.23;1.46;0.16;1.46;1.69;0.86;2.15;4.54;6.69;1.46;1.31;1.0;0.23;0.23;0.0;2.08;2.23;10.85
VALDEMORO MADARIAGA, AMAYA;2003;ROS CASARES VALENCIA;25.0;31.84;16.6;2.92;6.48;0.45;2.84;7.64;0.37;2.24;2.84;0.79;1.4;5.92;7.32;3.04;2.88;2.32;0.48;0.28;0.0;2.12;2.72;19.36
PEREZ CAPARROS, ROSA;2011;PALACIO DE CONGRESOS DE IBIZA;26.0;31.84;6.15;1.31;3.73;0.35;0.92;3.35;0.28;0.77;0.88;0.87;0.58;2.04;2.62;2.15;0.96;2.35;0.08;0.15;0.0;1.73;1.35;4.12
CAMPS COLLELL, LAURA;2003;CADI LA SEU D´URGELL;22.0;31.82;6.86;1.77;5.05;0.35;0.68;2.32;0.29;1.27;2.09;0.61;1.82;2.77;4.59;0.64;1.59;1.5;0.0;0.14;0.0;2.41;2.36;6.27
PIERRE LOUIS, VIONISE ARON'S;2021;INNOVA-TSN LEGANÉS;16.0;31.82;13.69;6.0;12.38;0.48;0.0;0.19;0.0;1.69;2.81;0.6;2.88;5.12;8.0;1.81;0.81;2.88;0.44;0.38;0.12;2.0;3.44;15.62
GIMENO MARTINEZ, VEGA;2014;GRAN CANARIA 2014;26.0;31.81;12.38;3.0;7.04;0.43;1.5;4.92;0.3;1.88;2.46;0.77;0.54;2.85;3.38;1.85;1.31;1.96;0.23;0.19;0.0;1.96;2.19;9.19
STANACEV, ALEKSANDRA;2017;EMBUTIDOS PAJARIEL BEMBIBRE PDM;26.0;31.81;8.73;1.27;3.54;0.36;1.5;4.27;0.35;1.69;2.19;0.77;0.38;2.0;2.38;4.81;1.15;3.38;0.0;0.15;0.0;1.19;3.31;10.12
IBARBURU ACHEGA, AINHOA;2001;P.C. MENDIBIL;25.0;31.8;11.96;3.8;8.04;0.47;0.64;3.04;0.21;2.44;3.6;0.68;0.6;1.92;2.52;1.24;1.64;2.16;0.2;0.4;0.0;2.48;3.4;8.12
DOS SANTOS, ADRIANA APARECIDA;2004;YAYA MARIA BREOGAN;11.0;31.8;13.55;1.45;3.45;0.42;2.82;7.91;0.36;2.18;3.27;0.67;0.64;2.27;2.91;1.0;1.73;2.18;0.0;0.45;0.0;2.64;2.55;8.27
GOMEZ IGLESIAS, REGINA;2006;ENSINO;26.0;31.8;8.73;2.38;5.73;0.42;1.0;4.04;0.25;0.96;1.85;0.52;0.54;1.77;2.31;2.08;2.69;2.88;0.0;0.46;0.0;1.81;1.88;5.27
JOENS, CATHERINE ELISABETH;2007;RIVAS FUTURA;26.0;31.8;15.5;3.19;6.35;0.5;2.12;4.77;0.44;2.77;3.35;0.83;0.62;2.96;3.58;2.42;1.12;2.46;0.0;0.15;0.0;2.96;3.35;14.0
