Nombre;Condicion;Partidos;Minutos;Puntos;T2 Anotados;T2 Lanzados;% T2;T3 Anotados;T3 Lanzados;% T3;T1 Anotados;T1 Lanzados;% T1;Reb. Ofensivos;Reb. Defensivos;Rebotes;Asistencias;Robos;Perdidas;Tapones;Tapones Recibidos;Mates;Faltas Cometidas;Faltas Recibidas;Valoracion;Posesiones;Ritmo;OER;% TC Efectivo;% Jugada;Frec. TL;% Reb Def;% Reb Of;% Assis;% Perd
"[""SNATT'S FEMENI SANT ADRIA"", ""SNATT'S FEMENI SANT ADRIA"", ""SNATT'S FEMENI SANT ADRIA"", ""SNATT'S FEMENI SANT ADRIA"", ""SNATT'S FEMENI SANT ADRIA"", ""SNATT'S FEMENI SANT ADRIA"", ""SNATT'S FEMENI SANT ADRIA"", ""SNATT'S FEMENI SANT ADRIA"", ""SNATT'S FEMENI SANT ADRIA"", ""SNATT'S FEMENI SANT ADRIA"", ""SNATT'S FEMENI SANT ADRIA"", ""SNATT'S FEMENI SANT ADRIA"", ""SNATT'S FEMENI SANT ADRIA""] Equipo";['Media'];5.0;200.0;72.8;19.0;40.4;0.47;7.8;25.4;0.31;11.4;14.2;0.8;9.4;24.2;33.6;7.6;9.0;13.6;2.4;1.0;0.0;19.4;15.0;64.6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
"[""SNATT'S FEMENI SANT ADRIA"", ""SNATT'S FEMENI SANT ADRIA"", ""SNATT'S FEMENI SANT ADRIA"", ""SNATT'S FEMENI SANT ADRIA"", ""SNATT'S FEMENI SANT ADRIA"", ""SNATT'S FEMENI SANT ADRIA"", ""SNATT'S FEMENI SANT ADRIA"", ""SNATT'S FEMENI SANT ADRIA"", ""SNATT'S FEMENI SANT ADRIA"", ""SNATT'S FEMENI SANT ADRIA"", ""SNATT'S FEMENI SANT ADRIA"", ""SNATT'S FEMENI SANT ADRIA"", ""SNATT'S FEMENI SANT ADRIA""] Equipo Rival";['Media Rival'];5.0;200.0;72.2;21.0;45.8;0.46;6.6;20.6;0.32;10.4;15.4;0.68;10.2;25.2;35.4;7.4;7.8;16.0;1.0;2.2;0.0;15.2;19.4;66.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
"[""SNATT'S FEMENI SANT ADRIA"", ""SNATT'S FEMENI SANT ADRIA"", ""SNATT'S FEMENI SANT ADRIA"", ""SNATT'S FEMENI SANT ADRIA"", ""SNATT'S FEMENI SANT ADRIA"", ""SNATT'S FEMENI SANT ADRIA"", ""SNATT'S FEMENI SANT ADRIA"", ""SNATT'S FEMENI SANT ADRIA"", ""SNATT'S FEMENI SANT ADRIA"", ""SNATT'S FEMENI SANT ADRIA"", ""SNATT'S FEMENI SANT ADRIA"", ""SNATT'S FEMENI SANT ADRIA""] Equipo";['Media'];7.0;203.57;69.14;18.29;44.29;0.41;7.57;25.57;0.3;9.86;14.43;0.68;12.0;23.71;35.71;8.86;10.0;12.29;0.71;0.71;0.0;19.29;18.43;62.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
"[""SNATT'S FEMENI SANT ADRIA"", ""SNATT'S FEMENI SANT ADRIA"", ""SNATT'S FEMENI SANT ADRIA"", ""SNATT'S FEMENI SANT ADRIA"", ""SNATT'S FEMENI SANT ADRIA"", ""SNATT'S FEMENI SANT ADRIA"", ""SNATT'S FEMENI SANT ADRIA"", ""SNATT'S FEMENI SANT ADRIA"", ""SNATT'S FEMENI SANT ADRIA"", ""SNATT'S FEMENI SANT ADRIA"", ""SNATT'S FEMENI SANT ADRIA"", ""SNATT'S FEMENI SANT ADRIA""] Equipo Rival";['Media Rival'];7.0;203.57;67.57;20.14;41.43;0.49;5.29;19.14;0.28;11.43;17.43;0.66;9.14;29.29;38.43;11.29;6.86;17.43;0.86;0.71;0.0;18.43;19.14;66.43;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
"[""SNATT'S FEMENI SANT ADRIA"", ""SNATT'S FEMENI SANT ADRIA"", ""SNATT'S FEMENI SANT ADRIA"", ""SNATT'S FEMENI SANT ADRIA"", ""SNATT'S FEMENI SANT ADRIA"", ""SNATT'S FEMENI SANT ADRIA"", ""SNATT'S FEMENI SANT ADRIA"", ""SNATT'S FEMENI SANT ADRIA"", ""SNATT'S FEMENI SANT ADRIA"", ""SNATT'S FEMENI SANT ADRIA"", ""SNATT'S FEMENI SANT ADRIA""] Equipo";['Media'];9.0;200.0;68.89;19.44;40.11;0.48;6.33;24.44;0.26;11.0;14.67;0.75;8.78;23.44;32.22;8.67;8.89;13.11;1.67;1.0;0.0;17.89;16.78;62.67;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
"[""SNATT'S FEMENI SANT ADRIA"", ""SNATT'S FEMENI SANT ADRIA"", ""SNATT'S FEMENI SANT ADRIA"", ""SNATT'S FEMENI SANT ADRIA"", ""SNATT'S FEMENI SANT ADRIA"", ""SNATT'S FEMENI SANT ADRIA"", ""SNATT'S FEMENI SANT ADRIA"", ""SNATT'S FEMENI SANT ADRIA"", ""SNATT'S FEMENI SANT ADRIA"", ""SNATT'S FEMENI SANT ADRIA"", ""SNATT'S FEMENI SANT ADRIA""] Equipo Rival";['Media Rival'];9.0;200.0;73.33;19.11;40.0;0.48;7.89;24.22;0.33;11.44;16.33;0.7;10.78;25.67;36.44;10.78;7.78;14.44;1.0;1.56;0.0;16.89;17.89;72.22;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
"[""SNATT'S FEMENI SANT ADRIA"", ""SNATT'S FEMENI SANT ADRIA"", ""SNATT'S FEMENI SANT ADRIA"", ""SNATT'S FEMENI SANT ADRIA"", ""SNATT'S FEMENI SANT ADRIA"", ""SNATT'S FEMENI SANT ADRIA"", ""SNATT'S FEMENI SANT ADRIA"", ""SNATT'S FEMENI SANT ADRIA"", ""SNATT'S FEMENI SANT ADRIA"", ""SNATT'S FEMENI SANT ADRIA""] Equipo";['Media'];5.0;200.0;60.2;17.6;40.4;0.44;5.4;22.4;0.24;8.8;15.2;0.58;12.4;23.0;35.4;10.8;7.6;14.6;0.2;1.8;0.0;15.8;16.4;52.2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
"[""SNATT'S FEMENI SANT ADRIA"", ""SNATT'S FEMENI SANT ADRIA"", ""SNATT'S FEMENI SANT ADRIA"", ""SNATT'S FEMENI SANT ADRIA"", ""SNATT'S FEMENI SANT ADRIA"", ""SNATT'S FEMENI SANT ADRIA"", ""SNATT'S FEMENI SANT ADRIA"", ""SNATT'S FEMENI SANT ADRIA"", ""SNATT'S FEMENI SANT ADRIA"", ""SNATT'S FEMENI SANT ADRIA""] Equipo Rival";['Media Rival'];5.0;200.0;66.4;17.8;36.4;0.49;7.6;24.6;0.31;8.0;9.8;0.82;9.2;25.0;34.2;13.6;8.4;15.2;1.8;0.2;0.0;16.6;15.8;70.8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
['CADI LA SEU', 'CADI LA SEU', 'CADI LA SEU', 'CADI LA SEU', 'CADI LA SEU', 'CADI LA SEU', 'CADI LA SEU', 'CADI LA SEU', 'CADI LA SEU', 'CADI LA SEU', 'CADI LA SEU'] Equipo;['Media'];4.0;200.0;75.75;17.75;38.75;0.46;9.0;22.75;0.4;13.25;16.25;0.82;9.75;22.5;32.25;11.25;8.0;15.5;2.0;1.75;0.0;19.5;18.75;73.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
['CADI LA SEU', 'CADI LA SEU', 'CADI LA SEU', 'CADI LA SEU', 'CADI LA SEU', 'CADI LA SEU', 'CADI LA SEU', 'CADI LA SEU', 'CADI LA SEU', 'CADI LA SEU', 'CADI LA SEU'] Equipo Rival;['Media Rival'];4.0;200.0;72.5;22.25;42.5;0.52;5.0;18.5;0.27;13.0;17.25;0.75;9.25;22.0;31.25;12.5;7.75;15.75;1.75;2.0;0.0;18.75;19.5;70.75;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
