Minutos (jugador);Minutos (valor);Puntos (jugador);Puntos (valor);T2 Anotados (jugador);T2 Anotados (valor);T2 Lanzados (jugador);T2 Lanzados (valor);% T2 (jugador);% T2 (valor);T3 Anotados (jugador);T3 Anotados (valor);T3 Lanzados (jugador);T3 Lanzados (valor);% T3 (jugador);% T3 (valor);T1 Anotados (jugador);T1 Anotados (valor);T1 Lanzados (jugador);T1 Lanzados (valor);% T1 (jugador);% T1 (valor);Reb. Ofensivos (jugador);Reb. Ofensivos (valor);Reb. Defensivos (jugador);Reb. Defensivos (valor);Rebotes (jugador);Rebotes (valor);Asistencias (jugador);Asistencias (valor);Robos (jugador);Robos (valor);Perdidas (jugador);Perdidas (valor);Tapones (jugador);Tapones (valor);Tapones Recibidos (jugador);Tapones Recibidos (valor);Mates (jugador);Mates (valor);Faltas Cometidas (jugador);Faltas Cometidas (valor);Faltas Recibidas (jugador);Faltas Recibidas (valor);Valoracion (jugador);Valoracion (valor);% Asist (jugador);% Asist (valor);% Tiro Efectivo (jugador);% Tiro Efectivo (valor);% Tiro Verdadero (jugador);% True Shooting (valor);GScore (jugador);GScore (valor);TLR% (jugador);TLR% (valor);Posesiones Anotadas (jugador);Posesiones Anotadas (valor);Posesiones No Anotadas (jugador);Posesiones No Anotadas (valor);Floor Percentage (jugador);Floor Percentage (valor);Puntos por Tiro (jugador);Puntos por Tiro (valor);% Rebotes (jugador);% Rebotes (valor);% Rebotes Def (jugador);% Rebotes Def (valor);% Rebotes Of (jugador);% Rebotes Of (valor);% Robos (jugador);% Robos (valor);Toques (jugador);Toques (valor);Uso (jugador);Uso (valor);Versatilidad (jugador);Versatilidad (valor);Win Scores (jugador);Win Scores (valor);Eficiencia Ofensiva (jugador);Eficiencia Ofensiva (valor);Eficiencia Defensiva (jugador);Eficiencia Defensiva (valor);Diferencia Eficiencia (jugador);Diferencia Eficiencia (valor)
KONE, SIKA;36.35;KONE, SIKA;17.47;KONE, SIKA;6.33;COULIBALY, MARIAM ALOU;11.2;FASOULA, MARIA EMMANOUELA;0.61;SHEPPARD, AISHA MARIE;2.68;SHEPPARD, AISHA MARIE;7.16;CARLETON, BRIDGET ELIZABETH;0.54;KONE, SIKA;4.4;KONE, SIKA;5.6;MONTENEGRO SANTANA, RITA ESTHER;1.0;KONE, SIKA;4.03;KONE, SIKA;10.13;KONE, SIKA;14.17;GRETTER, MELISA PAOLA;5.24;SYKES, BRITTNEY CHRISANTI;2.39;HERMIDA HERRAEZ, MARTA;3.38;COX, LAUREN ELIZABETH;1.6;WHALEN, ERIN PATRICIA;0.55;KONE, SIKA;0.17;EVANS, SHANTE MARIE;3.37;HOLESINSKA, PETRA;5.6;KONE, SIKA;27.63;RIVERA RODRGUEZ, LORENA;0.0;RIVERA RODRGUEZ, LORENA;0.0;RIVERA RODRGUEZ, LORENA;0.0;RIVERA RODRGUEZ, LORENA;0.0;RIVERA RODRGUEZ, LORENA;0.0;RIVERA RODRGUEZ, LORENA;0.0;RIVERA RODRGUEZ, LORENA;0.0;RIVERA RODRGUEZ, LORENA;0.0;RIVERA RODRGUEZ, LORENA;0.0;RIVERA RODRGUEZ, LORENA;0.0;RIVERA RODRGUEZ, LORENA;0.0;RIVERA RODRGUEZ, LORENA;0.0;RIVERA RODRGUEZ, LORENA;0.0;RIVERA RODRGUEZ, LORENA;0.0;RIVERA RODRGUEZ, LORENA;0.0;RIVERA RODRGUEZ, LORENA;0.0;RIVERA RODRGUEZ, LORENA;0.0;RIVERA RODRGUEZ, LORENA;0.0;RIVERA RODRGUEZ, LORENA;0.0;RIVERA RODRGUEZ, LORENA;0.0
HOLESINSKA, PETRA;35.83;SHEPPARD, AISHA MARIE;16.12;COULIBALY, MARIAM ALOU;5.8;GINZO ARANTES, PAULA;11.0;FIEBICH, LEONIE;0.6;SPREAFICO, LAURA;2.63; KONIG, AISLINN CHIA PI;7.11;DEMBELE, GNERE ALIMA;0.5;PIERRE LOUIS, VIONISE ARON'S;3.64;EVANS, SHANTE MARIE;4.95;CORNELIUS, LAURA;0.94;DIARRA, MAIMOUNA;2.97;COULIBALY, MARIAM ALOU;6.5;COULIBALY, MARIAM ALOU;8.93;ORTIZ VIVES, MARIONA;4.5;OUVIA MODREGO, CRISTINA;2.29;HOLESINSKA, PETRA;3.13;GULICH, MARIE ISABELLE;1.03;WATTS, STEPHANIE COURTNEY;0.53;GATLING, MARKEISHA CHERTE;0.15;CVITKOVIC, ANDRIJANA;3.29;KONE, SIKA;5.47;COULIBALY, MARIAM ALOU;19.67;BLANQUEZ LOPEZ, CARLA;0.0;BLANQUEZ LOPEZ, CARLA;0.0;BLANQUEZ LOPEZ, CARLA;0.0;BLANQUEZ LOPEZ, CARLA;0.0;BLANQUEZ LOPEZ, CARLA;0.0;BLANQUEZ LOPEZ, CARLA;0.0;BLANQUEZ LOPEZ, CARLA;0.0;BLANQUEZ LOPEZ, CARLA;0.0;BLANQUEZ LOPEZ, CARLA;0.0;BLANQUEZ LOPEZ, CARLA;0.0;BLANQUEZ LOPEZ, CARLA;0.0;BLANQUEZ LOPEZ, CARLA;0.0;BLANQUEZ LOPEZ, CARLA;0.0;BLANQUEZ LOPEZ, CARLA;0.0;BLANQUEZ LOPEZ, CARLA;0.0;BLANQUEZ LOPEZ, CARLA;0.0;BLANQUEZ LOPEZ, CARLA;0.0;BLANQUEZ LOPEZ, CARLA;0.0;BLANQUEZ LOPEZ, CARLA;0.0;BLANQUEZ LOPEZ, CARLA;0.0
HERMIDA HERRAEZ, MARTA;33.11;ATKINSON, TANAYA MECHELLE;15.24;PIERRE LOUIS, VIONISE ARON'S;5.57;PIERRE LOUIS, VIONISE ARON'S;10.75;REISINGEROVA, JULIA SUSSANE;0.6;HOLESINSKA, PETRA;2.57;HOLESINSKA, PETRA;6.3;WOJTA, JULIE NICOLE;0.5;COULIBALY, MARIAM ALOU;3.43;PIERRE LOUIS, VIONISE ARON'S;4.93;DE SANTIAGO OTERO, BEGOA;0.93;HAMBLIN, RUTH ELIZABETH;2.71;PEREZ ARAUJO, MARIA;5.7;HAMBLIN, RUTH ELIZABETH;8.32;YGUERAVIDE VIANA, SANDRA;4.08;SILVA SERRANO, ROSELIS CAROLINA;2.13;KONE, SIKA;2.97;LABUCKIENE, GIEDRE;0.79;HOLESINSKA, PETRA;0.5;TOLO, MARIANNA;0.07;BLASIGH, VITTORIA;3.17;SHEPPARD, AISHA MARIE;4.64;PIERRE LOUIS, VIONISE ARON'S;19.07;PORTALEZ MUR, ARANTXA;0.0;PORTALEZ MUR, ARANTXA;0.0;PORTALEZ MUR, ARANTXA;0.0;PORTALEZ MUR, ARANTXA;0.0;PORTALEZ MUR, ARANTXA;0.0;PORTALEZ MUR, ARANTXA;0.0;PORTALEZ MUR, ARANTXA;0.0;PORTALEZ MUR, ARANTXA;0.0;PORTALEZ MUR, ARANTXA;0.0;PORTALEZ MUR, ARANTXA;0.0;PORTALEZ MUR, ARANTXA;0.0;PORTALEZ MUR, ARANTXA;0.0;PORTALEZ MUR, ARANTXA;0.0;PORTALEZ MUR, ARANTXA;0.0;PORTALEZ MUR, ARANTXA;0.0;PORTALEZ MUR, ARANTXA;0.0;PORTALEZ MUR, ARANTXA;0.0;PORTALEZ MUR, ARANTXA;0.0;PORTALEZ MUR, ARANTXA;0.0;PORTALEZ MUR, ARANTXA;0.0
PRIETO MARTINEZ, ALBA;33.0;HOLESINSKA, PETRA;15.17;GINZO ARANTES, PAULA;5.19;KONE, SIKA;10.73;KONE, SIKA;0.59;CARLETON, BRIDGET ELIZABETH;2.44;SPREAFICO, LAURA;6.27;ANDERSON, JOLENE NANCY;0.45;ATKINSON, TANAYA MECHELLE;3.38;ATKINSON, TANAYA MECHELLE;4.83;LOPEZ VIVES, HELENA;0.92;PIERRE LOUIS, VIONISE ARON'S;2.68;HAMBLIN, RUTH ELIZABETH;5.61;PIERRE LOUIS, VIONISE ARON'S;7.75;CAZORLA MEDINA, MARIA TERESA;3.8;CASAS CARRERAS, QUERALT;2.0;PRIETO MARTINEZ, ALBA;2.93;TOLO, MARIANNA;0.76;SHEPPARD, AISHA MARIE;0.44;HAMBLIN, RUTH ELIZABETH;0.07;FINGALL, NADIA ANGELIQUE;3.07;HERMIDA HERRAEZ, MARTA;4.58;SYKES, BRITTNEY CHRISANTI;17.78;ALBERDI LARRUCEA, MARTA;0.0;ALBERDI LARRUCEA, MARTA;0.0;ALBERDI LARRUCEA, MARTA;0.0;ALBERDI LARRUCEA, MARTA;0.0;ALBERDI LARRUCEA, MARTA;0.0;ALBERDI LARRUCEA, MARTA;0.0;ALBERDI LARRUCEA, MARTA;0.0;ALBERDI LARRUCEA, MARTA;0.0;ALBERDI LARRUCEA, MARTA;0.0;ALBERDI LARRUCEA, MARTA;0.0;ALBERDI LARRUCEA, MARTA;0.0;ALBERDI LARRUCEA, MARTA;0.0;ALBERDI LARRUCEA, MARTA;0.0;ALBERDI LARRUCEA, MARTA;0.0;ALBERDI LARRUCEA, MARTA;0.0;ALBERDI LARRUCEA, MARTA;0.0;ALBERDI LARRUCEA, MARTA;0.0;ALBERDI LARRUCEA, MARTA;0.0;ALBERDI LARRUCEA, MARTA;0.0;ALBERDI LARRUCEA, MARTA;0.0
ATKINSON, TANAYA MECHELLE;32.2;COULIBALY, MARIAM ALOU;15.03;ATKINSON, TANAYA MECHELLE;4.79;JAMES, KAI AFI GNOZI NONI;10.08;TOLO, MARIANNA;0.59;ESPAA ALMENDRO, MARIA;2.41;ESPAA ALMENDRO, MARIA;5.67;MONTENEGRO SANTANA, RITA ESTHER;0.43;HOLESINSKA, PETRA;3.33;HOLESINSKA, PETRA;4.47;TORRENS SALOM, ALBA;0.92;FINGALL, NADIA ANGELIQUE;2.63;HOLLIVAY, RACHEL LASHAWN;5.35;FINGALL, NADIA ANGELIQUE;7.63;HERMIDA HERRAEZ, MARTA;3.69;GARDNER, REBEKA JASMINE;1.93;HOLLIVAY, RACHEL LASHAWN;2.92;MASSEY, BILLIE KIM;0.73;KONE, SIKA;0.43;FALL, SOKHNA ADJI;0.07;WOJTA, JULIE NICOLE;3.06;PIERRE LOUIS, VIONISE ARON'S;4.46;FIEBICH, LEONIE;17.39;RAMOS SANTANA, MARIA DEL PILAR;0.0;RAMOS SANTANA, MARIA DEL PILAR;0.0;RAMOS SANTANA, MARIA DEL PILAR;0.0;RAMOS SANTANA, MARIA DEL PILAR;0.0;RAMOS SANTANA, MARIA DEL PILAR;0.0;RAMOS SANTANA, MARIA DEL PILAR;0.0;RAMOS SANTANA, MARIA DEL PILAR;0.0;RAMOS SANTANA, MARIA DEL PILAR;0.0;RAMOS SANTANA, MARIA DEL PILAR;0.0;RAMOS SANTANA, MARIA DEL PILAR;0.0;RAMOS SANTANA, MARIA DEL PILAR;0.0;RAMOS SANTANA, MARIA DEL PILAR;0.0;RAMOS SANTANA, MARIA DEL PILAR;0.0;RAMOS SANTANA, MARIA DEL PILAR;0.0;RAMOS SANTANA, MARIA DEL PILAR;0.0;RAMOS SANTANA, MARIA DEL PILAR;0.0;RAMOS SANTANA, MARIA DEL PILAR;0.0;RAMOS SANTANA, MARIA DEL PILAR;0.0;RAMOS SANTANA, MARIA DEL PILAR;0.0;RAMOS SANTANA, MARIA DEL PILAR;0.0
GRETTER, MELISA PAOLA;31.9;PIERRE LOUIS, VIONISE ARON'S;14.79;WOJTA, JULIE NICOLE;4.59;ATKINSON, TANAYA MECHELLE;9.38;TORRENS SALOM, ALBA;0.58;ANDERSON, JOLENE NANCY;2.31;WATTS, STEPHANIE COURTNEY;5.65;ESPAA ALMENDRO, MARIA;0.42;PRIETO MARTINEZ, ALBA;3.17;COULIBALY, MARIAM ALOU;4.3;KOVACEVIC, BOJANA;0.91;SEDA, TAMARA ADELAIDE JOSE CAMACHO;2.57;BROWN, JOY ALEXIS;5.2;PEREZ ARAUJO, MARIA;7.52;OUVIA MODREGO, CRISTINA;3.52;PRIETO MARTINEZ, ALBA;1.9;BROWN, JOY ALEXIS;2.8;WHITE, CHATRICE MARIE;0.72;CVITKOVIC, ANDRIJANA;0.43;GONZALEZ DUARTE, LARA;0.07;REISINGEROVA, JULIA SUSSANE;3.04;EVANS, SHANTE MARIE;4.26;GARDNER, REBEKA JASMINE;17.25;GARCIA HERNANDEZ, ALEJANDRA;0.0;GARCIA HERNANDEZ, ALEJANDRA;0.0;GARCIA HERNANDEZ, ALEJANDRA;0.0;GARCIA HERNANDEZ, ALEJANDRA;0.0;GARCIA HERNANDEZ, ALEJANDRA;0.0;GARCIA HERNANDEZ, ALEJANDRA;0.0;GARCIA HERNANDEZ, ALEJANDRA;0.0;GARCIA HERNANDEZ, ALEJANDRA;0.0;GARCIA HERNANDEZ, ALEJANDRA;0.0;GARCIA HERNANDEZ, ALEJANDRA;0.0;GARCIA HERNANDEZ, ALEJANDRA;0.0;GARCIA HERNANDEZ, ALEJANDRA;0.0;GARCIA HERNANDEZ, ALEJANDRA;0.0;GARCIA HERNANDEZ, ALEJANDRA;0.0;GARCIA HERNANDEZ, ALEJANDRA;0.0;GARCIA HERNANDEZ, ALEJANDRA;0.0;GARCIA HERNANDEZ, ALEJANDRA;0.0;GARCIA HERNANDEZ, ALEJANDRA;0.0;GARCIA HERNANDEZ, ALEJANDRA;0.0;GARCIA HERNANDEZ, ALEJANDRA;0.0
COULIBALY, MARIAM ALOU;31.87;GARDNER, REBEKA JASMINE;14.18;SYKES, BRITTNEY CHRISANTI;4.56;HAMBLIN, RUTH ELIZABETH;9.36;MOYA BLANCH, LAIA;0.58;PEA JUBANY, LAURA;2.3;PEA JUBANY, LAURA;5.65;SPREAFICO, LAURA;0.42;EVANS, SHANTE MARIE;3.16;PRIETO MARTINEZ, ALBA;4.03;NOGIC, JOVANA;0.91;WHITE, CHATRICE MARIE;2.56;ATKINSON, TANAYA MECHELLE;5.14;BROWN, JOY ALEXIS;7.4;MENDEZ CAMPS, LAURA;3.47;HERMIDA HERRAEZ, MARTA;1.81;SEDA, TAMARA ADELAIDE JOSE CAMACHO;2.77;HAMBLIN, RUTH ELIZABETH;0.64;ATKINSON, TANAYA MECHELLE;0.41;MESKONYTE, GABIJA;0.07;HOLESINSKA, PETRA;3.03;SYKES, BRITTNEY CHRISANTI;4.22;ATKINSON, TANAYA MECHELLE;17.24;DE MIER ESPINA, PAOLA;0.0;DE MIER ESPINA, PAOLA;0.0;DE MIER ESPINA, PAOLA;0.0;DE MIER ESPINA, PAOLA;0.0;DE MIER ESPINA, PAOLA;0.0;DE MIER ESPINA, PAOLA;0.0;DE MIER ESPINA, PAOLA;0.0;DE MIER ESPINA, PAOLA;0.0;DE MIER ESPINA, PAOLA;0.0;DE MIER ESPINA, PAOLA;0.0;DE MIER ESPINA, PAOLA;0.0;DE MIER ESPINA, PAOLA;0.0;DE MIER ESPINA, PAOLA;0.0;DE MIER ESPINA, PAOLA;0.0;DE MIER ESPINA, PAOLA;0.0;DE MIER ESPINA, PAOLA;0.0;DE MIER ESPINA, PAOLA;0.0;DE MIER ESPINA, PAOLA;0.0;DE MIER ESPINA, PAOLA;0.0;DE MIER ESPINA, PAOLA;0.0
SHEPPARD, AISHA MARIE;30.8;WHALEN, ERIN PATRICIA;14.14;FASOULA, MARIA EMMANOUELA;4.48;CASAS CARRERAS, QUERALT;8.64;FINGALL, NADIA ANGELIQUE;0.57;WATTS, STEPHANIE COURTNEY;2.24;HERMIDA HERRAEZ, MARTA;5.65;GARDNER, REBEKA JASMINE;0.41;HERMIDA HERRAEZ, MARTA;3.12;HERMIDA HERRAEZ, MARTA;3.85;CRVENDAKIC, ALEKSANDRA;0.89;COULIBALY, MARIAM ALOU;2.43;FIEBICH, LEONIE;5.13;DIARRA, MAIMOUNA;7.23;PEA JUBANY, LAURA;3.45;CAZORLA MEDINA, MARIA TERESA;1.73;VAN DEN ADEL, NATALIE ISABELLE;2.77;DIARRA, MAIMOUNA;0.63;ONYENWERE, MICHAELA NNE;0.41;CVITKOVIC, ANDRIJANA;0.07;NESBITT, VALERIE ADRIANNA;3.0;ATKINSON, TANAYA MECHELLE;4.17;CASAS CARRERAS, QUERALT;16.64;TEWEHAMYE MONTAANA, MIREMBE;0.0;TEWEHAMYE MONTAANA, MIREMBE;0.0;TEWEHAMYE MONTAANA, MIREMBE;0.0;TEWEHAMYE MONTAANA, MIREMBE;0.0;TEWEHAMYE MONTAANA, MIREMBE;0.0;TEWEHAMYE MONTAANA, MIREMBE;0.0;TEWEHAMYE MONTAANA, MIREMBE;0.0;TEWEHAMYE MONTAANA, MIREMBE;0.0;TEWEHAMYE MONTAANA, MIREMBE;0.0;TEWEHAMYE MONTAANA, MIREMBE;0.0;TEWEHAMYE MONTAANA, MIREMBE;0.0;TEWEHAMYE MONTAANA, MIREMBE;0.0;TEWEHAMYE MONTAANA, MIREMBE;0.0;TEWEHAMYE MONTAANA, MIREMBE;0.0;TEWEHAMYE MONTAANA, MIREMBE;0.0;TEWEHAMYE MONTAANA, MIREMBE;0.0;TEWEHAMYE MONTAANA, MIREMBE;0.0;TEWEHAMYE MONTAANA, MIREMBE;0.0;TEWEHAMYE MONTAANA, MIREMBE;0.0;TEWEHAMYE MONTAANA, MIREMBE;0.0
ARROJO JIMENEZ, MARIA BELEN;30.29;ESPAA ALMENDRO, MARIA;13.59;GARDNER, REBEKA JASMINE;4.46;SYKES, BRITTNEY CHRISANTI;8.61;WOJTA, JULIE NICOLE;0.57; KONIG, AISLINN CHIA PI;2.17;WHALEN, ERIN PATRICIA;5.41;PEA JUBANY, LAURA;0.41;SHEPPARD, AISHA MARIE;3.04;SHEPPARD, AISHA MARIE;3.72;FIEBICH, LEONIE;0.89;FALL, SOKHNA ADJI;2.43;JAMES, KAI AFI GNOZI NONI;5.12;FALL, SOKHNA ADJI;7.13;CRUZ LEBRATO, ANNA;3.41;FLORES COSTA, LAIA;1.6;NESBITT, VALERIE ADRIANNA;2.72;ERAUNCETAMURGIL AYESTARAN, MARIA;0.62;AUSTIN, VANESSA;0.4;WOJTA, JULIE NICOLE;0.06;HOLLIVAY, RACHEL LASHAWN;2.92;YGUERAVIDE VIANA, SANDRA;4.04;TOLO, MARIANNA;15.45;PRINCE, ALEXIS SADE;0.0;PRINCE, ALEXIS SADE;0.0;PRINCE, ALEXIS SADE;0.0;PRINCE, ALEXIS SADE;0.0;PRINCE, ALEXIS SADE;0.0;PRINCE, ALEXIS SADE;0.0;PRINCE, ALEXIS SADE;0.0;PRINCE, ALEXIS SADE;0.0;PRINCE, ALEXIS SADE;0.0;PRINCE, ALEXIS SADE;0.0;PRINCE, ALEXIS SADE;0.0;PRINCE, ALEXIS SADE;0.0;PRINCE, ALEXIS SADE;0.0;PRINCE, ALEXIS SADE;0.0;PRINCE, ALEXIS SADE;0.0;PRINCE, ALEXIS SADE;0.0;PRINCE, ALEXIS SADE;0.0;PRINCE, ALEXIS SADE;0.0;PRINCE, ALEXIS SADE;0.0;PRINCE, ALEXIS SADE;0.0
FALL, SOKHNA ADJI;29.92;SYKES, BRITTNEY CHRISANTI;13.44;TOLO, MARIANNA;4.41;HIGGS, LASHANN AISHA;8.55;GUERRERO ALCANTARA, CAROLINA;0.57;WHALEN, ERIN PATRICIA;2.1;YGUERAVIDE VIANA, SANDRA;5.32;HOLESINSKA, PETRA;0.41;TOLO, MARIANNA;2.86;SYKES, BRITTNEY CHRISANTI;3.61;BLASIGH, VITTORIA;0.88;BROWN, JOY ALEXIS;2.2;PIERRE LOUIS, VIONISE ARON'S;5.07;SEDA, TAMARA ADELAIDE JOSE CAMACHO;6.73;PRIETO MARTINEZ, ALBA;3.4;ATKINSON, TANAYA MECHELLE;1.59;EVANS, SHANTE MARIE;2.68;PIERRE LOUIS, VIONISE ARON'S;0.54;PUJOL LLUCH, ARIADNA;0.4;WATTS, STEPHANIE COURTNEY;0.06;GOMES DA SILVA, SOFIA CAROLINA;2.9;COULIBALY, MARIAM ALOU;4.03;FINGALL, NADIA ANGELIQUE;15.17;BANKOLE, ORNELLA;0.0;BANKOLE, ORNELLA;0.0;BANKOLE, ORNELLA;0.0;BANKOLE, ORNELLA;0.0;BANKOLE, ORNELLA;0.0;BANKOLE, ORNELLA;0.0;BANKOLE, ORNELLA;0.0;BANKOLE, ORNELLA;0.0;BANKOLE, ORNELLA;0.0;BANKOLE, ORNELLA;0.0;BANKOLE, ORNELLA;0.0;BANKOLE, ORNELLA;0.0;BANKOLE, ORNELLA;0.0;BANKOLE, ORNELLA;0.0;BANKOLE, ORNELLA;0.0;BANKOLE, ORNELLA;0.0;BANKOLE, ORNELLA;0.0;BANKOLE, ORNELLA;0.0;BANKOLE, ORNELLA;0.0;BANKOLE, ORNELLA;0.0
